Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-10-02,20.0,20.1,17.6,18.5,2799100,18.5,,4,2014
2014-10-03,18.200001,18.75,18.049999,18.65,155600,18.65,,4,2014
2014-10-06,18.48,19.58,18.48,19.24,188200,19.24,,4,2014
2014-10-07,19.360001,19.48,18.929001,19.24,176600,19.24,,4,2014
2014-10-08,19.17,19.48,18.9,19.129999,37000,19.129999,,4,2014
2014-10-09,19.16,19.549999,19.0,19.25,114500,19.25,,4,2014
2014-10-10,19.25,19.360001,18.77,19.0,34800,19.0,,4,2014
2014-10-13,18.92,19.1,18.639999,19.0,52500,19.0,,4,2014
2014-10-14,19.030001,19.030001,17.91,18.1,126500,18.1,,4,2014
2014-10-15,18.1,19.5,18.0,19.43,46200,19.43,,4,2014
2014-10-16,19.129999,19.85,19.0,19.4,61800,19.4,,4,2014
2014-10-17,19.620001,19.65,18.860001,19.08,90600,19.08,,4,2014
2014-10-20,19.200001,19.200001,18.530001,19.030001,71700,19.030001,,4,2014
2014-10-21,19.08,19.5,19.0,19.32,91000,19.32,,4,2014
2014-10-22,19.41,21.02,19.200001,20.52,312300,20.52,68.9138576779,4,2014
2014-10-23,20.41,22.23,20.41,21.049999,81000,21.049999,71.9156638056,4,2014
2014-10-24,21.24,22.32,21.059999,22.0,155600,22.0,76.3281358271,4,2014
2014-10-27,22.0,22.65,21.9,22.030001,200600,22.030001,76.4539507631,4,2014
2014-10-28,21.969999,22.1,21.822001,22.0,54800,22.0,76.0188341861,4,2014
2014-10-29,21.99,22.0,21.33,21.389999,197800,21.389999,67.5951731801,4,2014
2014-10-30,21.23,21.379999,21.139999,21.200001,65400,21.200001,65.17275605,4,2014
2014-10-31,21.450001,22.139999,21.0,21.780001,310800,21.780001,68.8434354608,4,2014
2014-11-03,22.040001,22.440001,21.634001,22.0,43900,22.0,70.1294559194,4,2014
2014-11-04,22.18,22.389999,21.774,21.85,31700,21.85,68.0665137377,4,2014
2014-11-05,21.82,22.0,21.0,21.6,39700,21.6,64.6529473946,4,2014
2014-11-06,21.5,26.4,21.15,23.35,488800,23.35,74.3500839594,4,2014
2014-11-07,23.49,26.5,23.49,25.5,122600,25.5,81.1809191631,4,2014
2014-11-10,25.709999,27.309999,24.67,26.48,79500,26.48,83.3566311184,4,2014
2014-11-11,26.780001,27.0,24.200001,24.959999,174500,24.959999,69.86498238,4,2014
2014-11-12,25.77,25.84,24.85,25.0,182200,25.0,70.0025829998,4,2014
2014-11-13,24.84,27.15,24.84,26.76,105100,26.76,75.3383572331,4,2014
2014-11-14,26.959999,26.959999,25.57,26.459999,107300,26.459999,72.9561995497,4,2014
2014-11-17,26.99,29.67,26.0,28.030001,163400,28.030001,77.0465819629,4,2014
2014-11-18,27.99,30.0,27.99,29.35,87600,29.35,79.8113659501,4,2014
2014-11-19,29.549999,30.08,29.139999,29.139999,91000,29.139999,78.1976030599,4,2014
2014-11-20,29.23,29.6,26.917999,27.02,104900,27.02,64.105674541,4,2014
2014-11-21,27.34,27.58,25.268,26.040001,125400,26.040001,58.8280766236,4,2014
2014-11-24,26.049999,28.85,25.885,26.6,120700,26.6,60.8133671734,4,2014
2014-11-25,26.76,29.4,26.65,28.440001,64000,28.440001,66.5249855648,4,2014
2014-11-26,28.32,29.43,27.84,28.780001,33400,28.780001,67.4685471183,4,2014
2014-11-28,29.25,29.4,27.806999,28.860001,57900,28.860001,67.699252534,4,2014
2014-12-01,28.52,29.66,27.950001,29.59,86700,29.59,69.8036408125,4,2014
2014-12-02,30.32,32.880001,30.09,31.610001,81300,31.610001,74.7129981539,4,2014
2014-12-03,31.43,32.490002,31.110001,31.110001,58800,31.110001,71.6095526349,4,2014
2014-12-04,30.83,32.200001,30.1,30.459999,81000,30.459999,67.6740560496,4,2014
2014-12-05,30.700001,32.130001,30.700001,31.709999,45400,31.709999,70.9773392463,4,2014
2014-12-08,31.65,33.321999,30.889999,31.0,61900,31.0,66.8017765194,4,2014
2014-12-09,30.889999,32.639999,30.245001,32.41,61300,32.41,70.5118983535,4,2014
2014-12-10,32.080002,32.759998,28.577999,29.59,84300,29.59,56.8320488578,4,2014
2014-12-11,29.799999,31.5,29.59,29.780001,59200,29.780001,57.4312889665,4,2014
2014-12-12,29.6,30.83,29.040001,29.959999,57400,29.959999,58.0257438813,4,2014
2014-12-15,30.0,30.389999,28.67,29.700001,143300,29.700001,56.7920623229,4,2014
2014-12-16,29.77,30.57,29.059999,29.4,88100,29.4,55.3302803387,4,2014
2014-12-17,29.209999,30.33,27.02,29.75,151500,29.75,56.7295967676,4,2014
2014-12-18,29.98,30.52,28.690001,29.790001,101000,29.790001,56.8957886844,4,2014
2014-12-19,29.93,30.889999,28.790001,29.5,625500,29.5,55.2393297074,4,2014
2014-12-22,29.5,30.01,29.34,29.6,44600,29.6,55.7180834259,4,2014
2014-12-23,29.559999,29.9,28.620001,29.5,96700,29.5,55.0835966836,4,2014
2014-12-24,29.389999,29.795,29.200001,29.35,27900,29.35,54.0886305224,4,2014
2014-12-26,29.48,30.0,29.288,29.76,20500,29.76,56.4064800539,4,2014
2014-12-29,29.59,29.98,29.280001,29.889999,53000,29.889999,57.1452426028,4,2014
2014-12-30,29.33,31.26,29.16,30.959999,69500,30.959999,62.7419377007,4,2014
2014-12-31,30.780001,31.5,30.639999,30.92,38000,30.92,62.413794633,4,2014
2015-01-02,30.870001,31.58,29.219999,30.209999,45400,30.209999,56.7410030793,1,2015
2015-01-05,30.190001,30.76,29.559999,29.73,32800,29.73,53.2193097769,1,2015
2015-01-06,29.84,29.84,28.290001,29.379999,62600,29.379999,50.7460463792,1,2015
2015-01-07,29.76,29.940001,28.5,28.639999,51500,28.639999,45.8901670158,1,2015
2015-01-08,28.959999,29.51,28.57,29.370001,73600,29.370001,50.8832868259,1,2015
2015-01-09,29.379999,30.396,28.83,30.129999,71200,30.129999,55.4884170496,1,2015
2015-01-12,30.309999,30.610001,29.049999,29.27,35200,29.27,49.7985808299,1,2015
2015-01-13,29.5,29.870001,28.5,29.73,80300,29.73,52.5984305406,1,2015
2015-01-14,29.42,29.77,28.85,29.65,24400,29.65,52.0546853981,1,2015
2015-01-15,29.879999,29.879999,28.4,28.700001,61400,28.700001,45.9764701677,1,2015
2015-01-16,28.549999,30.15,28.51,30.129999,64500,30.129999,54.5747327637,1,2015
2015-01-20,30.040001,30.040001,28.280001,29.059999,70000,29.059999,48.3710916278,1,2015
2015-01-21,28.879999,29.907,28.5,28.959999,42400,28.959999,47.8239479566,1,2015
2015-01-22,28.870001,29.389999,28.129999,29.07,77400,29.07,48.5138496779,1,2015
2015-01-23,29.07,29.07,27.889999,27.889999,43800,27.889999,42.0852504046,1,2015
2015-01-26,27.74,28.299999,27.59,28.299999,92000,28.299999,44.8212056466,1,2015
2015-01-27,28.16,28.940001,27.690001,27.719999,31300,27.719999,41.8120148709,1,2015
2015-01-28,27.799999,27.92,26.35,26.620001,60900,26.620001,36.7699562986,1,2015
2015-01-29,26.6,26.6,25.82,26.27,66100,26.27,35.310881931,1,2015
2015-01-30,26.23,26.27,25.26,25.52,155300,25.52,32.3486620104,1,2015
2015-02-02,25.709999,25.709999,25.0,25.59,63600,25.59,32.9143278711,1,2015
2015-02-03,25.65,27.84,25.639999,27.459999,27100,27.459999,45.9227879745,1,2015
2015-02-04,27.49,27.77,27.059999,27.34,54100,27.34,45.3155425736,1,2015
2015-02-05,27.66,28.66,26.42,28.5,73900,28.5,51.932422703,1,2015
2015-02-06,28.41,29.610001,28.219999,28.66,48600,28.66,52.7811178867,1,2015
2015-02-09,28.75,28.823999,27.690001,28.15,51700,28.15,49.7649340133,1,2015
2015-02-10,28.4,29.26,27.639999,27.92,65000,27.92,48.4210681017,1,2015
2015-02-11,27.85,28.190001,27.52,27.91,19900,27.91,48.3599211324,1,2015
2015-02-12,27.962999,29.76,27.709999,28.200001,52100,28.200001,50.3192741175,1,2015
2015-02-13,28.51,29.33,28.23,29.110001,39200,29.110001,55.9653523546,1,2015
2015-02-17,29.309999,29.709999,29.209999,29.360001,18900,29.360001,57.3977857294,1,2015
2015-02-18,29.17,30.27,29.16,29.450001,35200,29.450001,57.928372482,1,2015
2015-02-19,29.58,29.58,29.223,29.379999,9300,29.379999,57.330290124,1,2015
2015-02-20,29.51,30.540001,29.200001,30.389999,94000,30.389999,63.2291601035,1,2015
2015-02-23,30.07,32.150002,30.07,32.099998,84600,32.099998,70.6317864589,1,2015
2015-02-24,32.0,33.5,31.99,33.259998,159200,33.259998,74.3972293198,1,2015
2015-02-25,33.75,37.700001,33.509998,37.330002,174000,37.330002,82.7528329824,1,2015
2015-02-26,37.41,38.43,36.27,36.610001,150700,36.610001,77.9088710298,1,2015
2015-02-27,36.5,37.25,34.59,35.990002,140900,35.990002,73.8975233208,1,2015
2015-03-02,35.990002,38.139999,33.27,34.27,316000,34.27,64.0457116786,1,2015
2015-03-03,31.99,32.360001,29.75,30.73,856300,30.73,49.4373790651,1,2015
2015-03-04,30.790001,33.130001,30.24,32.66,492800,32.66,55.4090521814,1,2015
2015-03-05,32.540001,32.540001,31.32,32.099998,201300,32.099998,53.436969049,1,2015
2015-03-06,31.84,31.93,29.16,29.299999,379400,29.299999,44.8430273537,1,2015
2015-03-09,28.75,28.950001,26.0,26.200001,387900,26.200001,37.6278332705,1,2015
2015-03-10,26.219999,26.219999,25.33,25.799999,319000,25.799999,36.8049379067,1,2015
2015-03-11,25.700001,26.040001,23.940001,24.65,292400,24.65,34.47089947,1,2015
2015-03-12,24.799999,26.950001,24.780001,26.129999,716000,26.129999,39.7650816614,1,2015
2015-03-13,25.959999,28.67,25.959999,27.74,560200,27.74,44.9732821364,1,2015
2015-03-16,28.030001,28.959999,28.0,28.790001,166400,28.790001,48.1236210058,1,2015
2015-03-17,28.65,30.74,28.65,29.540001,387200,29.540001,50.3118497842,1,2015
2015-03-18,29.450001,29.98,29.365,29.77,120700,29.77,50.9945295044,1,2015
