Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-31,25.0,28.950001,24.049999,27.99,6316000,27.99,,3,2014
2014-08-01,26.950001,27.15,25.0,25.16,465900,25.16,,3,2014
2014-08-04,24.98,26.4,24.0,24.25,141300,24.25,,3,2014
2014-08-05,24.129999,24.139999,22.0,22.6,144500,22.6,,3,2014
2014-08-06,22.950001,24.860001,22.059999,23.370001,139200,23.370001,,3,2014
2014-08-07,23.450001,25.0,22.82,23.0,73700,23.0,,3,2014
2014-08-08,23.209999,24.74,23.01,23.540001,80300,23.540001,,3,2014
2014-08-11,23.59,24.74,23.549999,23.75,43700,23.75,,3,2014
2014-08-12,23.5,24.129999,22.51,23.91,124400,23.91,,3,2014
2014-08-13,24.0,25.440001,24.0,24.379999,104100,24.379999,,3,2014
2014-08-14,24.99,27.15,23.91,26.17,64100,26.17,,3,2014
2014-08-15,26.809999,29.799999,26.809999,27.26,76600,27.26,,3,2014
2014-08-18,28.799999,28.9,27.309999,28.299999,43300,28.299999,,3,2014
2014-08-19,28.0,31.309999,27.799999,30.85,105000,30.85,,3,2014
2014-08-20,30.93,32.375,29.851,31.58,177700,31.58,61.8795483945,3,2014
2014-08-21,31.35,31.780001,30.02,30.15,112300,30.15,56.1561554167,3,2014
2014-08-22,30.16,30.92,30.01,30.52,109700,30.52,57.2577311803,3,2014
2014-08-25,31.190001,31.57,29.040001,30.25,385700,30.25,56.1490795316,3,2014
2014-08-26,29.98,30.9,28.18,29.27,128200,29.27,52.1984561892,3,2014
2014-08-27,29.879999,29.92,28.451,29.48,42500,29.48,52.9622003185,3,2014
2014-08-28,29.0,29.5,28.24,29.43,45400,29.43,52.7461117435,3,2014
2014-08-29,29.4,31.190001,28.799999,29.629999,55600,29.629999,53.5622790362,3,2014
2014-09-02,29.700001,31.49,29.309999,30.24,98900,30.24,56.0553522392,3,2014
2014-09-03,30.190001,31.1,30.01,30.6,81800,30.6,57.5053102737,3,2014
2014-09-04,30.9,31.59,29.959999,30.549999,90900,30.549999,57.2229002007,3,2014
2014-09-05,30.32,31.6,30.290001,31.049999,58300,31.049999,59.3716103654,3,2014
2014-09-08,31.200001,31.403999,29.559999,29.85,52700,29.85,52.5493343839,3,2014
2014-09-09,29.969999,30.51,28.6,29.99,75100,29.99,53.2246385705,3,2014
2014-09-10,29.690001,31.49,29.610001,30.74,54800,30.74,56.7737724323,3,2014
2014-09-11,30.950001,32.599998,30.219999,32.43,159200,32.43,63.4952497057,3,2014
2014-09-12,32.509998,36.783001,31.290001,35.700001,270700,35.700001,72.4287199127,3,2014
