Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,24.360001,24.65,23.99,24.459999,520300,24.459999,,1,2012
2012-01-04,24.4,24.92,24.299999,24.85,639400,24.85,,1,2012
2012-01-05,24.82,26.73,24.48,25.879999,1544500,25.879999,,1,2012
2012-01-06,25.860001,26.07,25.559999,25.68,361000,25.68,,1,2012
2012-01-09,26.940001,27.639999,25.9,26.540001,1484000,26.540001,,1,2012
2012-01-10,27.07,27.51,26.66,26.99,737300,26.99,,1,2012
2012-01-11,26.700001,27.01,26.309999,27.0,358300,27.0,,1,2012
2012-01-12,27.0,27.52,26.540001,26.709999,742800,26.709999,,1,2012
2012-01-13,26.33,26.73,26.309999,26.610001,410000,26.610001,,1,2012
2012-01-17,26.73,27.0,26.049999,26.129999,558100,26.129999,,1,2012
2012-01-18,26.08,26.440001,25.6,25.85,553500,25.85,,1,2012
2012-01-19,25.889999,26.26,25.309999,25.389999,367400,25.389999,,1,2012
2012-01-20,25.48,25.639999,24.74,25.42,410400,25.42,,1,2012
2012-01-23,24.709999,25.360001,24.559999,25.34,682000,25.34,,1,2012
2012-01-24,25.27,25.65,24.370001,25.52,511200,25.52,60.9504212912,1,2012
2012-01-25,25.65,25.99,25.530001,25.690001,395900,25.690001,62.3736755882,1,2012
2012-01-26,25.940001,26.09,25.379999,25.77,277700,25.77,63.0560569598,1,2012
2012-01-27,25.6,26.389999,25.6,26.290001,419100,26.290001,67.2178212952,1,2012
2012-01-30,25.709999,25.92,25.16,25.59,647100,25.59,57.781509425,1,2012
2012-01-31,25.77,26.07,25.440001,25.530001,211700,25.530001,57.0423379373,1,2012
2012-02-01,25.799999,25.98,25.51,25.860001,446800,25.860001,60.0680749776,1,2012
2012-02-02,26.01,26.34,25.82,26.290001,339400,26.290001,63.6599051941,1,2012
2012-02-03,26.77,27.18,26.200001,26.43,350300,26.43,64.7709650606,1,2012
2012-02-06,26.299999,27.610001,26.17,27.25,1017600,27.25,70.4665594152,1,2012
2012-02-07,27.25,27.25,26.32,26.440001,290600,26.440001,60.1257583094,1,2012
2012-02-08,26.440001,26.83,25.639999,26.41,356400,26.41,59.775867178,1,2012
2012-02-09,26.379999,26.52,25.440001,25.82,416000,25.82,53.2170687838,1,2012
2012-02-10,25.629999,26.059999,25.07,25.440001,626600,25.440001,49.453413849,1,2012
2012-02-13,25.719999,26.540001,25.719999,26.459999,547800,26.459999,58.0330325479,1,2012
2012-02-14,26.370001,26.52,26.07,26.5,365100,26.5,58.3317343166,1,2012
2012-02-15,26.639999,27.049999,26.33,26.48,399900,26.48,58.109035605,1,2012
2012-02-16,27.629999,27.629999,26.43,27.129999,704000,27.129999,63.0468188587,1,2012
2012-02-17,26.200001,26.5,25.4,25.73,737600,25.73,49.510301238,1,2012
2012-02-21,25.73,25.91,24.799999,25.08,447700,25.08,44.7104963836,1,2012
2012-02-22,24.959999,25.15,24.59,25.07,453200,25.07,44.6387975936,1,2012
2012-02-23,25.200001,26.450001,25.030001,26.27,465200,26.27,54.1422427962,1,2012
2012-02-24,26.209999,27.23,25.42,27.049999,475900,27.049999,59.0615550056,1,2012
2012-02-27,26.91,27.309999,26.66,26.809999,248400,26.809999,57.034204483,1,2012
2012-02-28,26.860001,27.65,26.5,27.49,525000,27.49,61.1077283886,1,2012
2012-02-29,27.5,27.74,26.16,26.16,534000,26.16,50.9359166955,1,2012
2012-03-01,26.41,27.450001,26.059999,27.07,602700,27.07,56.2962886456,1,2012
2012-03-02,26.92,27.33,26.26,26.58,472700,26.58,52.9422141202,1,2012
2012-03-05,26.610001,26.780001,26.219999,26.540001,468400,26.540001,52.6663697881,1,2012
2012-03-06,26.41,26.610001,25.52,25.709999,374000,25.709999,47.1737781293,1,2012
2012-03-07,25.84,25.99,25.110001,25.469999,356300,25.469999,45.6899572867,1,2012
2012-03-08,25.6,25.92,25.48,25.690001,313100,25.690001,47.3255708941,1,2012
2012-03-09,25.67,26.370001,25.67,25.84,262600,25.84,48.4651590552,1,2012
2012-03-12,25.83,25.92,25.33,25.389999,217800,25.389999,45.2989061245,1,2012
2012-03-13,25.65,25.66,25.139999,25.49,519100,25.49,46.140979547,1,2012
2012-03-14,25.5,25.639999,25.209999,25.52,264800,25.52,46.4075177205,1,2012
2012-03-15,25.84,26.690001,25.26,26.35,803200,26.35,53.2942449985,1,2012
2012-03-16,26.450001,27.41,26.43,26.85,613000,26.85,56.8882697241,1,2012
2012-03-19,26.83,27.299999,26.440001,27.059999,205000,27.059999,58.3383080228,1,2012
2012-03-20,26.9,27.219999,26.459999,26.76,228900,26.76,55.4680924648,1,2012
2012-03-21,26.879999,27.370001,26.85,26.950001,173800,26.950001,56.913926249,1,2012
2012-03-22,26.639999,26.73,26.07,26.57,181900,26.57,53.1940886585,1,2012
2012-03-23,26.719999,26.83,26.01,26.540001,300000,26.540001,52.9001416876,1,2012
2012-03-26,26.85,27.389999,26.809999,27.280001,254500,27.280001,58.9291869207,1,2012
2012-03-27,27.35,27.709999,26.950001,26.99,206900,26.99,55.9088066607,1,2012
2012-03-28,27.049999,27.629999,26.780001,27.620001,365200,27.620001,60.62972074,1,2012
2012-03-29,27.41,27.58,26.59,26.719999,277900,26.719999,52.0549384982,1,2012
2012-03-30,26.940001,27.01,26.540001,26.549999,227100,26.549999,50.5992392766,1,2012
2012-04-02,26.389999,27.059999,26.35,27.0,237300,27.0,54.2466280679,2,2012
2012-04-03,26.9,27.17,26.35,26.540001,223700,26.540001,50.1689622361,2,2012
2012-04-04,26.370001,26.370001,25.9,26.030001,217400,26.030001,46.0371088907,2,2012
2012-04-05,25.91,26.610001,25.91,26.32,319000,26.32,48.6279892184,2,2012
2012-04-09,25.860001,26.09,24.98,24.98,376000,24.98,39.2504347212,2,2012
2012-04-10,24.969999,25.190001,24.4,24.610001,392000,24.610001,37.1217462038,2,2012
2012-04-11,24.870001,25.0,24.51,24.620001,350900,24.620001,37.2208447417,2,2012
2012-04-12,24.59,25.17,24.57,24.639999,280900,24.639999,37.4332092329,2,2012
2012-04-13,24.549999,24.67,23.41,24.25,476600,24.25,34.9502033233,2,2012
2012-04-16,24.34,24.52,23.5,24.27,374000,24.27,35.1876301449,2,2012
2012-04-17,24.43,24.93,24.290001,24.33,379800,24.33,35.9429943607,2,2012
2012-04-18,24.24,24.99,24.18,24.379999,389500,24.379999,36.6060365475,2,2012
2012-04-19,24.309999,25.0,24.08,24.309999,267700,24.309999,36.0435355231,2,2012
2012-04-20,24.0,25.16,24.0,24.85,274500,24.85,43.2838666875,2,2012
2012-04-23,24.6,24.83,24.120001,24.52,330200,24.52,40.2826582163,2,2012
2012-04-24,24.530001,24.83,24.18,24.389999,222200,24.389999,39.1315540007,2,2012
2012-04-25,24.84,25.290001,24.719999,25.1,581400,25.1,47.8897840172,2,2012
2012-04-26,25.139999,25.370001,24.93,25.09,386100,25.09,47.785493234,2,2012
2012-04-27,25.059999,25.51,24.959999,25.290001,417100,25.290001,50.1248893939,2,2012
2012-04-30,25.290001,25.43,24.75,25.24,283400,25.24,49.527455557,2,2012
2012-05-01,25.200001,25.530001,24.790001,24.969999,384400,24.969999,46.3171277919,2,2012
2012-05-02,24.440001,25.52,24.25,25.52,458200,25.52,53.0002808914,2,2012
2012-05-03,25.52,25.700001,23.83,23.99,846100,23.99,38.6030270365,2,2012
2012-05-04,24.01,24.16,23.450001,23.52,613200,23.52,35.4199944128,2,2012
2012-05-07,23.5,24.360001,23.360001,24.26,263900,24.26,43.3414298097,2,2012
2012-05-08,24.01,24.280001,23.6,23.969999,393100,23.969999,41.2081800753,2,2012
2012-05-09,23.620001,24.01,23.4,23.68,157200,23.68,39.1338732872,2,2012
2012-05-10,23.84,24.0,23.51,23.73,251000,23.73,39.6974890588,2,2012
2012-05-11,23.629999,24.549999,23.620001,23.92,246700,23.92,41.8991880978,2,2012
2012-05-14,23.65,24.07,23.5,23.59,210000,23.59,39.2207392648,2,2012
2012-05-15,23.629999,23.790001,23.32,23.360001,186600,23.360001,37.4250277435,2,2012
2012-05-16,23.389999,23.48,23.120001,23.219999,418800,23.219999,36.3345091695,2,2012
2012-05-17,23.34,23.6,22.91,22.91,310800,22.91,33.9738848197,2,2012
2012-05-18,22.4,22.639999,21.040001,21.66,659200,21.66,26.4981009314,2,2012
2012-05-21,21.620001,22.15,21.52,22.049999,840700,22.049999,31.5583312233,2,2012
2012-05-22,22.15,22.43,21.969999,22.27,634800,22.27,34.3058718335,2,2012
