Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-02-07,1.21,1.21,1.21,1.21,0,1.21,,1,2012
2012-02-08,1.21,1.21,1.21,1.21,0,1.21,,1,2012
2012-02-09,1.21,1.21,1.21,1.21,0,1.21,,1,2012
2012-02-10,1.21,1.21,1.21,1.21,0,1.21,,1,2012
2012-02-13,1.21,1.21,1.21,1.21,0,1.21,,1,2012
2012-02-14,1.65,1.65,1.65,1.65,1000,1.65,,1,2012
2012-02-15,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-16,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-17,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-21,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-22,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-23,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-24,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-27,1.65,1.65,1.65,1.65,0,1.65,,1,2012
2012-02-28,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-02-29,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-01,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-02,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-05,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-06,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-07,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-08,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-09,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-12,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-13,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-14,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-15,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-16,1.65,1.65,1.65,1.65,0,1.65,100.0,1,2012
2012-03-19,2.18,2.18,2.18,2.18,600,2.18,100.0,1,2012
2012-03-20,2.18,2.18,2.18,2.18,0,2.18,100.0,1,2012
2012-03-21,2.18,2.18,2.18,2.18,0,2.18,100.0,1,2012
2012-03-22,2.13,2.13,2.09,2.1,8000,2.1,87.2849561967,1,2012
2012-03-23,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,1,2012
2012-03-26,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,1,2012
2012-03-27,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,1,2012
2012-03-28,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,1,2012
2012-03-29,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,1,2012
2012-03-30,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,1,2012
2012-04-02,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,2,2012
2012-04-03,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,2,2012
2012-04-04,2.1,2.1,2.1,2.1,0,2.1,87.2849561967,2,2012
2012-04-05,2.11,2.11,2.11,2.11,1000,2.11,87.6952980411,2,2012
2012-04-09,2.11,2.11,2.11,2.11,0,2.11,87.6952980411,2,2012
2012-04-10,2.11,2.11,2.11,2.11,0,2.11,87.6952980411,2,2012
2012-04-11,2.11,2.11,2.11,2.11,1000,2.11,87.6952980411,2,2012
2012-04-12,2.11,2.11,2.11,2.11,0,2.11,87.6952980411,2,2012
2012-04-13,2.18,2.18,2.16,2.16,200,2.16,90.0264523995,2,2012
2012-04-16,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-17,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-18,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-19,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-20,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-23,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-24,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-25,2.16,2.16,2.16,2.16,0,2.16,90.0264523995,2,2012
2012-04-26,2.25,2.25,2.25,2.25,3000,2.25,94.0077492843,2,2012
2012-04-27,2.28,2.28,2.28,2.28,500,2.28,94.7587996914,2,2012
