Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.52,3.55,3.47,3.48,47800,3.48,,1,2012
2012-01-04,3.49,3.57,3.49,3.51,22800,3.51,,1,2012
2012-01-05,3.49,3.5,3.37,3.44,33600,3.44,,1,2012
2012-01-06,3.45,3.48,3.37,3.37,41000,3.37,,1,2012
2012-01-09,3.37,3.44,3.37,3.43,23200,3.43,,1,2012
2012-01-10,3.48,3.6,3.41,3.55,30000,3.55,,1,2012
2012-01-11,3.56,3.56,3.48,3.54,14300,3.54,,1,2012
2012-01-12,3.56,3.71,3.36,3.66,58500,3.66,,1,2012
2012-01-13,3.62,3.62,3.41,3.59,42300,3.59,,1,2012
2012-01-17,3.67,3.67,3.41,3.58,54800,3.58,,1,2012
2012-01-18,3.69,3.77,3.56,3.7,68000,3.7,,1,2012
2012-01-19,3.73,4.22,3.73,4.12,167000,4.12,,1,2012
2012-01-20,4.13,4.15,3.91,3.96,74200,3.96,,1,2012
2012-01-23,3.87,3.87,3.68,3.72,38800,3.72,,1,2012
2012-01-24,3.97,4.09,3.85,4.02,118500,4.02,65.0,1,2012
2012-01-25,4.04,4.04,3.8,3.86,194200,3.86,59.3213728549,1,2012
2012-01-26,3.89,3.89,3.4,3.43,180300,3.43,47.349137931,1,2012
2012-01-27,3.42,3.45,3.24,3.31,173500,3.31,44.641442981,1,2012
2012-01-30,3.27,3.4,3.17,3.24,115400,3.24,43.09334191,1,2012
2012-01-31,3.28,3.35,3.25,3.31,46200,3.31,45.1420739299,1,2012
2012-02-01,3.34,3.34,3.18,3.26,145900,3.26,43.9256173962,1,2012
2012-02-02,3.24,3.31,3.17,3.27,73800,3.27,44.2491968184,1,2012
2012-02-03,3.26,3.45,3.22,3.43,86500,3.43,49.2912135014,1,2012
2012-02-06,3.39,3.55,3.28,3.41,28800,3.41,48.6983400488,1,2012
2012-02-07,3.4,3.41,3.3,3.31,33800,3.31,45.7361892892,1,2012
2012-02-08,3.26,3.3,3.2,3.23,63600,3.23,43.4587595037,1,2012
2012-02-09,3.25,3.31,3.2,3.24,65500,3.24,43.8352409826,1,2012
2012-02-10,3.25,3.38,3.24,3.24,67900,3.24,43.8352409826,1,2012
2012-02-13,3.34,3.57,3.34,3.5,110400,3.5,53.2264468394,1,2012
2012-02-14,3.49,3.56,3.42,3.44,51000,3.44,51.1028824048,1,2012
2012-02-15,3.47,3.49,3.36,3.41,58100,3.41,50.0281336353,1,2012
2012-02-16,3.4,3.49,3.26,3.32,125400,3.32,46.8451656057,1,2012
2012-02-17,3.33,3.36,3.25,3.28,70100,3.28,45.4607801596,1,2012
2012-02-21,3.3,3.45,3.26,3.33,52900,3.33,47.5474491226,1,2012
2012-02-22,3.32,3.47,3.32,3.37,33700,3.37,49.2212407476,1,2012
2012-02-23,3.4,3.49,3.4,3.49,60200,3.49,53.9670425061,1,2012
2012-02-24,3.48,3.49,3.44,3.47,13800,3.47,53.076684381,1,2012
2012-02-27,3.46,3.49,3.4,3.42,22300,3.42,50.8193798127,1,2012
2012-02-28,3.42,3.44,3.29,3.34,31600,3.34,47.3495595065,1,2012
2012-02-29,3.35,3.38,3.24,3.24,53900,3.24,43.363896135,1,2012
2012-03-01,3.27,3.32,3.12,3.19,59300,3.19,41.4836433033,1,2012
2012-03-02,3.47,3.56,3.29,3.38,190900,3.38,50.3021290945,1,2012
2012-03-05,3.37,3.45,3.29,3.37,42500,3.37,49.8760989774,1,2012
2012-03-06,3.29,3.29,3.15,3.26,40900,3.26,45.3283050024,1,2012
2012-03-07,3.28,3.34,3.2,3.32,41200,3.32,48.1077255195,1,2012
2012-03-08,3.34,3.45,3.21,3.33,62500,3.33,48.5769524873,1,2012
2012-03-09,3.34,3.34,3.19,3.22,74800,3.22,43.8769893981,1,2012
2012-03-12,3.25,3.35,3.23,3.29,165300,3.29,47.3668914675,1,2012
2012-03-13,3.35,3.42,3.25,3.38,178900,3.38,51.5393379622,1,2012
2012-03-14,3.42,3.45,3.36,3.38,26200,3.38,51.5393379622,1,2012
2012-03-15,3.41,3.45,3.32,3.44,30400,3.44,54.3380870515,1,2012
2012-03-16,3.47,3.54,3.45,3.49,124100,3.49,56.5881090445,1,2012
2012-03-19,3.49,3.99,3.48,3.88,327500,3.88,69.2966917637,1,2012
2012-03-20,3.97,4.2,3.9,4.14,442300,4.14,74.6290424112,1,2012
2012-03-21,4.14,4.23,3.9,3.93,156500,3.93,64.8347709149,1,2012
2012-03-22,3.93,4.03,3.8,3.9,79100,3.9,63.5516205779,1,2012
2012-03-23,3.91,3.97,3.63,3.74,110800,3.74,57.0649423421,1,2012
2012-03-26,3.83,3.91,3.76,3.77,70500,3.77,57.9319717703,1,2012
2012-03-27,3.83,3.84,3.67,3.67,64500,3.67,54.0162683145,1,2012
