Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-10-17,7.0,8.91,7.0,8.55,0,8.55,,4,2013
2013-10-18,8.54,8.55,8.5,8.53,28400,8.53,,4,2013
2013-10-21,8.5,8.5,8.05,8.4,24500,8.4,,4,2013
2013-10-22,8.4,8.5,8.4,8.45,5100,8.45,,4,2013
2013-10-23,8.45,8.5,8.45,8.49,16900,8.49,,4,2013
2013-10-24,8.5,8.5,8.25,8.4,48100,8.4,,4,2013
2013-10-25,8.4,8.5,8.4,8.4,26000,8.4,,4,2013
2013-10-28,8.49,8.5,8.4,8.5,2500,8.5,,4,2013
2013-10-29,8.4,8.49,8.4,8.4,3000,8.4,,4,2013
2013-10-30,8.4,8.4,8.4,8.4,4700,8.4,,4,2013
2013-10-31,8.4,8.4,8.3,8.3,30100,8.3,,4,2013
2013-11-01,8.3,8.5,8.3,8.31,8200,8.31,,4,2013
2013-11-04,8.5,8.5,8.3,8.4,4500,8.4,,4,2013
2013-11-05,8.5,8.5,8.3,8.3,6500,8.3,,4,2013
2013-11-06,8.39,8.39,8.25,8.25,11500,8.25,32.9545454545,4,2013
2013-11-07,8.25,8.25,8.25,8.25,4500,8.25,32.9545454545,4,2013
2013-11-08,8.2,8.2,8.15,8.15,8100,8.15,29.1171577947,4,2013
2013-11-11,8.15,8.15,7.9,8.0,11500,8.0,24.5072622088,4,2013
2013-11-12,8.0,8.0,7.95,7.95,7000,7.95,23.1893280863,4,2013
2013-11-13,8.5,8.5,8.15,8.4,32500,8.4,49.5073905504,4,2013
2013-11-14,8.5,8.5,8.4,8.5,36200,8.5,53.3339263509,4,2013
2013-11-15,8.5,8.5,8.5,8.5,88800,8.5,53.3339263509,4,2013
2013-11-18,8.5,8.55,8.5,8.55,400,8.55,55.2983748552,4,2013
2013-11-19,8.6,8.6,8.15,8.15,3400,8.15,40.580839591,4,2013
2013-11-20,8.11,8.11,8.02,8.02,11800,8.02,37.1227888871,4,2013
2013-11-21,8.02,8.46,8.02,8.1,7000,8.1,40.4838504935,4,2013
2013-11-22,8.39,8.39,8.15,8.15,6100,8.15,42.5508092849,4,2013
2013-11-25,8.05,8.05,7.8,7.96,5200,7.96,37.2558807056,4,2013
2013-11-26,7.96,7.96,7.6,7.95,11100,7.95,36.9949496299,4,2013
2013-11-27,7.99,7.99,7.94,7.95,2700,7.95,36.9949496299,4,2013
2013-11-29,7.9,8.0,7.9,8.0,3000,8.0,39.4539367383,4,2013
2013-12-02,7.9,8.02,7.9,7.95,6000,7.95,37.862551064,4,2013
2013-12-03,8.1,8.1,7.96,7.96,2500,7.96,38.3977269256,4,2013
2013-12-04,8.0,8.0,7.67,7.67,5100,7.67,30.2586474344,4,2013
2013-12-05,7.75,7.77,7.4,7.4,6000,7.4,24.9549682537,4,2013
2013-12-06,7.85,7.85,7.41,7.41,7000,7.41,25.4759769179,4,2013
2013-12-09,7.42,7.46,7.11,7.15,5200,7.15,21.3296402543,4,2013
2013-12-10,7.2,8.15,7.2,8.15,3900,8.15,53.0082742032,4,2013
2013-12-11,7.66,7.74,7.26,7.3,4200,7.3,38.7316646686,4,2013
2013-12-12,7.55,7.55,7.16,7.2,27100,7.2,37.4536343958,4,2013
2013-12-13,7.25,7.3,7.21,7.21,2600,7.21,37.675107605,4,2013
2013-12-16,7.31,7.75,7.21,7.75,2300,7.75,48.3175367464,4,2013
2013-12-17,7.55,7.7,7.3,7.3,4700,7.3,41.8970736066,4,2013
2013-12-18,7.22,7.3,7.2,7.21,7500,7.21,40.7313253042,4,2013
2013-12-19,7.45,7.45,7.21,7.21,2800,7.21,40.7313253042,4,2013
2013-12-20,7.4,7.4,7.21,7.21,5400,7.21,40.7313253042,4,2013
2013-12-23,7.22,7.22,6.8,6.8,20900,6.8,35.1643522283,4,2013
2013-12-24,6.75,7.0,6.7,6.85,61400,6.85,36.3076223975,4,2013
2013-12-26,6.8,6.9,6.52,6.87,51000,6.87,36.7877766265,4,2013
2013-12-27,6.95,6.95,6.8,6.85,12300,6.85,36.4915187407,4,2013
2013-12-30,6.85,7.25,6.85,7.25,7700,7.25,45.8789592345,4,2013
2013-12-31,7.25,7.95,7.25,7.8,17800,7.8,55.5976691589,4,2013
2014-01-02,7.8,7.8,7.5,7.5,9900,7.5,50.2926136237,1,2014
2014-01-03,7.85,7.85,7.52,7.85,3700,7.85,55.6138472422,1,2014
2014-01-06,7.85,7.85,7.85,7.85,0,7.85,55.6138472422,1,2014
2014-01-07,7.95,8.01,7.95,8.0,1500,8.0,57.8562673418,1,2014
2014-01-08,7.56,7.56,7.5,7.5,3200,7.5,48.9744390484,1,2014
2014-01-09,7.94,7.94,7.5,7.5,3700,7.5,48.9744390484,1,2014
2014-01-10,7.76,7.99,7.76,7.99,200,7.99,56.5547898828,1,2014
2014-01-13,7.64,7.64,7.55,7.56,2800,7.56,49.592184011,1,2014
2014-01-14,7.56,7.56,7.56,7.56,0,7.56,49.592184011,1,2014
2014-01-15,7.56,7.56,7.56,7.56,0,7.56,49.592184011,1,2014
2014-01-16,7.8,7.95,7.65,7.95,8400,7.95,55.7616994481,1,2014
2014-01-17,7.95,8.5,7.95,8.5,1700,8.5,62.6958476022,1,2014
2014-01-21,8.49,8.85,8.1,8.1,2800,8.1,55.8405494247,1,2014
2014-01-22,8.3,8.3,8.3,8.3,1000,8.3,58.2959400609,1,2014
2014-01-23,8.3,8.3,8.3,8.3,0,8.3,58.2959400609,1,2014
2014-01-24,8.3,8.3,8.3,8.3,0,8.3,58.2959400609,1,2014
2014-01-27,8.3,8.85,8.3,8.797,34400,8.797,64.4337743214,1,2014
2014-01-28,8.77,8.77,8.5,8.6,4000,8.6,60.6250177174,1,2014
2014-01-29,8.55,8.55,8.55,8.55,500,8.55,59.6610794603,1,2014
2014-01-30,8.37,8.55,8.14,8.55,2900,8.55,59.6610794603,1,2014
2014-01-31,8.6,8.6,8.6,8.6,6900,8.6,60.3914704797,1,2014
2014-02-03,8.6,8.6,8.2,8.2,16200,8.2,52.2420612538,1,2014
2014-02-04,8.4,8.4,8.4,8.4,10800,8.4,55.4771636643,1,2014
2014-02-05,8.45,8.45,8.4,8.4,8600,8.4,55.4771636643,1,2014
2014-02-06,8.4,8.4,8.4,8.4,3300,8.4,55.4771636643,1,2014
2014-02-07,8.4,9.15,8.4,8.7,9800,8.7,60.4911398663,1,2014
2014-02-10,8.4,8.6,8.4,8.4,7100,8.4,53.9483591043,1,2014
2014-02-11,8.4,8.42,8.37,8.4,4700,8.4,53.9483591043,1,2014
2014-02-12,8.27,8.45,8.21,8.4,4300,8.4,53.9483591043,1,2014
2014-02-13,8.4,8.4,8.4,8.4,100,8.4,53.9483591043,1,2014
2014-02-14,8.4,8.5,8.4,8.5,15700,8.5,56.078298445,1,2014
2014-02-18,8.7,8.7,8.4,8.4,4700,8.4,53.417626115,1,2014
2014-02-19,8.4,8.55,8.4,8.5,4600,8.5,55.6820657993,1,2014
2014-02-20,8.6,8.6,8.6,8.6,700,8.6,57.8867316325,1,2014
2014-02-21,8.5,8.5,8.4,8.5,2500,8.5,54.9432438129,1,2014
2014-02-24,9.41,10.16,8.4,8.5,3300,8.5,54.9432438129,1,2014
2014-02-25,8.3,8.5,8.3,8.5,1100,8.5,54.9432438129,1,2014
2014-02-26,8.5,8.5,8.3,8.5,2800,8.5,54.9432438129,1,2014
2014-02-27,8.5,8.5,8.4,8.5,2600,8.5,54.9432438129,1,2014
2014-02-28,8.45,8.51,8.45,8.51,2400,8.51,55.272686178,1,2014
2014-03-03,8.96,9.99,8.96,9.0,2400,9.0,67.725341021,1,2014
2014-03-04,8.8,8.9,8.51,8.51,2000,8.51,52.1032647411,1,2014
2014-03-05,8.65,8.65,8.65,8.65,300,8.65,55.2774396296,1,2014
2014-03-06,9.45,9.45,8.85,8.85,5000,8.85,59.4152834973,1,2014
2014-03-07,8.9,8.9,8.9,8.9,400,8.9,60.4016741711,1,2014
2014-03-10,8.75,8.75,8.31,8.31,1600,8.31,46.148521848,1,2014
2014-03-11,8.6,8.95,8.6,8.9,9600,8.9,57.0605025821,1,2014
2014-03-12,8.75,8.75,8.75,8.75,100,8.75,54.0612307995,1,2014
2014-03-13,8.75,8.9,8.42,8.42,6900,8.42,48.07434506,1,2014
2014-03-14,8.95,8.95,8.6,8.9,7200,8.9,55.750374339,1,2014
2014-03-17,8.9,8.9,8.5,8.5,9600,8.5,49.2205096339,1,2014
2014-03-18,8.5,8.5,8.5,8.5,500,8.5,49.2205096339,1,2014
2014-03-19,8.5,8.5,8.5,8.5,1200,8.5,49.2205096339,1,2014
2014-03-20,8.4,8.5,8.4,8.5,4300,8.5,49.2205096339,1,2014
2014-03-21,8.55,8.55,8.4,8.5,1200,8.5,49.2205096339,1,2014
2014-03-24,8.35,8.35,8.35,8.35,1800,8.35,46.2762937651,1,2014
2014-03-25,7.75,8.35,7.58,8.3,17600,8.3,45.3035044981,1,2014
2014-03-26,8.3,8.3,8.3,8.3,1000,8.3,45.3035044981,1,2014
2014-03-27,8.0,8.35,8.0,8.35,2600,8.35,46.6052559675,1,2014
2014-03-28,8.35,8.35,8.35,8.35,0,8.35,46.6052559675,1,2014
2014-03-31,8.4,8.4,7.75,8.35,32300,8.35,46.6052559675,1,2014
2014-04-01,7.75,8.3,7.75,8.25,2100,8.25,43.9900433036,2,2014
2014-04-02,7.6,8.3,7.6,8.3,1900,8.3,45.6327651978,2,2014
2014-04-03,8.0,8.2,8.0,8.2,4800,8.2,42.9214038195,2,2014
2014-04-04,8.3,8.3,8.2,8.3,2100,8.3,46.3540737869,2,2014
2014-04-07,8.3,8.3,8.0,8.25,10400,8.25,44.9000864248,2,2014
2014-04-08,8.2,8.35,7.99,8.35,6000,8.35,48.387040032,2,2014
2014-04-09,8.35,8.35,8.35,8.35,0,8.35,48.387040032,2,2014
2014-04-10,8.1,8.31,8.0,8.2,5900,8.2,43.5883140774,2,2014
2014-04-11,7.85,8.2,7.5,8.05,7100,8.05,39.3821956035,2,2014
2014-04-14,8.15,8.15,7.5,8.0,2400,8.0,38.0636789485,2,2014
2014-04-15,8.0,8.0,8.0,8.0,0,8.0,38.0636789485,2,2014
2014-04-16,8.0,8.0,8.0,8.0,0,8.0,38.0636789485,2,2014
2014-04-17,8.0,8.0,8.0,8.0,0,8.0,38.0636789485,2,2014
2014-04-21,8.0,8.0,8.0,8.0,0,8.0,38.0636789485,2,2014
2014-04-22,7.75,8.3,7.0,7.75,8100,7.75,30.6352008358,2,2014
2014-04-23,7.75,7.9,7.1,7.7,19700,7.7,29.3994170723,2,2014
2014-04-24,7.75,7.75,7.0,7.75,1100,7.75,32.3387349095,2,2014
2014-04-25,7.75,7.75,7.0,7.7,4400,7.7,30.9510271617,2,2014
2014-04-28,7.54,7.65,7.05,7.53,7800,7.53,26.7482700954,2,2014
2014-04-29,7.53,7.53,6.99,7.4,7200,7.4,24.0579890163,2,2014
2014-04-30,7.75,7.75,6.76,7.75,10200,7.75,41.2038782344,2,2014
2014-05-01,7.5,7.5,7.5,7.5,5700,7.5,35.1067516125,2,2014
2014-05-02,7.5,7.5,7.5,7.5,0,7.5,35.1067516125,2,2014
2014-05-05,7.5,7.5,7.5,7.5,0,7.5,35.1067516125,2,2014
2014-05-06,7.3,7.5,7.01,7.5,10600,7.5,35.1067516125,2,2014
2014-05-07,7.5,7.5,7.5,7.5,0,7.5,35.1067516125,2,2014
2014-05-08,7.45,7.75,7.0,7.45,4200,7.45,33.6636346338,2,2014
2014-05-09,7.45,7.45,7.3,7.35,1600,7.35,30.9255723972,2,2014
2014-05-12,7.25,7.3,7.05,7.3,2600,7.3,29.6279778556,2,2014
2014-05-13,7.3,7.3,7.3,7.3,0,7.3,29.6279778556,2,2014
2014-05-14,7.6,7.6,7.45,7.5,8900,7.5,41.0939420603,2,2014
2014-05-15,7.5,7.5,7.39,7.39,14000,7.39,37.4771428597,2,2014
2014-05-16,7.5,7.5,7.15,7.5,3800,7.5,42.8901920859,2,2014
2014-05-19,7.75,8.5,7.26,8.45,3700,8.45,68.3642099421,2,2014
2014-05-20,8.45,8.45,8.45,8.45,0,8.45,68.3642099421,2,2014
2014-05-21,8.38,8.38,7.18,8.0,3800,8.0,54.909047761,2,2014
2014-05-22,8.0,8.35,8.0,8.05,6000,8.05,55.9465341161,2,2014
2014-05-23,8.08,8.5,7.16,8.5,6800,8.5,63.9794091659,2,2014
2014-05-27,8.5,8.75,8.5,8.75,1800,8.75,67.5225251046,2,2014
2014-05-28,8.75,9.0,8.6,8.75,11500,8.75,67.5225251046,2,2014
2014-05-29,8.75,8.75,8.75,8.75,600,8.75,67.5225251046,2,2014
2014-05-30,8.75,8.75,8.75,8.75,2900,8.75,67.5225251046,2,2014
2014-06-02,8.75,8.75,8.75,8.75,0,8.75,67.5225251046,2,2014
2014-06-03,9.5,9.5,9.5,9.5,500,9.5,77.2478111977,2,2014
2014-06-04,9.01,9.25,9.01,9.25,5000,9.25,69.7501049012,2,2014
2014-06-05,9.25,9.26,9.05,9.25,1800,9.25,69.7501049012,2,2014
2014-06-06,9.06,9.2,9.02,9.2,700,9.2,68.2143657734,2,2014
2014-06-09,9.2,9.2,9.2,9.2,0,9.2,68.2143657734,2,2014
2014-06-10,9.21,9.21,9.11,9.21,4300,9.21,68.3758724571,2,2014
2014-06-11,9.2,9.2,9.11,9.11,900,9.11,64.8284730117,2,2014
2014-06-12,9.11,9.11,9.11,9.11,0,9.11,64.8284730117,2,2014
2014-06-13,9.0,9.1,8.9,9.1,800,9.1,64.4407361661,2,2014
2014-06-16,9.1,9.1,9.1,9.1,0,9.1,64.4407361661,2,2014
2014-06-17,9.3,9.95,9.3,9.59,7300,9.59,73.4610316439,2,2014
2014-06-18,9.59,9.6,9.58,9.6,7300,9.6,73.6081700713,2,2014
2014-06-19,9.45,9.8,9.45,9.8,3500,9.8,76.4235393115,2,2014
2014-06-20,9.99,9.99,8.5,9.95,14900,9.95,78.2937740666,2,2014
2014-06-23,9.9,9.9,9.5,9.9,1100,9.9,76.1260003056,2,2014
2014-06-24,9.74,9.9,9.3,9.3,19500,9.3,56.0652756126,2,2014
2014-06-25,9.8,9.85,9.2,9.45,29200,9.45,58.9758449041,2,2014
2014-06-26,9.3,9.5,9.1,9.5,25300,9.5,59.9287858046,2,2014
2014-06-27,9.45,9.45,9.4,9.4,600,9.4,57.073337696,2,2014
2014-06-30,9.65,9.75,9.65,9.75,8100,9.75,63.6089477818,2,2014
2014-07-01,9.65,9.65,9.65,9.65,600,9.65,60.7624495089,3,2014
2014-07-02,9.7,9.7,9.7,9.7,100,9.7,61.6856766448,3,2014
2014-07-03,9.7,9.7,9.7,9.7,0,9.7,61.6856766448,3,2014
2014-07-07,9.75,10.5,9.7,10.5,1700,10.5,73.3300892391,3,2014
2014-07-08,10.5,10.5,10.5,10.5,0,10.5,73.3300892391,3,2014
2014-07-09,10.5,10.5,10.5,10.5,0,10.5,73.3300892391,3,2014
