Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-06-25,25.16,26.75,25.0,25.75,6157700,25.75,,2,2014
2014-06-26,25.9,25.98,25.5,25.559999,258200,25.559999,,2,2014
2014-06-27,25.51,25.690001,25.08,25.299999,145300,25.299999,,2,2014
2014-06-30,26.48,26.48,25.370001,25.370001,116100,25.370001,,2,2014
2014-07-01,25.5,25.540001,25.0,25.1,212400,25.1,,3,2014
2014-07-02,25.0,25.549999,24.764999,25.209999,91300,25.209999,,3,2014
2014-07-03,25.07,25.4,25.07,25.33,24300,25.33,,3,2014
2014-07-07,25.18,26.0,25.18,26.0,36700,26.0,,3,2014
2014-07-08,25.84,26.24,25.1,25.92,116500,25.92,,3,2014
2014-07-09,25.950001,26.049999,25.48,25.75,167600,25.75,,3,2014
2014-07-10,25.219999,25.5,25.110001,25.33,113600,25.33,,3,2014
2014-07-11,25.23,26.200001,25.209999,26.08,46300,26.08,,3,2014
2014-07-14,26.08,28.360001,26.08,27.15,288200,27.15,,3,2014
2014-07-15,27.5,28.33,26.129999,26.77,115800,26.77,,3,2014
2014-07-16,27.299999,27.4,25.9,26.559999,101000,26.559999,58.4905466556,3,2014
2014-07-17,26.889999,26.889999,25.200001,26.15,98400,26.15,53.5350534275,3,2014
2014-07-18,26.299999,26.549999,25.41,26.15,178400,26.15,53.5350534275,3,2014
2014-07-21,25.75,25.75,23.99,24.389999,459300,24.389999,37.6531640424,3,2014
2014-07-22,24.26,24.709999,23.35,24.459999,193200,24.459999,38.4354480615,3,2014
2014-07-23,24.66,24.66,23.42,24.040001,188300,24.040001,35.5530081776,3,2014
2014-07-24,23.889999,24.389999,23.559999,24.26,116300,24.26,38.1687478513,3,2014
2014-07-25,24.040001,24.365,23.76,24.030001,102000,24.030001,36.5007937265,3,2014
2014-07-28,23.85,24.27,23.764999,24.200001,148500,24.200001,38.63532387,3,2014
2014-07-29,24.25,24.360001,23.93,24.309999,60900,24.309999,40.0398102906,3,2014
2014-07-30,24.200001,24.959999,23.9,24.25,147800,24.25,39.5086384203,3,2014
2014-07-31,24.25,26.190001,23.91,25.74,77800,25.74,55.3499718,3,2014
2014-08-01,26.1,26.879999,25.219999,26.879999,208500,26.879999,63.2744333791,3,2014
2014-08-04,26.959999,28.559999,26.405001,26.639999,94100,26.639999,60.8268645603,3,2014
2014-08-05,26.629999,27.028,25.58,25.639999,57800,25.639999,51.8305275171,3,2014
2014-08-06,25.32,25.655001,24.82,25.290001,77200,25.290001,49.0937067456,3,2014
2014-08-07,26.43,26.43,24.6,24.620001,79800,24.620001,44.2741721594,3,2014
2014-08-08,24.709999,26.58,23.875999,25.790001,127200,25.790001,52.9588371192,3,2014
2014-08-11,26.049999,26.688999,25.129999,25.879999,144500,25.879999,53.5584008937,3,2014
2014-08-12,25.719999,26.059999,25.35,25.719999,66700,25.719999,52.2825901975,3,2014
2014-08-13,25.700001,26.52,25.620001,25.92,49600,25.92,53.7651921314,3,2014
2014-08-14,25.879999,25.879999,25.0,25.139999,24800,25.139999,47.5589636611,3,2014
2014-08-15,25.129999,25.620001,24.15,24.4,21700,24.4,42.5417503217,3,2014
2014-08-18,24.450001,25.08,24.450001,24.83,31800,24.83,46.1000348805,3,2014
2014-08-19,24.91,27.219999,24.91,26.93,87400,26.93,59.3423997035,3,2014
2014-08-20,27.0,28.290001,26.290001,27.870001,178900,27.870001,63.647693026,3,2014
2014-08-21,27.35,28.290001,27.16,27.51,92600,27.51,60.9842772982,3,2014
2014-08-22,27.440001,27.860001,26.879999,27.5,91100,27.5,60.9080322158,3,2014
2014-08-25,27.860001,28.190001,26.74,28.049999,52100,28.049999,63.6033036319,3,2014
2014-08-26,27.459999,28.030001,27.129999,27.74,46100,27.74,61.0484123536,3,2014
2014-08-27,27.6,28.290001,27.516001,28.190001,68300,28.190001,63.3498857142,3,2014
2014-08-28,28.290001,29.33,27.709999,28.870001,88200,28.870001,66.564769154,3,2014
2014-08-29,28.75,28.879999,27.65,28.290001,48300,28.290001,61.6013189037,3,2014
2014-09-02,27.700001,28.256001,26.940001,28.0,35800,28.0,59.2234435572,3,2014
2014-09-03,28.23,28.25,27.02,27.98,60200,27.98,59.0541405741,3,2014
2014-09-04,27.43,28.040001,26.485001,26.83,51900,26.83,50.1725689709,3,2014
2014-09-05,26.860001,26.860001,25.450001,25.73,76600,25.73,43.4423082442,3,2014
2014-09-08,25.41,27.1,25.41,26.83,59300,26.83,50.5813670754,3,2014
2014-09-09,25.629999,27.01,25.57,25.93,51000,25.93,45.518760075,3,2014
2014-09-10,26.040001,26.559999,25.41,26.08,44500,26.08,46.480220474,3,2014
2014-09-11,26.110001,27.950001,25.57,27.85,77800,27.85,56.2839629382,3,2014
2014-09-12,27.85,28.610001,27.478001,28.01,89500,28.01,57.0498654726,3,2014
2014-09-15,27.42,28.139999,27.4,27.950001,69700,27.950001,56.6490595427,3,2014
2014-09-16,28.18,28.18,26.67,27.02,79700,27.02,50.7029019277,3,2014
2014-09-17,27.4,27.4,26.76,27.08,47300,27.08,51.0598144964,3,2014
2014-09-18,26.9,27.200001,26.34,27.059999,49100,27.059999,50.927448161,3,2014
2014-09-19,26.799999,27.450001,24.74,24.74,199100,24.74,38.4697360497,3,2014
2014-09-22,25.0,25.33,24.079,25.15,106200,25.15,41.206855833,3,2014
2014-09-23,24.969999,25.639999,24.813999,25.459999,48600,25.459999,43.261990297,3,2014
2014-09-24,25.459999,26.049999,25.063999,25.66,32200,25.66,44.6073011299,3,2014
2014-09-25,25.48,26.33,25.200001,25.57,53100,25.57,44.1005582505,3,2014
2014-09-26,25.504999,26.42,24.889999,26.26,56300,26.26,48.8939738443,3,2014
2014-09-29,26.309999,27.049999,25.67,26.040001,78200,26.040001,47.4955249336,3,2014
2014-09-30,26.0,26.09,24.51,24.9,491600,24.9,40.9581835329,3,2014
2014-10-01,25.200001,26.08,24.219999,25.01,186900,25.01,41.7907380904,4,2014
2014-10-02,24.93,27.450001,24.334,27.4,128700,27.4,56.2318611991,4,2014
2014-10-03,27.639999,27.669001,26.85,27.1,52100,27.1,54.4072363661,4,2014
2014-10-06,27.280001,27.280001,25.879999,26.040001,46500,26.040001,48.4278674155,4,2014
2014-10-07,25.879999,27.0,25.51,26.219999,79400,26.219999,49.4439264228,4,2014
2014-10-08,26.26,26.764999,25.860001,26.15,35200,26.15,49.0392975032,4,2014
2014-10-09,25.85,26.16,25.0,25.34,60900,25.34,44.5010128719,4,2014
2014-10-10,25.17,25.67,25.0,25.08,28700,25.08,43.1215350728,4,2014
2014-10-13,24.969999,25.629999,24.84,25.32,73300,25.32,44.8218696156,4,2014
2014-10-14,25.379999,25.459999,24.91,25.07,89300,25.07,43.3675338411,4,2014
2014-10-15,25.0,25.540001,24.82,25.200001,123100,25.200001,44.378207776,4,2014
2014-10-16,25.059999,26.700001,24.465,26.51,175400,26.51,53.4025698521,4,2014
2014-10-17,26.700001,26.700001,25.49,26.030001,118800,26.030001,50.189372843,4,2014
2014-10-20,25.91,26.34,25.860001,26.15,80000,26.15,50.9834089998,4,2014
2014-10-21,26.34,26.6,25.91,26.35,116500,26.35,52.3468823078,4,2014
2014-10-22,26.059999,27.48,26.059999,26.719999,124100,26.719999,54.849100523,4,2014
2014-10-23,26.671,27.219999,26.440001,26.75,104600,26.75,55.0551793519,4,2014
2014-10-24,26.67,27.549999,26.469999,27.459999,85200,27.459999,59.7385938805,4,2014
2014-10-27,27.32,27.48,26.969999,27.030001,32900,27.030001,55.936919839,4,2014
2014-10-28,26.959999,27.790001,26.389999,27.67,122400,27.67,60.0155007816,4,2014
2014-10-29,28.299999,33.099998,27.719999,32.23,459800,32.23,76.6205184041,4,2014
2014-10-30,32.009998,34.509998,31.93,32.77,412200,32.77,77.7964542112,4,2014
2014-10-31,33.25,34.029999,32.330002,33.18,143200,33.18,78.6735404192,4,2014
2014-11-03,33.25,35.93,33.25,34.73,229700,34.73,81.628180835,4,2014
2014-11-04,34.810001,35.18,34.099998,34.310001,102000,34.310001,78.456313535,4,2014
2014-11-05,34.73,35.0,34.09,34.450001,79800,34.450001,78.7526897274,4,2014
2014-11-06,34.259998,34.380001,33.174999,33.650002,76800,33.650002,72.6059920909,4,2014
2014-11-07,33.75,33.900002,32.299999,32.849998,86200,32.849998,66.9762956727,4,2014
2014-11-10,32.849998,33.616001,32.650002,33.41,58000,33.41,68.7999792926,4,2014
2014-11-11,33.529999,33.529999,32.695,32.849998,36000,32.849998,64.938022146,4,2014
2014-11-12,32.630001,33.540001,32.110001,33.459999,36600,33.459999,67.104158521,4,2014
2014-11-13,32.57,32.709999,31.1,31.48,77100,31.48,55.1862651654,4,2014
2014-11-14,31.32,32.389999,31.0,32.18,76600,32.18,58.0245940545,4,2014
2014-11-17,32.25,32.472,31.059999,31.24,73100,31.24,53.1558479769,4,2014
2014-11-18,31.040001,31.65,30.559999,31.059999,86800,31.059999,52.2517047646,4,2014
2014-11-19,30.93,31.200001,30.440001,30.719999,46900,30.719999,50.5042622815,4,2014
2014-11-20,30.700001,30.700001,30.35,30.530001,41000,30.530001,49.5078675068,4,2014
2014-11-21,30.889999,31.459999,30.648001,31.030001,157500,31.030001,52.1815192751,4,2014
2014-11-24,31.290001,32.279999,30.790001,31.9,85800,31.9,56.4979455598,4,2014
2014-11-25,32.029999,32.668999,31.610001,32.009998,66700,32.009998,57.0261277607,4,2014
2014-11-26,31.889999,31.889999,30.950001,31.16,62800,31.16,51.7929833389,4,2014
2014-11-28,31.48,31.48,30.4,30.440001,17400,30.440001,47.7922042491,4,2014
2014-12-01,30.639999,31.110001,30.4,30.809999,70600,30.809999,49.932537469,4,2014
2014-12-02,30.83,32.52,30.790001,32.099998,99200,32.099998,56.6113180098,4,2014
2014-12-03,32.259998,33.32,31.75,32.009998,100900,32.009998,56.0495569969,4,2014
2014-12-04,31.870001,32.490002,31.83,32.25,77500,32.25,57.2673274125,4,2014
2014-12-05,32.09,33.689999,32.09,33.220001,49300,33.220001,61.8662271557,4,2014
2014-12-08,33.009998,33.290001,31.875,32.02,79700,32.02,54.1082033247,4,2014
2014-12-09,31.950001,33.049999,31.370001,32.970001,41000,32.970001,58.5406830528,4,2014
2014-12-10,33.110001,34.821999,32.658001,33.709999,91100,33.709999,61.6480352586,4,2014
2014-12-11,34.860001,35.5,33.77,35.139999,158400,35.139999,66.8228786907,4,2014
2014-12-12,34.810001,37.919998,34.810001,36.5,162900,36.5,70.8511514903,4,2014
2014-12-15,36.810001,37.73,35.619999,37.509998,133400,37.509998,73.4311469913,4,2014
2014-12-16,37.630001,37.630001,36.945,37.0,56900,37.0,70.0590916745,4,2014
2014-12-17,36.959999,37.580002,36.93,37.439999,47000,37.439999,71.2842776688,4,2014
2014-12-18,37.650002,38.779999,37.650002,38.41,62300,38.41,73.8269829017,4,2014
2014-12-19,38.290001,38.330002,36.16,37.349998,263800,37.349998,66.8597517788,4,2014
2014-12-22,37.349998,38.282001,36.367001,36.68,226000,36.68,62.8240197361,4,2014
2014-12-23,37.0,37.580002,36.139999,36.91,63100,36.91,63.6354931186,4,2014
2014-12-24,37.470001,37.470001,36.32,36.790001,50400,36.790001,62.8644977409,4,2014
2014-12-26,37.099998,38.0,36.759998,37.02,24900,37.02,63.7705374994,4,2014
2014-12-29,36.919998,37.73,36.639999,37.5,52100,37.5,65.65390591,4,2014
2014-12-30,38.110001,38.110001,37.130001,37.869999,35900,37.869999,67.0747501356,4,2014
2014-12-31,38.215,38.215,37.040001,37.400002,42500,37.400002,63.4822198735,4,2014
2015-01-02,37.330002,38.5,37.25,37.990002,57200,37.990002,65.9478478333,1,2015
2015-01-05,37.900002,38.689999,37.110001,37.310001,65400,37.310001,60.8484930677,1,2015
2015-01-06,37.5,37.5,35.889999,36.389999,95800,36.389999,54.687297865,1,2015
2015-01-07,36.950001,37.07,36.240002,36.689999,65500,36.689999,56.2431847264,1,2015
2015-01-08,36.599998,37.153999,36.169998,36.66,95800,36.66,56.0359821044,1,2015
2015-01-09,36.900002,36.990002,35.529999,36.02,121700,36.02,51.6631379194,1,2015
2015-01-12,36.009998,36.860001,34.634998,36.669998,162500,36.669998,55.4643454752,1,2015
2015-01-13,36.57,37.639999,35.25,36.57,104200,36.57,54.7510012124,1,2015
2015-01-14,36.189999,36.779999,35.195,36.709999,88900,36.709999,55.6117406424,1,2015
2015-01-15,36.93,36.93,35.689999,36.130001,64700,36.130001,51.2612507089,1,2015
2015-01-16,35.84,36.119999,35.060001,35.529999,230300,35.529999,47.1518255405,1,2015
2015-01-20,35.43,35.785,31.959999,33.150002,423400,33.150002,35.1236467722,1,2015
2015-01-21,32.869999,33.049999,31.15,31.200001,133100,31.200001,28.670400611,1,2015
2015-01-22,31.23,33.25,31.01,32.639999,165200,32.639999,37.7639310026,1,2015
