Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-10-25,10.55,10.86,10.25,10.61,2678900,10.61,,4,2013
2013-10-28,10.5,10.7,10.32,10.55,157700,10.55,,4,2013
2013-10-29,10.41,10.55,10.31,10.53,94400,10.53,,4,2013
2013-10-30,10.53,10.53,10.32,10.4,78200,10.4,,4,2013
2013-10-31,10.45,10.54,10.38,10.5,61200,10.5,,4,2013
2013-11-01,10.5,10.52,10.46,10.5,35700,10.5,,4,2013
2013-11-04,10.49,10.84,10.49,10.82,36800,10.82,,4,2013
2013-11-05,11.0,12.08,10.85,11.51,123500,11.51,,4,2013
2013-11-06,11.57,12.03,10.84,10.93,63900,10.93,,4,2013
2013-11-07,10.76,11.28,10.4,10.42,120800,10.42,,4,2013
2013-11-08,10.68,11.0,10.38,10.89,60400,10.89,,4,2013
2013-11-11,11.3,11.3,10.88,10.88,19900,10.88,,4,2013
2013-11-12,10.63,11.039,10.63,10.67,39300,10.67,,4,2013
2013-11-13,10.75,10.99,10.5,10.51,38000,10.51,,4,2013
2013-11-14,10.51,10.63,10.45,10.58,212200,10.58,49.5495495495,4,2013
2013-11-15,10.61,10.72,10.61,10.7,2600,10.7,51.4342895264,4,2013
2013-11-18,10.76,10.76,10.5,10.61,13600,10.61,49.9277708593,4,2013
2013-11-19,11.0,11.88,10.8,11.45,168600,11.45,61.3163729585,4,2013
2013-11-20,12.04,12.5,11.38,11.84,103600,11.84,65.2663446945,4,2013
2013-11-21,12.0,12.43,11.6,11.6,57900,11.6,61.1296807027,4,2013
2013-11-22,12.179,12.299,11.621,11.64,34600,11.64,61.5669004804,4,2013
2013-11-25,11.64,11.75,11.25,11.25,38600,11.25,55.063576281,4,2013
2013-11-26,11.77,11.77,10.65,10.79,46000,10.79,48.5495271857,4,2013
2013-11-27,10.84,11.76,10.6,11.67,23900,11.67,58.6318805689,4,2013
2013-11-29,11.26,11.77,11.0,11.25,35600,11.25,53.2667527975,4,2013
2013-12-02,11.15,11.68,10.98,11.49,31200,11.49,55.7580586896,4,2013
2013-12-03,12.0,12.01,11.57,12.01,92400,12.01,60.6524188215,4,2013
2013-12-04,11.7,14.21,11.7,13.6,141900,13.6,71.1588068037,4,2013
2013-12-05,13.5,15.66,12.5,14.35,248800,14.35,74.6035526512,4,2013
2013-12-06,14.48,16.0,14.48,15.35,348200,15.35,78.3214515877,4,2013
2013-12-09,15.51,16.75,14.91,16.0,274000,16.0,80.3364915392,4,2013
2013-12-10,15.98,16.73,15.03,15.99,177700,15.99,80.2129624199,4,2013
2013-12-11,16.0,16.200001,14.62,14.93,97500,14.93,68.235673753,4,2013
2013-12-12,14.93,15.16,14.52,14.95,68400,14.95,68.3317567953,4,2013
2013-12-13,15.03,15.2,13.79,14.26,119000,14.26,61.4281176315,4,2013
2013-12-16,14.41,14.97,13.56,14.8,118600,14.8,64.4547933537,4,2013
2013-12-17,15.06,16.0,14.68,15.73,120800,15.73,68.9706632775,4,2013
2013-12-18,15.83,16.341999,15.83,16.08,131700,16.08,70.490150839,4,2013
2013-12-19,16.110001,16.879999,15.6,15.92,102400,15.92,68.8307780747,4,2013
2013-12-20,15.98,16.389999,15.1,16.389999,1195600,16.389999,70.9910534267,4,2013
2013-12-23,16.690001,17.639999,16.690001,17.075001,76600,17.075001,73.8371391083,4,2013
2013-12-24,17.0,17.780001,16.836,16.98,27400,16.98,72.7708027954,4,2013
2013-12-26,17.26,17.780001,16.794001,16.959999,32200,16.959999,72.5333020357,4,2013
2013-12-27,17.0,17.549999,17.0,17.379999,63900,17.379999,74.4211665981,4,2013
2013-12-30,17.4,18.308001,17.4,17.889999,86500,17.889999,76.5306272737,4,2013
2013-12-31,17.959999,18.5,17.65,17.959999,80500,17.959999,76.8132731757,4,2013
2014-01-02,17.92,18.030001,17.08,17.26,56100,17.26,67.9946638216,1,2014
2014-01-03,17.290001,17.690001,17.139999,17.530001,80000,17.530001,69.4514860456,1,2014
2014-01-06,17.66,18.200001,17.51,18.129999,39200,18.129999,72.4522972104,1,2014
2014-01-07,18.25,19.09,18.16,18.93,98400,18.93,75.8575910382,1,2014
2014-01-08,19.07,19.58,18.110001,18.299999,69600,18.299999,68.6596815745,1,2014
2014-01-09,18.65,20.25,18.58,19.99,221900,19.99,75.4023445536,1,2014
2014-01-10,19.99,20.25,19.51,19.82,73200,19.82,73.6850141357,1,2014
2014-01-13,19.860001,20.23,19.01,19.280001,68200,19.280001,68.3591010726,1,2014
2014-01-14,19.309999,21.274,19.309999,20.48,125100,20.48,73.0251249368,1,2014
2014-01-15,20.43,21.99,20.43,21.459999,99300,21.459999,76.1220115943,1,2014
2014-01-16,21.32,21.733999,20.75,21.139999,47900,21.139999,73.1681053453,1,2014
2014-01-17,21.049999,21.889999,20.559999,20.709999,67700,20.709999,69.2777999188,1,2014
2014-01-21,21.0,21.309999,20.76,20.92,138500,20.92,70.113545103,1,2014
2014-01-22,21.0,21.02,19.74,20.25,85500,20.25,64.1203858277,1,2014
2014-01-23,20.219999,20.6,19.629999,20.059999,31200,20.059999,62.4891224498,1,2014
2014-01-24,19.610001,20.26,18.586,18.709999,54300,18.709999,52.306764079,1,2014
2014-01-27,19.280001,19.5,15.74,16.74,134100,16.74,41.6431494768,1,2014
2014-01-28,16.73,17.059999,15.03,15.76,180100,15.76,37.5428244568,1,2014
2014-01-29,16.51,19.473,15.65,16.73,173100,16.73,43.4753910744,1,2014
2014-01-30,18.004,18.004,17.049999,17.91,83000,17.91,49.7308193153,1,2014
2014-01-31,17.9,18.74,17.540001,18.459999,72500,18.459999,52.3763149747,1,2014
2014-02-03,18.280001,18.34,16.610001,17.0,81900,17.0,45.526965956,1,2014
2014-02-04,16.610001,17.809999,16.5,17.07,35500,17.07,45.8923112399,1,2014
2014-02-05,17.1,18.83,16.870001,17.129999,52100,17.129999,46.2252245822,1,2014
2014-02-06,17.280001,18.709999,16.65,17.969999,53800,17.969999,50.7902512869,1,2014
2014-02-07,18.1,19.15,17.91,18.959999,130800,18.959999,55.5767270257,1,2014
2014-02-10,18.809999,18.860001,18.09,18.18,63700,18.18,51.3396969203,1,2014
2014-02-11,18.120001,18.6,18.049999,18.370001,60500,18.370001,52.293788442,1,2014
2014-02-12,18.48,18.709999,18.23,18.389999,57000,18.389999,52.3995776569,1,2014
2014-02-13,18.16,18.59,18.16,18.540001,68500,18.540001,53.2372263129,1,2014
2014-02-14,18.5,19.74,18.4,19.26,105300,19.26,57.1362903779,1,2014
2014-02-18,19.879999,21.299999,19.85,20.68,124500,20.68,63.5851101944,1,2014
2014-02-19,20.549999,21.540001,20.1,20.9,98800,20.9,64.4768155984,1,2014
2014-02-20,21.02,21.66,20.790001,21.25,50200,21.25,65.9071442123,1,2014
2014-02-21,21.389999,21.389999,20.351,21.040001,80200,21.040001,64.23591613,1,2014
2014-02-24,21.17,21.17,20.0,20.040001,124800,20.040001,56.8440257918,1,2014
2014-02-25,20.0,20.969999,20.0,20.57,34200,20.57,59.5038392448,1,2014
2014-02-26,21.83,21.83,20.59,21.33,74500,21.33,63.0231927213,1,2014
2014-02-27,21.16,24.91,21.011,24.49,167700,24.49,73.3815343204,1,2014
2014-02-28,25.0,27.149,22.49,22.969999,178400,22.969999,64.0824272737,1,2014
2014-03-03,22.969999,24.205,22.049999,23.370001,81400,23.370001,65.3276324831,1,2014
2014-03-04,23.959999,25.99,23.959999,24.92,72100,24.92,69.7098092848,1,2014
2014-03-05,24.66,25.16,24.32,24.639999,41900,24.639999,68.0369324383,1,2014
2014-03-06,24.629999,24.74,21.040001,22.559999,204500,22.559999,57.0788677197,1,2014
2014-03-07,22.780001,25.091,20.809999,21.0,111300,21.0,50.5083714821,1,2014
2014-03-10,21.0,22.726,19.530001,22.309999,248000,22.309999,55.1747198845,1,2014
2014-03-11,22.48,23.77,21.959999,22.41,85500,22.41,55.5194928538,1,2014
2014-03-12,22.18,22.993999,20.879999,21.91,96400,21.91,53.3115791802,1,2014
2014-03-13,22.09,22.09,20.291,20.700001,55300,20.700001,48.3051327961,1,2014
2014-03-14,20.540001,21.232,19.9,20.0,45900,20.0,45.6351652519,1,2014
2014-03-17,20.07,20.9,19.059999,20.780001,155600,20.780001,49.0167582142,1,2014
2014-03-18,20.780001,21.927999,20.43,21.889999,101300,21.889999,53.4538530874,1,2014
2014-03-19,21.5,23.969999,21.5,23.73,131400,23.73,59.7130199269,1,2014
2014-03-20,23.58,23.950001,22.549999,22.780001,89500,22.780001,55.5589251605,1,2014
2014-03-21,22.799999,22.879999,21.620001,22.540001,104900,22.540001,54.5268984534,1,2014
2014-03-24,22.67,22.879999,20.66,20.68,121800,20.68,47.2080933723,1,2014
2014-03-25,21.1,21.34,19.540001,20.200001,141600,20.200001,45.5104277988,1,2014
2014-03-26,20.34,22.76,19.959999,20.6,76400,20.6,47.2139891561,1,2014
2014-03-27,20.73,21.610001,19.959999,20.51,62900,20.51,46.8590076267,1,2014
2014-03-28,20.51,22.0,20.51,21.120001,36500,21.120001,49.6236229564,1,2014
2014-03-31,21.360001,21.450001,20.15,21.190001,127500,21.190001,49.9454339885,1,2014
2014-04-01,21.280001,22.6,21.280001,22.370001,44600,22.370001,55.1470003211,2,2014
2014-04-02,22.43,22.58,20.799999,21.17,66300,21.17,49.5121019362,2,2014
2014-04-03,21.1,21.42,19.85,19.969999,43700,19.969999,44.6039072402,2,2014
2014-04-04,20.120001,21.559999,18.75,19.059999,157100,19.059999,41.2633467866,2,2014
2014-04-07,19.0,19.74,18.030001,18.1,87500,18.1,38.0277037367,2,2014
2014-04-08,18.15,19.24,18.049999,19.059999,99000,19.059999,42.8535152928,2,2014
2014-04-09,19.08,19.252001,18.114,19.139999,147800,19.139999,43.2501052576,2,2014
2014-04-10,19.049999,19.049999,17.18,17.280001,90100,17.280001,36.8473659262,2,2014
2014-04-11,17.0,18.290001,16.940001,16.959999,67100,16.959999,35.863675714,2,2014
2014-04-14,17.08,17.58,16.190001,16.540001,145400,16.540001,34.5596086343,2,2014
2014-04-15,16.690001,16.766001,14.3,14.93,156500,14.93,30.0489673427,2,2014
2014-04-16,15.1,15.79,14.59,14.91,59400,14.91,29.9965916332,2,2014
2014-04-17,14.89,15.16,13.695,14.94,119100,14.94,30.1931422448,2,2014
2014-04-21,14.9,15.94,14.52,15.22,80600,15.22,32.1091099144,2,2014
2014-04-22,15.32,17.01,15.06,16.42,57900,16.42,39.7423695524,2,2014
2014-04-23,16.41,16.860001,15.72,16.209999,77800,16.209999,38.9177175941,2,2014
2014-04-24,16.309999,17.02,15.48,15.95,73900,15.95,37.8699929492,2,2014
2014-04-25,15.76,15.93,14.62,14.99,75600,14.99,34.2080440553,2,2014
2014-04-28,15.01,15.98,14.38,15.83,109400,15.83,39.7023191434,2,2014
2014-04-29,15.86,16.26,14.97,15.61,57800,15.61,38.7886882565,2,2014
2014-04-30,15.41,16.360001,15.01,15.66,49300,15.66,39.1315186918,2,2014
2014-05-01,15.62,15.93,14.81,15.25,77600,15.25,37.2873212959,2,2014
2014-05-02,15.36,15.36,14.97,15.1,45100,15.1,36.6075797665,2,2014
2014-05-05,15.01,15.83,14.98,15.42,31900,15.42,39.155846447,2,2014
2014-05-06,15.34,15.34,14.89,15.01,46600,15.01,37.0981632434,2,2014
2014-05-07,15.07,15.09,14.31,14.52,64900,14.52,34.7479463441,2,2014
2014-05-08,14.46,14.68,13.67,13.76,78100,13.76,31.42285643,2,2014
2014-05-09,13.73,15.44,13.66,14.85,66000,14.85,40.2533574604,2,2014
2014-05-12,14.93,15.88,14.62,15.32,67000,15.32,43.6243190062,2,2014
2014-05-13,15.25,15.54,14.29,15.28,69200,15.28,43.3998916696,2,2014
2014-05-14,15.2,16.799999,15.06,16.57,74200,16.57,51.9798471665,2,2014
2014-05-15,16.4,16.68,15.09,15.35,42700,15.35,45.0279304151,2,2014
2014-05-16,15.34,15.52,14.72,15.33,50600,15.33,44.9218629545,2,2014
2014-05-19,15.33,15.98,15.24,15.55,26700,15.55,46.4170789658,2,2014
2014-05-20,15.61,15.91,15.1,15.58,66800,15.58,46.6298470101,2,2014
2014-05-21,15.83,16.33,15.01,15.22,42500,15.22,44.3538221736,2,2014
2014-05-22,15.38,16.780001,15.18,15.87,686200,15.87,49.1773607891,2,2014
2014-05-23,15.89,16.09,15.55,15.95,68100,15.95,49.7546423372,2,2014
2014-05-27,16.0,16.16,15.61,15.84,52100,15.84,48.9316277986,2,2014
2014-05-28,15.73,15.88,15.29,15.38,61800,15.38,45.539210817,2,2014
2014-05-29,15.4,16.157,15.32,15.84,142700,15.84,49.322904453,2,2014
2014-05-30,15.91,16.040001,15.1,15.67,244700,15.67,47.9957823496,2,2014
2014-06-02,16.780001,16.780001,15.84,15.97,237200,15.97,50.5256586,2,2014
2014-06-03,16.07,16.76,15.55,15.68,198400,15.68,48.0902108397,2,2014
2014-06-04,15.72,15.83,14.55,14.8,151100,14.8,41.5458942047,2,2014
2014-06-05,14.8,15.64,14.405,15.6,107400,15.6,48.4181111648,2,2014
2014-06-06,15.79,16.75,15.01,16.49,357500,16.49,54.7865655362,2,2014
2014-06-09,16.5,17.209999,16.42,16.73,335400,16.73,56.3515552683,2,2014
2014-06-10,16.74,17.24,16.58,17.190001,65000,17.190001,59.2621035755,2,2014
2014-06-11,17.16,18.219999,16.799999,17.549999,91300,17.549999,61.4297313047,2,2014
2014-06-12,17.59,17.75,17.16,17.51,161700,17.51,61.0410960891,2,2014
2014-06-13,17.59,17.799999,17.200001,17.41,81200,17.41,60.0187775641,2,2014
2014-06-16,17.459999,19.440001,17.42,19.07,170200,19.07,69.2310921436,2,2014
2014-06-17,19.139999,19.450001,18.0,18.65,148900,18.65,65.1413552747,2,2014
2014-06-18,18.780001,19.105,18.077999,18.870001,117300,18.870001,66.265515737,2,2014
2014-06-19,18.99,20.280001,18.9,20.15,358100,20.15,71.9361834584,2,2014
2014-06-20,20.32,20.5,19.620001,19.719999,175700,19.719999,67.8122397149,2,2014
2014-06-23,19.68,21.0,19.66,20.59,210900,20.59,71.3863911184,2,2014
2014-06-24,20.610001,21.370001,20.26,21.030001,210400,21.030001,73.0182085338,2,2014
2014-06-25,28.85,29.709999,26.27,26.98,5045000,26.98,85.2599899322,2,2014
2014-06-26,26.98,27.950001,26.311001,26.98,841700,26.98,85.2599899322,2,2014
2014-06-27,26.52,27.1,25.32,26.58,703000,26.58,82.3470317288,2,2014
2014-06-30,26.0,26.27,24.5,24.77,354500,24.77,70.5937650974,2,2014
2014-07-01,24.719999,25.889999,24.51,25.059999,239500,25.059999,71.3005492979,3,2014
2014-07-02,24.65,25.0,23.75,23.99,238900,23.99,65.0847340177,3,2014
2014-07-03,25.450001,25.450001,24.5,25.309999,198500,25.309999,68.708846817,3,2014
2014-07-07,25.290001,25.950001,24.91,25.5,261500,25.5,69.2043457848,3,2014
2014-07-08,25.4,25.4,23.889999,24.360001,312200,24.360001,62.7807131313,3,2014
