Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,42.849998,42.990002,42.23,42.400002,4149900,40.338678,,1,2012
2012-01-04,42.299999,43.23,42.27,43.200001,5584700,41.099785,,1,2012
2012-01-05,43.0,43.82,42.82,43.630001,3063900,41.50888,,1,2012
2012-01-06,43.560001,44.740002,43.509998,44.07,3458200,41.927488,,1,2012
2012-01-09,44.209999,44.450001,43.700001,44.139999,3052800,41.994084,,1,2012
2012-01-10,44.470001,44.689999,44.099998,44.32,3210400,42.165334,,1,2012
2012-01-11,44.049999,44.380001,43.799999,44.189999,1934000,42.208315,,1,2012
2012-01-12,44.23,44.279999,43.439999,43.93,2412500,41.959976,,1,2012
2012-01-13,43.669998,43.759998,43.299999,43.700001,2065800,41.740291,,1,2012
2012-01-17,44.240002,44.860001,44.080002,44.57,3016300,42.571275,,1,2012
2012-01-18,44.52,44.970001,44.07,44.91,2596000,42.896028,,1,2012
2012-01-19,44.060001,44.48,43.68,44.130001,4371400,42.151008,,1,2012
2012-01-20,44.139999,44.360001,43.48,43.740002,3183200,41.778498,,1,2012
2012-01-23,43.779999,44.209999,43.400002,43.580002,2324500,41.625673,,1,2012
2012-01-24,43.459999,43.619999,42.540001,42.77,4391500,40.851996,54.6349840991,1,2012
2012-01-25,41.98,42.91,41.049999,42.630001,6321100,40.718275,53.2501526835,1,2012
2012-01-26,42.849998,42.849998,41.950001,42.610001,4022600,40.699171,53.0432977041,1,2012
2012-01-27,42.25,43.599998,42.25,43.43,4092400,41.482398,59.9178464259,1,2012
2012-01-30,43.18,44.09,42.849998,44.02,5152500,42.04594,64.001545931,1,2012
2012-01-31,44.080002,45.0,43.529999,43.700001,4688800,41.740291,60.4067864645,1,2012
2012-02-01,42.91,45.75,42.27,45.07,6347100,43.048852,68.5508918144,1,2012
2012-02-02,45.34,45.610001,44.599998,44.790001,3304300,42.78141,65.5817826173,1,2012
2012-02-03,44.75,44.75,43.400002,44.110001,5902600,42.131904,58.9086415135,1,2012
2012-02-06,44.099998,44.119999,43.279999,43.740002,4845100,41.778498,55.5939000035,1,2012
2012-02-07,43.75,44.799999,43.610001,44.709999,3798300,42.704996,61.6813585097,1,2012
2012-02-08,44.439999,45.299999,44.400002,45.139999,4255500,43.115713,64.0350814431,1,2012
2012-02-09,45.139999,45.93,45.139999,45.799999,4271100,43.746115,67.3501049437,1,2012
2012-02-10,45.259998,45.950001,45.0,45.700001,3761000,43.650601,66.3521823034,1,2012
2012-02-13,45.98,46.5,45.880001,46.259998,3281200,44.185486,69.1122687128,1,2012
2012-02-14,46.259998,47.279999,46.07,47.27,5976100,45.150195,73.3571626578,1,2012
2012-02-15,47.5,47.709999,47.09,47.18,4112400,45.064231,72.4023059554,1,2012
2012-02-16,47.169998,47.34,46.950001,47.169998,2951900,45.054677,72.2896834192,1,2012
2012-02-17,47.459999,47.599998,47.07,47.080002,3318600,44.968717,71.2163163564,1,2012
2012-02-21,47.27,47.5,46.669998,46.869999,3661300,44.768131,68.654603207,1,2012
2012-02-22,46.970001,47.32,46.73,47.139999,3149700,45.026024,70.1417014719,1,2012
2012-02-23,47.18,47.419998,46.639999,46.689999,2981300,44.596203,64.6376298364,1,2012
2012-02-24,46.68,47.080002,46.68,46.889999,3066500,44.787235,65.9177172622,1,2012
2012-02-27,46.540001,47.25,46.380001,46.740002,3687000,44.643964,64.0452172808,1,2012
2012-02-28,46.709999,46.880001,46.459999,46.639999,2565900,44.548446,62.7651007535,1,2012
2012-02-29,46.740002,47.049999,46.380001,46.759998,4145600,44.663064,63.7026414148,1,2012
2012-03-01,46.75,47.240002,46.349998,47.220001,2596200,45.102438,67.1203378598,1,2012
2012-03-02,47.110001,47.240002,46.43,46.580002,2648300,44.491139,58.8218132282,1,2012
2012-03-05,46.27,47.0,46.23,46.790001,2571800,44.691721,60.5455300582,1,2012
2012-03-06,46.48,46.93,45.330002,45.650002,3235900,43.602844,48.6418699961,1,2012
2012-03-07,45.68,46.200001,45.610001,45.720001,2026300,43.669705,49.3010081939,1,2012
2012-03-08,46.099998,46.59,45.970001,46.310001,2316900,44.233247,54.5909162253,1,2012
2012-03-09,46.32,47.119999,46.290001,46.860001,2696300,44.758581,58.8964054397,1,2012
2012-03-12,46.830002,46.830002,45.939999,46.0,2527200,43.937147,50.7875609514,1,2012
2012-03-13,46.189999,46.380001,45.470001,45.860001,4328100,43.803426,49.5905968072,1,2012
2012-03-14,45.700001,46.009998,45.580002,45.700001,5667500,43.650601,48.1926705898,1,2012
2012-03-15,45.869999,46.060001,45.779999,45.959999,3210900,43.89894,50.6282304883,1,2012
2012-03-16,46.139999,46.580002,45.950001,46.5,5898500,44.414725,55.3257964894,1,2012
2012-03-19,46.490002,46.970001,46.419998,46.73,2131200,44.63441,57.1939630735,1,2012
2012-03-20,46.459999,46.68,45.869999,46.299999,2714800,44.223693,52.752474251,1,2012
2012-03-21,46.310001,46.73,46.029999,46.52,3981600,44.433828,54.6911356297,1,2012
2012-03-22,46.240002,46.610001,46.16,46.5,3429300,44.414725,54.4723158421,1,2012
2012-03-23,45.799999,46.169998,45.349998,45.599998,5106400,43.555084,45.6256615933,1,2012
2012-03-26,45.759998,47.099998,45.740002,47.0,3761600,44.892303,57.2550763976,1,2012
2012-03-27,47.09,47.25,46.07,47.0,4522600,44.892303,57.2550763976,1,2012
2012-03-28,47.119999,47.580002,46.150002,46.52,4745100,44.433828,52.767490224,1,2012
