Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.570031,1.610032,1.550031,1.580031,87600,9.480189,,1,2012
2012-01-04,1.590032,1.590032,1.52003,1.580031,72100,9.480189,,1,2012
2012-01-05,1.560031,1.590032,1.540031,1.590032,78300,9.54019,,1,2012
2012-01-06,1.600032,1.650033,1.570031,1.650033,99300,9.900197,,1,2012
2012-01-09,1.660033,1.690034,1.640033,1.660033,84600,9.960199,,1,2012
2012-01-10,1.680034,1.680034,1.630033,1.640033,84800,9.840197,,1,2012
2012-01-11,1.640033,1.710034,1.600032,1.690034,146700,10.140203,,1,2012
2012-01-12,1.680034,1.690034,1.650033,1.680034,120700,10.080201,,1,2012
2012-01-13,1.680034,1.690034,1.620032,1.650033,73700,9.900197,,1,2012
2012-01-17,1.650033,1.690034,1.640033,1.650033,64900,9.900197,,1,2012
2012-01-18,1.680034,1.690034,1.620032,1.690034,106600,10.140203,,1,2012
2012-01-19,1.700034,1.740035,1.680034,1.700034,188200,10.200203,,1,2012
2012-01-20,1.690034,1.700034,1.650033,1.680034,107500,10.080201,,1,2012
2012-01-23,1.660033,1.680034,1.630033,1.630033,114800,9.780195,,1,2012
2012-01-24,1.590032,1.590032,1.470029,1.560031,391100,9.360187,47.3684302861,1,2012
2012-01-25,1.550031,1.590032,1.550031,1.580031,92200,9.480189,50.1915702451,1,2012
2012-01-26,1.610032,1.650033,1.600032,1.630033,116600,9.780195,56.4769503255,1,2012
2012-01-27,1.630033,1.640033,1.600032,1.640033,89100,9.840197,57.6286041008,1,2012
2012-01-30,1.670033,1.670033,1.630033,1.670033,107500,10.020201,60.9655686041,1,2012
2012-01-31,1.670033,1.740035,1.650033,1.710034,241900,10.260205,64.9312687743,1,2012
2012-02-01,1.750035,1.800036,1.730035,1.770035,270800,10.620212,69.8752089849,1,2012
2012-02-02,1.750035,1.820036,1.750035,1.800036,221700,10.800216,72.0006861302,1,2012
2012-02-03,1.830036,1.870037,1.810036,1.830036,288300,10.980219,73.9779142193,1,2012
2012-02-06,1.840037,1.860037,1.810036,1.830036,124600,10.980219,73.9779142193,1,2012
2012-02-07,1.810036,1.830036,1.750035,1.780036,142000,10.680214,65.0928461345,1,2012
2012-02-08,1.790036,1.810036,1.710034,1.750035,144100,10.50021,60.4050344167,1,2012
2012-02-09,1.750035,1.770035,1.700034,1.700034,104200,10.200203,53.4907181129,1,2012
2012-02-10,1.700034,1.700034,1.630033,1.640033,108200,9.840197,46.5977801602,1,2012
2012-02-13,1.700034,1.760035,1.660033,1.760035,119300,10.560211,58.1995194265,1,2012
2012-02-14,1.780036,1.820036,1.680034,1.690034,183900,10.140203,51.2103886389,1,2012
2012-02-15,1.690034,1.710034,1.620032,1.630033,165600,9.780195,46.100105527,1,2012
2012-02-16,1.670033,1.670033,1.620032,1.630033,100100,9.780195,46.100105527,1,2012
2012-02-17,1.650033,1.650033,1.600032,1.640033,146000,9.840197,47.1201060776,1,2012
2012-02-21,1.600032,1.640033,1.580031,1.600032,172000,9.600192,43.5685033649,1,2012
2012-02-22,1.600032,1.600032,1.560031,1.600032,110700,9.600192,43.5685033649,1,2012
2012-02-23,1.610032,1.610032,1.570031,1.590032,75600,9.54019,42.6367163083,1,2012
2012-02-24,1.620032,1.620032,1.580031,1.580031,106900,9.480189,41.6768378672,1,2012
2012-02-27,1.600032,1.600032,1.570031,1.580031,88100,9.480189,41.6768378672,1,2012
2012-02-28,1.600032,1.640033,1.580031,1.640033,282100,9.840197,49.576185301,1,2012
2012-02-29,1.660033,1.740035,1.660033,1.720034,368400,10.320206,57.7859242935,1,2012
2012-03-01,1.720034,1.730035,1.660033,1.690034,219600,10.140203,54.2208004332,1,2012
2012-03-02,1.700034,1.750035,1.670033,1.750035,247300,10.50021,59.5905210968,1,2012
2012-03-05,1.880037,2.170043,1.880037,2.150043,2497800,12.900257,78.0636705461,1,2012
2012-03-06,1.910038,1.98004,1.810036,1.860037,1055300,11.160223,57.5297160472,1,2012
2012-03-07,1.840037,1.900038,1.760035,1.770035,480000,10.620212,52.8808049588,1,2012
2012-03-08,1.830036,1.850037,1.780036,1.800036,275800,10.800216,54.2091233947,1,2012
2012-03-09,1.830036,1.880037,1.810036,1.830036,499900,10.980219,55.5583255372,1,2012
2012-03-12,1.860037,1.860037,1.760035,1.760035,245800,10.560211,51.7284058914,1,2012
2012-03-13,1.790036,1.800036,1.750035,1.780036,186400,10.680214,52.7310248773,1,2012
2012-03-14,1.750035,1.790036,1.700034,1.710034,217900,10.260205,48.9025404826,1,2012
2012-03-15,1.700034,1.760035,1.700034,1.720034,148300,10.320206,49.4669839666,1,2012
2012-03-16,1.770035,1.870037,1.730035,1.870037,421300,11.220224,57.1188142904,1,2012
2012-03-19,1.930039,1.970039,1.890038,1.940039,270500,11.640233,60.1512843694,1,2012
2012-03-20,1.900038,1.910038,1.850037,1.880037,135500,11.280225,56.4653308493,1,2012
2012-03-21,1.900038,1.950039,1.850037,1.930039,241100,11.580231,58.7346370066,1,2012
2012-03-22,1.920038,1.99004,1.880037,1.930039,358400,11.580231,58.7346370066,1,2012
2012-03-23,1.950039,1.98004,1.870037,1.950039,230100,11.700233,59.708940898,1,2012
2012-03-26,2.00004,2.080041,1.98004,2.030041,483400,12.180244,63.4285580413,1,2012
2012-03-27,2.050041,2.080041,1.910038,1.940039,406400,11.640233,57.0479019927,1,2012
2012-03-28,2.00004,2.01004,1.940039,2.00004,312200,12.00024,59.9410650857,1,2012
2012-03-29,1.98004,2.060041,1.960039,2.050041,215100,12.300246,62.2245684087,1,2012
2012-03-30,2.130042,2.140043,2.070041,2.140043,477600,12.840257,65.9833815606,1,2012
2012-04-02,0.740015,0.810016,0.700014,0.730015,4116600,4.380088,24.6315709749,2,2012
