Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-09-12,6.95,7.0,5.63,5.7,3576200,5.7,,3,2014
2014-09-15,6.0,6.4,5.85,6.4,478900,6.4,,3,2014
2014-09-16,6.4,6.49,5.91,6.22,163300,6.22,,3,2014
2014-09-17,6.17,6.32,6.02,6.27,145300,6.27,,3,2014
2014-09-18,6.12,6.27,6.0,6.12,148700,6.12,,3,2014
2014-09-19,6.11,6.3,6.03,6.18,136300,6.18,,3,2014
2014-09-22,6.19,6.49,6.1,6.36,142000,6.36,,3,2014
2014-09-23,6.37,6.5,6.2,6.37,92300,6.37,,3,2014
2014-09-24,6.35,6.369,6.2,6.34,68100,6.34,,3,2014
2014-09-25,6.1,6.3,6.09,6.26,61300,6.26,,3,2014
2014-09-26,6.28,6.4,6.15,6.4,20300,6.4,,3,2014
2014-09-29,6.38,6.38,6.16,6.19,30600,6.19,,3,2014
2014-09-30,6.15,6.3,6.15,6.3,43600,6.3,,3,2014
2014-10-01,6.29,6.29,5.63,6.01,103000,6.01,,4,2014
2014-10-02,5.87,6.18,5.68,6.0,20900,6.0,56.8181818182,4,2014
2014-10-03,6.18,6.39,6.027,6.36,24100,6.36,63.2877526754,4,2014
2014-10-06,6.4,6.4,6.16,6.3,21800,6.3,61.6304444642,4,2014
2014-10-07,6.33,6.35,6.0,6.16,78800,6.16,57.8253672335,4,2014
2014-10-08,6.24,6.29,6.06,6.09,72900,6.09,55.9648312971,4,2014
2014-10-09,6.07,6.27,6.0,6.1,42400,6.1,56.1817322756,4,2014
2014-10-10,6.08,6.3,5.19,5.2,40000,5.2,38.0272474247,4,2014
2014-10-13,5.22,5.81,5.1,5.12,33300,5.12,36.8862479454,4,2014
2014-10-14,5.16,5.66,4.56,5.25,41700,5.25,40.0349171909,4,2014
2014-10-15,5.16,5.4,4.8,5.3,41400,5.3,41.2489488698,4,2014
2014-10-16,5.29,5.58,5.0,5.29,11100,5.29,41.0698596356,4,2014
2014-10-17,5.41,5.41,4.88,5.002,29300,5.002,36.1957890655,4,2014
2014-10-20,5.03,5.21,4.905,4.911,7900,4.911,34.7908197353,4,2014
2014-10-21,4.92,5.2,4.52,4.57,20100,4.57,30.0791764152,4,2014
2014-10-22,4.58,4.9,4.58,4.63,28700,4.63,31.8285863919,4,2014
2014-10-23,4.83,4.83,4.51,4.61,18000,4.61,31.5452628626,4,2014
2014-10-24,4.58,4.82,4.31,4.41,74500,4.41,28.785778397,4,2014
2014-10-27,4.61,4.71,3.55,4.112,59000,4.112,25.2425583568,4,2014
2014-10-28,4.18,4.59,3.91,4.512,30400,4.512,36.534889321,4,2014
2014-10-29,4.52,4.72,4.3,4.59,14100,4.59,38.4861764727,4,2014
2014-10-30,4.58,4.68,4.05,4.44,21200,4.44,36.1822777398,4,2014
2014-10-31,4.52,4.88,4.05,4.72,14200,4.72,43.0371840736,4,2014
2014-11-03,4.85,4.92,4.26,4.52,16600,4.52,39.7525858254,4,2014
2014-11-04,4.78,4.78,4.07,4.37,24700,4.37,37.4443976858,4,2014
2014-11-05,4.3,4.9,4.07,4.9,56000,4.9,48.7644090931,4,2014
2014-11-06,4.93,5.0,4.54,4.95,21100,4.95,49.6893613218,4,2014
2014-11-07,4.93,5.0,4.37,5.0,20600,5.0,50.6488275915,4,2014
2014-11-10,4.98,5.0,4.56,4.56,11800,4.56,42.8960921196,4,2014
2014-11-11,4.97,4.99,4.57,4.7,6200,4.7,45.7419287372,4,2014
2014-11-12,4.95,5.0,4.328,4.71,29900,4.71,45.9491352622,4,2014
2014-11-13,4.76,5.0,4.76,4.99,12300,4.99,51.5306143908,4,2014
2014-11-14,5.0,5.49,5.0,5.4,13800,5.4,58.3180429186,4,2014
2014-11-17,5.48,6.1,5.47,6.02,53300,6.02,66.0584230138,4,2014
2014-11-18,6.49,6.51,6.05,6.2,30500,6.2,67.9209443612,4,2014
2014-11-19,6.63,6.63,5.64,5.72,57000,5.72,58.6745497524,4,2014
2014-11-20,5.74,6.22,5.29,5.65,22000,5.65,57.4463399527,4,2014
2014-11-21,5.66,6.22,5.66,5.95,19600,5.95,61.1953331303,4,2014
2014-11-24,6.16,6.25,5.985,6.23,28100,6.23,64.3520374411,4,2014
2014-11-25,6.25,6.6,6.02,6.6,42400,6.6,68.0506615023,4,2014
2014-11-26,6.32,7.01,6.32,7.01,33600,7.01,71.5706354281,4,2014
2014-11-28,7.0,7.74,6.5,7.65,71500,7.65,76.0131736031,4,2014
2014-12-01,7.99,8.05,7.498,7.54,55300,7.54,73.87635876,4,2014
2014-12-02,7.49,7.96,7.25,7.45,74500,7.45,72.0907268485,4,2014
