Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-07-24,29.0,32.0,27.16,31.280001,6203200,31.280001,,3,2013
2013-07-25,31.040001,31.469999,27.76,27.780001,592600,27.780001,,3,2013
2013-07-26,27.75,29.450001,27.75,28.530001,313700,28.530001,,3,2013
2013-07-29,28.49,30.790001,28.02,28.639999,149400,28.639999,,3,2013
2013-07-30,28.549999,29.860001,28.120001,29.1,77300,29.1,,3,2013
2013-07-31,29.360001,29.360001,28.51,29.16,113900,29.16,,3,2013
2013-08-01,29.99,29.99,28.52,29.15,68200,29.15,,3,2013
2013-08-02,29.0,29.0,28.24,28.84,121800,28.84,,3,2013
2013-08-05,29.040001,29.040001,27.5,28.799999,56200,28.799999,,3,2013
2013-08-06,28.75,29.459999,28.700001,28.959999,213400,28.959999,,3,2013
2013-08-07,29.139999,30.139999,29.139999,29.67,101100,29.67,,3,2013
2013-08-08,29.809999,30.389999,29.1,29.85,234900,29.85,,3,2013
2013-08-09,30.379999,30.5,29.129999,30.0,126800,30.0,,3,2013
2013-08-12,30.299999,30.48,29.66,30.48,214900,30.48,,3,2013
2013-08-13,30.0,31.860001,29.559999,31.370001,263500,31.370001,50.5761842315,3,2013
2013-08-14,31.0,33.450001,30.809999,32.77,171600,32.77,58.5734268729,3,2013
2013-08-15,33.139999,33.139999,31.84,32.18,109200,32.18,54.5662623202,3,2013
2013-08-16,32.48,32.970001,31.41,31.91,221300,31.91,52.7865244261,3,2013
2013-08-19,31.91,32.349998,29.040001,29.110001,163600,29.110001,38.6924427216,3,2013
2013-08-20,28.98,29.200001,26.51,26.76,148900,26.76,31.1701885996,3,2013
2013-08-21,26.809999,26.809999,24.559999,24.790001,151800,24.790001,26.516286917,3,2013
2013-08-22,24.559999,26.0,24.549999,25.469999,50300,25.469999,30.3802801618,3,2013
2013-08-23,25.459999,26.35,25.379999,25.870001,36400,25.870001,32.6246054248,3,2013
2013-08-26,25.75,26.459999,25.5,25.6,115400,25.6,31.8775944855,3,2013
2013-08-27,25.5,25.639999,22.34,22.65,189500,22.65,25.1120201304,3,2013
2013-08-28,22.860001,23.290001,22.5,23.1,182500,23.1,27.6350510396,3,2013
2013-08-29,23.719999,25.48,23.42,24.870001,124900,24.870001,36.6725477636,3,2013
2013-08-30,25.16,25.860001,23.1,23.58,166300,23.58,33.3987535931,3,2013
2013-09-03,24.09,25.379999,23.139999,23.58,95000,23.58,33.3987535931,3,2013
2013-09-04,23.74,25.440001,23.5,25.440001,87300,25.440001,42.0496107862,3,2013
2013-09-05,26.299999,27.75,25.0,27.1,57100,27.1,48.4812468508,3,2013
2013-09-06,27.709999,28.18,26.049999,27.08,91500,27.08,48.4115327243,3,2013
2013-09-09,27.110001,28.99,26.129999,26.790001,81800,26.790001,47.3483616468,3,2013
2013-09-10,27.09,27.719999,26.129999,27.719999,103600,27.719999,51.0601813608,3,2013
2013-09-11,27.48,27.799999,26.559999,27.129999,86400,27.129999,48.7138872453,3,2013
2013-09-12,27.08,27.67,26.6,26.93,93500,26.93,47.9101972662,3,2013
2013-09-13,26.940001,27.23,26.07,26.549999,129200,26.549999,46.3456581722,3,2013
2013-09-16,27.0,28.120001,26.120001,26.9,95400,26.9,48.0290617541,3,2013
2013-09-17,27.02,27.84,25.870001,26.07,85200,26.07,44.4661399099,3,2013
