Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-03-27,12.75,16.82,12.5,14.76,1566100,14.76,,1,2014
2014-03-28,14.95,15.9,13.63,14.55,183900,14.55,,1,2014
2014-03-31,14.6,15.45,14.6,15.0,35800,15.0,,1,2014
2014-04-01,15.18,18.389999,15.18,15.61,120400,15.61,,2,2014
2014-04-02,16.0,17.18,15.5,16.35,134600,16.35,,2,2014
2014-04-03,16.360001,16.360001,15.75,16.299999,9600,16.299999,,2,2014
2014-04-04,16.4,16.528999,15.8,16.08,21400,16.08,,2,2014
2014-04-07,16.07,16.49,13.4,14.09,59900,14.09,,2,2014
2014-04-08,14.01,14.85,12.75,14.84,78100,14.84,,2,2014
2014-04-09,14.85,15.15,13.72,14.72,37700,14.72,,2,2014
2014-04-10,14.34,14.82,13.41,14.42,16800,14.42,,2,2014
2014-04-11,13.593,14.0,13.27,13.35,5600,13.35,,2,2014
2014-04-14,13.28,14.86,13.28,13.5,35400,13.5,,2,2014
2014-04-15,14.73,14.89,11.17,12.75,100900,12.75,,2,2014
2014-04-16,13.78,13.88,12.828,13.65,163800,13.65,43.321299639,2,2014
2014-04-17,13.54,15.0,13.21,14.08,48900,14.08,46.313020605,2,2014
2014-04-21,14.01,14.32,12.91,13.32,42700,13.32,42.0848119342,2,2014
2014-04-22,13.55,13.7,12.8,13.55,46300,13.55,43.758255292,2,2014
2014-04-23,13.7,13.7,11.848,12.98,43900,12.98,40.6253493409,2,2014
2014-04-24,12.7,13.49,12.11,12.72,19200,12.72,39.2451048286,2,2014
2014-04-25,12.44,13.315,11.285,12.84,98700,12.84,40.2540326529,2,2014
2014-04-28,12.89,12.99,11.3,12.74,99100,12.74,39.6629244403,2,2014
2014-04-29,12.58,12.9,11.325,12.9,34400,12.9,41.1519238792,2,2014
2014-04-30,12.65,12.66,11.88,12.53,15600,12.53,38.7692525953,2,2014
2014-05-01,11.631,12.8,11.631,12.58,9800,12.58,39.2808783885,2,2014
2014-05-02,11.87,12.66,11.64,12.3,10000,12.3,37.3964238937,2,2014
2014-05-05,12.44,12.65,12.2,12.42,15600,12.42,38.7525509083,2,2014
2014-05-06,12.64,12.65,11.98,11.98,5200,11.98,35.698946726,2,2014
2014-05-07,12.22,12.54,11.85,12.31,5900,12.31,39.5464600277,2,2014
2014-05-08,12.48,12.48,11.1,11.32,17000,11.32,33.1399707708,2,2014
2014-05-09,11.5,12.45,11.3,12.1,35500,12.1,41.2195621384,2,2014
2014-05-12,12.08,12.24,11.9,11.91,9200,11.91,39.9530299353,2,2014
2014-05-13,11.85,12.3,11.85,12.2,10000,12.2,42.839948633,2,2014
2014-05-14,12.1,12.7,12.1,12.7,8700,12.7,47.5243883497,2,2014
2014-05-15,12.35,12.69,12.2,12.69,10900,12.69,47.4406488535,2,2014
2014-05-16,12.49,13.4,12.39,13.1,19300,13.1,51.2346194849,2,2014
2014-05-19,12.99,13.26,12.52,13.26,17000,13.26,52.670430668,2,2014
2014-05-20,13.0,13.04,12.56,13.04,13900,13.04,50.4700062566,2,2014
2014-05-21,13.24,13.3,12.5,12.5,16500,12.5,45.4507808871,2,2014
2014-05-22,12.54,13.0,12.43,12.87,20300,12.87,49.1801019577,2,2014
2014-05-23,12.73,13.2,12.73,13.2,5700,13.2,52.3115914967,2,2014
2014-05-27,13.22,13.48,12.96,13.39,17500,13.39,54.066564535,2,2014
2014-05-28,13.115,13.42,13.02,13.35,11800,13.35,53.6191923675,2,2014
2014-05-29,13.2,13.5,13.05,13.5,20600,13.5,55.1189435371,2,2014
2014-05-30,13.6,13.74,13.25,13.7,13300,13.7,57.1103364706,2,2014
2014-06-02,13.66,21.879999,13.66,19.74,212900,19.74,82.4443125721,2,2014
2014-06-03,19.0,20.5,17.459999,20.030001,102300,20.030001,82.9646080925,2,2014
2014-06-04,20.0,21.01,18.5,20.110001,56300,20.110001,83.1132880801,2,2014
2014-06-05,20.15,24.25,19.74,22.16,104200,22.16,86.3910253411,2,2014
2014-06-06,22.1,22.25,19.99,21.42,53400,21.42,80.3296954943,2,2014
2014-06-09,21.690001,24.540001,21.42,23.870001,83200,23.870001,84.2657750653,2,2014
2014-06-10,24.030001,25.889999,23.559999,25.290001,40000,25.290001,86.012768652,2,2014
2014-06-11,25.08,26.809999,21.66,24.049999,70900,24.049999,77.8808103593,2,2014
2014-06-12,24.290001,26.5,24.290001,25.870001,94900,25.870001,80.7565485596,2,2014
2014-06-13,26.51,29.629999,23.299999,27.49,56800,27.49,82.889017202,2,2014
2014-06-16,26.219999,28.0,24.01,27.440001,98400,27.440001,82.5848367818,2,2014
2014-06-17,27.299999,29.870001,26.950001,29.870001,65400,29.870001,85.3908453358,2,2014
2014-06-18,31.0,33.919998,30.32,31.690001,157600,31.690001,87.0710921456,2,2014
2014-06-19,32.400002,34.369999,30.5,30.950001,87700,30.950001,82.8963613481,2,2014
2014-06-20,30.9,31.4,28.780001,30.459999,195100,30.459999,80.1557955773,2,2014
2014-06-23,30.65,32.650002,30.469999,31.27,56800,31.27,81.2587934959,2,2014
2014-06-24,31.549999,32.490002,30.700001,31.120001,84100,31.120001,80.3679297734,2,2014
2014-06-25,31.120001,32.0,29.91,30.65,56100,30.65,77.5008328447,2,2014
2014-06-26,30.17,30.450001,27.85,28.209999,49900,28.209999,64.613605855,2,2014
2014-06-27,27.9,28.799999,25.17,25.18,747500,25.18,52.8589746663,2,2014
2014-06-30,25.08,25.299999,22.565001,23.1,84900,23.1,46.5927125492,2,2014
2014-07-01,22.969999,24.35,22.01,22.49,42200,22.49,44.9112165977,3,2014
2014-07-02,22.360001,24.478001,21.41,24.16,50000,24.16,50.2090639567,3,2014
2014-07-03,24.450001,25.450001,23.5,23.77,27500,23.77,49.0233709721,3,2014
2014-07-07,23.780001,25.459999,22.700001,23.129999,38000,23.129999,47.0593905563,3,2014
2014-07-08,23.299999,25.09,21.65,22.219999,68400,22.219999,44.3393892568,3,2014
2014-07-09,22.43,23.700001,20.952,21.370001,38200,21.370001,41.9030930491,3,2014
2014-07-10,21.07,21.139999,19.65,19.709999,89000,19.709999,37.562310131,3,2014
2014-07-11,19.709999,20.110001,18.9,19.07,30800,19.07,36.0133478258,3,2014
2014-07-14,19.459999,20.16,18.610001,18.790001,24000,18.790001,35.3269799715,3,2014
2014-07-15,19.459999,19.459999,16.790001,17.299999,76000,17.299999,31.84844245,3,2014
2014-07-16,18.139999,18.139999,16.549999,17.92,116600,17.92,34.7285179707,3,2014
2014-07-17,17.879999,18.49,17.389999,17.9,25600,17.9,34.6776083903,3,2014
2014-07-18,17.690001,18.52,17.51,18.52,28300,18.52,37.7253017968,3,2014
2014-07-21,18.290001,18.290001,16.41,17.040001,27200,17.040001,33.685113308,3,2014
2014-07-22,17.219999,18.184,16.469999,18.059999,68200,18.059999,38.568098883,3,2014
2014-07-23,18.0,18.25,16.6,16.700001,96300,16.700001,34.8802153291,3,2014
2014-07-24,16.809999,17.01,14.91,15.61,149000,15.61,32.2209559543,3,2014
2014-07-25,15.78,18.469999,15.75,17.99,590800,17.99,42.5247497047,3,2014
2014-07-28,17.639999,17.73,15.84,16.58,142100,16.58,38.7649257301,3,2014
2014-07-29,16.450001,18.379999,15.82,16.290001,215000,16.290001,38.0203583197,3,2014
2014-07-30,17.754999,17.936001,16.450001,16.870001,46100,16.870001,40.4825701433,3,2014
2014-07-31,16.57,16.99,15.87,16.0,42700,16.0,38.041340657,3,2014
2014-08-01,16.049999,16.096001,14.85,14.93,77700,14.93,35.2276706177,3,2014
2014-08-04,14.91,16.049999,14.695,15.69,52800,15.69,38.6960024758,3,2014
2014-08-05,15.5,17.059999,15.5,16.9,73400,16.9,43.8510125652,3,2014
2014-08-06,16.639999,17.299999,16.138,16.950001,30900,16.950001,44.0603459539,3,2014
2014-08-07,17.27,17.27,15.8,16.65,46100,16.65,43.0239270651,3,2014
2014-08-08,16.92,17.75,16.4,17.639999,64400,17.639999,47.419438116,3,2014
2014-08-11,17.639999,21.65,17.639999,20.98,44000,20.98,58.9308605434,3,2014
2014-08-12,20.58,20.65,18.687,19.280001,54600,19.280001,52.6167193736,3,2014
