Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.3,1.3,1.21,1.24,9700,6.2,,1,2012
2012-01-04,1.24,1.24,1.14,1.15,9500,5.75,,1,2012
2012-01-05,1.14,1.14,1.12,1.13,8400,5.65,,1,2012
2012-01-06,1.14,1.16,1.12,1.13,10100,5.65,,1,2012
2012-01-09,1.14,1.14,1.12,1.14,6600,5.7,,1,2012
2012-01-10,1.15,1.17,1.12,1.15,8600,5.75,,1,2012
2012-01-11,1.14,1.15,1.11,1.13,7900,5.65,,1,2012
2012-01-12,1.13,1.17,1.13,1.17,4400,5.85,,1,2012
2012-01-13,1.14,1.15,1.08,1.1,30200,5.5,,1,2012
2012-01-17,1.13,1.15,1.08,1.09,17600,5.45,,1,2012
2012-01-18,1.1,1.12,1.07,1.11,14100,5.55,,1,2012
2012-01-19,1.11,1.14,1.08,1.11,9800,5.55,,1,2012
2012-01-20,1.11,1.17,1.07,1.15,15300,5.75,,1,2012
2012-01-23,1.14,1.17,1.13,1.16,5300,5.8,,1,2012
2012-01-24,1.16,1.16,1.12,1.15,7800,5.75,37.1428571429,1,2012
2012-01-25,1.14,1.19,1.12,1.18,11500,5.9,42.4547283702,1,2012
2012-01-26,1.18,1.18,1.14,1.14,4500,5.7,37.8605935128,1,2012
2012-01-27,1.14,1.15,1.12,1.14,4100,5.7,37.8605935128,1,2012
2012-01-30,1.14,1.14,1.1,1.13,6200,5.65,36.7088447215,1,2012
2012-01-31,1.14,1.16,1.12,1.14,9700,5.7,38.7165422837,1,2012
2012-02-01,1.16,1.2,1.13,1.2,15400,6.0,49.1411104975,1,2012
2012-02-02,1.2,1.27,1.14,1.26,45400,6.3,57.0154154745,1,2012
2012-02-03,1.28,1.34,1.22,1.34,42900,6.7,64.8334641121,1,2012
2012-02-06,1.34,1.36,1.28,1.35,58400,6.75,65.6739003875,1,2012
2012-02-07,1.34,1.36,1.29,1.33,28000,6.65,62.458877609,1,2012
2012-02-08,1.33,1.37,1.29,1.34,93000,6.7,63.4230472515,1,2012
2012-02-09,1.33,1.35,1.28,1.32,115200,6.6,60.0985580141,1,2012
2012-02-10,1.3,1.52,1.3,1.37,36700,6.85,65.0332274701,1,2012
2012-02-13,1.37,1.47,1.37,1.41,24400,7.05,68.4001222845,1,2012
2012-02-14,1.41,1.42,1.35,1.37,10000,6.85,61.9737422408,1,2012
2012-02-15,1.38,1.45,1.35,1.39,20500,6.95,63.8048527801,1,2012
2012-02-16,1.38,1.45,1.38,1.44,8000,7.2,67.9588293415,1,2012
2012-02-17,1.45,1.45,1.36,1.43,16000,7.15,66.3194874591,1,2012
2012-02-21,1.42,1.43,1.36,1.4,14900,7.0,61.5246003682,1,2012
2012-02-22,1.41,1.55,1.4,1.47,19800,7.35,67.4399884583,1,2012
2012-02-23,1.48,1.48,1.44,1.46,10900,7.3,65.8816870671,1,2012
2012-02-24,1.45,1.56,1.44,1.48,12700,7.4,67.4991820461,1,2012
2012-02-27,1.47,1.48,1.45,1.46,6200,7.3,64.2203961621,1,2012
2012-02-28,1.46,1.46,1.35,1.45,26000,7.25,62.5834707941,1,2012
2012-02-29,1.44,1.53,1.36,1.36,21100,6.8,50.1852541809,1,2012
2012-03-01,1.38,1.44,1.29,1.3,8600,6.5,43.936184863,1,2012
2012-03-02,1.31,1.36,1.28,1.34,13100,6.7,48.5369314858,1,2012
2012-03-05,1.34,1.35,1.3,1.31,2200,6.55,45.5198148365,1,2012
2012-03-06,1.28,1.31,1.28,1.3,9100,6.5,44.5262430159,1,2012
