Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-03-12,12.85,14.49,12.81,14.3,3362100,14.3,,1,2014
2014-03-13,14.47,16.85,14.47,16.34,564700,16.34,,1,2014
2014-03-14,16.85,17.0,15.75,16.16,206400,16.16,,1,2014
2014-03-17,15.93,16.440001,15.76,16.02,150300,16.02,,1,2014
2014-03-18,16.530001,17.299999,15.92,17.07,286600,17.07,,1,2014
2014-03-19,17.16,19.030001,17.1,18.200001,266400,18.200001,,1,2014
2014-03-20,18.799999,18.799999,18.16,18.65,106900,18.65,,1,2014
2014-03-21,18.6,18.799999,18.209999,18.799999,104700,18.799999,,1,2014
2014-03-24,18.379999,19.690001,18.25,18.950001,240400,18.950001,,1,2014
2014-03-25,18.73,19.549999,18.280001,18.780001,150800,18.780001,,1,2014
2014-03-26,18.73,18.860001,17.379999,18.65,360300,18.65,,1,2014
2014-03-27,18.75,18.75,17.0,18.030001,134600,18.030001,,1,2014
2014-03-28,17.950001,18.030001,15.5,16.66,74500,16.66,,1,2014
2014-03-31,16.75,16.98,15.0,15.46,121200,15.46,,1,2014
2014-04-01,15.55,15.87,14.28,15.46,282100,15.46,56.6059210465,2,2014
2014-04-02,15.37,16.450001,15.29,15.95,169000,15.95,59.0661137544,2,2014
2014-04-03,15.87,15.95,14.65,15.13,53600,15.13,53.5905444861,2,2014
2014-04-04,15.15,15.19,13.8,14.15,72000,14.15,47.8780682543,2,2014
2014-04-07,14.21,14.35,12.25,12.89,243000,12.89,41.7204300785,2,2014
2014-04-08,13.29,13.75,12.4,12.52,114800,12.52,40.0899015616,2,2014
2014-04-09,12.46,13.18,12.18,12.75,101200,12.75,41.6173762621,2,2014
2014-04-10,12.66,12.94,12.58,12.59,66600,12.59,40.837351498,2,2014
2014-04-11,12.45,13.8,12.14,13.31,120600,13.31,45.7636564673,2,2014
2014-04-14,13.5,13.5,12.61,13.3,54000,13.3,45.7067310746,2,2014
2014-04-15,13.42,13.5,12.57,13.14,46200,13.14,44.7476394155,2,2014
2014-04-16,13.25,13.49,12.71,13.05,64600,13.05,44.1859817746,2,2014
2014-04-17,12.95,13.95,12.7,13.74,26700,13.74,49.4269546566,2,2014
2014-04-21,13.06,14.9,13.06,14.25,34300,14.25,52.9440861358,2,2014
2014-04-22,17.440001,17.440001,13.0,13.93,241300,13.93,50.5677513531,2,2014
2014-04-23,13.9,14.73,12.72,13.25,113300,13.25,45.8574992331,2,2014
2014-04-24,13.81,13.99,13.36,13.97,68300,13.97,51.0560013658,2,2014
2014-04-25,13.75,13.75,12.91,13.38,77200,13.38,47.0678767404,2,2014
2014-04-28,13.51,14.44,13.5,14.18,101300,14.18,52.4873136789,2,2014
2014-04-29,14.33,14.75,14.01,14.21,100000,14.21,52.6829585132,2,2014
2014-04-30,14.2,14.94,14.0,14.02,101400,14.02,51.2437725187,2,2014
2014-05-01,14.02,14.66,14.02,14.2,48400,14.2,52.5658043039,2,2014
2014-05-02,14.31,14.49,13.37,13.76,68500,13.76,49.0636407155,2,2014
2014-05-05,13.78,14.4,13.58,14.34,118300,14.34,53.464870486,2,2014
2014-05-06,14.31,14.31,12.29,13.01,124800,13.01,44.0627453854,2,2014
2014-05-07,13.11,13.43,12.41,12.54,36900,12.54,41.2988215807,2,2014
2014-05-08,12.61,13.43,12.37,12.62,74800,12.62,41.9661091193,2,2014
2014-05-09,12.53,13.0,11.66,12.53,123800,12.53,41.395995091,2,2014
2014-05-12,13.25,13.84,12.71,13.44,81300,13.44,48.9479558453,2,2014
2014-05-13,13.39,13.72,13.02,13.33,82400,13.33,48.1403898794,2,2014
2014-05-14,13.33,13.86,12.94,13.11,95200,13.11,46.4884171027,2,2014
2014-05-15,13.16,13.48,12.51,12.92,75800,12.92,45.0505813252,2,2014
2014-05-16,13.02,13.9,12.8,13.3,116700,13.3,48.4824777571,2,2014
2014-05-19,13.36,13.9,12.88,13.02,45000,13.02,46.193151036,2,2014
2014-05-20,13.05,13.23,11.71,12.45,72100,12.45,41.8598202949,2,2014
2014-05-21,12.55,12.91,12.05,12.46,44200,12.46,41.9626838188,2,2014
2014-05-22,12.54,12.92,12.17,12.72,44200,12.72,44.7020620283,2,2014
2014-05-23,12.78,13.5,12.48,13.48,54900,13.48,51.855521058,2,2014
2014-05-27,13.57,13.57,12.87,13.13,56200,13.13,48.7291864831,2,2014
2014-05-28,13.08,14.42,13.02,13.94,117200,13.94,55.4267442252,2,2014
2014-05-29,14.26,14.55,14.02,14.16,60900,14.16,57.0671755872,2,2014
2014-05-30,14.23,14.33,13.8,14.03,72300,14.03,55.7612408018,2,2014
2014-06-02,14.13,14.13,13.39,13.7,59200,13.7,52.478249569,2,2014
2014-06-03,13.59,14.25,13.59,14.05,90500,14.05,55.4726051285,2,2014
2014-06-04,14.04,14.43,13.66,13.9,137600,13.9,53.9049606722,2,2014
2014-06-05,13.85,14.32,13.85,14.27,76100,14.27,57.1236700258,2,2014
2014-06-06,14.24,14.43,12.98,13.98,97500,13.98,53.9442100163,2,2014
2014-06-09,14.11,15.42,14.02,14.97,45100,14.97,61.7675360982,2,2014
2014-06-10,14.5,15.28,14.28,14.98,63800,14.98,61.8380520253,2,2014
2014-06-11,14.5,16.4,14.5,16.16,129800,16.16,69.0841312572,2,2014
2014-06-12,16.1,16.75,15.48,16.209999,125500,16.209999,69.3496965504,2,2014
2014-06-13,15.4,16.41,14.7,16.18,72700,16.18,68.9669064037,2,2014
2014-06-16,16.25,16.67,15.0,15.48,82500,15.48,60.5660870348,2,2014
2014-06-17,15.54,16.389999,14.32,15.16,88700,15.16,57.1395581246,2,2014
2014-06-18,15.23,16.08,14.61,15.14,66400,15.14,56.9227997739,2,2014
2014-06-19,15.03,16.09,14.89,15.4,49700,15.4,59.0952067928,2,2014
2014-06-20,15.01,17.309999,14.78,15.6,301100,15.6,60.7355494685,2,2014
2014-06-23,15.6,16.040001,15.29,15.87,111700,15.87,62.8986116092,2,2014
2014-06-24,14.88,16.52,14.88,15.35,78900,15.35,56.4487810863,2,2014
2014-06-25,15.31,15.83,14.89,15.49,37900,15.49,57.7062375036,2,2014
2014-06-26,15.49,15.49,14.32,14.89,110700,14.89,50.9205533718,2,2014
2014-06-27,14.76,15.27,14.01,14.14,944100,14.14,43.961667217,2,2014
2014-06-30,14.25,14.86,13.67,13.96,143800,13.96,42.4618395956,2,2014
2014-07-01,14.01,14.3,13.62,14.01,48500,14.01,43.0431330962,3,2014
2014-07-02,13.98,14.44,13.84,13.92,124500,13.92,42.2163765582,3,2014
2014-07-03,13.99,14.08,13.73,13.79,20800,13.79,40.9916074127,3,2014
2014-07-07,13.81,14.18,13.22,13.3,86300,13.3,36.6728807367,3,2014
2014-07-08,13.51,13.51,12.52,12.67,86300,12.67,32.004174455,3,2014
2014-07-09,12.67,12.9,12.36,12.64,76300,12.64,31.7965887493,3,2014
