Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-03-20,22.9,28.5,20.620001,26.695,4677300,26.695,,1,2014
2014-03-21,25.52,28.195,22.5,23.700001,440400,23.700001,,1,2014
2014-03-24,25.0,25.0,20.01,20.200001,448100,20.200001,,1,2014
2014-03-25,20.219999,20.5,18.959999,20.0,219900,20.0,,1,2014
2014-03-26,19.940001,20.0,18.75,18.959999,128900,18.959999,,1,2014
2014-03-27,18.93,19.5,18.75,19.370001,115600,19.370001,,1,2014
2014-03-28,19.65,20.57,19.370001,20.0,97200,20.0,,1,2014
2014-03-31,20.4,20.4,19.01,19.559999,108900,19.559999,,1,2014
2014-04-01,19.690001,21.309999,19.591,20.559999,113900,20.559999,,2,2014
2014-04-02,21.23,22.639999,21.0,21.879999,76100,21.879999,,2,2014
2014-04-03,21.16,22.309999,18.5,19.15,77400,19.15,,2,2014
2014-04-04,20.49,20.49,17.65,18.51,49600,18.51,,2,2014
2014-04-07,18.26,18.41,17.75,18.0,70100,18.0,,2,2014
2014-04-08,18.209999,19.209999,17.860001,18.309999,53700,18.309999,,2,2014
2014-04-09,18.059999,18.99,16.41,18.889999,158800,18.889999,26.0656224431,2,2014
2014-04-10,19.450001,19.450001,18.0,18.48,71400,18.48,25.3783791157,2,2014
2014-04-11,19.15,19.440001,16.5,16.860001,284400,16.860001,22.8183584981,2,2014
2014-04-14,19.35,23.32,17.07,21.139999,3065700,21.139999,40.0301491126,2,2014
2014-04-15,21.120001,22.5,20.02,22.26,807100,22.26,43.5761150254,2,2014
2014-04-16,23.379999,26.349001,22.35,24.700001,1394900,24.700001,50.4499897565,2,2014
2014-04-17,25.99,26.809999,25.110001,26.09,676700,26.09,53.8957773176,2,2014
2014-04-21,27.5,27.5,26.0,27.040001,362000,27.040001,56.1406966379,2,2014
2014-04-22,27.1,27.85,23.799999,25.49,616000,25.49,51.7160557564,2,2014
2014-04-23,25.469999,26.41,24.5,24.77,248800,24.77,49.7544255167,2,2014
2014-04-24,25.01,25.48,22.610001,22.790001,316800,22.790001,44.7297774556,2,2014
2014-04-25,22.530001,24.4,21.237,23.0,282600,23.0,45.3600396348,2,2014
2014-04-28,23.01,24.999001,22.25,23.0,168600,23.0,45.3600396348,2,2014
2014-04-29,23.17,24.440001,22.5,24.16,118000,24.16,49.0799221338,2,2014
2014-04-30,23.4,24.940001,23.4,24.370001,117700,24.370001,49.7469277958,2,2014
2014-05-01,24.459999,24.950001,24.01,24.860001,84800,24.860001,51.3483199774,2,2014
2014-05-02,24.950001,25.32,23.848,24.01,72200,24.01,48.4632543256,2,2014
2014-05-05,23.450001,24.48,22.809999,23.73,108300,23.73,47.5161582019,2,2014
2014-05-06,23.4,24.15,22.82,22.99,94400,22.99,45.0125111816,2,2014
2014-05-07,23.1,23.844999,22.26,23.040001,60000,23.040001,45.2225334649,2,2014
2014-05-08,22.65,23.438,22.35,22.879999,54200,22.879999,44.6350322801,2,2014
2014-05-09,22.700001,23.43,21.75,22.209999,79700,22.209999,42.1647990073,2,2014
2014-05-12,22.709999,22.790001,21.0,22.389999,179600,22.389999,43.0762596673,2,2014
2014-05-13,22.51,23.700001,22.235001,23.030001,95100,23.030001,46.3158160615,2,2014
2014-05-14,22.700001,23.26,22.559999,22.799999,121600,22.799999,45.3176687508,2,2014
2014-05-15,22.83,23.049999,21.51,21.52,95000,21.52,40.1339658908,2,2014
2014-05-16,21.59,22.646999,21.5,21.530001,45200,21.530001,40.1915302546,2,2014
2014-05-19,21.5,21.75,21.049999,21.139999,85000,21.139999,38.6315350052,2,2014
2014-05-20,21.73,22.18,21.077999,21.34,60000,21.34,39.9194077589,2,2014
2014-05-21,21.290001,22.709999,21.25,22.23,119000,22.23,45.4095878544,2,2014
2014-05-22,22.299999,23.309999,22.031,22.93,98700,22.93,49.3313767004,2,2014
2014-05-23,22.5,23.5,22.5,22.76,130800,22.76,48.4215841174,2,2014
2014-05-27,23.01,23.25,22.75,22.879999,54500,22.879999,49.1346903593,2,2014
2014-05-28,23.09,23.219999,22.799999,23.02,94600,23.02,50.0031842698,2,2014
2014-05-29,23.1,24.0,22.750999,23.610001,60200,23.610001,53.5988562372,2,2014
2014-05-30,23.99,24.855,23.32,24.299999,120000,24.299999,57.4526624729,2,2014
2014-06-02,24.530001,24.75,23.700001,24.65,58700,24.65,59.2992493505,2,2014
2014-06-03,24.4,26.5,24.35,26.309999,124900,26.309999,66.6845233446,2,2014
2014-06-04,26.379999,27.459999,25.865,26.370001,115900,26.370001,66.9181896247,2,2014
2014-06-05,26.629999,27.298,26.08,26.73,91600,26.73,68.3523942678,2,2014
2014-06-06,26.68,27.969999,26.52,26.85,141400,26.85,68.8373706456,2,2014
2014-06-09,27.049999,28.757,26.9,28.309999,350600,28.309999,74.0481635914,2,2014
2014-06-10,28.0,28.690001,27.809999,28.059999,141000,28.059999,71.8331976361,2,2014
2014-06-11,27.889999,28.4,26.85,27.57,94800,27.57,67.5671266106,2,2014
2014-06-12,27.51,28.280001,26.67,27.5,122600,27.5,66.9553739707,2,2014
2014-06-13,27.49,27.780001,27.040001,27.66,79100,27.66,67.6757763375,2,2014
2014-06-16,27.84,27.9,26.799999,26.98,94300,26.98,61.5356835739,2,2014
2014-06-17,26.91,27.32,26.219999,26.92,90200,26.92,61.0097055057,2,2014
2014-06-18,26.790001,28.34,26.764999,27.799999,97200,27.799999,65.6475288432,2,2014
2014-06-19,27.76,27.85,26.940001,27.280001,119500,27.280001,61.028066067,2,2014
2014-06-20,27.82,31.0,27.299999,29.17,449800,29.17,69.4441801611,2,2014
2014-06-23,29.75,30.389999,28.469999,28.68,225500,28.68,65.4951711294,2,2014
2014-06-24,29.110001,29.110001,27.07,27.190001,121400,27.190001,55.2133319155,2,2014
2014-06-25,27.17,28.950001,26.76,28.620001,158000,28.620001,61.4656901826,2,2014
2014-06-26,28.52,29.120001,27.99,29.059999,138500,29.059999,63.1694285627,2,2014
2014-06-27,28.870001,29.700001,28.219999,28.59,1240900,28.59,60.1120596485,2,2014
2014-06-30,29.07,29.67,27.02,27.790001,195600,27.790001,55.2135521292,2,2014
2014-07-01,27.9,28.120001,27.120001,28.02,119900,28.02,56.3157219623,3,2014
2014-07-02,27.93,28.200001,27.280001,27.77,64700,27.77,54.7388504116,3,2014
2014-07-03,27.950001,28.33,27.58,28.049999,39900,28.049999,56.2175102308,3,2014
2014-07-07,27.9,27.959999,25.235001,25.48,173800,25.48,42.4948060816,3,2014
2014-07-08,25.4,25.945,23.406,24.24,182100,24.24,37.7116256753,3,2014
2014-07-09,24.040001,24.889999,23.0,23.6,131700,23.6,35.4911599428,3,2014
2014-07-10,22.83,24.690001,22.83,24.27,173900,24.27,39.5068009868,3,2014
2014-07-11,24.209999,24.879999,24.200001,24.77,89100,24.77,42.3889809457,3,2014
2014-07-14,25.379999,26.0,24.91,25.26,204800,25.26,45.1471718728,3,2014
2014-07-15,25.24,25.25,23.77,24.33,207700,24.33,41.1230119118,3,2014
2014-07-16,24.24,24.68,23.5,23.950001,116700,23.950001,39.5709626915,3,2014
2014-07-17,23.780001,24.27,23.33,23.49,156500,23.49,37.7152995513,3,2014
2014-07-18,23.450001,23.903999,23.0,23.57,183900,23.57,38.2575776739,3,2014
2014-07-21,23.469999,23.478001,22.799999,23.110001,66000,23.110001,36.3005135451,3,2014
2014-07-22,23.379999,23.905001,23.0,23.27,80700,23.27,37.4981514002,3,2014
2014-07-23,23.34,23.99,22.879999,23.190001,82200,23.190001,37.1223340453,3,2014
2014-07-24,23.190001,23.799999,23.190001,23.639999,90100,23.639999,40.7212891752,3,2014
2014-07-25,23.540001,23.959999,23.07,23.360001,149200,23.360001,39.2171598206,3,2014
2014-07-28,23.370001,23.57,22.219999,22.33,169300,22.33,34.2110791617,3,2014
2014-07-29,22.33,23.41,22.200001,23.24,155300,23.24,41.3360257846,3,2014
2014-07-30,23.469999,23.802,22.530001,22.84,100700,22.84,39.3202227069,3,2014
2014-07-31,22.57,23.014,22.02,22.139999,103800,22.139999,36.0106376389,3,2014
2014-08-01,22.0,22.313999,21.065001,21.440001,79100,21.440001,33.0177660247,3,2014
2014-08-04,22.5,22.5,20.502001,20.84,110700,20.84,30.6651943906,3,2014
2014-08-05,20.530001,21.209999,20.49,20.879999,59200,20.879999,31.0180624929,3,2014
2014-08-06,20.76,22.416,20.76,21.57,44100,21.57,36.976706808,3,2014
2014-08-07,21.74,21.790001,20.66,21.030001,61200,21.030001,34.4674282643,3,2014
2014-08-08,21.07,21.805,20.799999,21.690001,73100,21.690001,39.8409303071,3,2014
2014-08-11,21.76,22.66,21.459999,22.6,95400,22.6,46.3705141529,3,2014
2014-08-12,22.41,22.77,21.559999,22.16,105800,22.16,43.88997455,3,2014
2014-08-13,22.25,22.764999,21.68,22.57,119900,22.57,46.7485618415,3,2014
2014-08-14,22.52,24.27,22.056,24.01,127600,24.01,55.3520710866,3,2014
2014-08-15,24.25,26.49,23.68,25.799999,163200,25.799999,63.2914495293,3,2014
2014-08-18,26.07,26.77,25.15,25.969999,149800,25.969999,63.9471501607,3,2014
2014-08-19,26.0,26.35,23.870001,24.27,90500,24.27,53.6305809603,3,2014
2014-08-20,24.120001,24.309999,23.309999,23.42,77500,23.42,49.3440693303,3,2014
2014-08-21,23.5,23.709999,22.0,22.309999,148800,22.309999,44.3580590744,3,2014
2014-08-22,22.16,22.540001,21.74,22.360001,136200,22.360001,44.6294813491,3,2014
2014-08-25,22.51,23.139999,21.981001,22.92,107800,22.92,47.7061343744,3,2014
2014-08-26,23.02,23.75,22.761,23.309999,66600,23.309999,49.7982223824,3,2014
2014-08-27,23.280001,23.41,22.58,22.65,49100,22.65,46.4141178357,3,2014
2014-08-28,22.32,22.719999,21.809999,21.85,76500,21.85,42.6323041463,3,2014
2014-08-29,22.08,22.629999,21.85,22.51,95700,22.51,46.5049040623,3,2014
2014-09-02,22.809999,23.16,22.309999,22.620001,120100,22.620001,47.145311145,3,2014
