Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.28,1.38,1.27,1.32,181300,1.32,,1,2012
2012-01-04,1.34,1.44,1.34,1.36,241100,1.36,,1,2012
2012-01-05,1.36,1.38,1.27,1.38,154400,1.38,,1,2012
2012-01-06,1.39,1.54,1.37,1.44,440000,1.44,,1,2012
2012-01-09,1.54,1.54,1.37,1.39,284900,1.39,,1,2012
2012-01-10,1.38,1.4,1.27,1.29,210700,1.29,,1,2012
2012-01-11,1.31,1.33,1.28,1.3,53100,1.3,,1,2012
2012-01-12,1.31,1.33,1.27,1.29,62700,1.29,,1,2012
2012-01-13,1.28,1.3,1.27,1.28,67700,1.28,,1,2012
2012-01-17,1.3,1.3,1.24,1.28,129700,1.28,,1,2012
2012-01-18,1.24,1.27,1.16,1.27,339700,1.27,,1,2012
2012-01-19,1.27,1.29,1.2,1.25,152600,1.25,,1,2012
2012-01-20,1.25,1.27,1.22,1.24,111600,1.24,,1,2012
2012-01-23,1.23,1.3,1.22,1.29,154800,1.29,,1,2012
2012-01-24,1.3,1.32,1.25,1.32,65300,1.32,50.0,1,2012
2012-01-25,1.32,1.35,1.3,1.34,90700,1.34,52.4390243902,1,2012
2012-01-26,1.34,1.43,1.31,1.36,123800,1.36,54.8128342246,1,2012
2012-01-27,1.36,1.36,1.25,1.31,123300,1.31,48.3198356098,1,2012
2012-01-30,1.31,1.32,1.28,1.3,42700,1.3,47.1176774591,1,2012
2012-01-31,1.32,1.36,1.27,1.36,88700,1.36,54.4415536816,1,2012
2012-02-01,1.41,1.57,1.39,1.57,319000,1.57,70.0670240501,1,2012
2012-02-02,1.55,1.73,1.46,1.7,392900,1.7,75.6375259347,1,2012
2012-02-03,1.77,1.8,1.72,1.76,319200,1.76,77.7002320408,1,2012
2012-02-06,1.73,1.79,1.71,1.76,110500,1.76,77.7002320408,1,2012
2012-02-07,1.72,1.72,1.59,1.64,224200,1.64,64.9456705485,1,2012
2012-02-08,1.65,1.71,1.59,1.65,165000,1.65,65.4545760899,1,2012
2012-02-09,1.66,1.73,1.6,1.71,54900,1.71,68.4172346524,1,2012
2012-02-10,1.74,1.75,1.62,1.65,76100,1.65,62.6325967577,1,2012
2012-02-13,1.68,1.71,1.62,1.65,23100,1.65,62.6325967577,1,2012
2012-02-14,1.68,1.68,1.59,1.64,59700,1.64,61.6254588468,1,2012
2012-02-15,1.65,1.65,1.55,1.58,45600,1.58,55.8251108049,1,2012
2012-02-16,1.55,1.7,1.55,1.7,79100,1.7,63.2710157069,1,2012
2012-02-17,1.7,1.73,1.64,1.72,40100,1.72,64.3495656851,1,2012
2012-02-21,1.75,1.75,1.63,1.66,36800,1.66,58.7736059278,1,2012
2012-02-22,1.64,1.7,1.62,1.62,12900,1.62,55.3313832429,1,2012
2012-02-23,1.63,1.67,1.6,1.65,48700,1.65,57.348969456,1,2012
2012-02-24,1.66,1.78,1.66,1.71,67000,1.71,61.1303858769,1,2012
2012-02-27,1.72,2.45,1.69,2.31,1344200,2.31,80.1157487443,1,2012
2012-02-28,4.04,4.25,3.66,3.94,5570800,3.94,91.8137838246,1,2012
2012-02-29,3.93,4.03,3.1,3.76,1980000,3.76,85.8101793716,1,2012
2012-03-01,3.74,3.94,3.63,3.8,326000,3.8,86.0288093807,1,2012
2012-03-02,3.77,3.89,3.67,3.78,292100,3.78,85.320956069,1,2012
2012-03-05,3.8,4.69,3.72,4.37,1256600,4.37,88.3628978712,1,2012
2012-03-06,4.37,4.9,4.14,4.27,830200,4.27,85.142338022,1,2012
2012-03-07,4.31,4.5,3.99,4.05,487500,4.05,78.3745915835,1,2012
2012-03-08,4.1,4.21,3.98,4.14,140800,4.14,79.1062679706,1,2012
