Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,8.33,8.75,8.33,8.66,357800,8.66,,1,2012
2012-01-04,8.85,8.98,8.62,8.65,241100,8.65,,1,2012
2012-01-05,8.65,8.75,8.55,8.65,230900,8.65,,1,2012
2012-01-06,8.65,8.83,8.65,8.67,216600,8.67,,1,2012
2012-01-09,8.76,8.92,8.7,8.85,171500,8.85,,1,2012
2012-01-10,9.01,9.11,8.9,9.0,298800,9.0,,1,2012
2012-01-11,9.0,9.29,8.85,9.26,404700,9.26,,1,2012
2012-01-12,9.28,10.34,9.25,10.08,1061400,10.08,,1,2012
2012-01-13,10.01,10.16,9.68,9.88,336800,9.88,,1,2012
2012-01-17,9.95,10.57,9.81,10.47,534400,10.47,,1,2012
2012-01-18,10.46,10.46,9.79,10.3,405900,10.3,,1,2012
2012-01-19,10.32,10.35,10.13,10.26,296800,10.26,,1,2012
2012-01-20,10.15,10.66,10.06,10.34,473300,10.34,,1,2012
2012-01-23,10.37,10.66,10.3,10.5,241900,10.5,,1,2012
2012-01-24,10.45,10.76,9.82,10.7,297200,10.7,85.4166666667,1,2012
2012-01-25,10.7,10.97,10.61,10.89,207400,10.89,86.3840399002,1,2012
2012-01-26,10.9,11.0,10.61,10.8,375100,10.8,83.5566111255,1,2012
2012-01-27,10.74,11.17,10.65,10.91,422600,10.91,84.2357616112,1,2012
2012-01-30,10.84,11.27,10.81,11.16,226000,11.16,85.6830564318,1,2012
2012-01-31,11.17,11.7,11.14,11.56,421900,11.56,87.6385566283,1,2012
2012-02-01,11.64,12.13,11.55,12.08,650100,12.08,89.6228799147,1,2012
2012-02-02,12.1,12.65,12.06,12.6,635000,12.6,91.1523946676,1,2012
2012-02-03,12.87,13.23,12.6,13.01,701500,13.01,92.1365328889,1,2012
2012-02-06,12.98,13.25,12.93,13.13,313700,13.13,92.4028879551,1,2012
2012-02-07,13.1,13.1,12.74,12.95,480700,12.95,87.6091708679,1,2012
2012-02-08,13.02,13.15,12.72,13.05,569500,13.05,87.9821843846,1,2012
2012-02-09,13.06,13.11,12.57,13.05,342600,13.05,87.9821843846,1,2012
2012-02-10,12.6,12.79,11.72,12.15,724400,12.15,66.9462306516,1,2012
2012-02-13,12.31,12.43,12.17,12.39,405300,12.39,69.0699700452,1,2012
2012-02-14,11.71,11.73,10.97,10.98,1115000,10.98,49.1072930379,1,2012
2012-02-15,11.16,12.99,11.05,12.55,3779800,12.55,62.2057573805,1,2012
2012-02-16,12.53,12.87,12.43,12.61,622000,12.61,62.601899171,1,2012
2012-02-17,12.67,12.67,12.08,12.2,420900,12.2,58.118985955,1,2012
2012-02-21,12.22,12.44,11.62,11.98,709300,11.98,55.8095554736,1,2012
2012-02-22,11.92,12.04,11.59,11.95,414800,11.95,55.485774166,1,2012
2012-02-23,11.95,12.82,11.87,12.76,507900,12.76,61.9110358331,1,2012
2012-02-24,12.93,13.71,12.54,13.42,848300,13.42,66.1929929914,1,2012
2012-02-27,13.42,13.75,13.38,13.58,573800,13.58,67.1569277953,1,2012
2012-02-28,13.59,13.66,13.39,13.52,738500,13.52,66.3924313648,1,2012
2012-02-29,13.53,13.73,13.18,13.34,1369700,13.34,64.0372557708,1,2012
2012-03-01,13.38,13.73,13.04,13.64,467100,13.64,66.1899575416,1,2012
2012-03-02,13.58,13.66,12.48,12.51,534500,12.51,53.2581557536,1,2012
2012-03-05,12.52,12.67,12.31,12.65,549900,12.65,54.4456488077,1,2012
2012-03-06,12.49,12.57,11.6,11.68,439800,11.68,45.7694531113,1,2012
2012-03-07,11.7,12.05,11.69,12.02,486900,12.02,48.8464951068,1,2012
2012-03-08,12.15,12.24,11.96,12.14,209600,12.14,49.9263994124,1,2012
2012-03-09,12.12,12.35,12.01,12.18,259600,12.18,50.3030193521,1,2012
2012-03-12,12.21,12.32,11.82,11.95,273600,11.95,48.0644478321,1,2012
2012-03-13,12.02,12.05,11.75,12.0,240500,12.0,48.5999574201,1,2012
2012-03-14,11.96,12.07,11.75,11.79,158100,11.79,46.4343685272,1,2012
2012-03-15,11.84,12.16,11.8,12.0,234800,12.0,48.8871287147,1,2012
2012-03-16,12.03,12.17,11.54,11.59,1312700,11.59,44.593814021,1,2012
2012-03-19,11.52,12.13,11.51,12.09,278000,12.09,50.3233721577,1,2012
2012-03-20,11.99,11.99,11.49,11.58,241400,11.58,45.1901345798,1,2012
2012-03-21,11.61,11.65,11.38,11.45,166200,11.45,43.9592157236,1,2012
2012-03-22,11.35,11.35,11.0,11.3,299200,11.3,42.520045706,1,2012
2012-03-23,11.34,11.43,11.1,11.34,240700,11.34,43.0554327773,1,2012
2012-03-26,11.47,11.64,11.31,11.39,520800,11.39,43.7605915378,1,2012
2012-03-27,11.41,11.58,11.28,11.33,320900,11.33,43.0713225388,1,2012
2012-03-28,11.38,11.64,11.1,11.35,213200,11.35,43.3913972967,1,2012
2012-03-29,11.26,11.36,11.01,11.27,172200,11.27,42.3653305685,1,2012
2012-03-30,11.35,11.55,11.01,11.07,370400,11.07,39.8296027423,1,2012
2012-04-02,11.05,11.37,10.95,11.1,508300,11.1,40.4058010335,2,2012
2012-04-03,11.11,11.22,10.75,10.82,209900,10.82,36.8581262543,2,2012
2012-04-04,10.68,10.82,10.17,10.36,489400,10.36,31.9023939691,2,2012
2012-04-05,10.31,10.72,10.31,10.64,282100,10.64,37.4181828642,2,2012
2012-04-09,10.33,10.54,9.96,10.29,684800,10.29,33.7393718299,2,2012
2012-04-10,10.28,10.35,9.99,10.0,553800,10.0,31.0181997132,2,2012
2012-04-11,10.14,10.33,10.1,10.28,209500,10.28,36.3555337637,2,2012
2012-04-12,10.27,10.5,10.23,10.33,209000,10.33,37.2886434811,2,2012
2012-04-13,10.26,10.3,9.91,10.02,363700,10.02,33.963845284,2,2012
2012-04-16,10.11,10.17,9.84,10.01,505600,10.01,33.8589670417,2,2012
2012-04-17,10.11,10.3,9.99,10.14,244900,10.14,36.5998280804,2,2012
2012-04-18,10.05,10.15,9.95,10.0,116100,10.0,34.9214946905,2,2012
2012-04-19,10.05,10.44,9.97,10.0,173000,10.0,34.9214946905,2,2012
2012-04-20,10.76,10.76,10.29,10.62,347200,10.62,47.3271342192,2,2012
2012-04-23,10.51,10.82,10.4,10.66,327600,10.66,48.0156395052,2,2012
2012-04-24,10.69,11.26,10.6,11.19,380500,11.19,56.187468031,2,2012
2012-04-25,11.39,11.92,11.31,11.55,495400,11.55,60.7058762254,2,2012
2012-04-26,11.49,11.71,11.42,11.63,394900,11.63,61.6523275624,2,2012
2012-04-27,11.69,11.75,11.4,11.67,204000,11.67,62.1433122867,2,2012
2012-04-30,11.66,11.87,11.27,11.39,283500,11.39,56.6732782368,2,2012
2012-05-01,11.34,11.53,11.15,11.17,300000,11.17,52.7447977846,2,2012
2012-05-02,10.95,11.06,10.64,10.75,379200,10.75,46.1655589427,2,2012
2012-05-03,10.7,10.72,10.19,10.29,321400,10.29,40.2445428188,2,2012
2012-05-04,10.39,10.49,9.69,9.78,366200,9.78,34.9001062968,2,2012
2012-05-07,9.75,10.07,9.55,9.97,356700,9.97,38.1931654709,2,2012
2012-05-08,10.25,10.72,10.14,10.61,597700,10.61,47.7761203564,2,2012
2012-05-09,10.38,10.78,10.2,10.6,279300,10.6,47.6517986537,2,2012
2012-05-10,10.72,10.78,10.46,10.7,337000,10.7,49.0787840175,2,2012
2012-05-11,10.59,10.8,10.54,10.69,266200,10.69,48.9351282164,2,2012
2012-05-14,10.53,10.7,10.37,10.61,196000,10.61,47.7314546727,2,2012
2012-05-15,10.57,10.59,10.36,10.47,200300,10.47,45.6168182575,2,2012
2012-05-16,10.5,10.58,10.27,10.29,213000,10.29,42.9803065853,2,2012
2012-05-17,10.27,10.39,9.85,10.0,243000,10.0,39.0630580791,2,2012
2012-05-18,9.99,10.05,9.51,9.91,490000,9.91,37.9083410033,2,2012
2012-05-21,9.95,10.13,9.8,10.07,329200,10.07,41.2341443745,2,2012
2012-05-22,10.09,10.4,9.93,10.06,311400,10.06,41.0860215123,2,2012
2012-05-23,10.0,10.35,9.78,10.3,219000,10.3,46.0912119022,2,2012
