Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,23.51,24.0,23.309999,23.879999,626600,23.879999,,1,2012
2012-01-04,23.77,24.84,23.75,23.93,729800,23.93,,1,2012
2012-01-05,23.76,23.83,23.379999,23.73,406800,23.73,,1,2012
2012-01-06,23.799999,24.02,23.549999,23.639999,267400,23.639999,,1,2012
2012-01-09,23.73,23.85,23.440001,23.65,335600,23.65,,1,2012
2012-01-10,23.889999,24.0,23.51,23.700001,354600,23.700001,,1,2012
2012-01-11,23.610001,23.9,21.51,22.23,2432900,22.23,,1,2012
2012-01-12,22.139999,22.780001,22.139999,22.34,892100,22.34,,1,2012
2012-01-13,22.15,22.27,21.639999,22.219999,538100,22.219999,,1,2012
2012-01-17,22.459999,22.780001,22.219999,22.299999,968400,22.299999,,1,2012
2012-01-18,21.99,22.4,21.700001,22.209999,839200,22.209999,,1,2012
2012-01-19,22.25,22.98,22.25,22.700001,556200,22.700001,,1,2012
2012-01-20,22.59,22.719999,22.34,22.42,535100,22.42,,1,2012
2012-01-23,22.51,22.77,22.200001,22.34,423500,22.34,,1,2012
2012-01-24,22.25,22.48,22.139999,22.309999,533800,22.309999,25.0794441922,1,2012
2012-01-25,22.219999,23.040001,22.219999,23.01,651500,23.01,39.5468414829,1,2012
2012-01-26,23.219999,23.85,23.17,23.709999,805300,23.709999,49.954199607,1,2012
2012-01-27,23.690001,24.35,23.48,24.15,617600,24.15,55.1776454529,1,2012
2012-01-30,24.030001,24.15,23.790001,24.07,618400,24.07,54.0725811126,1,2012
2012-01-31,24.16,24.33,23.9,24.15,678700,24.15,55.0422285609,1,2012
2012-02-01,24.27,24.52,24.030001,24.25,407900,24.25,56.2846542821,1,2012
2012-02-02,24.34,25.049999,24.33,25.01,832200,25.01,64.3484929041,1,2012
2012-02-03,25.26,26.08,25.26,25.790001,833100,25.790001,70.3861568065,1,2012
2012-02-06,25.690001,25.690001,25.17,25.280001,594200,25.280001,62.8870126094,1,2012
2012-02-07,25.1,25.24,24.43,24.52,813100,24.52,53.7044590669,1,2012
2012-02-08,24.84,27.110001,24.84,26.639999,2383300,26.639999,67.8199366204,1,2012
2012-02-09,27.219999,27.219999,26.15,26.32,1161600,26.32,64.6173337019,1,2012
2012-02-10,26.0,26.0,25.459999,25.76,740000,25.76,59.3366201548,1,2012
2012-02-13,25.82,26.540001,25.690001,25.959999,508000,25.959999,60.5757906074,1,2012
2012-02-14,25.889999,26.15,25.74,25.860001,290900,25.860001,59.597863598,1,2012
2012-02-15,25.959999,26.16,25.73,25.92,468900,25.92,60.0149655345,1,2012
2012-02-16,25.889999,26.299999,25.719999,26.01,737800,26.01,60.6708622876,1,2012
2012-02-17,26.17,26.27,25.73,25.969999,548600,25.969999,60.1982177291,1,2012
