Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,19.1,19.24,18.469999,18.74,133200,18.74,,1,2012
2012-01-04,18.639999,19.08,18.360001,18.700001,141200,18.700001,,1,2012
2012-01-05,18.65,18.950001,18.01,18.34,180400,18.34,,1,2012
2012-01-06,18.34,18.780001,18.34,18.540001,69900,18.540001,,1,2012
2012-01-09,17.799999,17.959999,16.4,16.65,233600,16.65,,1,2012
2012-01-10,17.0,17.9,17.0,17.5,91900,17.5,,1,2012
2012-01-11,17.450001,18.42,17.15,18.290001,172400,18.290001,,1,2012
2012-01-12,18.26,18.26,17.26,17.530001,181600,17.530001,,1,2012
2012-01-13,17.26,17.66,17.02,17.280001,67600,17.280001,,1,2012
2012-01-17,17.35,17.620001,16.76,16.940001,123800,16.940001,,1,2012
2012-01-18,16.889999,17.25,16.469999,17.18,89900,17.18,,1,2012
2012-01-19,17.129999,17.24,16.82,17.08,88100,17.08,,1,2012
2012-01-20,17.08,17.120001,16.42,16.639999,93800,16.639999,,1,2012
2012-01-23,15.75,15.95,15.39,15.7,164400,15.7,,1,2012
2012-01-24,15.66,16.0,15.62,15.93,260900,15.93,31.0901800565,1,2012
2012-01-25,15.95,16.719999,15.95,16.68,99700,16.68,37.846673975,1,2012
2012-01-26,16.690001,16.690001,16.25,16.389999,88100,16.389999,36.3620661573,1,2012
2012-01-27,16.32,16.75,16.18,16.700001,80300,16.700001,39.1116557305,1,2012
2012-01-30,16.66,16.74,16.120001,16.43,131200,16.43,37.58833804,1,2012
2012-01-31,16.49,16.780001,16.059999,16.42,97400,16.42,37.5300361576,1,2012
2012-02-01,16.559999,16.690001,16.34,16.48,104900,16.48,38.1499134101,1,2012
2012-02-02,16.559999,16.969999,16.559999,16.700001,124400,16.700001,40.4819803135,1,2012
2012-02-03,17.18,17.4,16.9,17.25,101500,17.25,45.96704027,1,2012
2012-02-06,17.16,17.75,16.959999,17.25,147100,17.25,45.96704027,1,2012
2012-02-07,17.200001,17.389999,16.84,16.9,41900,16.9,43.0396719402,1,2012
2012-02-08,16.92,17.379999,16.440001,16.74,54800,16.74,41.7313054249,1,2012
2012-02-09,16.75,16.75,15.81,16.219999,145300,16.219999,37.7182021869,1,2012
2012-02-10,16.09,16.309999,15.8,15.85,70300,15.85,35.1295594317,1,2012
2012-02-13,15.95,16.559999,15.92,16.51,116400,16.51,42.685887054,1,2012
2012-02-14,16.43,16.76,15.95,16.559999,159700,16.559999,43.2254224106,1,2012
2012-02-15,16.700001,16.93,16.389999,16.43,53800,16.43,42.115323062,1,2012
2012-02-16,16.49,17.040001,16.49,16.99,80100,16.99,48.2775081722,1,2012
2012-02-17,17.08,17.18,16.860001,17.120001,72600,17.120001,49.6183780079,1,2012
2012-02-21,17.190001,17.43,16.719999,16.74,112400,16.74,45.8746628597,1,2012
2012-02-22,16.700001,16.73,15.8,15.86,94500,15.86,38.6096172415,1,2012
2012-02-23,15.93,16.84,15.91,16.84,69800,16.84,48.4084078574,1,2012
2012-02-24,15.82,16.889999,15.82,16.85,50800,16.85,48.4987413054,1,2012
2012-02-27,16.75,16.75,16.370001,16.450001,63900,16.450001,45.0972941316,1,2012
2012-02-28,16.49,16.549999,15.92,16.1,88800,16.1,42.3016273803,1,2012
2012-02-29,16.1,16.1,15.81,15.81,65900,15.81,40.0843348486,1,2012
2012-03-01,15.81,15.81,15.35,15.56,440200,15.56,38.2242547759,1,2012
2012-03-02,15.53,16.25,15.4,15.99,113000,15.99,43.1138885961,1,2012
2012-03-05,16.0,16.110001,15.49,16.09,48000,16.09,44.2196359666,1,2012
2012-03-06,16.99,16.99,15.95,16.040001,89500,16.040001,43.7616111887,1,2012
2012-03-07,16.120001,16.459999,14.98,14.98,271200,14.98,35.3919490054,1,2012
2012-03-08,16.26,16.75,16.0,16.65,233900,16.65,51.2206565837,1,2012
2012-03-09,16.65,16.75,16.23,16.370001,86800,16.370001,49.0508068268,1,2012
2012-03-12,16.41,16.75,15.94,16.059999,143800,16.059999,46.6923757279,1,2012
2012-03-13,16.15,16.27,15.86,16.200001,76500,16.200001,47.9104727485,1,2012
2012-03-14,16.15,16.27,15.98,16.07,72300,16.07,46.8401663584,1,2012
2012-03-15,16.08,16.25,15.85,16.110001,99300,16.110001,47.2307976509,1,2012
2012-03-16,16.0,16.129999,15.53,16.049999,167700,16.049999,46.6767292341,1,2012
2012-03-19,16.07,16.68,15.95,16.57,87800,16.57,51.9387910041,1,2012
2012-03-20,16.49,16.49,16.02,16.360001,55600,16.360001,49.8014261098,1,2012
2012-03-21,16.41,16.48,15.89,16.0,64900,16.0,46.2850242944,1,2012
2012-03-22,15.9,15.98,15.64,15.78,60800,15.78,44.2297270835,1,2012
2012-03-23,15.82,15.82,15.61,15.77,186400,15.77,44.1337942207,1,2012
2012-03-26,15.9,16.309999,15.8,16.17,187900,16.17,48.9074932193,1,2012
2012-03-27,16.24,16.700001,16.02,16.110001,186000,16.110001,48.2416125987,1,2012
2012-03-28,16.17,16.41,15.68,16.059999,180300,16.059999,47.65924636,1,2012
2012-03-29,15.97,16.4,15.83,16.25,53500,16.25,50.1231654934,1,2012
2012-03-30,16.33,16.33,15.77,15.93,127100,15.93,46.1802160064,1,2012
2012-04-02,15.86,16.23,15.54,15.73,105700,15.73,43.858032336,2,2012
2012-04-03,15.75,16.110001,15.61,15.86,154300,15.86,45.7670157266,2,2012
2012-04-04,15.72,15.79,15.56,15.66,73400,15.66,43.3261922638,2,2012
2012-04-05,15.6,15.79,15.56,15.68,77300,15.68,43.6498333594,2,2012
2012-04-09,15.55,15.62,15.53,15.54,83900,15.54,41.848301967,2,2012
2012-04-10,15.54,15.74,15.5,15.65,140500,15.65,43.8105912822,2,2012
2012-04-11,15.75,15.97,15.53,15.86,111000,15.86,47.4559123608,2,2012
2012-04-12,15.78,15.94,15.56,15.58,79700,15.58,43.4118909336,2,2012
2012-04-13,15.54,15.73,15.52,15.65,93200,15.65,44.6810662395,2,2012
2012-04-16,15.69,15.86,15.46,15.57,68500,15.57,43.4808188333,2,2012
2012-04-17,15.69,15.98,15.55,15.78,86900,15.78,47.4698709182,2,2012
2012-04-18,15.71,15.71,15.41,15.43,96300,15.43,42.1325313808,2,2012
2012-04-19,15.47,15.59,15.15,15.26,96600,15.26,39.7922359522,2,2012
2012-04-20,15.35,16.09,15.27,15.93,230800,15.93,51.2786188039,2,2012
2012-04-23,15.85,15.87,15.58,15.6,86500,15.6,46.5663820122,2,2012
2012-04-24,15.57,15.9,15.57,15.79,80600,15.79,49.4468518841,2,2012
2012-04-25,15.95,16.34,15.89,16.32,85300,16.32,56.4924844675,2,2012
2012-04-26,16.280001,16.450001,15.9,16.02,105600,16.02,52.0688443001,2,2012
2012-04-27,16.049999,16.08,15.65,16.01,167300,16.01,51.9228918402,2,2012
2012-04-30,16.0,16.0,15.64,15.66,58000,15.66,46.9612453958,2,2012
2012-05-01,15.65,15.87,15.43,15.45,103000,15.45,44.2302422907,2,2012
2012-05-02,15.33,16.049999,15.28,15.92,180300,15.92,51.0863261114,2,2012
2012-05-03,15.91,16.18,15.9,15.99,106000,15.99,52.0321546998,2,2012
2012-05-04,15.95,16.219999,15.73,15.76,94400,15.76,48.6999968567,2,2012
2012-05-07,15.74,16.34,15.74,16.18,69000,16.18,54.4380221833,2,2012
2012-05-08,16.059999,16.280001,15.74,15.89,77700,15.89,50.2579549008,2,2012
2012-05-09,15.75,16.09,15.75,16.02,46000,16.02,52.035935233,2,2012
2012-05-10,14.77,14.78,13.25,13.67,1415000,13.67,30.6843699347,2,2012
2012-05-11,13.29,13.8,13.24,13.25,172600,13.25,28.4384302622,2,2012
2012-05-14,13.06,13.23,12.98,12.99,200800,12.99,27.1152958497,2,2012
2012-05-15,12.97,13.0,12.79,12.92,123000,12.92,26.7543827418,2,2012
2012-05-16,12.91,12.98,12.52,12.53,183500,12.53,24.7757450335,2,2012
2012-05-17,12.52,13.23,12.43,12.85,251100,12.85,29.3900600737,2,2012
2012-05-18,12.8,13.16,12.75,13.14,115000,13.14,33.378442828,2,2012
2012-05-21,13.13,13.27,12.84,13.06,84700,13.06,32.8275761812,2,2012
2012-05-22,13.04,13.42,12.98,13.2,122000,13.2,34.8538217641,2,2012
2012-05-23,13.09,13.44,13.04,13.3,95000,13.3,36.3311756539,2,2012
2012-05-24,13.3,13.72,13.25,13.55,120300,13.55,39.994786008,2,2012
2012-05-25,13.48,13.96,13.38,13.9,88200,13.9,44.784972878,2,2012
2012-05-29,14.0,14.28,13.91,14.22,105700,14.22,48.8086804379,2,2012
2012-05-30,14.1,14.26,13.57,13.62,115600,13.62,42.5478405478,2,2012
2012-05-31,13.63,14.12,13.38,14.03,480000,14.03,47.5033093625,2,2012
2012-06-01,13.77,13.95,13.41,13.58,136100,13.58,43.1083659131,2,2012
2012-06-04,13.68,13.97,13.44,13.72,115800,13.72,44.8188551163,2,2012
2012-06-05,13.59,14.14,13.59,13.88,134700,13.88,46.7879146125,2,2012
2012-06-06,13.91,14.1,13.83,13.94,79000,13.94,47.5438428262,2,2012
2012-06-07,14.03,14.48,13.89,14.44,157400,14.44,53.4752502784,2,2012
2012-06-08,14.41,14.77,14.21,14.74,92000,14.74,56.6430379523,2,2012
2012-06-11,14.89,15.02,14.6,14.89,135600,14.89,58.1764116115,2,2012
2012-06-12,15.07,15.07,14.64,14.83,184300,14.83,57.3034114846,2,2012
2012-06-13,14.81,14.91,14.58,14.78,103100,14.78,56.5419609766,2,2012
2012-06-14,14.77,14.88,14.66,14.88,218200,14.88,57.7511407369,2,2012
2012-06-15,14.8,15.17,14.66,15.13,184100,15.13,60.6954805185,2,2012
2012-06-18,15.08,15.08,14.79,14.84,126300,14.84,55.834558041,2,2012
2012-06-19,14.9,15.08,14.68,14.85,165700,14.85,55.9655190186,2,2012
2012-06-20,14.87,14.88,14.64,14.7,138400,14.7,53.4073102899,2,2012
2012-06-21,14.65,14.85,14.4,14.44,104400,14.44,49.2085348571,2,2012
2012-06-22,14.52,15.82,14.41,15.05,633600,15.05,57.6256967715,2,2012
2012-06-25,14.86,15.02,14.79,14.89,65600,14.89,55.0487965618,2,2012
2012-06-26,14.87,15.18,14.84,15.09,102100,15.09,57.6010910835,2,2012
2012-06-27,15.12,15.23,14.76,15.09,108100,15.09,57.6010910835,2,2012
2012-06-28,15.0,15.18,14.93,15.1,65800,15.1,57.7402323465,2,2012
2012-06-29,15.26,15.41,15.17,15.4,67600,15.4,61.7912996975,2,2012
2012-07-02,15.38,15.56,15.28,15.48,136500,15.48,62.8149787314,3,2012
2012-07-03,15.44,15.55,15.22,15.49,39900,15.49,62.9486077478,3,2012
2012-07-05,15.37,15.46,14.77,14.82,84400,14.82,49.9872269931,3,2012
2012-07-06,14.71,15.43,14.71,15.39,78800,15.39,57.924620594,3,2012
2012-07-09,15.33,15.47,15.19,15.35,29900,15.35,57.2381024366,3,2012
2012-07-10,15.5,15.5,14.78,14.8,66200,14.8,48.6925736462,3,2012
2012-07-11,14.86,15.35,14.73,15.3,63100,15.3,55.2355975104,3,2012
2012-07-12,15.16,15.63,15.16,15.5,77800,15.5,57.566640919,3,2012
2012-07-13,15.49,15.79,15.31,15.71,71300,15.71,59.9263088906,3,2012
2012-07-16,15.74,15.87,15.58,15.83,58300,15.83,61.2522865276,3,2012
2012-07-17,15.83,15.91,15.64,15.85,79500,15.85,61.481048977,3,2012
2012-07-18,16.02,16.299999,15.66,15.94,203500,15.94,62.5524672877,3,2012
2012-07-19,15.99,16.0,15.51,15.56,61100,15.56,55.5293061892,3,2012
2012-07-20,15.48,15.59,15.34,15.36,47800,15.36,52.2069399376,3,2012
2012-07-23,15.16,15.59,15.16,15.49,40300,15.49,54.1281275063,3,2012
2012-07-24,15.57,15.59,15.26,15.32,56700,15.32,51.2280916982,3,2012
2012-07-25,15.36,15.48,15.15,15.2,69700,15.2,49.2233051641,3,2012
2012-07-26,15.59,15.59,14.99,15.25,63200,15.25,50.0995745685,3,2012
2012-07-27,15.24,15.74,15.16,15.66,156900,15.66,56.6985194589,3,2012
2012-07-30,15.63,15.77,15.48,15.65,39500,15.65,56.502257162,3,2012
2012-07-31,15.53,15.88,15.44,15.48,86300,15.48,53.1349769365,3,2012
2012-08-01,15.47,15.8,14.89,14.97,188600,14.97,44.55616406,3,2012
2012-08-02,14.93,15.3,14.9,15.1,51400,15.1,46.9091754454,3,2012
2012-08-03,15.25,15.63,15.19,15.31,61100,15.31,50.5593650523,3,2012
2012-08-06,14.29,15.75,14.21,15.43,100000,15.43,52.5662835755,3,2012
2012-08-07,15.5,15.73,14.11,15.43,60100,15.43,52.5662835755,3,2012
2012-08-08,15.43,15.62,15.09,15.33,53500,15.33,50.5818853266,3,2012
2012-08-09,15.28,15.39,14.94,15.08,61400,15.08,45.9152564127,3,2012
2012-08-10,15.09,15.15,14.96,15.0,28100,15.0,44.5004174802,3,2012
2012-08-13,14.95,15.07,14.92,15.01,44900,15.01,44.7296818936,3,2012
2012-08-14,15.1,15.11,14.9,14.99,25500,14.99,44.335215117,3,2012
2012-08-15,14.92,15.11,14.85,14.99,64900,14.99,44.335215117,3,2012
2012-08-16,14.94,15.18,14.94,15.07,50500,15.07,46.5230309659,3,2012
2012-08-17,15.0,15.12,14.97,15.1,38400,15.1,47.3585834742,3,2012
2012-08-20,15.25,15.48,15.01,15.03,64200,15.03,45.5694520724,3,2012
2012-08-21,15.05,15.24,14.45,15.0,82200,15.0,44.7885113668,3,2012
