Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.34,4.69,4.2,4.41,48800,4.41,,1,2012
2012-01-04,4.38,4.45,4.0,4.24,125000,4.24,,1,2012
2012-01-05,4.23,4.57,4.23,4.42,115900,4.42,,1,2012
2012-01-06,4.41,4.6,4.41,4.51,67500,4.51,,1,2012
2012-01-09,4.5,4.52,4.1,4.19,148500,4.19,,1,2012
2012-01-10,4.25,4.26,4.01,4.09,96300,4.09,,1,2012
2012-01-11,4.07,4.24,3.95,4.15,139600,4.15,,1,2012
2012-01-12,4.17,4.18,4.03,4.16,45100,4.16,,1,2012
2012-01-13,4.05,4.27,4.0,4.03,65400,4.03,,1,2012
2012-01-17,3.72,3.99,3.7,3.81,154700,3.81,,1,2012
2012-01-18,3.81,4.07,3.76,4.06,104600,4.06,,1,2012
2012-01-19,4.03,4.12,3.9,3.98,136000,3.98,,1,2012
2012-01-20,3.97,3.97,3.83,3.87,83600,3.87,,1,2012
2012-01-23,3.88,3.96,3.72,3.78,80300,3.78,,1,2012
2012-01-24,3.77,4.42,3.76,4.3,142700,4.3,47.6394849785,1,2012
2012-01-25,4.29,4.44,4.16,4.39,119100,4.39,49.7305863708,1,2012
2012-01-26,4.4,4.43,4.18,4.28,122700,4.28,47.2469945102,1,2012
2012-01-27,4.26,4.3,3.85,4.1,135000,4.1,43.4252352137,1,2012
2012-01-30,4.02,4.22,4.02,4.08,56800,4.08,43.0089507858,1,2012
2012-01-31,4.12,4.25,4.08,4.14,115300,4.14,44.7209918069,1,2012
2012-02-01,4.2,4.29,4.1,4.25,71000,4.25,47.8160618566,1,2012
2012-02-02,4.17,4.28,4.17,4.21,73500,4.21,46.7901347013,1,2012
2012-02-03,4.3,4.34,4.14,4.31,92600,4.31,49.6959649185,1,2012
2012-02-06,4.32,4.35,4.21,4.28,26200,4.28,48.8343573777,1,2012
2012-02-07,4.27,4.27,4.14,4.17,49400,4.17,45.7053167593,1,2012
2012-02-08,4.16,4.21,4.15,4.15,55700,4.15,45.1389996948,1,2012
2012-02-09,4.13,4.28,4.12,4.25,56000,4.25,48.5703212933,1,2012
2012-02-10,4.23,4.25,4.03,4.04,55100,4.04,42.5514380119,1,2012
2012-02-13,4.1,4.12,3.82,3.92,114000,3.92,39.5364263825,1,2012
2012-02-14,3.92,3.92,3.63,3.74,118900,3.74,35.4758850836,1,2012
2012-02-15,3.77,3.77,3.48,3.53,134400,3.53,31.421335357,1,2012
2012-02-16,3.55,3.75,3.55,3.69,79500,3.69,37.3010349201,1,2012
2012-02-17,3.7,3.72,3.63,3.63,55200,3.63,36.0527312891,1,2012
2012-02-21,3.64,3.7,3.5,3.66,140200,3.66,37.1846617385,1,2012
2012-02-22,3.64,3.68,3.58,3.59,66400,3.59,35.6011431877,1,2012
2012-02-23,3.61,3.61,3.52,3.55,26100,3.55,34.6919938723,1,2012
2012-02-24,3.55,3.55,3.35,3.51,106400,3.51,33.7634492835,1,2012
2012-02-27,3.46,3.7,3.46,3.69,209100,3.69,41.3684936457,1,2012
2012-02-28,3.65,3.89,3.63,3.87,52500,3.87,47.8204187353,1,2012
2012-02-29,3.9,4.0,3.83,3.86,180800,3.86,47.5076423754,1,2012
2012-03-01,3.87,3.98,3.76,3.91,42700,3.91,49.2934683668,1,2012
2012-03-02,3.92,3.92,3.6,3.61,83800,3.61,40.4102467552,1,2012
2012-03-05,3.61,3.76,3.6,3.72,51500,3.72,44.3689631355,1,2012
2012-03-06,3.89,3.89,3.6,3.61,72500,3.61,41.4066078884,1,2012
2012-03-07,3.6,3.69,3.51,3.58,32400,3.58,40.6102527192,1,2012
2012-03-08,3.68,3.68,3.46,3.53,52500,3.53,39.2551650588,1,2012
2012-03-09,3.52,3.52,3.4,3.41,69300,3.41,36.1384496987,1,2012
2012-03-12,3.39,3.41,3.26,3.29,58400,3.29,33.2918708496,1,2012
2012-03-13,3.34,3.36,3.15,3.2,138700,3.2,31.300505274,1,2012
2012-03-14,3.17,3.17,2.91,2.97,246600,2.97,26.8761511637,1,2012
2012-03-15,3.02,3.14,2.73,2.84,367800,2.84,24.7469332226,1,2012
2012-03-16,2.84,2.84,2.61,2.68,319100,2.68,22.3952918998,1,2012
2012-03-19,3.12,4.58,3.12,3.82,3360000,3.82,55.1198394391,1,2012
2012-03-20,4.15,4.47,3.85,3.9,2076200,3.9,56.5059109562,1,2012
2012-03-21,3.97,3.98,3.5,3.66,647600,3.66,51.3793536993,1,2012
2012-03-22,3.62,3.65,3.42,3.63,336800,3.63,50.7594227728,1,2012
2012-03-23,3.63,3.71,3.47,3.52,209600,3.52,48.451009262,1,2012
2012-03-26,3.57,3.58,3.28,3.42,364000,3.42,46.3857548465,1,2012
