Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,7.65,7.65,7.02,7.05,2604000,7.05,,1,2012
2012-01-04,6.44,6.54,6.26,6.35,10673200,6.35,,1,2012
2012-01-05,6.35,6.52,6.13,6.38,4300300,6.38,,1,2012
2012-01-06,6.39,6.79,6.3,6.75,3637900,6.75,,1,2012
2012-01-09,6.67,6.99,6.52,6.87,3564800,6.87,,1,2012
2012-01-10,7.0,7.09,6.87,7.06,2442800,7.06,,1,2012
2012-01-11,7.03,7.53,7.0,7.5,4234300,7.5,,1,2012
2012-01-12,7.42,7.65,7.24,7.32,1986500,7.32,,1,2012
2012-01-13,7.3,7.43,7.13,7.17,1290000,7.17,,1,2012
2012-01-17,7.2,7.85,7.2,7.68,4213400,7.68,,1,2012
2012-01-18,7.65,8.4,7.57,8.39,4930800,8.39,,1,2012
2012-01-19,8.36,9.0,8.28,8.55,5340200,8.55,,1,2012
2012-01-20,8.55,8.71,8.13,8.26,2528300,8.26,,1,2012
2012-01-23,8.21,8.41,8.15,8.37,1887400,8.37,,1,2012
2012-01-24,8.32,8.35,7.79,8.09,2984700,8.09,62.2641509434,1,2012
2012-01-25,8.07,8.43,7.92,8.21,3754800,8.21,63.3802816901,1,2012
2012-01-26,8.27,8.28,7.72,7.83,2762500,7.83,57.5730735164,1,2012
2012-01-27,7.7,8.09,7.55,7.93,1890100,7.93,58.6468717487,1,2012
2012-01-30,7.77,8.29,7.73,8.28,1993000,8.28,62.2482665922,1,2012
2012-01-31,8.34,8.35,8.1,8.16,1381500,8.16,60.3089789459,1,2012
2012-02-01,8.24,8.87,8.1,8.86,4139900,8.86,66.8055216065,1,2012
2012-02-02,9.0,9.05,8.77,8.83,2384500,8.83,66.3046322629,1,2012
2012-02-03,9.0,9.09,8.66,8.79,2919900,8.79,65.5984023393,1,2012
2012-02-06,8.7,9.32,8.7,9.24,2629500,9.24,69.5303434853,1,2012
2012-02-07,9.33,9.36,8.6,8.67,3269000,8.67,60.1520119845,1,2012
2012-02-08,8.75,8.86,8.59,8.64,1748800,8.64,59.6956338222,1,2012
2012-02-09,8.68,8.71,8.33,8.62,1884000,8.62,59.3722253089,1,2012
2012-02-10,8.58,8.6,8.35,8.4,1450800,8.4,55.7916295321,1,2012
2012-02-13,8.73,9.0,8.55,8.92,2564100,8.92,61.6749211007,1,2012
2012-02-14,8.95,9.1,8.63,8.75,1536500,8.75,58.914542599,1,2012
2012-02-15,8.76,9.02,8.62,8.79,2154500,8.79,59.3752723421,1,2012
2012-02-16,8.85,9.42,8.68,9.35,2924400,9.35,65.2504387027,1,2012
2012-02-17,9.35,9.38,8.15,8.57,4991000,8.57,53.6188626939,1,2012
2012-02-21,8.78,8.81,8.62,8.73,2891000,8.73,55.3761089511,1,2012
2012-02-22,8.71,8.78,8.49,8.68,1075200,8.68,54.6789273385,1,2012
2012-02-23,8.72,9.11,8.7,8.99,2782000,8.99,58.1932846014,1,2012
2012-02-24,9.04,9.09,8.85,8.99,1326000,8.99,58.1932846014,1,2012
2012-02-27,9.0,9.08,8.78,8.87,1058100,8.87,56.2355858163,1,2012
2012-02-28,8.9,9.05,8.7,8.73,1274400,8.73,53.9550516344,1,2012
2012-02-29,8.89,8.99,7.42,7.75,8937600,7.75,41.3224199776,1,2012
2012-03-01,8.1,8.85,7.93,8.77,6916300,8.77,53.5202879639,1,2012
2012-03-02,8.45,8.59,7.45,7.92,9594400,7.92,45.1054755703,1,2012
2012-03-05,7.95,7.95,7.41,7.55,3892300,7.55,42.0092114001,1,2012
2012-03-06,7.44,7.47,7.05,7.34,4239000,7.34,40.3175810711,1,2012
2012-03-07,7.38,7.6,7.31,7.52,1915300,7.52,42.4565036919,1,2012
2012-03-08,7.6,8.0,7.39,7.43,4479600,7.43,41.6527063439,1,2012
2012-03-09,7.47,7.71,7.32,7.35,2475900,7.35,40.9112639739,1,2012
2012-03-12,7.52,7.52,7.2,7.27,1714500,7.27,40.1417523465,1,2012
2012-03-13,7.44,7.44,7.01,7.15,2195700,7.15,38.9580422403,1,2012
2012-03-14,7.15,8.54,7.08,8.02,11583300,8.02,50.381879929,1,2012
2012-03-15,7.92,9.0,7.77,8.91,9299200,8.91,58.8632981089,1,2012
2012-03-16,9.0,10.81,8.82,10.52,17982000,10.52,69.1398382308,1,2012
2012-03-19,10.77,11.22,9.69,10.66,11523900,10.66,69.8452775006,1,2012
2012-03-20,10.57,12.29,10.14,11.94,22113800,11.94,75.3854152648,1,2012
