Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,26.58,26.58,25.780001,25.959999,130200,25.959999,,1,2012
2012-01-04,25.75,26.01,25.450001,25.559999,150100,25.559999,,1,2012
2012-01-05,25.51,25.959999,25.360001,25.879999,103600,25.879999,,1,2012
2012-01-06,25.860001,26.09,25.68,25.98,222500,25.98,,1,2012
2012-01-09,26.040001,26.040001,25.68,25.83,131600,25.83,,1,2012
2012-01-10,26.120001,26.120001,25.549999,25.83,104900,25.83,,1,2012
2012-01-11,25.68,25.959999,25.629999,25.75,92900,25.75,,1,2012
2012-01-12,25.9,25.9,25.35,25.84,106200,25.84,,1,2012
2012-01-13,25.51,25.76,25.469999,25.610001,85200,25.610001,,1,2012
2012-01-17,25.75,25.790001,25.440001,25.59,159500,25.59,,1,2012
2012-01-18,25.65,25.76,25.360001,25.75,75400,25.75,,1,2012
2012-01-19,25.93,25.93,25.450001,25.6,63700,25.6,,1,2012
2012-01-20,25.620001,25.74,25.389999,25.4,190300,25.4,,1,2012
2012-01-23,25.459999,25.66,25.200001,25.27,98900,25.27,,1,2012
2012-01-24,25.219999,25.790001,25.219999,25.780001,119000,25.780001,46.4567350734,1,2012
2012-01-25,25.620001,26.200001,25.33,26.15,107500,26.15,53.717292026,1,2012
2012-01-26,26.200001,26.27,25.77,26.15,94100,26.15,53.717292026,1,2012
2012-01-27,26.030001,26.459999,25.940001,26.440001,94000,26.440001,58.7962033858,1,2012
2012-01-30,25.98,26.18,25.809999,25.82,105400,25.82,46.9372341069,1,2012
2012-01-31,26.01,26.01,25.639999,25.74,103700,25.74,45.657579327,1,2012
2012-02-01,25.889999,26.32,25.76,26.299999,174500,26.299999,54.9220645735,1,2012
2012-02-02,26.280001,26.66,25.9,26.66,157300,26.66,59.6808372385,1,2012
2012-02-03,27.0,27.93,26.969999,27.6,165600,27.6,68.9099703072,1,2012
2012-02-06,27.450001,27.620001,27.07,27.4,113600,27.4,65.4758359697,1,2012
2012-02-07,27.360001,27.4,26.940001,27.040001,86900,27.040001,59.7078689285,1,2012
2012-02-08,27.0,27.190001,26.84,27.02,194600,27.02,59.3948105595,1,2012
2012-02-09,27.049999,27.07,26.530001,26.700001,173900,26.700001,54.4737094068,1,2012
2012-02-10,26.42,26.690001,26.379999,26.379999,103000,26.379999,50.0112879557,1,2012
2012-02-13,26.700001,26.700001,26.379999,26.42,83500,26.42,50.556537549,1,2012
2012-02-14,26.24,26.49,25.950001,26.42,308200,26.42,50.556537549,1,2012
2012-02-15,26.49,26.6,25.889999,26.040001,85500,26.040001,45.1328224499,1,2012
2012-02-16,25.950001,26.42,25.83,26.34,95300,26.34,49.7189479815,1,2012
