Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,6.25,6.25,5.9,5.95,39300,5.95,,1,2012
2012-01-04,5.91,5.91,5.73,5.81,25000,5.81,,1,2012
2012-01-05,5.74,6.39,5.74,6.03,79000,6.03,,1,2012
2012-01-06,5.99,6.07,5.92,5.92,37300,5.92,,1,2012
2012-01-09,5.83,5.95,5.5,5.56,124200,5.56,,1,2012
2012-01-10,5.72,5.72,5.3,5.54,36000,5.54,,1,2012
2012-01-11,5.55,5.66,5.45,5.62,70300,5.62,,1,2012
2012-01-12,5.63,5.63,5.34,5.54,46800,5.54,,1,2012
2012-01-13,5.44,5.63,5.4,5.57,29100,5.57,,1,2012
2012-01-17,5.69,5.72,5.56,5.63,33600,5.63,,1,2012
2012-01-18,5.57,5.98,5.57,5.93,40200,5.93,,1,2012
2012-01-19,5.7,6.21,5.69,6.19,37800,6.19,,1,2012
2012-01-20,6.2,6.44,5.79,6.26,43600,6.26,,1,2012
2012-01-23,5.99,6.5,5.86,6.05,451400,6.05,,1,2012
2012-01-24,5.97,6.4,5.97,6.4,35900,6.4,59.8253275109,1,2012
2012-01-25,6.35,6.81,6.29,6.74,51600,6.74,65.3634520707,1,2012
2012-01-26,6.77,7.41,6.69,7.21,210000,7.21,71.2611596828,1,2012
2012-01-27,7.17,7.49,7.03,7.27,76800,7.27,71.9185247653,1,2012
2012-01-30,7.19,7.29,6.92,7.2,88100,7.2,69.9094110926,1,2012
2012-01-31,7.3,7.42,6.82,6.99,45900,6.99,64.1220928393,1,2012
2012-02-01,7.09,7.19,6.7,6.82,85100,6.82,59.8059072091,1,2012
2012-02-02,6.85,7.22,6.66,7.22,62700,7.22,65.6626362084,1,2012
2012-02-03,7.41,7.55,7.14,7.42,49300,7.42,68.1607403881,1,2012
2012-02-06,6.51,7.2,6.43,7.18,355900,7.18,62.3031434453,1,2012
2012-02-07,7.02,7.41,7.02,7.24,59700,7.24,63.1556174807,1,2012
2012-02-08,7.24,7.44,7.1,7.18,37600,7.18,61.6541260683,1,2012
2012-02-09,6.54,6.54,6.07,6.25,1117100,6.25,44.1379469698,1,2012
2012-02-10,6.23,6.31,6.11,6.19,110700,6.19,43.2835627523,1,2012
2012-02-13,6.37,6.37,6.16,6.28,67900,6.28,45.00326761,1,2012
2012-02-14,6.24,6.24,6.05,6.15,292100,6.15,42.9762433234,1,2012
2012-02-15,6.17,6.21,5.82,5.91,316800,5.91,39.4440163188,1,2012
2012-02-16,5.93,6.13,5.92,5.97,64300,5.97,40.7549978344,1,2012
2012-02-17,5.97,6.11,5.95,6.04,33000,6.04,42.3237980202,1,2012
2012-02-21,6.15,6.2,5.9,5.9,45400,5.9,40.0401643242,1,2012
2012-02-22,5.9,6.2,5.9,5.95,73800,5.95,41.2591777337,1,2012
2012-02-23,5.98,6.08,5.91,6.01,41300,6.01,42.7629808704,1,2012
2012-02-24,6.03,6.03,5.74,5.9,53300,5.9,40.705525386,1,2012
2012-02-27,5.9,6.09,5.72,5.95,69400,5.95,42.0698850439,1,2012
2012-02-28,5.96,6.09,5.88,5.95,78500,5.95,42.0698850439,1,2012
2012-02-29,5.97,6.01,5.89,5.94,152900,5.94,41.8465414109,1,2012
2012-03-01,6.07,6.13,5.83,5.85,26000,5.85,39.7986909898,1,2012
2012-03-02,5.86,5.93,5.51,5.52,149600,5.52,33.3534950422,1,2012
2012-03-05,5.55,5.58,5.31,5.42,263000,5.42,31.6792721507,1,2012
