Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.429996,0.429996,0.409996,0.429996,6100,1.289987,,1,2012
2012-01-04,0.449996,0.449996,0.429996,0.429996,800,1.289987,,1,2012
2012-01-05,0.439996,0.469995,0.439996,0.449996,2700,1.349987,,1,2012
2012-01-06,0.479995,0.539995,0.459995,0.489995,5300,1.469985,,1,2012
2012-01-09,0.489995,0.539995,0.479995,0.519995,1300,1.559984,,1,2012
2012-01-10,0.529995,0.529995,0.499995,0.499995,400,1.499985,,1,2012
2012-01-11,0.519995,0.539995,0.499995,0.499995,1800,1.499985,,1,2012
2012-01-12,0.499995,0.499995,0.439996,0.439996,4300,1.319987,,1,2012
2012-01-13,0.459995,0.519995,0.459995,0.469995,10500,1.409986,,1,2012
2012-01-17,0.479995,0.529995,0.479995,0.499995,4200,1.499985,,1,2012
2012-01-18,0.519995,0.519995,0.499995,0.509995,1300,1.529985,,1,2012
2012-01-19,0.519995,0.529995,0.509995,0.519995,3800,1.559984,,1,2012
2012-01-20,0.539995,0.539995,0.539995,0.539995,200,1.619984,,1,2012
2012-01-23,0.549995,0.549995,0.539995,0.539995,4700,1.619984,,1,2012
2012-01-24,0.539995,0.539995,0.459995,0.479995,10000,1.439986,57.5757912462,1,2012
2012-01-25,0.489995,0.499995,0.479995,0.479995,2500,1.439986,57.5757912462,1,2012
2012-01-26,0.489995,0.499995,0.469995,0.479995,900,1.439986,57.5757912462,1,2012
2012-01-27,0.489995,0.499995,0.479995,0.499995,1500,1.499985,60.5611206539,1,2012
2012-01-30,0.519995,0.519995,0.469995,0.469995,8100,1.409986,54.3796313476,1,2012
2012-01-31,0.469995,0.469995,0.429996,0.429996,5800,1.289987,47.4283919469,1,2012
2012-02-01,0.439996,0.519995,0.439996,0.499995,2100,1.499985,57.6345071251,1,2012
2012-02-02,0.499995,0.499995,0.489995,0.489995,1100,1.469985,55.9630271365,1,2012
2012-02-03,0.489995,0.489995,0.489995,0.489995,0,1.469985,55.9630271365,1,2012
2012-02-06,0.479995,0.499995,0.469995,0.499995,5800,1.499985,57.3960011956,1,2012
2012-02-07,0.499995,0.499995,0.499995,0.499995,0,1.499985,57.3960011956,1,2012
2012-02-08,0.499995,0.509995,0.469995,0.469995,38500,1.409986,51.5587419858,1,2012
2012-02-09,0.479995,0.509995,0.459995,0.469995,7300,1.409986,51.5587419858,1,2012
2012-02-10,0.499995,0.549995,0.499995,0.529995,48700,1.589984,60.8048512698,1,2012
2012-02-13,0.529995,0.629994,0.529995,0.599994,16600,1.799982,68.3862844659,1,2012
2012-02-14,0.609994,0.639994,0.609994,0.609994,7700,1.829982,69.2998715843,1,2012
2012-02-15,0.609994,0.639994,0.579994,0.579994,2100,1.739983,63.3822998344,1,2012
2012-02-16,0.609994,0.609994,0.579994,0.579994,700,1.739983,63.3822998344,1,2012
2012-02-17,0.579994,0.599994,0.579994,0.589994,2100,1.769982,64.5524348428,1,2012
2012-02-21,0.589994,0.599994,0.589994,0.589994,1800,1.769982,64.5524348428,1,2012
2012-02-22,0.589994,0.589994,0.569994,0.569994,9700,1.709983,60.0978193483,1,2012
2012-02-23,0.559994,0.569994,0.509995,0.509995,2300,1.529985,49.1417130367,1,2012
2012-02-24,0.569994,0.569994,0.559994,0.569994,900,1.709983,57.4880069345,1,2012
2012-02-27,0.579994,0.579994,0.509995,0.509995,1600,1.529985,48.8539262743,1,2012
2012-02-28,0.539995,0.549995,0.499995,0.499995,13400,1.499985,47.5715243079,1,2012
2012-02-29,0.499995,0.579994,0.499995,0.509995,400,1.529985,49.0128758043,1,2012
2012-03-01,0.509995,0.509995,0.469995,0.499995,2000,1.499985,47.6035017995,1,2012
2012-03-02,0.499995,0.499995,0.499995,0.499995,0,1.499985,47.6035017995,1,2012
2012-03-05,0.539995,0.539995,0.479995,0.479995,1500,1.439986,44.627001676,1,2012
2012-03-06,0.479995,0.489995,0.479995,0.479995,200,1.439986,44.627001676,1,2012
2012-03-07,0.499995,0.499995,0.479995,0.489995,1500,1.469985,46.5644469532,1,2012
2012-03-08,0.499995,0.499995,0.469995,0.469995,4300,1.409986,43.3011768517,1,2012
2012-03-09,0.509995,0.639994,0.499995,0.639994,102500,1.919981,65.4594033559,1,2012
2012-03-12,0.659993,0.689993,0.579994,0.619994,35800,1.859981,62.3711378185,1,2012
2012-03-13,0.549995,0.649994,0.539995,0.559994,2000,1.679983,54.1218519453,1,2012
2012-03-14,0.539995,0.539995,0.519995,0.519995,5100,1.559984,49.4282865462,1,2012
2012-03-15,0.519995,0.629994,0.519995,0.589994,3700,1.769982,56.5325154763,1,2012
2012-03-16,0.599994,0.599994,0.519995,0.589994,2900,1.769982,56.5325154763,1,2012
2012-03-19,0.569994,0.569994,0.519995,0.519995,200,1.559984,48.6124910289,1,2012
2012-03-20,0.519995,0.569994,0.499995,0.569994,3500,1.709983,53.6116300315,1,2012
2012-03-21,0.519995,0.539995,0.509995,0.539995,300,1.619984,50.4409328929,1,2012
2012-03-22,0.559994,0.589994,0.549995,0.579994,2500,1.739983,54.320157887,1,2012
2012-03-23,0.589994,0.589994,0.509995,0.519995,1500,1.559984,48.2226787001,1,2012
2012-03-26,0.519995,0.519995,0.509995,0.519995,2300,1.559984,48.2226787001,1,2012
2012-03-27,0.519995,0.519995,0.519995,0.519995,0,1.559984,48.2226787001,1,2012
2012-03-28,0.509995,0.519995,0.509995,0.509995,5600,1.529985,47.1216453222,1,2012
2012-03-29,0.509995,0.559994,0.509995,0.559994,14800,1.679983,52.9110218221,1,2012
2012-03-30,0.529995,0.549995,0.529995,0.549995,2500,1.649984,51.6920775785,1,2012
2012-04-02,0.549995,0.549995,0.549995,0.549995,0,1.649984,51.6920775785,2,2012
2012-04-03,0.569994,0.569994,0.519995,0.529995,300,1.589984,49.0698736089,2,2012
2012-04-04,0.529995,0.569994,0.499995,0.509995,6200,1.529985,46.5281089886,2,2012
