Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,15.12,15.12,14.04,14.82,72400,14.82,,1,2012
2012-01-04,14.7,15.02,14.49,14.51,47000,14.51,,1,2012
2012-01-05,14.4,14.8,14.28,14.63,220000,14.63,,1,2012
2012-01-06,14.59,14.59,13.4,13.68,339500,13.68,,1,2012
2012-01-09,13.77,13.91,13.57,13.63,90400,13.63,,1,2012
2012-01-10,13.76,13.8,13.56,13.67,82300,13.67,,1,2012
2012-01-11,13.61,13.7,13.57,13.63,71700,13.63,,1,2012
2012-01-12,13.62,13.64,13.45,13.54,70000,13.54,,1,2012
2012-01-13,13.4,13.51,13.22,13.25,126400,13.25,,1,2012
2012-01-17,13.34,13.4,13.25,13.28,131300,13.28,,1,2012
2012-01-18,13.28,13.41,13.28,13.35,76100,13.35,,1,2012
2012-01-19,13.39,13.4,13.28,13.28,76600,13.28,,1,2012
2012-01-20,13.25,13.38,13.22,13.27,125200,13.27,,1,2012
2012-01-23,13.21,13.35,13.2,13.27,88800,13.27,,1,2012
2012-01-24,13.24,13.67,12.05,13.59,959900,13.59,24.2677824268,1,2012
2012-01-25,13.49,14.11,13.43,13.96,118400,13.96,35.0896551724,1,2012
2012-01-26,14.01,14.09,13.87,14.06,64000,14.06,37.6815727819,1,2012
2012-01-27,14.03,14.32,13.99,14.21,87800,14.21,41.4577521291,1,2012
2012-01-30,14.0,14.25,13.91,14.2,50700,14.2,41.2781754049,1,2012
2012-01-31,14.8,14.8,12.84,12.96,810500,12.96,26.151416601,1,2012
2012-02-01,12.98,13.33,12.75,13.21,557500,13.21,31.5942031536,1,2012
2012-02-02,13.23,13.34,12.79,12.82,501400,12.82,28.1132407855,1,2012
2012-02-03,13.0,13.47,12.94,13.24,293600,13.24,36.2581450894,1,2012
2012-02-06,13.2,13.34,13.1,13.25,206400,13.25,36.4427899816,1,2012
2012-02-07,13.2,13.32,13.14,13.28,225400,13.28,37.0320918324,1,2012
2012-02-08,13.37,13.56,12.97,13.06,220800,13.06,34.5054331778,1,2012
2012-02-09,13.12,13.21,12.7,12.75,188900,12.75,31.2680586634,1,2012
2012-02-10,12.68,12.74,12.48,12.68,221700,12.68,30.5705811918,1,2012
2012-02-13,12.79,13.03,12.79,12.94,117700,12.94,36.257996801,1,2012
2012-02-14,13.25,13.35,13.01,13.12,167000,13.12,39.926892569,1,2012
2012-02-15,13.23,13.34,13.06,13.27,221200,13.27,42.8775573541,1,2012
2012-02-16,13.32,13.67,13.3,13.48,275800,13.48,46.8160757167,1,2012
2012-02-17,13.54,13.54,13.34,13.48,145800,13.48,46.8160757167,1,2012
2012-02-21,13.49,13.49,13.22,13.29,135800,13.29,43.6575179876,1,2012
2012-02-22,13.33,13.43,13.24,13.26,62600,13.26,43.1623514977,1,2012
2012-02-23,13.25,13.38,13.2,13.26,105200,13.26,43.1623514977,1,2012
2012-02-24,13.3,13.43,13.27,13.29,83400,13.29,43.9002933832,1,2012
2012-02-27,13.21,13.31,13.02,13.18,104800,13.18,41.759393512,1,2012
2012-02-28,13.17,13.32,13.12,13.19,76200,13.19,42.0361375343,1,2012
2012-02-29,13.19,13.32,13.0,13.02,147100,13.02,38.6719368935,1,2012
2012-03-01,13.09,13.21,12.78,12.79,127700,12.79,34.6334519906,1,2012
2012-03-02,12.78,12.81,12.43,12.45,185800,12.45,29.6964545131,1,2012
2012-03-05,12.42,12.5,12.2,12.42,221600,12.42,29.2995778986,1,2012
2012-03-06,12.32,12.43,12.2,12.22,205200,12.22,26.7344146356,1,2012
2012-03-07,12.28,12.39,12.22,12.3,114800,12.3,29.3971059748,1,2012
2012-03-08,12.37,12.45,12.19,12.39,94400,12.39,32.3747113484,1,2012
2012-03-09,12.39,12.66,12.25,12.44,81400,12.44,34.0390575411,1,2012
2012-03-12,12.48,12.49,12.21,12.31,147500,12.31,31.8445944124,1,2012
2012-03-13,12.39,12.63,12.26,12.59,98800,12.59,40.7105854077,1,2012
2012-03-14,12.55,12.57,12.27,12.35,94200,12.35,36.3461929121,1,2012
2012-03-15,12.35,12.5,12.3,12.5,52000,12.5,40.6301683398,1,2012
2012-03-16,12.54,12.67,12.29,12.58,134900,12.58,42.8397013195,1,2012
2012-03-19,12.59,12.93,12.55,12.86,76700,12.86,49.8715806449,1,2012
2012-03-20,12.77,12.77,12.51,12.59,61100,12.59,44.2221210724,1,2012
2012-03-21,12.63,12.63,12.5,12.55,47100,12.55,43.4370748044,1,2012
2012-03-22,12.47,12.62,12.44,12.51,63000,12.51,42.6222269898,1,2012
2012-03-23,12.5,12.5,12.31,12.47,90000,12.47,41.7782114147,1,2012
2012-03-26,12.62,12.79,12.53,12.58,111800,12.58,45.0034871813,1,2012
2012-03-27,12.62,12.71,12.45,12.47,63900,12.47,42.4698373522,1,2012
2012-03-28,12.48,12.49,12.3,12.33,55400,12.33,39.4274198165,1,2012
2012-03-29,12.3,12.36,12.24,12.27,46900,12.27,38.1655413122,1,2012
2012-03-30,12.37,12.37,12.2,12.25,138400,12.25,37.7320375492,1,2012
2012-04-02,12.25,12.43,12.15,12.42,110700,12.42,43.5965354537,2,2012
2012-04-03,12.4,12.5,12.21,12.46,243900,12.46,44.9112304383,2,2012
2012-04-04,12.38,12.4,12.11,12.26,108600,12.26,39.9030496144,2,2012
2012-04-05,11.84,12.03,11.73,11.86,608400,11.86,32.1751667198,2,2012
2012-04-09,11.74,11.86,11.55,11.61,223700,11.61,28.4647210484,2,2012
2012-04-10,11.62,11.81,11.35,11.71,212900,11.71,31.8501585116,2,2012
2012-04-11,11.89,11.89,11.64,11.75,146400,11.75,33.2117267464,2,2012
2012-04-12,11.75,12.12,11.72,12.03,190200,12.03,41.9540910569,2,2012
2012-04-13,12.05,12.07,11.87,11.87,143300,11.87,38.826542653,2,2012
2012-04-16,11.99,12.12,11.87,11.99,71000,11.99,42.3006753306,2,2012
2012-04-17,12.1,12.29,12.04,12.13,145200,12.13,46.1435198482,2,2012
2012-04-18,12.09,12.16,11.89,11.98,187300,11.98,42.8505596022,2,2012
2012-04-19,12.02,12.16,11.93,12.12,97200,12.12,46.6754946415,2,2012
2012-04-20,12.33,12.34,12.06,12.26,169400,12.26,50.2605644559,2,2012
2012-04-23,12.06,12.15,12.0,12.12,102500,12.12,46.8672439575,2,2012
2012-04-24,12.08,12.29,12.0,12.27,83400,12.27,50.7072218286,2,2012
2012-04-25,12.44,12.59,12.32,12.39,74900,12.39,53.5965152213,2,2012
2012-04-26,12.35,12.37,12.18,12.33,51800,12.33,51.9566645602,2,2012
2012-04-27,12.35,12.49,12.23,12.49,82000,12.49,55.8370859001,2,2012
2012-04-30,12.44,12.45,12.32,12.38,73900,12.38,52.6864237223,2,2012
2012-05-01,12.36,12.63,12.27,12.34,89000,12.34,51.5473869647,2,2012
2012-05-02,12.23,12.37,12.07,12.3,38000,12.3,50.3745572928,2,2012
2012-05-03,12.25,12.29,12.12,12.21,52600,12.21,47.7424695018,2,2012
2012-05-04,12.12,12.14,12.0,12.0,77500,12.0,42.2015820471,2,2012
2012-05-07,12.0,12.14,12.0,12.08,62100,12.08,44.828489078,2,2012
2012-05-08,12.01,12.34,12.01,12.17,83200,12.17,47.7078899012,2,2012
2012-05-09,12.05,12.19,12.04,12.1,34800,12.1,45.709704091,2,2012
2012-05-10,12.21,12.34,12.1,12.22,47000,12.22,49.6063368749,2,2012
2012-05-11,12.1,12.33,12.1,12.22,61000,12.22,49.6063368749,2,2012
2012-05-14,12.16,12.34,12.12,12.28,59000,12.28,51.6199362987,2,2012
2012-05-15,12.23,12.44,12.23,12.4,83200,12.4,55.453684762,2,2012
2012-05-16,12.43,12.47,12.3,12.4,88000,12.4,55.453684762,2,2012
2012-05-17,12.3,12.48,12.29,12.3,78200,12.3,51.5088640308,2,2012
2012-05-18,12.26,12.41,12.16,12.28,175300,12.28,50.7315620467,2,2012
2012-05-21,12.37,12.5,12.27,12.44,78000,12.44,56.4000642967,2,2012
2012-05-22,12.42,12.44,12.24,12.34,151100,12.34,52.346371668,2,2012
2012-05-23,12.22,12.39,12.05,12.22,66800,12.22,47.8974989375,2,2012
2012-05-24,12.19,12.34,12.1,12.33,56400,12.33,51.9305067551,2,2012
2012-05-25,12.35,12.42,12.13,12.2,658700,12.2,47.2733366595,2,2012
2012-05-29,12.32,12.32,12.1,12.22,52700,12.22,48.0452983027,2,2012
2012-05-30,12.14,12.14,11.94,11.94,48500,11.94,39.3575667569,2,2012
2012-05-31,11.99,12.15,11.88,12.04,83200,12.04,43.3008561587,2,2012
2012-06-01,11.8,12.14,11.8,11.9,70500,11.9,39.4347494435,2,2012
2012-06-04,11.95,12.14,11.83,12.1,43200,12.1,46.7493247684,2,2012
2012-06-05,11.99,12.12,11.94,11.97,71500,11.97,43.1051994984,2,2012
2012-06-06,12.08,12.41,12.0,12.4,64600,12.4,55.469851224,2,2012
2012-06-07,12.51,12.51,12.23,12.3,63200,12.3,52.6065605092,2,2012
2012-06-08,12.25,12.43,12.16,12.4,56100,12.4,55.1023978307,2,2012
2012-06-11,12.2,12.55,11.9,11.92,90600,11.92,43.3119200499,2,2012
2012-06-12,11.95,12.12,11.9,12.06,64400,12.06,46.8819704253,2,2012
2012-06-13,12.08,12.28,11.91,11.96,64800,11.96,44.7157637137,2,2012
2012-06-14,11.97,12.18,11.97,12.12,41700,12.12,48.7926709544,2,2012
2012-06-15,12.07,12.31,12.03,12.27,107100,12.27,52.3410495409,2,2012
2012-06-18,12.16,12.35,12.16,12.2,53400,12.2,50.5796216584,2,2012
2012-06-19,12.24,12.44,12.24,12.32,81600,12.32,53.4704304331,2,2012
2012-06-20,12.33,12.34,12.17,12.2,51900,12.2,50.3017319194,2,2012
2012-06-21,12.23,12.23,11.88,11.94,93900,11.94,44.191190073,2,2012
2012-06-22,12.04,12.12,11.93,12.05,79800,12.05,47.1180904067,2,2012
2012-06-25,11.71,12.16,11.71,12.02,92000,12.02,46.4033185152,2,2012
2012-06-26,12.06,12.11,11.95,12.03,41200,12.03,46.6936021479,2,2012
2012-06-27,12.06,12.29,12.03,12.08,63400,12.08,48.204149369,2,2012
2012-06-28,12.0,12.08,11.89,12.0,57700,12.0,45.9600596325,2,2012
2012-06-29,12.2,12.23,11.99,12.01,130200,12.01,46.296611636,2,2012
2012-07-02,12.05,12.08,11.95,12.05,143000,12.05,47.6997036212,3,2012
2012-07-03,12.07,12.17,12.05,12.11,69200,12.11,49.8176333082,3,2012
2012-07-05,12.09,12.15,12.0,12.01,105400,12.01,46.4420255673,3,2012
2012-07-06,11.9,12.07,11.9,11.97,72600,11.97,45.1248922511,3,2012
2012-07-09,11.92,12.0,11.86,11.95,61500,11.95,44.4461461012,3,2012
2012-07-10,12.02,12.02,11.46,11.5,195100,11.5,32.5739947455,3,2012
2012-07-11,11.5,11.72,11.35,11.39,204200,11.39,30.4339700786,3,2012
2012-07-12,11.35,11.52,10.97,11.27,1102400,11.27,28.2532989844,3,2012
