Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,9.9,9.9,9.25,9.31,117900,9.31,,1,2012
2012-01-04,9.22,9.56,9.22,9.56,39500,9.56,,1,2012
2012-01-05,9.56,9.63,9.43,9.62,29400,9.62,,1,2012
2012-01-06,9.63,9.66,9.4,9.5,50000,9.5,,1,2012
2012-01-09,9.5,9.76,9.46,9.66,41900,9.66,,1,2012
2012-01-10,9.74,9.82,9.47,9.49,52200,9.49,,1,2012
2012-01-11,9.44,9.56,9.25,9.4,41600,9.4,,1,2012
2012-01-12,9.4,9.4,9.16,9.19,33900,9.19,,1,2012
2012-01-13,9.07,9.31,9.0,9.31,20900,9.31,,1,2012
2012-01-17,9.35,9.4,9.2,9.34,12900,9.34,,1,2012
2012-01-18,9.38,9.56,9.36,9.48,28400,9.48,,1,2012
2012-01-19,9.47,9.49,9.0,9.08,51700,9.08,,1,2012
2012-01-20,9.05,9.46,9.04,9.43,54400,9.43,,1,2012
2012-01-23,9.35,9.35,9.01,9.32,13200,9.32,,1,2012
2012-01-24,9.26,9.33,9.17,9.28,14700,9.28,49.3333333333,1,2012
2012-01-25,9.25,9.26,9.08,9.1,21900,9.1,45.4202077432,1,2012
2012-01-26,9.19,9.19,9.05,9.12,15400,9.12,45.9333701101,1,2012
2012-01-27,9.1,9.36,9.03,9.36,44800,9.36,51.7909404226,1,2012
2012-01-30,9.27,9.32,9.03,9.1,36000,9.1,45.9793163983,1,2012
2012-01-31,9.16,9.37,9.01,9.2,12600,9.2,48.3786171135,1,2012
2012-02-01,9.21,9.7,9.21,9.62,51200,9.62,57.0140665168,1,2012
2012-02-02,9.6,9.95,9.55,9.95,56700,9.95,62.3441831793,1,2012
2012-02-03,9.95,10.08,9.91,10.05,37000,10.05,63.8086705559,1,2012
2012-02-06,10.5,11.05,10.39,11.0,263200,11.0,74.1100105638,1,2012
2012-02-07,11.05,11.1,10.86,10.91,104900,10.91,72.0186086575,1,2012
2012-02-08,10.9,11.0,10.7,10.89,52500,10.89,71.5354894027,1,2012
2012-02-09,10.93,10.94,10.6,10.75,41400,10.75,68.0920778655,1,2012
2012-02-10,10.75,10.86,10.56,10.63,47700,10.63,65.195259344,1,2012
2012-02-13,10.7,10.94,10.7,10.92,49100,10.92,68.6647038138,1,2012
2012-02-14,10.87,11.26,10.75,11.21,181900,11.21,71.7024725743,1,2012
