Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,6.33,6.33,5.88,6.08,8700,48.639999,,1,2012
2012-01-04,6.02,6.11,5.73,5.9,18400,47.200001,,1,2012
2012-01-05,5.85,6.43,5.81,6.41,27700,51.279999,,1,2012
2012-01-06,6.4,6.5,6.25,6.42,10000,51.360001,,1,2012
2012-01-09,6.45,6.46,6.19,6.36,12300,50.880001,,1,2012
2012-01-10,6.47,6.66,6.34,6.64,12500,53.119999,,1,2012
2012-01-11,6.62,6.72,6.51,6.64,4200,53.119999,,1,2012
2012-01-12,6.65,6.93,6.52,6.88,5400,55.040001,,1,2012
2012-01-13,6.79,7.07,6.79,7.01,19900,56.080002,,1,2012
2012-01-17,7.0,7.0,6.63,6.7,10900,53.599998,,1,2012
2012-01-18,6.75,6.8,6.52,6.7,7800,53.599998,,1,2012
2012-01-19,6.72,6.91,6.64,6.79,13800,54.32,,1,2012
2012-01-20,6.79,6.99,6.58,6.96,19400,55.68,,1,2012
2012-01-23,6.93,7.09,6.92,6.98,43700,55.84,,1,2012
2012-01-24,6.95,7.45,6.75,7.4,8500,59.200001,77.2727239857,1,2012
2012-01-25,7.42,7.53,7.07,7.44,19700,59.52,77.6702015502,1,2012
2012-01-26,7.49,7.77,7.39,7.49,33700,59.919998,78.1838167744,1,2012
2012-01-27,7.45,7.6,7.31,7.54,11700,60.32,78.7111608745,1,2012
2012-01-30,7.55,7.78,7.44,7.74,20100,61.919998,80.7188238158,1,2012
2012-01-31,7.76,7.93,7.73,7.9,7700,63.200001,82.167672668,1,2012
2012-02-01,7.92,8.08,7.52,7.98,34400,63.84,82.8611376571,1,2012
2012-02-02,7.97,8.18,7.77,8.05,47300,64.400002,83.4669854449,1,2012
2012-02-03,8.18,8.42,7.91,8.28,28800,66.239998,85.3050532821,1,2012
2012-02-06,8.19,8.24,8.14,8.23,6900,65.839996,83.1410643516,1,2012
2012-02-07,8.24,8.26,7.81,7.83,12500,62.639999,68.2294619699,1,2012
2012-02-08,7.65,8.0,7.43,7.94,11500,63.52,69.8318780261,1,2012
2012-02-09,7.98,7.98,7.73,7.9,7900,63.200001,68.4793065912,1,2012
2012-02-10,7.8,7.97,7.18,7.78,3800,62.240002,64.4464539066,1,2012
2012-02-13,7.89,7.91,7.25,7.74,12000,61.919998,63.112208575,1,2012
2012-02-14,7.69,7.96,7.68,7.95,6100,63.599998,66.9775233438,1,2012
2012-02-15,7.99,8.06,7.71,7.75,10900,62.0,60.477824773,1,2012
2012-02-16,7.77,8.16,7.77,8.13,7100,65.040001,67.0254269326,1,2012
2012-02-17,8.17,8.17,7.91,7.94,7900,63.52,61.5360170784,1,2012
2012-02-21,8.2,8.2,7.24,7.37,10500,58.959999,48.6604131623,1,2012
2012-02-22,7.4,7.4,6.78,6.83,54200,54.639999,40.1001402776,1,2012
2012-02-23,6.83,7.29,6.82,7.1,12400,56.799999,45.2832107113,1,2012
2012-02-24,7.13,7.5,7.13,7.33,22400,58.639999,49.3071959179,1,2012
2012-02-27,7.3,7.32,6.81,6.84,13100,54.720001,42.1887507887,1,2012
2012-02-28,6.78,6.98,6.59,6.65,33600,53.200001,39.7899683734,1,2012
2012-02-29,6.67,6.93,6.6,6.62,15500,52.959999,39.4089507892,1,2012
2012-03-01,6.65,6.77,6.45,6.46,10400,51.68,37.3545086863,1,2012
2012-03-02,6.49,6.9,6.19,6.31,22800,50.48,35.4867467501,1,2012
2012-03-05,6.29,6.54,6.27,6.41,9000,51.279999,37.7223940157,1,2012
2012-03-06,6.35,6.54,6.1,6.17,16900,49.360001,34.6214389725,1,2012
2012-03-07,6.19,6.33,6.15,6.23,19000,49.84,36.0370659799,1,2012
2012-03-08,6.27,6.27,6.03,6.14,12300,49.119999,34.8191723036,1,2012
2012-03-09,6.15,6.43,6.15,6.42,60000,51.360001,41.4488905116,1,2012
2012-03-12,3.2,3.6,3.08,3.56,856800,28.48,19.5620783968,1,2012
2012-03-13,3.56,3.97,3.4,3.59,242500,28.719999,20.0390424643,1,2012
2012-03-14,3.6,3.66,3.21,3.26,68500,26.08,18.7238226182,1,2012
2012-03-15,3.17,3.2,3.0,3.12,72500,24.959999,18.1787129908,1,2012
2012-03-16,3.0,3.17,2.95,3.17,218600,25.360001,19.0847545646,1,2012
2012-03-19,3.15,3.25,3.0,3.04,123100,24.32,18.5108182387,1,2012
2012-03-20,3.01,3.05,2.82,2.91,61300,23.280001,17.9301281989,1,2012
2012-03-21,2.92,3.0,2.82,2.85,53600,22.799999,17.6548463907,1,2012
2012-03-22,2.84,2.84,2.4,2.49,262200,19.92,16.0614866753,1,2012
2012-03-23,2.48,2.49,2.26,2.34,89900,18.719999,15.4363590165,1,2012
2012-03-26,2.34,2.5,2.34,2.45,69900,19.6,17.9581250512,1,2012
2012-03-27,2.4,2.4,2.25,2.26,55500,18.08,17.0143230429,1,2012
2012-03-28,2.27,2.41,2.27,2.32,66100,18.559999,18.4714950252,1,2012
2012-03-29,2.32,2.32,2.22,2.27,19100,18.16,18.1849304048,1,2012
2012-03-30,2.3,2.3,2.2,2.21,28400,17.68,17.8275108995,1,2012
2012-04-02,2.23,2.36,2.13,2.2,54200,17.6,17.7648406599,2,2012
2012-04-03,2.19,2.2,2.07,2.14,28200,17.120001,17.3702811444,2,2012
2012-04-04,2.15,2.15,2.06,2.12,24600,16.959999,17.2328836155,2,2012
2012-04-05,2.13,2.25,2.13,2.22,55000,17.76,20.6140423836,2,2012
2012-04-09,2.22,2.25,2.08,2.09,27500,16.719999,19.4988624996,2,2012
2012-04-10,2.09,2.15,2.06,2.07,23000,16.559999,19.3256470146,2,2012
2012-04-11,2.09,2.13,2.02,2.11,46400,16.879999,20.8402422044,2,2012
2012-04-12,2.12,2.22,2.07,2.08,20400,16.639999,20.5289461017,2,2012
2012-04-13,2.13,2.15,2.02,2.07,27100,16.559999,20.4194550826,2,2012
2012-04-16,2.07,2.07,1.94,1.97,130500,15.76,19.3103175545,2,2012
2012-04-17,2.0,2.1,1.86,1.96,33500,15.68,19.1980167559,2,2012
2012-04-18,1.94,2.04,1.88,1.97,16900,15.76,19.7009248844,2,2012
2012-04-19,2.26,2.75,2.07,2.08,324100,16.639999,25.2148265305,2,2012
2012-04-20,2.13,2.18,1.89,1.94,76500,15.52,23.0458203763,2,2012
2012-04-23,1.91,1.95,1.82,1.87,43400,14.96,22.0256143022,2,2012
2012-04-24,1.88,1.9,1.84,1.88,32000,15.04,22.5530707172,2,2012
2012-04-25,1.92,1.93,1.67,1.74,130100,13.92,20.4658118579,2,2012
2012-04-26,1.79,1.82,1.57,1.6,80400,12.8,18.6109022807,2,2012
2012-04-27,1.6,1.62,1.44,1.47,114900,11.76,17.064288253,2,2012
2012-04-30,1.48,1.6,1.48,1.56,37900,12.48,21.9030310228,2,2012
2012-05-01,1.55,1.7,1.53,1.66,85400,13.28,26.9993857347,2,2012
2012-05-02,1.65,1.85,1.63,1.81,187600,14.48,33.9608831778,2,2012
2012-05-03,1.8,1.84,1.7,1.82,63200,14.56,34.4099464773,2,2012
2012-05-04,1.82,1.82,1.67,1.75,48000,14.0,32.7320607551,2,2012
2012-05-07,1.74,1.77,1.71,1.77,21100,14.16,33.7264022602,2,2012
2012-05-08,1.77,1.81,1.73,1.79,40700,14.32,34.764871531,2,2012
2012-05-09,1.77,1.83,1.7,1.79,39100,14.32,34.764871531,2,2012
2012-05-10,1.8,2.09,1.76,2.0,97500,16.0,45.2180679943,2,2012
2012-05-11,2.0,2.01,1.85,1.94,25200,15.52,43.0933817484,2,2012
2012-05-14,1.92,2.21,1.92,2.12,65700,16.959999,50.5935662542,2,2012
2012-05-15,2.11,2.2,2.07,2.1,53000,16.799999,49.808057108,2,2012
2012-05-16,2.12,2.15,1.97,2.01,58000,16.08,46.3227064955,2,2012
2012-05-17,2.01,2.05,1.95,1.99,37100,15.92,45.5597479231,2,2012
2012-05-18,1.99,2.03,1.89,1.95,26200,15.6,43.9988898021,2,2012
2012-05-21,1.95,2.04,1.8,1.88,25000,15.04,41.3303485793,2,2012
2012-05-22,1.86,1.87,1.75,1.79,24700,14.32,38.1284300736,2,2012
2012-05-23,1.78,1.82,1.76,1.8,12900,14.4,38.6967162843,2,2012
2012-05-24,1.8,1.93,1.76,1.91,29800,15.28,44.7123512076,2,2012
2012-05-25,1.92,1.98,1.84,1.85,12100,14.8,42.275496165,2,2012
2012-05-29,1.87,1.98,1.82,1.89,16500,15.12,44.4491304401,2,2012
2012-05-30,1.89,1.98,1.84,1.93,14700,15.44,46.6140316014,2,2012
2012-05-31,1.92,1.97,1.85,1.97,43600,15.76,48.7643565321,2,2012
2012-06-01,1.94,2.22,1.84,2.05,61100,16.4,52.8544423563,2,2012
2012-06-04,2.07,2.12,1.95,2.0,12700,16.0,50.159331304,2,2012
2012-06-05,1.97,2.06,1.94,2.0,11300,16.0,50.159331304,2,2012
2012-06-06,2.0,2.0,1.91,2.0,16100,16.0,50.159331304,2,2012
2012-06-07,2.0,2.15,1.97,2.13,36200,17.040001,57.2398098805,2,2012
2012-06-08,2.12,2.18,2.06,2.13,28000,17.040001,57.2398098805,2,2012
2012-06-11,2.14,2.34,2.11,2.18,64500,17.440001,59.7879900693,2,2012
2012-06-12,2.19,2.26,2.05,2.12,30100,16.959999,55.5128369996,2,2012
2012-06-13,2.2,2.3,2.1,2.14,49100,17.120001,56.6261886301,2,2012
2012-06-14,2.13,2.23,2.04,2.23,51900,17.84,61.317587467,2,2012
2012-06-15,2.2,2.82,2.18,2.74,194100,21.92,76.6982759785,2,2012
2012-06-18,2.7,2.7,2.45,2.61,123400,20.879999,69.1505497498,2,2012
2012-06-19,2.6,2.66,2.5,2.51,65800,20.08,63.9382248118,2,2012
2012-06-20,2.5,2.74,2.48,2.51,61400,20.08,63.9382248118,2,2012
2012-06-21,2.54,2.97,2.5,2.7,218700,21.6,69.0747819739,2,2012
2012-06-22,2.74,3.02,2.73,2.92,464600,23.360001,73.7391044293,2,2012
2012-06-25,2.95,2.99,2.6,2.87,80500,22.959999,71.1138936085,2,2012
2012-06-26,2.85,3.21,2.79,2.95,115000,23.6,72.7834553618,2,2012
2012-06-27,3.0,3.12,2.57,2.75,161200,22.0,62.9827152356,2,2012
2012-06-28,0.99,1.01,0.79,0.81,2410700,6.48,26.1704052851,2,2012
2012-06-29,0.77,0.78,0.68,0.68,1073200,5.44,25.1112343438,2,2012
2012-07-02,0.68,0.75,0.6,0.7,619500,5.6,25.610051285,3,2012
2012-07-03,0.68,0.78,0.67,0.74,276000,5.92,26.6621759974,3,2012
2012-07-05,0.75,0.76,0.7,0.71,178900,5.68,26.3610408396,3,2012
2012-07-06,0.72,0.74,0.65,0.74,162900,5.92,27.2459681959,3,2012
2012-07-09,0.74,0.79,0.71,0.78,310200,6.24,28.4800685839,3,2012
2012-07-10,0.78,0.79,0.7,0.71,202700,5.68,27.5978200726,3,2012
2012-07-11,0.75,0.75,0.66,0.69,154300,5.52,27.3372518823,3,2012
2012-07-12,0.68,0.75,0.68,0.7,96800,5.6,27.7047971086,3,2012
2012-07-13,0.74,0.74,0.71,0.71,61200,5.68,28.0964792827,3,2012
2012-07-16,0.77,1.34,0.74,1.33,2913400,10.64,47.197455054,3,2012
2012-07-17,1.2,1.79,1.2,1.6,3152000,12.8,53.0470409576,3,2012
2012-07-18,1.57,1.6,1.25,1.33,863000,10.64,47.3928813358,3,2012
2012-07-19,1.15,1.23,1.06,1.16,1269800,9.28,44.1985170596,3,2012
2012-07-20,1.15,1.19,1.06,1.14,452200,9.12,43.8242756576,3,2012
2012-07-23,1.1,1.1,1.06,1.1,222700,8.8,43.0393571168,3,2012
2012-07-24,1.07,1.1,1.05,1.07,287100,8.56,42.4256177754,3,2012
2012-07-25,1.06,1.27,1.05,1.15,680700,9.2,44.6906288192,3,2012
2012-07-26,1.13,1.15,1.07,1.1,196000,8.8,43.5377808809,3,2012
2012-07-27,1.12,1.12,1.06,1.1,137100,8.8,43.5377808809,3,2012
2012-07-30,1.12,1.13,1.08,1.1,76900,8.8,43.5377808809,3,2012
2012-07-31,1.12,1.13,1.06,1.07,115700,8.56,42.7121008233,3,2012
2012-08-01,1.09,1.11,1.07,1.09,71400,8.72,43.4816360621,3,2012
2012-08-02,1.09,1.1,1.01,1.03,171900,8.24,41.6730992462,3,2012
2012-08-03,1.08,1.08,0.95,1.01,150600,8.08,41.0600374587,3,2012
2012-08-06,1.03,1.03,0.99,0.99,108700,7.92,40.4196748781,3,2012
2012-08-07,0.98,1.01,0.98,0.99,71600,7.92,40.4196748781,3,2012
2012-08-08,0.98,0.99,0.92,0.93,138500,7.44,38.3393008867,3,2012
2012-08-09,0.93,0.97,0.92,0.97,52900,7.76,40.5366125946,3,2012
2012-08-10,0.92,0.96,0.91,0.92,93100,7.36,38.6810476883,3,2012
2012-08-13,0.92,0.92,0.88,0.9,149100,7.2,37.9330654066,3,2012
2012-08-14,0.94,0.94,0.87,0.89,68300,7.12,37.5421641436,3,2012
2012-08-15,0.88,0.89,0.85,0.86,409800,6.88,36.3325389603,3,2012
2012-08-16,0.83,0.9,0.83,0.87,91400,6.96,37.0605167299,3,2012
2012-08-17,0.86,0.88,0.81,0.84,92600,6.72,35.7402428733,3,2012
2012-08-20,0.82,0.84,0.81,0.84,32800,6.72,35.7402428733,3,2012
2012-08-21,0.81,0.86,0.81,0.85,35300,6.8,36.6132130427,3,2012
2012-08-22,0.84,0.88,0.84,0.85,58600,6.8,36.6132130427,3,2012
2012-08-23,0.85,0.88,0.84,0.85,29300,6.8,36.6132130427,3,2012
2012-08-24,0.86,1.02,0.84,0.98,352400,7.84,48.0681244319,3,2012
2012-08-27,0.97,0.97,0.88,0.92,109300,7.36,44.1063755143,3,2012
2012-08-28,0.91,0.97,0.91,0.95,69500,7.6,46.4815105498,3,2012
2012-08-29,0.97,0.97,0.93,0.94,54800,7.52,45.7831255548,3,2012
2012-08-30,0.96,0.96,0.9,0.91,54000,7.28,43.6635930774,3,2012
2012-08-31,0.92,0.92,0.89,0.9,35600,7.2,42.9498212103,3,2012
2012-09-04,0.94,0.94,0.86,0.9,32600,7.2,42.9498212103,3,2012
2012-09-05,0.9,0.93,0.87,0.93,52800,7.44,46.0199985966,3,2012
2012-09-06,0.95,0.95,0.9,0.92,27900,7.36,45.1478175423,3,2012
2012-09-07,0.9,0.94,0.9,0.93,58400,7.44,46.2449622241,3,2012
2012-09-10,0.94,0.98,0.92,0.94,90000,7.52,47.3784537538,3,2012
2012-09-11,0.96,0.96,0.92,0.94,47500,7.52,47.3784537538,3,2012
2012-09-12,0.92,0.97,0.91,0.95,86000,7.6,48.6345970186,3,2012
2012-09-13,0.97,0.97,0.88,0.95,55400,7.6,48.6345970186,3,2012
