Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.0,5.25,4.9,5.13,218000,5.13,,1,2012
2012-01-04,5.1,5.2,5.06,5.12,216700,5.12,,1,2012
2012-01-05,5.08,5.49,5.08,5.43,174000,5.43,,1,2012
2012-01-06,5.43,5.56,5.32,5.38,176200,5.38,,1,2012
2012-01-09,5.38,5.94,5.18,5.66,913800,5.66,,1,2012
2012-01-10,5.71,5.75,5.22,5.32,651100,5.32,,1,2012
2012-01-11,5.3,5.5,5.2,5.26,435100,5.26,,1,2012
2012-01-12,5.24,5.24,4.87,5.07,546900,5.07,,1,2012
2012-01-13,5.1,5.13,4.91,5.13,226200,5.13,,1,2012
2012-01-17,5.17,5.17,4.99,5.02,243700,5.02,,1,2012
2012-01-18,5.04,5.06,4.87,5.05,287000,5.05,,1,2012
2012-01-19,5.05,5.23,5.02,5.19,327100,5.19,,1,2012
2012-01-20,5.14,5.23,5.14,5.15,144600,5.15,,1,2012
2012-01-23,5.17,5.2,5.14,5.15,182200,5.15,,1,2012
2012-01-24,5.15,5.16,5.04,5.09,329700,5.09,48.8095238095,1,2012
2012-01-25,5.12,5.15,5.08,5.12,148000,5.12,49.7753818509,1,2012
2012-01-26,5.15,5.23,5.01,5.08,146400,5.08,48.4624184106,1,2012
2012-01-27,5.06,5.12,5.03,5.09,52200,5.09,48.8258422635,1,2012
2012-01-30,5.06,5.11,4.91,4.98,182500,4.98,45.0616335715,1,2012
2012-01-31,4.97,5.09,4.95,5.09,106800,5.09,49.2732218859,1,2012
2012-02-01,5.11,5.13,5.0,5.12,87800,5.12,50.3902156849,1,2012
2012-02-02,5.12,5.15,4.99,5.02,98400,5.02,46.6988812975,1,2012
2012-02-03,5.04,5.05,4.95,5.05,93000,5.05,47.9311934541,1,2012
2012-02-06,5.02,5.06,4.92,4.98,172400,4.98,45.2994771757,1,2012
2012-02-07,4.98,5.04,4.85,4.95,187400,4.95,44.179901472,1,2012
2012-02-08,4.95,4.95,4.61,4.66,249600,4.66,35.1390105353,1,2012
2012-02-09,3.9,3.94,3.66,3.78,2328000,3.78,21.0572394412,1,2012
2012-02-10,3.77,3.77,3.62,3.65,927200,3.65,19.795199776,1,2012
2012-02-13,3.75,3.75,3.51,3.58,970000,3.58,19.1303347181,1,2012
2012-02-14,3.59,3.59,3.39,3.42,683700,3.42,17.6694893601,1,2012
2012-02-15,3.44,3.73,3.44,3.55,1181200,3.55,22.8260536628,1,2012
2012-02-16,3.64,3.72,3.6,3.68,1033300,3.68,27.7025435767,1,2012
2012-02-17,3.7,3.78,3.65,3.66,407500,3.66,27.4155285915,1,2012
2012-02-21,3.7,3.7,3.43,3.43,589000,3.43,24.2978248366,1,2012
2012-02-22,3.48,3.53,3.4,3.46,213300,3.46,25.4880854071,1,2012
2012-02-23,3.46,3.46,3.27,3.44,255000,3.44,25.203580763,1,2012
2012-02-24,3.42,3.59,3.4,3.56,401000,3.56,30.2353800878,1,2012
2012-02-27,3.54,3.63,3.52,3.58,205700,3.58,31.0677159502,1,2012
2012-02-28,3.6,3.6,3.45,3.46,227800,3.46,28.8441165402,1,2012
2012-02-29,3.49,3.51,3.36,3.42,246100,3.42,28.121595319,1,2012
2012-03-01,3.48,3.48,3.37,3.4,146100,3.4,27.747338786,1,2012
2012-03-02,3.43,3.49,3.31,3.38,188400,3.38,27.3552763573,1,2012
2012-03-05,3.38,3.46,3.21,3.23,346400,3.23,24.5531538356,1,2012
2012-03-06,3.23,3.23,3.07,3.12,317900,3.12,22.7155363321,1,2012
2012-03-07,3.15,3.34,3.13,3.22,215600,3.22,27.991746764,1,2012
2012-03-08,3.24,3.38,3.09,3.21,209300,3.21,27.7874491591,1,2012
2012-03-09,3.19,3.53,3.19,3.41,395500,3.41,37.5970839359,1,2012
2012-03-12,3.47,3.52,3.37,3.46,322300,3.46,39.7988424584,1,2012
2012-03-13,3.67,3.67,3.37,3.48,225700,3.48,40.7001296925,1,2012
2012-03-14,3.53,3.53,3.3,3.34,244300,3.34,36.5725425148,1,2012
2012-03-15,3.37,3.37,3.25,3.33,121500,3.33,36.2894441082,1,2012
2012-03-16,3.29,3.29,3.19,3.2,205100,3.2,32.7412633226,1,2012
2012-03-19,3.2,3.29,3.09,3.22,161700,3.22,33.8134404966,1,2012
2012-03-20,3.21,3.21,3.1,3.14,178700,3.14,31.6406964884,1,2012
2012-03-21,3.12,3.18,2.93,2.94,408000,2.94,26.9741860702,1,2012
2012-03-22,2.99,3.05,2.92,2.94,361100,2.94,26.9741860702,1,2012
2012-03-23,2.97,3.0,2.86,2.93,299400,2.93,26.7454495666,1,2012
2012-03-26,2.96,3.01,2.89,2.91,205800,2.91,26.265725822,1,2012
2012-03-27,2.91,2.92,2.69,2.72,355000,2.72,22.1931549828,1,2012
2012-03-28,2.74,2.74,2.6,2.69,512500,2.69,21.6230580658,1,2012
2012-03-29,2.66,2.77,2.61,2.64,235900,2.64,20.670033155,1,2012
2012-03-30,2.64,2.84,2.57,2.82,338800,2.82,32.2471835605,1,2012
2012-04-02,2.84,2.84,2.66,2.73,202300,2.73,29.8977779452,2,2012
2012-04-03,2.73,2.85,2.71,2.83,155000,2.83,35.5191120214,2,2012
2012-04-04,2.84,2.91,2.67,2.87,324600,2.87,37.6720673021,2,2012
2012-04-05,2.87,3.0,2.87,2.87,289300,2.87,37.6720673021,2,2012
2012-04-09,2.88,2.98,2.87,2.87,236600,2.87,37.6720673021,2,2012
2012-04-10,2.9,2.95,2.85,2.85,270200,2.85,36.9026089378,2,2012
2012-04-11,2.88,2.9,2.85,2.85,151400,2.85,36.9026089378,2,2012
2012-04-12,2.85,2.93,2.85,2.91,124300,2.91,41.0891160417,2,2012
2012-04-13,2.89,2.93,2.85,2.85,157700,2.85,38.3489399253,2,2012
2012-04-16,2.88,2.9,2.85,2.89,153800,2.89,41.1658599225,2,2012
2012-04-17,2.93,3.08,2.88,3.05,314100,3.05,50.8414545191,2,2012
2012-04-18,3.06,3.08,2.95,2.95,244400,2.95,45.7746096965,2,2012
2012-04-19,2.94,2.99,2.89,2.89,151500,2.89,43.0052638989,2,2012
2012-04-20,2.93,2.94,2.84,2.87,194400,2.87,42.0911367211,2,2012
2012-04-23,2.87,2.94,2.86,2.91,123000,2.91,44.6262848787,2,2012
2012-04-24,2.9,2.9,2.8,2.81,173900,2.81,39.9210146725,2,2012
2012-04-25,2.85,2.93,2.76,2.76,143700,2.76,37.7763073909,2,2012
2012-04-26,2.8,2.85,2.65,2.74,209200,2.74,36.9218419762,2,2012
2012-04-27,2.76,2.76,2.65,2.76,196100,2.76,38.4218254662,2,2012
2012-04-30,2.72,2.75,2.69,2.72,92000,2.72,36.549818831,2,2012
2012-05-01,2.72,2.77,2.71,2.72,64000,2.72,36.549818831,2,2012
2012-05-02,2.72,2.78,2.69,2.69,152300,2.69,35.0638174414,2,2012
2012-05-03,2.71,2.73,2.56,2.57,119900,2.57,29.8380600319,2,2012
2012-05-04,2.55,2.69,2.34,2.67,270600,2.67,38.1151525658,2,2012
