Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.23,1.41,1.21,1.4,252100,1.4,,1,2012
2012-01-04,1.37,1.41,1.32,1.32,117900,1.32,,1,2012
2012-01-05,1.33,1.37,1.32,1.34,60700,1.34,,1,2012
2012-01-06,1.32,1.4,1.32,1.36,49000,1.36,,1,2012
2012-01-09,1.38,1.42,1.36,1.4,76400,1.4,,1,2012
2012-01-10,1.37,1.44,1.36,1.37,82200,1.37,,1,2012
2012-01-11,1.37,1.43,1.37,1.38,30400,1.38,,1,2012
2012-01-12,1.39,1.47,1.39,1.42,100400,1.42,,1,2012
2012-01-13,1.4,1.46,1.4,1.41,60400,1.41,,1,2012
2012-01-17,1.41,1.51,1.4,1.43,101600,1.43,,1,2012
2012-01-18,1.44,1.49,1.41,1.41,16700,1.41,,1,2012
2012-01-19,1.41,1.44,1.4,1.4,23900,1.4,,1,2012
2012-01-20,1.4,1.44,1.4,1.44,2000,1.44,,1,2012
2012-01-23,1.39,1.44,1.32,1.39,53800,1.39,,1,2012
2012-01-24,1.37,1.39,1.36,1.36,30600,1.36,45.2380952381,1,2012
2012-01-25,1.35,1.45,1.35,1.43,51900,1.43,53.5714285714,1,2012
2012-01-26,1.41,1.45,1.41,1.42,1600,1.42,52.3459383754,1,2012
2012-01-27,1.46,1.52,1.4,1.42,239300,1.42,52.3459383754,1,2012
2012-01-30,1.41,1.45,1.36,1.36,53200,1.36,45.1576061312,1,2012
2012-01-31,1.42,1.43,1.39,1.39,48500,1.39,48.9336307838,1,2012
2012-02-01,1.39,1.42,1.38,1.38,31800,1.38,47.7533490626,1,2012
2012-02-02,1.4,1.44,1.36,1.38,34500,1.38,47.7533490626,1,2012
2012-02-03,1.38,1.45,1.33,1.33,56800,1.33,41.8937624578,1,2012
2012-02-06,1.37,1.43,1.37,1.41,55400,1.41,52.0350250914,1,2012
2012-02-07,1.41,1.46,1.41,1.45,45000,1.45,56.1554289749,1,2012
2012-02-08,1.44,1.46,1.35,1.43,59900,1.43,53.6727306845,1,2012
2012-02-09,1.43,1.43,1.38,1.42,39900,1.42,52.4247068084,1,2012
2012-02-10,1.42,1.43,1.37,1.37,19900,1.37,46.5912229484,1,2012
2012-02-13,1.38,1.42,1.37,1.41,16800,1.41,51.2634254951,1,2012
2012-02-14,1.44,1.44,1.4,1.41,23000,1.41,51.2634254951,1,2012
2012-02-15,1.39,1.45,1.37,1.44,28300,1.44,54.7096630444,1,2012
