Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.79,5.8,5.61,5.75,391000,5.75,,1,2012
2012-01-04,5.73,5.78,5.52,5.53,163800,5.53,,1,2012
2012-01-05,5.52,5.72,5.36,5.65,180600,5.65,,1,2012
2012-01-06,5.66,5.93,5.61,5.63,132100,5.63,,1,2012
2012-01-09,5.64,5.79,5.51,5.75,180700,5.75,,1,2012
2012-01-10,5.86,6.11,5.8,6.1,283200,6.1,,1,2012
2012-01-11,6.07,6.07,5.9,5.99,243800,5.99,,1,2012
2012-01-12,5.99,6.07,5.84,6.0,105700,6.0,,1,2012
2012-01-13,5.89,6.0,5.8,5.96,151700,5.96,,1,2012
2012-01-17,6.81,7.48,6.6,6.67,2058500,6.67,,1,2012
2012-01-18,6.69,7.19,6.69,7.02,1104100,7.02,,1,2012
2012-01-19,7.09,7.59,6.94,7.18,935100,7.18,,1,2012
2012-01-20,7.17,7.32,6.86,7.02,527100,7.02,,1,2012
2012-01-23,7.01,7.11,6.82,6.98,175700,6.98,,1,2012
2012-01-24,6.91,7.07,6.84,7.05,294000,7.05,76.2096774194,1,2012
2012-01-25,7.07,7.19,7.02,7.12,185900,7.12,76.9114990969,1,2012
2012-01-26,7.16,7.23,7.07,7.15,224000,7.15,77.2216384155,1,2012
2012-01-27,7.1,7.48,6.84,7.47,506200,7.47,80.2665672051,1,2012
2012-01-30,7.41,7.53,7.27,7.42,333400,7.42,78.5007999872,1,2012
2012-01-31,7.58,8.07,7.57,7.9,1088000,7.9,82.4844296684,1,2012
2012-02-01,7.93,8.01,7.82,7.95,540000,7.95,82.8410940203,1,2012
2012-02-02,7.97,8.12,7.81,8.01,387600,8.01,83.2810511102,1,2012
2012-02-03,8.15,8.19,7.98,8.14,568500,8.14,84.224832667,1,2012
2012-02-06,8.04,8.06,7.85,7.99,323700,7.99,78.7041505367,1,2012
2012-02-07,7.99,8.01,7.76,7.88,235400,7.88,74.8305262575,1,2012
2012-02-08,7.88,8.06,7.77,7.9,260900,7.9,75.0707692505,1,2012
2012-02-09,7.95,7.96,7.79,7.87,232700,7.87,73.9308392766,1,2012
2012-02-10,7.81,7.84,7.69,7.73,222100,7.73,68.6889746028,1,2012
2012-02-13,7.84,7.99,7.72,7.98,292000,7.98,72.4459798106,1,2012
2012-02-14,7.93,7.95,7.79,7.84,215400,7.84,67.5573219641,1,2012
2012-02-15,7.88,7.88,7.64,7.66,228400,7.66,61.7845501188,1,2012
2012-02-16,7.69,7.91,7.66,7.91,210100,7.91,66.115341537,1,2012
2012-02-17,7.93,8.04,7.77,7.83,185100,7.83,63.630337055,1,2012
2012-02-21,7.83,7.89,7.27,7.29,226600,7.29,49.9758947894,1,2012
2012-02-22,7.27,7.29,7.1,7.26,189400,7.26,49.3424012349,1,2012
2012-02-23,7.29,7.53,7.21,7.5,186700,7.5,54.329956464,1,2012
2012-02-24,7.53,7.65,7.38,7.44,183200,7.44,52.9269971874,1,2012
2012-02-27,7.41,7.58,7.32,7.52,202500,7.52,54.6100166993,1,2012
2012-02-28,7.51,7.52,7.22,7.32,234800,7.32,49.8148796385,1,2012
2012-02-29,7.33,7.49,7.03,7.1,329100,7.1,45.121461547,1,2012
2012-03-01,7.58,7.58,7.03,7.05,833800,7.05,44.104407215,1,2012
2012-03-02,7.14,7.2,6.87,6.98,697900,6.98,42.6548281412,1,2012
2012-03-05,6.99,7.19,6.98,7.14,308700,7.14,46.9469944394,1,2012
2012-03-06,7.08,7.16,6.95,7.06,456200,7.06,45.12820498,1,2012
2012-03-07,7.1,7.26,7.06,7.21,306900,7.21,49.1092700016,1,2012
2012-03-08,7.25,7.35,7.16,7.3,175400,7.3,51.3881837314,1,2012
2012-03-09,7.28,7.5,7.21,7.29,218400,7.29,51.1142952578,1,2012
2012-03-12,7.31,7.36,7.06,7.11,350100,7.11,46.3278827118,1,2012
2012-03-13,7.13,7.25,7.11,7.2,337900,7.2,48.9042468403,1,2012
2012-03-14,7.19,7.21,6.98,7.01,533000,7.01,44.0923377263,1,2012
2012-03-15,7.23,7.42,7.17,7.28,1014800,7.28,51.4091246877,1,2012
2012-03-16,7.3,7.59,7.3,7.55,542500,7.55,57.4115358254,1,2012
2012-03-19,7.55,7.66,7.35,7.41,410400,7.41,53.706863813,1,2012
2012-03-20,7.34,7.38,7.1,7.26,244800,7.26,49.9851776627,1,2012
2012-03-21,7.31,7.45,7.1,7.11,394400,7.11,46.5139889691,1,2012
