Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.19,2.26,2.13,2.19,375300,2.19,,1,2012
2012-01-04,2.18,2.23,2.1,2.1,262100,2.1,,1,2012
2012-01-05,2.08,2.14,2.06,2.08,167700,2.08,,1,2012
2012-01-06,2.08,2.1,2.05,2.06,220800,2.06,,1,2012
2012-01-09,2.05,2.1,2.01,2.02,282100,2.02,,1,2012
2012-01-10,2.04,2.07,1.98,2.04,259300,2.04,,1,2012
2012-01-11,2.03,2.14,2.0,2.06,362000,2.06,,1,2012
2012-01-12,2.05,2.14,2.03,2.13,172700,2.13,,1,2012
2012-01-13,2.1,2.54,2.1,2.38,843200,2.38,,1,2012
2012-01-17,2.39,2.42,2.26,2.29,379900,2.29,,1,2012
2012-01-18,2.3,2.48,2.3,2.44,371300,2.44,,1,2012
2012-01-19,2.45,2.48,2.3,2.38,248400,2.38,,1,2012
2012-01-20,2.38,2.43,2.33,2.41,171600,2.41,,1,2012
2012-01-23,2.4,2.42,2.36,2.38,150700,2.38,,1,2012
2012-01-24,2.37,2.42,2.28,2.31,260500,2.31,56.25,1,2012
2012-01-25,2.32,2.41,2.26,2.36,317100,2.36,58.5735963581,1,2012
2012-01-26,2.36,2.38,2.3,2.31,267300,2.31,55.4046593795,1,2012
2012-01-27,2.31,2.38,2.22,2.38,242000,2.38,58.7679139346,1,2012
2012-01-30,2.38,2.42,2.32,2.4,207000,2.4,59.7030168823,1,2012
2012-01-31,2.56,2.77,2.54,2.75,1009400,2.75,71.7692024082,1,2012
2012-02-01,2.77,2.95,2.67,2.95,659900,2.95,76.1617670327,1,2012
2012-02-02,2.92,3.02,2.9,3.01,1180800,3.01,77.3027375665,1,2012
2012-02-03,3.0,3.05,2.94,3.01,1473400,3.01,77.3027375665,1,2012
2012-02-06,3.0,3.08,2.96,3.05,548200,3.05,78.1127104144,1,2012
2012-02-07,3.02,3.31,2.98,3.28,1427400,3.28,82.0739724301,1,2012
2012-02-08,3.33,3.33,3.06,3.19,629100,3.19,76.2579500526,1,2012
2012-02-09,2.77,2.78,2.58,2.6,8187300,2.6,50.8290805078,1,2012
2012-02-10,2.59,2.72,2.55,2.66,1229600,2.66,52.5615143785,1,2012
2012-02-13,2.7,2.73,2.63,2.71,899400,2.71,54.0155101597,1,2012
2012-02-14,2.71,2.84,2.67,2.8,1916100,2.8,56.5944139619,1,2012
2012-02-15,2.83,2.85,2.71,2.79,853500,2.79,56.2171591059,1,2012
2012-02-16,2.8,2.87,2.76,2.85,628300,2.85,58.0251105654,1,2012
2012-02-17,2.86,2.87,2.8,2.86,644500,2.86,58.3339258899,1,2012
2012-02-21,2.87,2.87,2.74,2.8,1039000,2.8,55.6866668495,1,2012
2012-02-22,2.78,2.81,2.73,2.75,651400,2.75,53.5074862667,1,2012
2012-02-23,2.75,2.78,2.72,2.77,900400,2.77,54.2782294831,1,2012
2012-02-24,2.76,2.82,2.73,2.8,966100,2.8,55.4707022551,1,2012
2012-02-27,2.79,2.87,2.75,2.86,864100,2.86,57.8390759657,1,2012
2012-02-28,2.85,2.95,2.79,2.95,1830200,2.95,61.1748276947,1,2012
2012-02-29,2.95,3.02,2.79,2.81,2543700,2.81,54.0155004657,1,2012
2012-03-01,2.84,2.92,2.81,2.85,556100,2.85,55.6138209234,1,2012
2012-03-02,2.87,2.88,2.8,2.86,603000,2.86,56.0253302406,1,2012
2012-03-05,2.86,2.9,2.83,2.9,404000,2.9,57.7141064364,1,2012
2012-03-06,2.86,2.88,2.78,2.85,427200,2.85,54.8771308069,1,2012
2012-03-07,2.85,2.96,2.85,2.95,631700,2.95,59.1970882104,1,2012
2012-03-08,2.95,3.05,2.91,3.0,461900,3.0,61.1974025292,1,2012
2012-03-09,3.01,3.14,2.99,3.05,1118900,3.05,63.1432500565,1,2012
2012-03-12,3.05,3.1,2.94,2.99,580700,2.99,59.3002494087,1,2012
