Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,8.09,8.09,7.68,7.99,2200,39.950001,,1,2012
2012-01-04,8.21,8.22,7.89,8.1,4400,40.500001,,1,2012
2012-01-05,8.01,8.15,7.9,8.12,1300,40.599999,,1,2012
2012-01-06,8.0,8.08,7.88,8.05,1700,40.250001,,1,2012
2012-01-09,8.07,8.2,7.92,8.0,5600,40.000001,,1,2012
2012-01-10,8.15,8.2,7.98,8.0,800,40.000001,,1,2012
2012-01-11,8.19,8.19,7.9,7.99,2100,39.950001,,1,2012
2012-01-12,8.12,8.14,7.91,8.05,12300,40.250001,,1,2012
2012-01-13,8.12,8.2,8.0,8.1,4700,40.500001,,1,2012
2012-01-17,8.2,9.0,8.2,8.63,17800,43.150002,,1,2012
2012-01-18,8.84,9.25,8.78,8.78,15600,43.900002,,1,2012
2012-01-19,8.9,9.25,8.85,8.95,8500,44.750001,,1,2012
2012-01-20,9.25,9.25,8.92,8.93,5800,44.650002,,1,2012
2012-01-23,8.99,9.01,8.5,8.6,3000,43.000001,,1,2012
2012-01-24,8.14,9.0,8.14,8.89,8600,44.450001,74.1935587929,1,2012
2012-01-25,8.88,8.88,8.39,8.53,3800,42.650002,61.3963138409,1,2012
2012-01-26,8.46,8.49,8.2,8.47,3900,42.349999,59.5526184971,1,2012
2012-01-27,8.5,8.89,8.46,8.72,23200,43.599999,64.3555644736,1,2012
2012-01-30,8.65,8.9,8.65,8.75,16100,43.750001,64.8942890434,1,2012
2012-01-31,8.81,8.92,8.71,8.9,4700,44.500001,67.5362287847,1,2012
2012-02-01,8.9,8.9,7.75,8.46,18400,42.3,54.5644094246,1,2012
2012-02-02,8.5,9.03,8.5,8.89,9600,44.450001,62.2045898672,1,2012
2012-02-03,8.9,9.0,8.64,8.87,17800,44.349999,61.685022492,1,2012
2012-02-06,8.79,9.05,8.79,9.0,22400,45.000001,63.8014403742,1,2012
2012-02-07,9.0,9.22,8.89,9.09,10200,45.450001,65.233231535,1,2012
2012-02-08,9.14,9.35,9.14,9.25,13800,46.250001,67.6806758219,1,2012
2012-02-09,9.28,9.37,9.2,9.23,8500,46.150002,67.0453340622,1,2012
2012-02-10,9.26,9.42,9.15,9.4,10300,47.000001,69.6530772255,1,2012
2012-02-13,9.42,9.55,9.32,9.35,14200,46.750001,67.9499644257,1,2012
2012-02-14,9.39,9.49,9.1,9.23,5200,46.150002,63.9109659641,1,2012
2012-02-15,9.18,9.54,8.9,9.4,9500,47.000001,66.9115984908,1,2012
2012-02-16,9.33,9.55,9.31,9.36,5700,46.8,65.5309520797,1,2012
2012-02-17,9.4,9.75,9.35,9.44,11100,47.200001,66.9976462689,1,2012
2012-02-21,9.49,9.57,9.25,9.43,10000,47.150002,66.6160762383,1,2012
2012-02-22,9.37,9.69,9.21,9.47,9600,47.349999,67.4154920336,1,2012
2012-02-23,9.48,9.56,9.31,9.47,9300,47.349999,67.4154920336,1,2012
2012-02-24,9.53,9.68,9.5,9.55,5300,47.750001,69.1301515377,1,2012
2012-02-27,9.54,10.41,9.54,10.07,24000,50.349999,77.440115354,1,2012
2012-02-28,10.25,10.71,10.08,10.31,17900,51.55,80.102422282,1,2012
2012-02-29,10.45,10.73,10.34,10.68,24700,53.400002,83.3622278261,1,2012
