Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-01-28,21.5,21.969999,18.540001,18.83,3507000,18.83,,1,2015
2015-01-29,18.709999,20.184999,18.709999,20.0,581200,20.0,,1,2015
2015-01-30,19.76,20.0,19.059999,19.83,146300,19.83,,1,2015
2015-02-02,19.85,19.85,18.950001,19.08,148700,19.08,,1,2015
2015-02-03,19.040001,19.379999,18.639999,18.99,69800,18.99,,1,2015
2015-02-04,18.5,18.99,17.0,18.309999,236600,18.309999,,1,2015
2015-02-05,18.799999,18.799999,17.709999,17.91,82400,17.91,,1,2015
2015-02-06,17.76,18.370001,17.65,17.995001,135700,17.995001,,1,2015
2015-02-09,17.809999,18.440001,17.610001,18.049999,80000,18.049999,,1,2015
2015-02-10,18.158001,18.49,17.57,18.27,73400,18.27,,1,2015
2015-02-11,18.08,18.43,18.040001,18.049999,11700,18.049999,,1,2015
2015-02-12,18.153,18.41,17.9,18.0,47100,18.0,,1,2015
2015-02-13,17.99,18.021999,17.91,17.98,33400,17.98,,1,2015
2015-02-17,17.934999,18.1,17.9,17.959999,41200,17.959999,,1,2015
2015-02-18,17.950001,18.0,17.860001,18.0,58300,18.0,39.5466047624,1,2015
2015-02-19,17.9,19.389999,17.9,19.299999,85800,19.299999,55.3072516303,1,2015
2015-02-20,19.610001,19.610001,19.112,19.34,34500,19.34,55.6900474094,1,2015
2015-02-23,19.92,20.0,18.049999,18.200001,117400,18.200001,44.0978493511,1,2015
2015-02-24,18.209999,18.860001,18.202999,18.48,71500,18.48,47.0151208333,1,2015
2015-02-25,18.969999,18.969999,18.120001,18.360001,80600,18.360001,45.9093744301,1,2015
2015-02-26,18.549999,18.549999,18.120001,18.4,20100,18.4,46.3622146649,1,2015
2015-02-27,18.49,18.5,17.540001,17.73,61500,17.73,40.2792568557,1,2015
2015-03-02,18.003,18.1,17.66,17.969999,42300,17.969999,43.156337251,1,2015
2015-03-03,17.9,18.049999,17.85,18.0,12000,18.0,43.5226165251,1,2015
2015-03-04,17.969999,18.23,17.85,18.0,19000,18.0,43.5226165251,1,2015
2015-03-05,18.15,18.15,17.952999,17.98,10300,17.98,43.3068665848,1,2015
2015-03-06,18.0,18.35,17.9,17.91,46200,17.91,42.5125285614,1,2015
2015-03-09,17.700001,18.219999,17.030001,17.85,213600,17.85,41.8047264248,1,2015
2015-03-10,17.52,17.950001,17.41,17.67,52500,17.67,39.6708354935,1,2015
2015-03-11,17.42,18.35,17.4,17.700001,35600,17.700001,40.2185586759,1,2015
2015-03-12,18.049999,18.1,17.73,18.1,37900,18.1,47.1128809439,1,2015
2015-03-13,18.115,18.35,17.780001,17.799999,19200,17.799999,43.0983541212,1,2015
2015-03-16,17.226,18.190001,17.16,18.190001,11100,18.190001,49.1629748488,1,2015
2015-03-17,18.17,18.190001,17.15,17.860001,17400,17.860001,44.8109190252,1,2015
2015-03-18,17.870001,18.309999,17.870001,18.309999,20900,18.309999,51.1600313034,1,2015
2015-03-19,18.870001,18.870001,18.01,18.17,8500,18.17,49.2612947939,1,2015
2015-03-20,18.18,18.65,17.549999,17.57,5400,17.57,42.0571173377,1,2015
2015-03-23,18.091999,18.450001,17.5,18.0,35600,18.0,47.9338499796,1,2015
2015-03-24,17.855,18.879999,17.695,17.98,164400,17.98,47.6915665862,1,2015
2015-03-25,17.98,18.0,17.16,17.780001,80500,17.780001,45.2295761308,1,2015
2015-03-26,17.799999,17.969999,17.379999,17.59,83100,17.59,42.9606102557,1,2015
2015-03-27,17.75,17.940001,17.16,17.790001,33600,17.790001,46.0297779293,1,2015
2015-03-30,17.799999,17.9,17.17,17.48,26900,17.48,42.2362225733,1,2015
2015-03-31,17.49,17.805,17.200001,17.35,13900,17.35,40.720614836,1,2015
2015-04-01,17.639999,17.898001,17.219999,17.43,24600,17.43,42.0976011337,2,2015
2015-04-02,17.4,17.799999,17.309999,17.389999,14100,17.389999,41.5775448908,2,2015
2015-04-06,17.614,17.860001,17.4,17.43,3400,17.43,42.3445844368,2,2015
2015-04-07,17.52,17.93,17.25,17.58,37000,17.58,45.2475799548,2,2015
2015-04-08,17.74,18.459999,17.690001,18.370001,14900,18.370001,57.410326018,2,2015
2015-04-09,18.34,18.34,18.0,18.049999,5900,18.049999,52.3385534522,2,2015
2015-04-10,18.129999,18.700001,18.0,18.049999,8100,18.049999,52.3385534522,2,2015
2015-04-13,18.1,18.34,17.35,17.49,44300,17.49,44.3811366993,2,2015
2015-04-14,17.559999,17.99,17.360001,17.75,43500,17.75,48.3105110574,2,2015
2015-04-15,17.84,17.84,17.42,17.639999,34200,17.639999,46.8039330748,2,2015
2015-04-16,17.621,18.91,17.440001,18.91,34200,18.91,61.6671596431,2,2015
2015-04-17,18.559999,19.92,18.209999,19.540001,77700,19.540001,66.6457521902,2,2015
2015-04-20,19.73,20.0,19.17,19.77,15300,19.77,68.2661716314,2,2015
2015-04-21,19.780001,20.440001,19.209999,20.440001,59400,20.440001,72.4630494429,2,2015
2015-04-22,20.440001,20.440001,19.65,20.4,33700,20.4,71.8520747095,2,2015
2015-04-23,20.4,20.860001,19.870001,20.860001,52300,20.860001,74.5133622516,2,2015
2015-04-24,20.620001,20.93,19.98,20.0,66400,20.0,62.5974587442,2,2015
2015-04-27,20.35,20.65,18.99,19.700001,38100,19.700001,59.049993065,2,2015
2015-04-28,19.43,20.0,17.309999,18.23,128900,18.23,45.4562848372,2,2015
2015-04-29,16.9,17.860001,16.530001,17.25,617500,17.25,39.0090104239,2,2015
2015-04-30,17.25,17.540001,16.52,17.030001,255900,17.030001,37.7157549153,2,2015
2015-05-01,17.030001,17.76,16.790001,17.549999,58500,17.549999,42.5628129124,2,2015
2015-05-04,17.49,17.860001,16.5,17.24,42200,17.24,40.5374638259,2,2015
2015-05-05,17.049999,17.110001,16.110001,16.129999,70900,16.129999,34.2524166112,2,2015
2015-05-06,16.18,16.469999,15.8,16.17,22800,16.17,34.6456574217,2,2015
2015-05-07,16.27,16.959999,16.0,16.139999,16900,16.139999,34.4790922575,2,2015
2015-05-08,16.18,16.83,16.0,16.440001,27100,16.440001,37.7043624848,2,2015
2015-05-11,16.209999,16.83,16.049999,16.52,17000,16.52,38.5727081934,2,2015
2015-05-12,16.469999,16.809999,16.110001,16.809999,10900,16.809999,41.7428652182,2,2015
2015-05-13,16.879999,16.98,16.129999,16.809999,16000,16.809999,41.7428652182,2,2015
2015-05-14,16.559999,17.49,16.559999,17.379999,17100,17.379999,47.8750189984,2,2015
