Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.79,1.87,1.75,1.86,88600,1.86,,1,2012
2012-01-04,1.9,2.0,1.89,1.97,80200,1.97,,1,2012
2012-01-05,2.02,2.15,1.98,2.13,166600,2.13,,1,2012
2012-01-06,2.23,2.26,2.04,2.04,74100,2.04,,1,2012
2012-01-09,2.0,2.2,2.0,2.08,51000,2.08,,1,2012
2012-01-10,2.15,2.15,2.07,2.14,17900,2.14,,1,2012
2012-01-11,2.1,2.17,2.05,2.13,41200,2.13,,1,2012
2012-01-12,2.11,2.12,2.03,2.05,45800,2.05,,1,2012
2012-01-13,2.04,2.13,1.99,2.11,55900,2.11,,1,2012
2012-01-17,2.1,2.14,2.03,2.04,20200,2.04,,1,2012
2012-01-18,2.03,2.11,1.95,2.08,52000,2.08,,1,2012
2012-01-19,2.1,2.12,2.06,2.1,50000,2.1,,1,2012
2012-01-20,2.09,2.1,2.0,2.01,36200,2.01,,1,2012
2012-01-23,2.0,2.11,2.0,2.02,71700,2.02,,1,2012
2012-01-24,1.99,2.06,1.87,1.88,103400,1.88,51.0204081633,1,2012
2012-01-25,1.88,1.94,1.86,1.86,66400,1.86,49.9231950845,1,2012
2012-01-26,1.92,1.93,1.8,1.88,41200,1.88,51.0567040074,1,2012
2012-01-27,1.9,1.94,1.86,1.93,47400,1.93,53.8680532878,1,2012
2012-01-30,1.91,1.93,1.84,1.86,20600,1.86,49.5747201997,1,2012
2012-01-31,1.88,1.89,1.81,1.87,25800,1.87,50.1855292542,1,2012
2012-02-01,1.9,2.33,1.82,1.83,654400,1.83,47.6967269393,1,2012
2012-02-02,1.92,1.92,1.8,1.87,218600,1.87,50.3484570833,1,2012
2012-02-03,1.92,2.05,1.86,1.9,225300,1.9,52.3016699628,1,2012
2012-02-06,1.97,2.0,1.92,1.93,196200,1.93,54.2402560848,1,2012
2012-02-07,1.93,1.99,1.91,1.92,60800,1.92,53.4602883266,1,2012
2012-02-08,1.92,1.95,1.88,1.89,74000,1.89,51.0868916161,1,2012
2012-02-09,1.9,1.92,1.88,1.88,52000,1.88,50.2854991897,1,2012
2012-02-10,1.89,1.89,1.85,1.85,50000,1.85,47.8599295496,1,2012
2012-02-13,1.87,1.92,1.85,1.9,46200,1.9,52.014397099,1,2012
2012-02-14,1.94,1.94,1.85,1.85,67300,1.85,47.9038567052,1,2012
2012-02-15,1.89,1.91,1.84,1.84,77800,1.84,47.102122327,1,2012
2012-02-16,1.82,1.95,1.82,1.88,67300,1.88,50.6593340007,1,2012
2012-02-17,1.91,1.92,1.88,1.89,93200,1.89,51.5367562285,1,2012
