Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-09-03,4.0,4.0,4.0,4.0,5500,4.0,,3,2014
2014-09-04,4.0,4.0,3.73,3.73,1200,3.73,,3,2014
2014-09-05,3.73,3.73,3.73,3.73,0,3.73,,3,2014
2014-09-08,3.73,3.73,3.73,3.73,0,3.73,,3,2014
2014-09-09,3.73,3.73,3.73,3.73,0,3.73,,3,2014
2014-09-10,3.68,3.84,3.68,3.84,1500,3.84,,3,2014
2014-09-11,4.24,4.24,3.52,3.55,400,3.55,,3,2014
2014-09-12,3.55,3.6,3.44,3.6,1700,3.6,,3,2014
2014-09-15,3.6,3.6,3.6,3.6,0,3.6,,3,2014
2014-09-16,3.5,3.5,3.5,3.5,200,3.5,,3,2014
2014-09-17,3.42,3.42,3.4,3.4,2000,3.4,,3,2014
2014-09-18,3.41,3.41,3.4,3.4,2100,3.4,,3,2014
2014-09-19,3.24,3.5,3.24,3.5,700,3.5,,3,2014
2014-09-22,3.5,3.5,3.5,3.5,0,3.5,,3,2014
2014-09-23,3.45,3.45,3.45,3.45,100,3.45,24.2990654206,3,2014
2014-09-24,3.45,3.45,3.45,3.45,0,3.45,24.2990654206,3,2014
2014-09-25,3.3,3.3,3.3,3.3,200,3.3,20.9009180421,3,2014
2014-09-26,3.4,3.4,3.4,3.4,100,3.4,28.1180691563,3,2014
2014-09-29,3.4,3.4,3.4,3.4,0,3.4,28.1180691563,3,2014
2014-09-30,3.2,3.2,3.2,3.2,500,3.2,23.2066577407,3,2014
2014-10-01,3.2,3.2,3.2,3.2,0,3.2,23.2066577407,4,2014
2014-10-02,3.2,3.2,3.2,3.2,0,3.2,23.2066577407,4,2014
2014-10-03,3.32,3.33,3.32,3.33,700,3.33,32.7438440903,4,2014
2014-10-06,3.33,3.33,3.33,3.33,0,3.33,32.7438440903,4,2014
2014-10-07,3.11,3.11,3.11,3.11,300,3.11,26.3266996721,4,2014
2014-10-08,3.11,3.11,3.11,3.11,0,3.11,26.3266996721,4,2014
2014-10-09,3.11,3.11,3.11,3.11,0,3.11,26.3266996721,4,2014
2014-10-10,3.11,3.11,3.11,3.11,0,3.11,26.3266996721,4,2014
2014-10-13,3.11,3.11,3.11,3.11,0,3.11,26.3266996721,4,2014
2014-10-14,2.94,3.96,2.35,2.89,2200,2.89,20.5055685535,4,2014
2014-10-15,2.35,2.95,1.41,2.94,2000,2.94,24.5867921075,4,2014
