Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.6,2.6,2.6,2.6,3000,2.6,,1,2012
2012-01-04,2.6,2.6,2.6,2.6,0,2.6,,1,2012
2012-01-05,2.75,2.75,2.75,2.75,1000,2.75,,1,2012
2012-01-06,2.79,2.8,2.79,2.8,6900,2.8,,1,2012
2012-01-09,2.55,2.99,2.5,2.85,5200,2.85,,1,2012
2012-01-10,3.0,3.1,3.0,3.05,19000,3.05,,1,2012
2012-01-11,3.2,3.29,3.0,3.0,5600,3.0,,1,2012
2012-01-12,3.29,3.29,3.05,3.25,2000,3.25,,1,2012
2012-01-13,3.05,3.1,3.05,3.1,2000,3.1,,1,2012
2012-01-17,3.25,3.35,3.25,3.35,13000,3.35,,1,2012
2012-01-18,3.35,3.4,3.2,3.4,4800,3.4,,1,2012
2012-01-19,3.45,3.45,3.35,3.45,4700,3.45,,1,2012
2012-01-20,3.45,3.45,3.25,3.4,2900,3.4,,1,2012
2012-01-23,3.2,3.2,3.2,3.2,1700,3.2,,1,2012
2012-01-24,3.35,3.35,3.25,3.25,2000,3.25,70.9677419355,1,2012
2012-01-25,3.48,3.49,3.48,3.49,2000,3.49,75.1169715015,1,2012
2012-01-26,3.39,3.39,3.39,3.39,3100,3.39,70.5900439689,1,2012
2012-01-27,3.25,3.3,3.25,3.3,3300,3.3,66.6943764735,1,2012
2012-01-30,3.3,3.3,3.27,3.27,7800,3.27,65.3987748882,1,2012
2012-01-31,3.27,3.27,3.27,3.27,0,3.27,65.3987748882,1,2012
2012-02-01,3.25,3.25,3.0,3.1,7800,3.1,57.9947485159,1,2012
2012-02-02,3.0,3.0,3.0,3.0,1500,3.0,54.1137645049,1,2012
2012-02-03,3.0,3.2,3.0,3.1,5600,3.1,57.1983603794,1,2012
2012-02-06,3.0,3.0,2.9,2.9,800,2.9,49.9641806744,1,2012
2012-02-07,2.9,3.24,2.9,3.24,7800,3.24,59.3715742303,1,2012
2012-02-08,3.24,3.24,3.24,3.24,0,3.24,59.3715742303,1,2012
2012-02-09,3.24,3.24,3.24,3.24,0,3.24,59.3715742303,1,2012
2012-02-10,2.99,2.99,2.87,2.87,4900,2.87,47.2875415662,1,2012
2012-02-13,2.9,2.9,2.9,2.9,4000,2.9,48.2079917555,1,2012
2012-02-14,2.9,2.9,2.9,2.9,0,2.9,48.2079917555,1,2012
2012-02-15,2.9,2.9,2.9,2.9,500,2.9,48.2079917555,1,2012
2012-02-16,2.9,2.9,2.9,2.9,0,2.9,48.2079917555,1,2012
2012-02-17,2.85,2.85,2.85,2.85,3000,2.85,46.391985006,1,2012
2012-02-21,2.85,2.85,2.85,2.85,2000,2.85,46.391985006,1,2012
2012-02-22,2.85,2.85,2.85,2.85,0,2.85,46.391985006,1,2012
2012-02-23,3.0,3.0,3.0,3.0,200,3.0,53.0227189212,1,2012
2012-02-24,3.0,3.0,3.0,3.0,0,3.0,53.0227189212,1,2012
2012-02-27,3.0,3.0,3.0,3.0,0,3.0,53.0227189212,1,2012
2012-02-28,3.0,3.0,3.0,3.0,0,3.0,53.0227189212,1,2012
2012-02-29,2.86,2.86,2.86,2.86,1500,2.86,45.8961052452,1,2012
2012-03-01,2.9,2.9,2.9,2.9,7500,2.9,48.0447627488,1,2012
2012-03-02,2.9,2.9,2.9,2.9,10200,2.9,48.0447627488,1,2012
2012-03-05,2.87,2.87,2.85,2.85,6200,2.85,45.4292683917,1,2012
2012-03-06,2.87,2.87,2.85,2.85,1200,2.85,45.4292683917,1,2012
2012-03-07,2.8,2.87,2.8,2.87,3000,2.87,46.7734725231,1,2012
2012-03-08,2.95,2.95,2.85,2.85,4000,2.85,45.5647703071,1,2012
2012-03-09,2.85,2.9,2.85,2.9,4500,2.9,49.105671326,1,2012
2012-03-12,2.9,2.9,2.9,2.9,1300,2.9,49.105671326,1,2012
2012-03-13,2.9,2.9,2.9,2.9,0,2.9,49.105671326,1,2012
2012-03-14,2.9,2.9,2.9,2.9,0,2.9,49.105671326,1,2012
2012-03-15,2.8,2.94,2.77,2.77,7200,2.77,40.0052278466,1,2012
2012-03-16,2.77,2.77,2.77,2.77,500,2.77,40.0052278466,1,2012
2012-03-19,2.77,2.81,2.7,2.75,5500,2.75,38.7247401031,1,2012
2012-03-20,2.7,2.7,2.6,2.6,3000,2.6,30.7699108472,1,2012
2012-03-21,2.7,2.75,2.6,2.7,6500,2.7,39.6677633228,1,2012
2012-03-22,2.7,2.75,2.7,2.75,1800,2.75,43.5728704823,1,2012
