Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.33,0.34,0.32,0.34,3700,0.34,,1,2012
2012-01-04,0.35,0.35,0.35,0.35,700,0.35,,1,2012
2012-01-05,0.33,0.33,0.3,0.33,3400,0.33,,1,2012
2012-01-06,0.35,0.38,0.35,0.38,12300,0.38,,1,2012
2012-01-09,0.4,0.46,0.4,0.4,47100,0.4,,1,2012
2012-01-10,0.41,0.41,0.4,0.41,11500,0.41,,1,2012
2012-01-11,0.43,0.47,0.42,0.47,6500,0.47,,1,2012
2012-01-12,0.47,0.47,0.47,0.47,100,0.47,,1,2012
2012-01-13,0.43,0.45,0.42,0.44,3600,0.44,,1,2012
2012-01-17,0.44,0.45,0.4,0.42,16200,0.42,,1,2012
2012-01-18,0.4,0.42,0.4,0.42,3000,0.42,,1,2012
2012-01-19,0.42,0.42,0.42,0.42,0,0.42,,1,2012
2012-01-20,0.44,0.44,0.44,0.44,5400,0.44,,1,2012
2012-01-23,0.45,0.45,0.35,0.42,24800,0.42,,1,2012
2012-01-24,0.42,0.42,0.42,0.42,0,0.42,65.3846153846,1,2012
2012-01-25,0.42,0.42,0.42,0.42,0,0.42,65.3846153846,1,2012
2012-01-26,0.4,0.41,0.4,0.41,5300,0.41,62.5925925926,1,2012
2012-01-27,0.4,0.42,0.4,0.41,19400,0.41,62.5925925926,1,2012
2012-01-30,0.43,0.43,0.43,0.43,600,0.43,65.9637882943,1,2012
2012-01-31,0.41,0.41,0.39,0.39,500,0.39,55.2411068114,1,2012
2012-02-01,0.39,0.42,0.38,0.42,17600,0.42,60.4356546175,1,2012
2012-02-02,0.41,0.43,0.41,0.43,6500,0.43,62.0180293217,1,2012
2012-02-03,0.42,0.48,0.42,0.47,26400,0.47,67.600082026,1,2012
2012-02-06,0.51,0.6,0.48,0.53,12200,0.53,73.8162671787,1,2012
2012-02-07,0.56,0.6,0.5,0.5,29200,0.5,66.9044863325,1,2012
2012-02-08,0.52,0.58,0.51,0.56,13200,0.56,72.4588533848,1,2012
2012-02-09,0.55,0.66,0.55,0.55,34000,0.55,70.3399983874,1,2012
2012-02-10,0.55,0.55,0.55,0.55,0,0.55,70.3399983874,1,2012
2012-02-13,0.55,0.63,0.55,0.6,39800,0.6,74.6402521276,1,2012
2012-02-14,0.59,0.65,0.55,0.57,17900,0.57,68.2467229953,1,2012
2012-02-15,0.55,0.57,0.55,0.57,5000,0.57,68.2467229953,1,2012
2012-02-16,0.57,0.65,0.55,0.59,17000,0.59,70.2190725098,1,2012
2012-02-17,0.6,0.6,0.5,0.52,22000,0.52,56.8978543082,1,2012
2012-02-21,0.54,0.56,0.54,0.55,18900,0.55,60.3679634995,1,2012
2012-02-22,0.52,0.56,0.52,0.52,4700,0.52,55.5515362268,1,2012
2012-02-23,0.52,0.52,0.52,0.52,100,0.52,55.5515362268,1,2012
2012-02-24,0.5,0.52,0.48,0.52,10200,0.52,55.5515362268,1,2012
2012-02-27,0.52,0.52,0.43,0.48,27600,0.48,49.0363159583,1,2012
2012-02-28,0.47,0.48,0.38,0.42,45200,0.42,41.2258250994,1,2012
2012-02-29,0.42,0.46,0.42,0.44,8200,0.44,44.4046208155,1,2012
2012-03-01,0.48,0.48,0.44,0.44,10800,0.44,44.4046208155,1,2012
2012-03-02,0.46,0.48,0.46,0.46,2400,0.46,47.6860494414,1,2012
2012-03-05,0.5,0.5,0.44,0.44,88100,0.44,44.8361023285,1,2012
2012-03-06,0.52,0.52,0.44,0.48,37300,0.48,51.1272119154,1,2012
2012-03-07,0.48,0.48,0.48,0.48,1300,0.48,51.1272119154,1,2012
2012-03-08,0.46,0.46,0.46,0.46,6600,0.46,47.9557988767,1,2012
2012-03-09,0.46,0.48,0.46,0.46,22700,0.46,47.9557988767,1,2012
2012-03-12,0.49,0.49,0.49,0.49,2000,0.49,53.0248797846,1,2012
2012-03-13,0.48,0.48,0.47,0.47,400,0.47,49.5593032607,1,2012
2012-03-14,0.48,0.48,0.46,0.46,10800,0.46,47.8744792198,1,2012
2012-03-15,0.49,0.51,0.49,0.51,4400,0.51,55.9399391676,1,2012
2012-03-16,0.49,0.49,0.49,0.49,200,0.49,52.4443369544,1,2012
2012-03-19,0.49,0.49,0.49,0.49,0,0.49,52.4443369544,1,2012
2012-03-20,0.47,0.5,0.45,0.46,9000,0.46,47.3022177024,1,2012
2012-03-21,0.45,0.46,0.44,0.46,3500,0.46,47.3022177024,1,2012
2012-03-22,0.46,0.46,0.46,0.46,0,0.46,47.3022177024,1,2012
2012-03-23,0.45,0.48,0.44,0.47,18300,0.47,49.3689913703,1,2012
2012-03-26,0.47,0.47,0.47,0.47,200,0.47,49.3689913703,1,2012
2012-03-27,0.47,0.47,0.47,0.47,1700,0.47,49.3689913703,1,2012
2012-03-28,0.45,0.45,0.41,0.41,16500,0.41,38.1550574425,1,2012
2012-03-29,0.43,0.43,0.4,0.41,17100,0.41,38.1550574425,1,2012
2012-03-30,0.41,0.41,0.38,0.39,46600,0.39,35.07506054,1,2012
2012-04-02,0.39,0.5,0.39,0.44,21200,0.44,46.6661837088,2,2012
2012-04-03,0.43,0.48,0.43,0.48,68700,0.48,53.7759685441,2,2012
2012-04-04,0.48,0.48,0.48,0.48,0,0.48,53.7759685441,2,2012
2012-04-05,0.49,0.49,0.41,0.45,7000,0.45,48.1883530748,2,2012
2012-04-09,0.45,0.45,0.43,0.44,20700,0.44,46.4555880994,2,2012
2012-04-10,0.42,0.44,0.4,0.4,14900,0.4,40.224884926,2,2012
2012-04-11,0.41,0.42,0.41,0.41,8800,0.41,42.3081209471,2,2012
2012-04-12,0.4,0.4,0.4,0.4,500,0.4,40.7776505334,2,2012
2012-04-13,0.41,0.41,0.41,0.41,9000,0.41,42.9982689106,2,2012
2012-04-16,0.43,0.43,0.42,0.43,1400,0.43,47.2577947799,2,2012
2012-04-17,0.43,0.43,0.43,0.43,6000,0.43,47.2577947799,2,2012
2012-04-18,0.42,0.42,0.42,0.42,200,0.42,45.2950521716,2,2012
2012-04-19,0.42,0.42,0.4,0.4,7800,0.4,41.5758820106,2,2012
2012-04-20,0.42,0.45,0.42,0.44,16600,0.44,50.3555942205,2,2012
2012-04-23,0.44,0.44,0.44,0.44,0,0.44,50.3555942205,2,2012
2012-04-24,0.44,0.44,0.44,0.44,0,0.44,50.3555942205,2,2012
2012-04-25,0.43,0.43,0.43,0.43,4200,0.43,48.0986786129,2,2012
2012-04-26,0.43,0.43,0.43,0.43,0,0.43,48.0986786129,2,2012
2012-04-27,0.41,0.41,0.41,0.41,200,0.41,43.5692157827,2,2012
2012-04-30,0.39,0.39,0.35,0.38,27400,0.38,37.8165240216,2,2012
2012-05-01,0.4,0.4,0.39,0.39,3300,0.39,40.6304863639,2,2012
2012-05-02,0.39,0.4,0.39,0.4,2500,0.4,43.3893250213,2,2012
2012-05-03,0.4,0.4,0.34,0.36,18200,0.36,36.1525312511,2,2012
2012-05-04,0.38,0.42,0.38,0.41,8900,0.41,47.8592519358,2,2012
2012-05-07,0.42,0.42,0.41,0.41,11100,0.41,47.8592519358,2,2012
2012-05-08,0.4,0.46,0.39,0.43,16700,0.43,51.9466297464,2,2012
2012-05-09,0.43,0.44,0.43,0.43,1800,0.43,51.9466297464,2,2012
2012-05-10,0.41,0.47,0.41,0.46,17800,0.46,57.7133797742,2,2012
2012-05-11,0.46,0.46,0.41,0.41,1200,0.41,47.485187878,2,2012
2012-05-14,0.4,0.42,0.38,0.42,2600,0.42,49.4160436408,2,2012
2012-05-15,0.41,0.41,0.37,0.4,5700,0.4,45.789842847,2,2012
2012-05-16,0.38,0.43,0.38,0.43,7000,0.43,51.534835887,2,2012
2012-05-17,0.4,0.4,0.36,0.4,1500,0.4,46.2557442902,2,2012
2012-05-18,0.38,0.38,0.38,0.38,5400,0.38,43.0869266858,2,2012
2012-05-21,0.36,0.38,0.36,0.38,8300,0.38,43.0869266858,2,2012
2012-05-22,0.39,0.39,0.37,0.38,4100,0.38,43.0869266858,2,2012
2012-05-23,0.37,0.37,0.25,0.33,41000,0.33,35.4944123908,2,2012
2012-05-24,0.34,0.36,0.34,0.34,19100,0.34,37.8531200097,2,2012
2012-05-25,0.34,0.34,0.31,0.32,69500,0.32,35.0895571919,2,2012
2012-05-29,0.32,0.32,0.29,0.32,2700,0.32,35.0895571919,2,2012
2012-05-30,0.31,0.32,0.29,0.29,19200,0.29,31.1351672889,2,2012
2012-05-31,0.31,0.31,0.29,0.31,34900,0.31,36.2898688279,2,2012
2012-06-01,0.32,0.32,0.27,0.32,4300,0.32,38.7582285966,2,2012
2012-06-04,0.32,0.32,0.28,0.31,8400,0.31,37.2058560803,2,2012
2012-06-05,0.29,0.29,0.27,0.27,89200,0.27,31.731131681,2,2012
2012-06-06,0.3,0.3,0.26,0.27,10900,0.27,31.731131681,2,2012
2012-06-07,0.28,0.28,0.26,0.27,7100,0.27,31.731131681,2,2012
2012-06-08,0.25,0.28,0.25,0.27,11800,0.27,31.731131681,2,2012
2012-06-11,0.27,0.3,0.25,0.27,110800,0.27,31.731131681,2,2012
2012-06-12,0.25,0.26,0.25,0.26,42600,0.26,30.1258414202,2,2012
2012-06-13,0.25,0.25,0.25,0.25,2200,0.25,28.5693285149,2,2012
2012-06-14,0.26,0.26,0.21,0.23,62000,0.23,25.7084221621,2,2012
2012-06-15,0.23,0.24,0.22,0.23,9000,0.23,25.7084221621,2,2012
2012-06-18,0.25,0.25,0.2,0.2,175000,0.2,21.8942947599,2,2012
2012-06-19,0.21,0.21,0.19,0.2,83400,0.2,21.8942947599,2,2012
2012-06-20,0.2,0.2,0.19,0.19,11300,0.19,20.7066728355,2,2012
2012-06-21,0.2,0.2,0.2,0.2,3000,0.2,25.0830240468,2,2012
2012-06-22,0.2,0.24,0.19,0.19,130600,0.19,23.675795031,2,2012
2012-06-25,0.21,0.35,0.21,0.24,165800,0.24,41.3834116976,2,2012
2012-06-26,0.29,0.38,0.26,0.3,164700,0.3,54.90414814,2,2012
2012-06-27,0.35,0.43,0.34,0.41,103900,0.41,69.0150936745,2,2012
2012-06-28,0.36,0.42,0.34,0.37,58900,0.37,61.4812871777,2,2012
2012-06-29,0.34,0.36,0.32,0.33,2600,0.33,55.0139181848,2,2012
2012-07-02,0.33,0.33,0.28,0.28,40200,0.28,48.1899655876,3,2012
2012-07-03,0.31,0.31,0.28,0.28,12800,0.28,48.1899655876,3,2012
2012-07-05,0.31,0.31,0.29,0.3,18900,0.3,51.0090534558,3,2012
2012-07-06,0.3,0.32,0.29,0.3,21600,0.3,51.0090534558,3,2012
2012-07-09,0.29,0.34,0.28,0.32,6700,0.32,53.9171160412,3,2012
2012-07-10,0.31,0.31,0.26,0.28,15200,0.28,47.805195543,3,2012
2012-07-11,0.26,0.26,0.26,0.26,9100,0.26,45.0550886273,3,2012
2012-07-12,0.27,0.28,0.25,0.26,40400,0.26,45.0550886273,3,2012
2012-07-13,0.26,0.26,0.25,0.25,10000,0.25,43.6006130084,3,2012
2012-07-16,0.27,0.31,0.27,0.27,39500,0.27,47.2671693336,3,2012
2012-07-17,0.27,0.28,0.27,0.28,13300,0.28,49.0506853409,3,2012
2012-07-18,0.26,0.27,0.25,0.25,9400,0.25,44.2188782567,3,2012
2012-07-19,0.25,0.28,0.24,0.25,10100,0.25,44.2188782567,3,2012
2012-07-20,0.25,0.36,0.25,0.31,35600,0.31,54.5936871566,3,2012
2012-07-23,0.32,0.4,0.3,0.31,17600,0.31,54.5936871566,3,2012
2012-07-24,0.35,0.37,0.35,0.35,7900,0.35,60.3023657939,3,2012
2012-07-25,0.33,0.33,0.3,0.33,7300,0.33,56.4788747123,3,2012
2012-07-26,0.31,0.31,0.25,0.26,49700,0.26,45.5846347349,3,2012
2012-07-27,0.31,0.31,0.26,0.26,6300,0.26,45.5846347349,3,2012
2012-07-30,0.27,0.3,0.25,0.3,2500,0.3,51.7522753215,3,2012
2012-07-31,0.3,0.3,0.25,0.27,11400,0.27,47.4118676802,3,2012
2012-08-01,0.28,0.28,0.28,0.28,5100,0.28,48.9488539761,3,2012
2012-08-02,0.3,0.3,0.25,0.25,1800,0.25,44.7256252155,3,2012
2012-08-03,0.25,0.25,0.25,0.25,0,0.25,44.7256252155,3,2012
2012-08-06,0.27,0.27,0.24,0.24,34000,0.24,43.2819901828,3,2012
2012-08-07,0.26,0.26,0.24,0.24,19700,0.24,43.2819901828,3,2012
2012-08-08,0.24,0.24,0.24,0.24,0,0.24,43.2819901828,3,2012
