Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.32,1.34,1.25,1.27,4400,1.27,,1,2012
2012-01-04,1.33,1.39,1.3,1.35,38300,1.35,,1,2012
2012-01-05,1.35,1.37,1.29,1.35,5600,1.35,,1,2012
2012-01-06,1.31,1.36,1.3,1.33,4400,1.33,,1,2012
2012-01-09,1.32,1.37,1.3,1.34,7000,1.34,,1,2012
2012-01-10,1.32,1.32,1.31,1.31,1700,1.31,,1,2012
2012-01-11,1.32,1.32,1.29,1.3,5100,1.3,,1,2012
2012-01-12,1.29,1.3,1.25,1.3,800,1.3,,1,2012
2012-01-13,1.25,1.25,1.25,1.25,4100,1.25,,1,2012
2012-01-17,1.32,1.32,1.2,1.22,6800,1.22,,1,2012
2012-01-18,1.25,1.31,1.2,1.22,9800,1.22,,1,2012
2012-01-19,1.22,1.22,1.22,1.22,0,1.22,,1,2012
2012-01-20,1.21,1.25,1.21,1.22,4600,1.22,,1,2012
2012-01-23,1.21,1.21,1.21,1.21,2700,1.21,,1,2012
2012-01-24,1.21,1.25,1.21,1.21,11500,1.21,37.5,1,2012
2012-01-25,1.21,1.22,1.21,1.22,2300,1.22,40.1840490798,1,2012
2012-01-26,1.22,1.23,1.18,1.18,33100,1.18,33.9107925129,1,2012
2012-01-27,1.2,1.25,1.2,1.25,9700,1.25,48.9348356096,1,2012
2012-01-30,1.28,1.44,1.28,1.39,22200,1.39,65.7196411786,1,2012
2012-01-31,1.39,1.39,1.22,1.32,14300,1.32,55.8370905281,1,2012
2012-02-01,1.32,1.32,1.22,1.26,39500,1.26,49.0312093271,1,2012
2012-02-02,1.26,1.26,1.22,1.22,9000,1.22,45.0857772701,1,2012
2012-02-03,1.22,1.26,1.15,1.2,32900,1.2,43.2133928555,1,2012
2012-02-06,1.24,1.32,1.2,1.31,17400,1.31,54.4242051408,1,2012
2012-02-07,1.29,1.31,1.22,1.31,4400,1.31,54.4242051408,1,2012
2012-02-08,1.23,1.23,1.23,1.23,100,1.23,46.6553154036,1,2012
2012-02-09,1.28,1.3,1.28,1.3,4700,1.3,52.9800430172,1,2012
2012-02-10,1.16,1.3,1.16,1.22,9700,1.22,46.2334622687,1,2012
2012-02-13,1.22,1.27,1.2,1.27,800,1.27,50.4780350544,1,2012
2012-02-14,1.27,1.27,1.27,1.27,1000,1.27,50.4780350544,1,2012
2012-02-15,1.21,1.27,1.21,1.27,900,1.27,50.4780350544,1,2012
2012-02-16,1.17,1.27,1.17,1.27,6600,1.27,50.4780350544,1,2012
2012-02-17,1.2,1.25,1.17,1.2,12100,1.2,43.945220487,1,2012
2012-02-21,1.2,1.2,1.15,1.19,2100,1.19,43.0873256144,1,2012
2012-02-22,1.2,1.2,1.12,1.14,20100,1.14,38.9888911404,1,2012
2012-02-23,1.28,1.28,1.15,1.2,14300,1.2,45.6676104632,1,2012
2012-02-24,1.25,1.26,1.12,1.12,24100,1.12,39.4644409517,1,2012
2012-02-27,1.2,1.2,1.11,1.15,10300,1.15,42.612470783,1,2012
2012-02-28,1.12,1.15,1.12,1.15,9300,1.15,42.612470783,1,2012
2012-02-29,1.15,1.18,1.14,1.18,7700,1.18,45.8767089969,1,2012
2012-03-01,1.14,1.18,1.14,1.18,3200,1.18,45.8767089969,1,2012
2012-03-02,1.15,1.18,1.13,1.15,10000,1.15,43.0376020641,1,2012
2012-03-05,1.15,1.22,1.13,1.2,43400,1.2,48.7322536069,1,2012
2012-03-06,1.2,1.24,1.2,1.23,8700,1.23,51.8430648796,1,2012
2012-03-07,1.2,1.24,1.19,1.2,65900,1.2,48.6631579526,1,2012
2012-03-08,1.2,1.2,1.2,1.2,0,1.2,48.6631579526,1,2012
2012-03-09,1.19,1.19,1.15,1.16,10100,1.16,44.4473775041,1,2012
2012-03-12,1.11,1.17,1.11,1.16,12100,1.16,44.4473775041,1,2012
2012-03-13,1.14,1.19,1.14,1.19,21500,1.19,48.3401703763,1,2012
2012-03-14,1.15,1.2,1.14,1.2,19600,1.2,49.6077746559,1,2012
2012-03-15,1.19,1.25,1.19,1.19,4100,1.19,48.3306363705,1,2012
2012-03-16,1.25,1.25,1.2,1.2,10200,1.2,49.7245280263,1,2012
2012-03-19,1.2,1.23,1.2,1.23,15400,1.23,53.7550915285,1,2012
2012-03-20,1.21,1.25,1.21,1.25,16700,1.25,56.2719738481,1,2012
2012-03-21,1.23,1.26,1.23,1.25,9000,1.25,56.2719738481,1,2012
2012-03-22,1.25,1.25,1.24,1.24,10100,1.24,54.5503591141,1,2012
2012-03-23,1.23,1.25,1.23,1.23,5000,1.23,52.8103654074,1,2012
2012-03-26,1.25,1.29,1.23,1.29,38000,1.29,60.874317264,1,2012
2012-03-27,1.3,1.34,1.3,1.34,13000,1.34,66.0767056336,1,2012
2012-03-28,1.34,1.34,1.3,1.3,4700,1.3,59.2852598336,1,2012
2012-03-29,1.28,1.33,1.28,1.33,2500,1.33,62.4061375453,1,2012
2012-03-30,1.3,1.32,1.29,1.29,11000,1.29,56.2184628839,1,2012
2012-04-02,1.29,1.33,1.29,1.33,2900,1.33,60.4423766347,2,2012
2012-04-03,1.35,1.35,1.32,1.33,8700,1.33,60.4423766347,2,2012
2012-04-04,1.34,1.34,1.33,1.33,2100,1.33,60.4423766347,2,2012
2012-04-05,1.33,1.39,1.33,1.38,9400,1.38,65.6206581617,2,2012
2012-04-09,1.35,1.36,1.3,1.36,16200,1.36,62.1178484407,2,2012
2012-04-10,1.34,1.34,1.33,1.33,2600,1.33,57.1867118474,2,2012
2012-04-11,1.38,1.38,1.3,1.35,1200,1.35,59.4952145553,2,2012
2012-04-12,1.32,1.38,1.32,1.35,8400,1.35,59.4952145553,2,2012
2012-04-13,1.35,1.48,1.35,1.4,3200,1.4,64.9714633924,2,2012
2012-04-16,1.34,1.48,1.34,1.43,2600,1.43,67.7857051396,2,2012
2012-04-17,1.47,1.47,1.45,1.45,500,1.45,69.5425230701,2,2012
2012-04-18,1.43,1.43,1.4,1.4,700,1.4,60.6391258449,2,2012
2012-04-19,1.37,1.37,1.31,1.37,10000,1.37,56.005983252,2,2012
2012-04-20,1.38,1.38,1.3,1.3,5500,1.3,46.9851819616,2,2012
2012-04-23,1.31,1.34,1.3,1.34,21900,1.34,51.7660840252,2,2012
2012-04-24,1.3,1.31,1.3,1.3,6300,1.3,47.1837214737,2,2012
2012-04-25,1.37,1.37,1.37,1.37,100,1.37,54.7351326481,2,2012
2012-04-26,1.38,1.38,1.35,1.35,2300,1.35,52.4286731797,2,2012
2012-04-27,1.31,1.32,1.31,1.32,3200,1.32,49.0873017496,2,2012
2012-04-30,1.3,1.34,1.3,1.34,14000,1.34,51.3149417424,2,2012
2012-05-01,1.3,1.33,1.3,1.33,6000,1.33,50.1337941922,2,2012
2012-05-02,1.3,1.3,1.3,1.3,2700,1.3,46.6636690663,2,2012
2012-05-03,1.29,1.29,1.23,1.23,8000,1.23,39.7499379571,2,2012
