Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.53,2.56,2.38,2.39,231400,2.39,,1,2012
2012-01-04,2.38,2.46,2.37,2.41,116000,2.41,,1,2012
2012-01-05,2.39,2.51,2.39,2.47,122500,2.47,,1,2012
2012-01-06,2.46,2.48,2.4,2.41,133300,2.41,,1,2012
2012-01-09,2.5,2.55,2.45,2.49,563800,2.49,,1,2012
2012-01-10,2.5,2.54,2.44,2.51,239200,2.51,,1,2012
2012-01-11,2.5,2.53,2.44,2.51,173900,2.51,,1,2012
2012-01-12,2.51,2.95,2.43,2.92,932200,2.92,,1,2012
2012-01-13,2.87,2.92,2.76,2.85,264100,2.85,,1,2012
2012-01-17,2.88,2.9,2.81,2.84,197100,2.84,,1,2012
2012-01-18,2.83,2.87,2.74,2.82,198900,2.82,,1,2012
2012-01-19,2.83,2.87,2.77,2.79,90700,2.79,,1,2012
2012-01-20,2.78,2.86,2.78,2.85,112300,2.85,,1,2012
2012-01-23,2.84,3.33,2.75,2.96,572400,2.96,,1,2012
2012-01-24,2.95,3.01,2.89,2.92,142200,2.92,76.7676767677,1,2012
2012-01-25,2.94,3.04,2.87,2.98,153800,2.98,78.1911013858,1,2012
2012-01-26,3.03,3.08,2.92,3.03,203200,3.03,79.3277668457,1,2012
2012-01-27,3.01,3.5,3.0,3.48,535100,3.48,86.2657269671,1,2012
2012-01-30,3.42,3.55,3.36,3.5,499600,3.5,86.4828626981,1,2012
2012-01-31,3.52,3.52,3.4,3.49,248900,3.49,85.7528525762,1,2012
2012-02-01,3.5,3.55,3.47,3.54,188500,3.54,86.37226129,1,2012
2012-02-02,3.57,3.85,3.54,3.85,574800,3.85,89.4382012909,1,2012
2012-02-03,4.0,4.07,3.93,4.03,514500,4.03,90.7407951875,1,2012
2012-02-06,3.98,4.04,3.89,3.93,241600,3.93,84.5053490661,1,2012
2012-02-07,3.95,3.99,3.85,3.87,177000,3.87,80.9126779762,1,2012
2012-02-08,3.88,4.09,3.82,4.07,206200,4.07,83.4399820179,1,2012
2012-02-09,4.08,4.08,3.92,3.96,127300,3.96,77.372007745,1,2012
2012-02-10,3.91,3.97,3.84,3.84,145000,3.84,71.2819379273,1,2012
2012-02-13,3.92,4.05,3.89,3.9,152200,3.9,72.4496098719,1,2012
2012-02-14,3.88,3.89,3.55,3.67,359200,3.67,62.0366268467,1,2012
2012-02-15,4.24,4.29,3.96,4.11,1846400,4.11,70.7096914247,1,2012
2012-02-16,4.0,4.02,3.81,4.0,527400,4.0,66.6124826114,1,2012
2012-02-17,3.99,4.58,3.99,4.52,1732200,4.52,74.2178963937,1,2012
2012-02-21,4.55,4.59,4.3,4.39,590500,4.39,69.9292309891,1,2012
2012-02-22,4.37,4.37,4.18,4.19,351300,4.19,63.8192925281,1,2012
2012-02-23,4.22,4.25,4.17,4.21,336800,4.21,64.1565584562,1,2012
2012-02-24,4.2,4.45,4.11,4.31,1125600,4.31,65.8696885855,1,2012
2012-02-27,4.27,4.44,4.22,4.39,133900,4.39,67.2194934284,1,2012
2012-02-28,4.43,4.54,4.38,4.51,502700,4.51,69.187956091,1,2012
2012-02-29,4.51,4.8,4.49,4.66,640400,4.66,71.4924035939,1,2012
2012-03-01,4.72,4.82,4.63,4.73,439500,4.73,72.5251028189,1,2012
2012-03-02,4.73,4.88,4.63,4.69,418300,4.69,70.9435888272,1,2012
2012-03-05,4.7,5.6,4.69,5.58,2239100,5.58,80.9155266779,1,2012
2012-03-06,5.47,5.65,5.14,5.61,1547400,5.61,81.1503583232,1,2012
2012-03-07,5.54,5.95,5.51,5.59,1095000,5.59,80.4397333132,1,2012
2012-03-08,5.62,5.67,5.38,5.51,477600,5.51,77.5156865167,1,2012
2012-03-09,5.5,5.72,5.44,5.59,327800,5.59,78.3627208763,1,2012
2012-03-12,5.62,5.7,5.51,5.55,262200,5.55,76.8047330227,1,2012
2012-03-13,5.3,5.36,4.78,5.26,1126300,5.26,66.4843322697,1,2012
2012-03-14,5.24,5.44,5.21,5.36,294600,5.36,68.0772577342,1,2012
2012-03-15,5.34,5.35,5.12,5.23,309800,5.23,63.8300747956,1,2012
2012-03-16,5.24,5.47,5.22,5.37,494000,5.37,66.2705664606,1,2012
2012-03-19,5.36,5.51,5.29,5.41,437600,5.41,66.956577927,1,2012
2012-03-20,5.37,5.39,5.15,5.27,208000,5.27,62.1890935179,1,2012
2012-03-21,5.26,5.3,5.19,5.24,154500,5.24,61.1837601478,1,2012
2012-03-22,5.18,5.3,5.18,5.28,291100,5.28,62.0643364165,1,2012
2012-03-23,5.28,5.3,5.04,5.17,201500,5.17,58.1570667516,1,2012
2012-03-26,5.16,5.29,5.09,5.26,189100,5.26,60.3561496683,1,2012
2012-03-27,5.28,5.28,5.11,5.21,359400,5.21,58.5161924668,1,2012
2012-03-28,5.25,5.25,4.97,5.03,196500,5.03,52.3312649911,1,2012
2012-03-29,5.0,5.14,4.91,5.13,153500,5.13,55.1664036719,1,2012
2012-03-30,5.13,5.13,4.82,4.83,307200,4.83,46.2746098491,1,2012
2012-04-02,4.82,4.97,4.64,4.97,260200,4.97,50.3004680502,2,2012
2012-04-03,4.97,5.0,4.77,4.82,176800,4.82,46.2974811712,2,2012
2012-04-04,4.79,4.86,4.64,4.73,319300,4.73,44.0332100821,2,2012
