Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.81,0.91,0.81,0.82,269600,0.82,,1,2012
2012-01-04,0.81,0.87,0.8,0.82,92400,0.82,,1,2012
2012-01-05,0.83,0.84,0.8,0.84,49300,0.84,,1,2012
2012-01-06,1.95,2.05,1.71,1.85,4880000,1.85,,1,2012
2012-01-09,1.86,1.93,1.69,1.74,955000,1.74,,1,2012
2012-01-10,1.75,1.75,1.65,1.75,407000,1.75,,1,2012
2012-01-11,1.75,1.9,1.72,1.87,388200,1.87,,1,2012
2012-01-12,1.95,2.43,1.91,2.23,2015400,2.23,,1,2012
2012-01-13,2.27,2.27,2.02,2.08,618700,2.08,,1,2012
2012-01-17,2.11,2.2,2.0,2.07,260900,2.07,,1,2012
2012-01-18,2.09,2.17,2.01,2.12,169600,2.12,,1,2012
2012-01-19,2.12,2.18,2.12,2.14,150400,2.14,,1,2012
2012-01-20,2.16,2.16,2.11,2.12,93200,2.12,,1,2012
2012-01-23,2.09,2.15,2.05,2.07,183700,2.07,,1,2012
2012-01-24,2.05,2.1,2.05,2.1,100700,2.1,82.6530612245,1,2012
2012-01-25,2.1,2.19,2.08,2.11,185700,2.11,82.7478532397,1,2012
2012-01-26,2.08,2.17,2.0,2.05,208400,2.05,79.9257583667,1,2012
2012-01-27,2.05,2.11,2.04,2.08,89000,2.08,80.2877559157,1,2012
2012-01-30,2.07,2.12,2.05,2.1,73000,2.1,80.5397030196,1,2012
2012-01-31,2.1,2.13,2.06,2.07,75200,2.07,78.9104675312,1,2012
2012-02-01,2.07,2.07,2.01,2.04,207500,2.04,77.2280507399,1,2012
2012-02-02,2.03,2.08,2.03,2.08,109700,2.08,77.9044864062,1,2012
2012-02-03,2.07,2.1,2.02,2.06,152700,2.06,76.6780305302,1,2012
2012-02-06,2.09,2.1,2.03,2.06,146800,2.06,76.6780305302,1,2012
2012-02-07,2.07,2.13,2.04,2.13,247900,2.13,78.0788743607,1,2012
2012-02-08,2.12,2.12,2.07,2.11,66300,2.11,76.6620322182,1,2012
2012-02-09,2.08,2.12,2.04,2.12,60300,2.12,76.8878627813,1,2012
2012-02-10,2.11,2.12,2.02,2.05,98800,2.05,71.6605045151,1,2012
2012-02-13,2.05,2.08,2.04,2.08,97600,2.08,72.5227013211,1,2012
2012-02-14,2.1,2.1,2.03,2.04,127800,2.04,69.4871189586,1,2012
2012-02-15,2.04,2.05,1.96,2.0,158600,2.0,66.4899664281,1,2012
2012-02-16,2.24,2.55,2.24,2.33,1188200,2.33,75.7738173668,1,2012
2012-02-17,2.36,2.38,2.23,2.34,206800,2.34,75.9908875363,1,2012
2012-02-21,2.36,2.38,2.26,2.33,170500,2.33,75.2646298001,1,2012
2012-02-22,2.35,2.4,2.34,2.34,103000,2.34,75.5166209535,1,2012
2012-02-23,2.35,2.38,2.28,2.31,133400,2.31,73.1103116343,1,2012
2012-02-24,2.31,2.31,2.25,2.25,85100,2.25,68.4148938495,1,2012
2012-02-27,2.22,2.25,2.2,2.22,68700,2.22,66.1280525527,1,2012
2012-02-28,2.44,2.44,2.2,2.2,233700,2.2,64.5782894029,1,2012
2012-02-29,2.22,2.26,2.21,2.26,63300,2.26,67.071492094,1,2012
2012-03-01,2.24,2.32,2.16,2.31,216700,2.31,69.0279115992,1,2012
2012-03-02,2.31,2.36,2.25,2.29,131500,2.29,67.3053135208,1,2012
2012-03-05,2.32,2.34,2.3,2.31,52600,2.31,68.1609782357,1,2012
2012-03-06,2.34,2.35,2.32,2.32,57800,2.32,68.6034273958,1,2012
2012-03-07,2.35,2.36,2.11,2.19,185900,2.19,57.4303424456,1,2012
2012-03-08,2.24,2.33,2.23,2.33,63200,2.33,64.193618165,1,2012
2012-03-09,2.36,2.38,2.3,2.37,75800,2.37,65.8624256324,1,2012
2012-03-12,2.36,2.37,2.18,2.22,173100,2.22,55.4295688136,1,2012
2012-03-13,2.22,2.22,2.15,2.19,48200,2.19,53.6008298488,1,2012
2012-03-14,2.2,2.24,2.16,2.24,39700,2.24,56.1948244978,1,2012
2012-03-15,2.25,2.25,2.17,2.19,54800,2.19,53.003658519,1,2012
2012-03-16,2.2,2.22,2.16,2.19,88600,2.19,53.003658519,1,2012
2012-03-19,2.17,2.22,2.16,2.17,80700,2.17,51.643168646,1,2012
2012-03-20,2.17,2.2,2.09,2.13,207500,2.13,48.9376693375,1,2012
2012-03-21,2.12,2.12,2.08,2.1,77400,2.1,46.9510010947,1,2012
2012-03-22,2.07,2.13,2.02,2.11,133900,2.11,47.7129738407,1,2012
2012-03-23,2.11,2.2,2.04,2.2,118200,2.2,54.1026267713,1,2012
2012-03-26,2.2,2.25,2.09,2.25,299400,2.25,57.2296983252,1,2012
2012-03-27,2.23,2.34,2.18,2.33,256300,2.33,61.7232497154,1,2012
