Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.44,2.6,2.44,2.58,29800,2.58,,1,2012
2012-01-04,2.58,2.6,2.46,2.49,185200,2.49,,1,2012
2012-01-05,2.49,2.57,2.43,2.5,31000,2.5,,1,2012
2012-01-06,2.5,2.62,2.46,2.5,43000,2.5,,1,2012
2012-01-09,2.52,2.63,2.46,2.61,83600,2.61,,1,2012
2012-01-10,2.65,2.85,2.51,2.79,76200,2.79,,1,2012
2012-01-11,2.78,2.87,2.65,2.67,71200,2.67,,1,2012
2012-01-12,2.68,2.8,2.68,2.73,152100,2.73,,1,2012
2012-01-13,2.67,2.73,2.6,2.7,98300,2.7,,1,2012
2012-01-17,2.72,2.79,2.59,2.61,97900,2.61,,1,2012
2012-01-18,2.62,2.69,2.53,2.65,61900,2.65,,1,2012
2012-01-19,2.66,2.72,2.65,2.69,53800,2.69,,1,2012
2012-01-20,2.68,2.84,2.67,2.83,45400,2.83,,1,2012
2012-01-23,2.83,2.96,2.76,2.88,67500,2.88,,1,2012
2012-01-24,2.85,2.92,2.79,2.9,39900,2.9,66.3265306122,1,2012
2012-01-25,2.91,3.15,2.9,3.12,62800,3.12,72.8824273072,1,2012
2012-01-26,3.12,3.12,3.03,3.11,48100,3.11,72.1943936037,1,2012
2012-01-27,3.1,3.19,2.82,3.14,66600,3.14,73.0173510991,1,2012
2012-01-30,3.14,3.22,3.09,3.19,52200,3.19,74.3784326897,1,2012
2012-01-31,3.22,3.22,3.13,3.15,51400,3.15,71.2806845161,1,2012
2012-02-01,3.18,3.18,3.01,3.06,110600,3.06,64.7466203851,1,2012
2012-02-02,3.06,3.06,2.96,3.02,45300,3.02,62.0252826226,1,2012
2012-02-03,3.09,3.14,3.02,3.1,60700,3.1,65.1776584849,1,2012
2012-02-06,3.04,3.11,2.91,2.97,64000,2.97,56.9102069668,1,2012
2012-02-07,2.97,2.97,2.85,2.91,32400,2.91,53.5349789293,1,2012
2012-02-08,2.88,2.93,2.81,2.92,18400,2.92,54.0243901104,1,2012
2012-02-09,2.86,2.87,2.8,2.87,29200,2.87,51.1248161205,1,2012
2012-02-10,2.84,2.97,2.83,2.91,43900,2.91,53.2849269074,1,2012
2012-02-13,2.96,2.97,2.89,2.96,21800,2.96,55.9081808548,1,2012
2012-02-14,2.95,2.95,2.9,2.92,16500,2.92,53.3282089838,1,2012
2012-02-15,2.96,3.0,2.9,2.92,35300,2.92,53.3282089838,1,2012
2012-02-16,2.92,3.04,2.88,3.01,39700,3.01,58.3443053942,1,2012
2012-02-17,3.01,3.01,2.92,2.94,45100,2.94,53.5257751694,1,2012
2012-02-21,2.96,2.96,2.8,2.8,63800,2.8,45.4424107932,1,2012
2012-02-22,2.79,2.95,2.75,2.76,65100,2.76,43.4245946033,1,2012
2012-02-23,2.97,3.07,2.82,3.03,241200,3.03,57.2299707091,1,2012
