Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.98,4.98,4.72,4.93,1600,19.719999,,1,2012
2012-01-04,4.98,5.41,4.53,5.03,12900,20.120001,,1,2012
2012-01-05,4.86,4.9,4.76,4.8,1900,19.200001,,1,2012
2012-01-06,4.49,5.01,4.49,5.0,2800,20.0,,1,2012
2012-01-09,5.04,5.74,5.0,5.17,1700,20.68,,1,2012
2012-01-10,5.33,5.82,5.2,5.5,2900,22.0,,1,2012
2012-01-11,5.46,5.79,5.14,5.56,4300,22.24,,1,2012
2012-01-12,5.51,5.63,5.3,5.63,1600,22.52,,1,2012
2012-01-13,5.44,5.81,5.25,5.25,1800,21.0,,1,2012
2012-01-17,5.34,5.5,5.28,5.28,2200,21.120001,,1,2012
2012-01-18,5.48,5.6,5.4,5.5,1400,22.0,,1,2012
2012-01-19,5.49,5.66,5.34,5.62,1600,22.48,,1,2012
2012-01-20,5.61,5.65,5.46,5.65,9700,22.6,,1,2012
2012-01-23,5.67,6.39,5.6,5.98,10600,23.92,,1,2012
2012-01-24,5.71,6.41,5.71,6.15,2500,24.6,75.0000025615,1,2012
2012-01-25,6.31,6.31,5.8,5.94,16900,23.76,68.6382025945,1,2012
2012-01-26,5.95,5.95,5.67,5.83,2900,23.32,65.5038790559,1,2012
2012-01-27,5.82,6.01,5.66,6.01,2400,24.040001,68.0730908386,1,2012
2012-01-30,5.99,6.55,5.66,6.34,1800,25.360001,72.1659891148,1,2012
2012-01-31,6.47,6.8,6.0,6.05,2100,24.200001,64.3579012986,1,2012
2012-02-01,6.17,6.89,5.83,6.58,4500,26.32,70.6153226209,1,2012
2012-02-02,6.62,6.67,6.05,6.65,2400,26.6,71.3312161841,1,2012
2012-02-03,6.89,6.89,6.44,6.89,3100,27.559999,73.6972758574,1,2012
2012-02-06,6.74,7.15,6.33,6.83,1300,27.32,72.0953333954,1,2012
2012-02-07,6.9,7.46,6.9,7.33,4100,29.32,76.6502722061,1,2012
2012-02-08,7.35,7.35,6.6,7.14,2200,28.559999,71.8506685651,1,2012
2012-02-09,7.22,10.6,7.22,8.36,9400,33.439999,80.3562828782,1,2012
2012-02-10,9.5,12.8,8.09,8.51,15800,34.040001,81.111969671,1,2012
2012-02-13,9.0,9.2,7.8,8.27,11500,33.080002,76.0696285583,1,2012
2012-02-14,8.28,8.66,7.7,7.89,3300,31.559999,68.7790530161,1,2012
2012-02-15,7.95,8.3,7.75,7.75,3300,31.0,66.2594851243,1,2012
2012-02-16,7.55,8.0,7.43,8.0,4000,32.0,68.4799991741,1,2012
2012-02-17,8.0,8.25,7.83,7.9,4500,31.6,66.5921405437,1,2012
2012-02-21,7.96,8.04,7.65,7.92,4200,31.68,66.7893364772,1,2012
2012-02-22,7.97,8.0,7.84,7.84,1400,31.360001,65.1332040343,1,2012
2012-02-23,7.88,8.0,7.68,7.95,3900,31.799999,66.3680882934,1,2012
2012-02-24,7.96,8.25,7.52,7.7,2000,30.799999,61.0738499045,1,2012
2012-02-27,7.62,8.24,7.5,7.75,7200,31.0,61.7313624383,1,2012
2012-02-28,7.68,7.79,7.6,7.79,500,31.16,62.2802755358,1,2012
2012-02-29,7.65,8.25,7.65,7.74,2300,30.959999,61.100492435,1,2012
2012-03-01,7.97,8.24,7.59,7.59,2400,30.360001,57.5767732803,1,2012
2012-03-02,7.59,7.74,7.22,7.26,5400,29.040001,50.6554159039,1,2012
2012-03-05,7.23,7.57,7.23,7.51,800,30.040001,55.0626134274,1,2012
2012-03-06,7.32,8.0,7.32,7.34,1800,29.360001,51.6822891826,1,2012
2012-03-07,7.42,7.42,6.32,6.67,7300,26.68,40.9993796178,1,2012
2012-03-08,6.7,7.0,6.07,6.35,12900,25.4,37.0593022867,1,2012
2012-03-09,6.41,6.42,5.85,6.24,12700,24.959999,35.7861770022,1,2012
2012-03-12,6.19,6.35,6.01,6.06,1700,24.24,33.7433791629,1,2012
2012-03-13,6.21,6.35,6.01,6.31,9300,25.24,38.9554440439,1,2012
2012-03-14,6.25,6.35,6.2,6.22,4000,24.879999,37.8025483973,1,2012
2012-03-15,6.25,6.28,6.05,6.28,1600,25.120001,39.0966222343,1,2012
2012-03-16,6.29,6.29,5.73,5.73,4800,22.92,32.434833704,1,2012
2012-03-19,5.79,6.08,5.79,5.98,2000,23.92,37.6365155126,1,2012
2012-03-20,5.92,6.08,5.87,5.89,9900,23.559999,36.5457138959,1,2012
2012-03-21,5.9,6.0,5.76,5.96,6300,23.84,38.049620594,1,2012
2012-03-22,5.84,5.84,5.42,5.55,3700,22.200001,33.1011430233,1,2012
2012-03-23,5.28,5.6,5.27,5.59,4700,22.360001,34.0029362566,1,2012
2012-03-26,5.95,6.33,5.76,6.14,6300,24.559999,44.9844186138,1,2012
2012-03-27,6.18,6.34,5.7,6.26,3100,25.040001,47.0544240022,1,2012
2012-03-28,6.27,6.27,5.72,6.08,1800,24.32,44.3583261232,1,2012
2012-03-29,6.0,6.71,6.0,6.31,22300,25.24,48.4247786352,1,2012
2012-03-30,6.45,7.41,6.45,7.02,16000,28.08,58.5060535251,1,2012
2012-04-02,7.01,7.31,6.8,7.25,3200,29.0,61.1549455827,2,2012
2012-04-03,7.2,7.2,6.89,7.01,3100,28.040001,57.0614884084,2,2012
2012-04-04,7.09,7.15,6.81,7.13,4800,28.52,58.5552537788,2,2012
2012-04-05,7.11,7.25,6.75,7.07,2800,28.280001,57.4785530411,2,2012
2012-04-09,6.82,6.98,6.3,6.81,4400,27.24,52.9361034016,2,2012
2012-04-10,6.76,7.5,6.71,7.34,7400,29.360001,59.8940363948,2,2012
2012-04-11,7.46,7.5,7.02,7.2,18000,28.799999,57.4767785659,2,2012
2012-04-12,7.22,7.5,7.22,7.43,4100,29.719999,60.3107484765,2,2012
2012-04-13,7.42,7.43,6.76,6.94,3000,27.76,52.3119829611,2,2012
2012-04-16,6.99,7.25,6.67,7.21,2200,28.84,55.7912597223,2,2012
2012-04-17,7.23,7.5,6.54,6.6,66000,26.4,47.3805842118,2,2012
2012-04-18,6.58,6.74,5.86,5.97,13600,23.879999,40.5769671187,2,2012
2012-04-19,5.95,6.14,5.62,5.66,3600,22.639999,37.7076744015,2,2012
2012-04-20,5.85,5.94,5.51,5.79,4400,23.16,39.635398119,2,2012
2012-04-23,5.65,5.79,5.42,5.42,2700,21.68,36.2015604778,2,2012
2012-04-24,5.63,5.69,5.41,5.58,9200,22.32,38.6757431887,2,2012
2012-04-25,5.68,5.96,5.64,5.96,2400,23.84,44.2096181598,2,2012
2012-04-26,5.87,6.04,5.55,5.96,3400,23.84,44.2096181598,2,2012
2012-04-27,5.95,6.76,5.85,6.57,9300,26.280001,52.2343182903,2,2012
2012-04-30,6.52,6.79,6.33,6.63,6800,26.52,52.9511587695,2,2012
2012-05-01,6.57,6.8,5.5,5.51,5000,22.040001,40.678804352,2,2012
2012-05-02,5.85,6.12,5.26,5.27,6500,21.08,38.6135632839,2,2012
2012-05-03,5.3,5.57,5.28,5.35,2800,21.4,39.7123015594,2,2012
2012-05-04,5.32,5.95,5.24,5.27,4600,21.08,38.9613015049,2,2012
2012-05-07,5.23,5.38,5.0,5.19,3800,20.76,38.1836640073,2,2012
2012-05-08,5.11,5.19,4.76,4.76,10000,19.040001,34.2290713623,2,2012
2012-05-09,4.69,4.69,3.95,4.05,16500,16.200001,28.9057444011,2,2012
2012-05-10,4.2,4.2,3.97,4.07,5800,16.280001,29.2395816149,2,2012
2012-05-11,4.05,4.17,3.86,3.98,7600,15.92,28.5890061255,2,2012
2012-05-14,4.04,4.4,4.0,4.0,8300,16.0,28.9672363394,2,2012
2012-05-15,4.17,4.49,4.0,4.0,13700,16.0,28.9672363394,2,2012
2012-05-16,4.02,4.27,3.77,3.93,14800,15.72,28.3575626517,2,2012
2012-05-17,3.92,4.02,3.75,3.85,10800,15.4,27.6415359927,2,2012
2012-05-18,3.81,4.0,3.79,3.99,6000,15.96,30.9284058126,2,2012
2012-05-21,4.01,4.01,3.82,4.0,11300,16.0,31.1689165213,2,2012
2012-05-22,4.01,4.29,3.91,3.98,13900,15.92,30.9368960231,2,2012
2012-05-23,3.91,4.0,3.85,3.96,6100,15.84,30.690860173,2,2012
2012-05-24,3.98,4.25,3.95,4.16,9300,16.639999,36.1586041398,2,2012
2012-05-25,4.14,4.65,4.14,4.3,6000,17.200001,39.7421744836,2,2012
2012-05-29,4.36,4.67,4.1,4.43,7400,17.719999,42.9447958871,2,2012
2012-05-30,4.37,5.47,4.37,4.99,11400,19.959999,54.229888866,2,2012
2012-05-31,4.99,5.5,4.66,5.35,16300,21.4,59.7424863865,2,2012
2012-06-01,5.01,5.3,5.0,5.02,15700,20.08,53.3940992392,2,2012
2012-06-04,5.02,5.04,4.82,4.83,4100,19.32,50.0935496518,2,2012
2012-06-05,4.77,5.02,4.49,4.82,5900,19.280001,49.9186551731,2,2012
2012-06-06,4.89,5.8,4.73,5.75,89600,23.0,62.8939534448,2,2012
2012-06-07,5.8,5.99,5.39,5.47,17400,21.879999,58.0200208486,2,2012
2012-06-08,5.43,5.73,5.01,5.66,7700,22.639999,60.2699537169,2,2012
2012-06-11,5.64,6.0,5.46,5.69,8100,22.76,60.6287619253,2,2012
2012-06-12,5.74,5.98,5.65,5.93,7300,23.719999,63.4709467366,2,2012
2012-06-13,5.88,6.0,5.48,5.77,6600,23.08,60.3434519745,2,2012
2012-06-14,5.69,6.05,5.44,6.0,9200,24.0,63.1540851858,2,2012
2012-06-15,6.07,6.74,6.0,6.5,17600,26.0,68.3977417081,2,2012
