Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-09-20,15.0,15.0,13.99,14.09,2731300,14.09,,3,2013
2013-09-23,14.75,14.75,14.01,14.3,259800,14.3,,3,2013
2013-09-24,14.5,14.6,14.1,14.37,65800,14.37,,3,2013
2013-09-25,14.55,14.94,14.3,14.5,101400,14.5,,3,2013
2013-09-26,14.48,15.1,14.26,14.75,141600,14.75,,3,2013
2013-09-27,14.65,15.0,14.26,14.65,180200,14.65,,3,2013
2013-09-30,14.85,14.96,14.0,14.12,175300,14.12,,3,2013
2013-10-01,14.45,14.99,14.1,14.67,114400,14.67,,4,2013
2013-10-02,14.38,14.8,14.36,14.74,97300,14.74,,4,2013
2013-10-03,14.9,15.1,14.53,14.9,93800,14.9,,4,2013
2013-10-04,15.05,15.19,14.8,15.04,75600,15.04,,4,2013
2013-10-07,15.15,15.15,14.81,15.09,18700,15.09,,4,2013
2013-10-08,14.94,15.17,14.51,14.65,33400,14.65,,4,2013
2013-10-09,14.98,14.98,14.14,14.5,52300,14.5,,4,2013
2013-10-10,14.95,15.0,14.65,14.89,41300,14.89,62.3456790123,4,2013
2013-10-11,15.1,15.38,14.62,15.31,95800,15.31,66.9583333333,4,2013
2013-10-14,15.49,15.49,14.68,15.27,48100,15.27,66.1275006331,4,2013
2013-10-15,15.78,15.89,14.76,15.1,285300,15.1,62.5738445233,4,2013
2013-10-16,15.2,15.2,14.4,14.55,152400,14.55,52.705435383,4,2013
2013-10-17,14.5,15.2,14.5,15.0,288600,15.0,58.4756464088,4,2013
2013-10-18,15.34,15.34,15.0,15.0,58800,15.0,58.4756464088,4,2013
2013-10-21,15.15,15.45,14.9,15.06,14100,15.06,59.2445541205,4,2013
2013-10-22,14.75,15.13,14.75,15.0,7600,15.0,58.0862323283,4,2013
2013-10-23,14.77,15.04,14.77,15.0,26300,15.0,58.0862323283,4,2013
2013-10-24,15.0,15.13,14.9,14.9,40200,14.9,55.9709817014,4,2013
2013-10-25,14.88,15.13,14.7,14.9,29000,14.9,55.9709817014,4,2013
2013-10-28,15.04,15.04,14.4,14.54,59800,14.54,48.5841958128,4,2013
2013-10-29,14.53,14.59,12.79,14.2,77300,14.2,42.8344705963,4,2013
2013-10-30,14.0,14.25,13.25,13.32,62100,13.32,32.2095596737,4,2013
2013-10-31,13.3,14.0,12.83,13.09,81400,13.09,30.1075389287,4,2013
2013-11-01,13.4,13.45,12.12,12.66,46900,12.66,26.6109975797,4,2013
2013-11-04,12.74,13.59,12.5,13.0,13900,13.0,33.2154187926,4,2013
2013-11-05,12.94,13.51,12.5,12.5,18500,12.5,29.0720365042,4,2013
2013-11-06,12.8,13.43,11.01,11.85,42000,11.85,24.7497451372,4,2013
2013-11-07,12.16,12.16,11.15,11.16,25500,11.16,21.1542646587,4,2013
2013-11-08,11.61,11.61,10.11,10.23,79500,10.23,17.4703724865,4,2013
2013-11-11,10.02,10.2,9.35,9.71,108600,9.71,15.8122806923,4,2013
2013-11-12,9.51,9.75,9.22,9.5,96800,9.5,15.18547155,4,2013
2013-11-13,9.46,9.88,9.3,9.42,98200,9.42,14.942464752,4,2013
2013-11-14,9.12,9.88,9.11,9.18,87300,9.18,14.2079066176,4,2013
2013-11-15,9.11,9.11,8.5,8.7,176700,8.7,12.8475892163,4,2013
2013-11-18,8.8,9.1,8.66,8.94,128500,8.94,17.1203890782,4,2013
2013-11-19,8.91,8.98,8.6,8.8,95700,8.8,16.608855291,4,2013
2013-11-20,9.19,9.19,8.36,8.64,178700,8.64,16.0197498225,4,2013
2013-11-21,8.87,8.87,8.41,8.49,92100,8.49,15.4659092467,4,2013
2013-11-22,9.02,9.4,8.73,9.0,253800,9.0,24.9645047634,4,2013
2013-11-25,9.34,9.35,8.9,9.02,196700,9.02,25.3188958106,4,2013
2013-11-26,9.06,9.1,8.9,8.97,156600,8.97,25.0009904183,4,2013
2013-11-27,9.07,9.69,8.98,9.35,240400,9.35,31.9901247354,4,2013
2013-11-29,9.78,9.78,9.15,9.2,54700,9.2,30.7711250878,4,2013
2013-12-02,9.48,9.86,9.25,9.33,129300,9.33,33.148700374,4,2013
2013-12-03,9.56,9.75,9.0,9.53,228700,9.53,36.747800768,4,2013
2013-12-04,9.5,11.22,9.31,10.92,306500,10.92,54.9149311099,4,2013
2013-12-05,11.16,11.47,10.74,11.28,141200,11.28,58.258791269,4,2013
2013-12-06,11.34,11.72,10.82,11.37,74600,11.37,59.0759725847,4,2013
2013-12-09,11.5,12.75,11.5,12.34,226100,12.34,66.6533586355,4,2013
2013-12-10,12.4,12.97,12.0,12.88,118800,12.88,69.9851923652,4,2013
2013-12-11,12.73,13.33,12.51,12.7,72000,12.7,67.5619501452,4,2013
2013-12-12,12.45,12.8,11.25,11.77,109200,11.77,56.6482442287,4,2013
2013-12-13,11.77,13.15,11.35,12.9,85300,12.9,64.2127214889,4,2013
2013-12-16,13.05,13.66,12.94,13.47,307300,13.47,67.311224864,4,2013
2013-12-17,13.9,14.84,13.45,14.38,232900,14.38,71.5467426716,4,2013
2013-12-18,14.62,15.58,14.07,15.09,169000,15.09,74.3403202474,4,2013
2013-12-19,15.33,15.48,14.85,15.1,82200,15.1,74.3784760012,4,2013
2013-12-20,15.16,15.35,14.5,15.27,797000,15.27,75.0574958409,4,2013
2013-12-23,15.09,15.77,14.75,14.88,115100,14.88,70.4450791439,4,2013
2013-12-24,14.81,15.35,13.58,13.75,157200,13.75,59.1106704157,4,2013
2013-12-26,13.75,15.5,13.75,15.4,101800,15.4,67.3671270236,4,2013
2013-12-27,15.49,15.49,14.41,14.83,48200,14.83,62.6600627037,4,2013
2013-12-30,14.87,15.07,14.75,14.96,48300,14.96,63.2900603925,4,2013
2013-12-31,15.08,15.25,14.75,15.09,46300,15.09,63.9451693169,4,2013
2014-01-02,15.1,15.21,14.76,14.99,60100,14.99,63.0136205185,1,2014
