Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.65,0.66,0.59,0.59,63500,2.36,,1,2012
2012-01-04,0.61,0.62,0.6,0.6,17300,2.4,,1,2012
2012-01-05,0.63,0.63,0.6,0.63,20400,2.52,,1,2012
2012-01-06,0.66,0.66,0.58,0.58,71700,2.32,,1,2012
2012-01-09,0.61,0.61,0.58,0.6,6700,2.4,,1,2012
2012-01-10,0.6,0.61,0.58,0.59,22300,2.36,,1,2012
2012-01-11,0.61,0.63,0.59,0.62,28200,2.48,,1,2012
2012-01-12,0.62,0.62,0.56,0.58,86600,2.32,,1,2012
2012-01-13,0.62,0.62,0.58,0.62,51700,2.48,,1,2012
2012-01-17,0.65,0.65,0.59,0.6,31300,2.4,,1,2012
2012-01-18,0.62,0.63,0.59,0.6,66200,2.4,,1,2012
2012-01-19,0.65,0.65,0.58,0.58,34000,2.32,,1,2012
2012-01-20,0.64,0.65,0.6,0.61,131300,2.44,,1,2012
2012-01-23,0.65,0.65,0.6,0.61,41700,2.44,,1,2012
2012-01-24,0.62,0.62,0.6,0.6,29600,2.4,51.6129032258,1,2012
2012-01-25,0.6,0.62,0.59,0.6,78900,2.4,51.6129032258,1,2012
2012-01-26,0.6,0.62,0.58,0.61,37200,2.44,53.3578656854,1,2012
2012-01-27,0.62,0.62,0.58,0.59,79600,2.36,49.5121022287,1,2012
2012-01-30,0.59,0.62,0.59,0.59,18700,2.36,49.5121022287,1,2012
2012-01-31,0.59,0.63,0.59,0.62,24800,2.48,55.1372120241,1,2012
2012-02-01,0.61,0.62,0.59,0.6,62000,2.4,51.0534342453,1,2012
2012-02-02,0.61,0.63,0.6,0.61,62600,2.44,52.9306333627,1,2012
2012-02-03,0.61,0.63,0.6,0.6,35800,2.4,50.8311950465,1,2012
2012-02-06,0.63,0.63,0.59,0.6,90200,2.4,50.8311950465,1,2012
2012-02-07,0.6,0.63,0.6,0.61,26100,2.44,52.99353031,1,2012
2012-02-08,0.61,0.65,0.6,0.64,144200,2.56,58.8414262146,1,2012
2012-02-09,0.65,0.72,0.63,0.66,337100,2.64,62.216174239,1,2012
2012-02-10,0.65,0.65,0.62,0.64,70700,2.56,57.1681668256,1,2012
2012-02-13,0.65,0.69,0.63,0.65,52800,2.6,58.9611117799,1,2012
2012-02-14,0.65,0.7,0.63,0.69,319900,2.76,65.2307232171,1,2012
2012-02-15,0.7,0.74,0.67,0.7,298800,2.8,66.6043223002,1,2012
2012-02-16,0.7,0.72,0.68,0.7,43300,2.8,66.6043223002,1,2012
2012-02-17,0.7,0.7,0.67,0.69,56200,2.76,63.6863570919,1,2012
2012-02-21,0.71,0.71,0.65,0.65,54700,2.6,53.5754876391,1,2012
2012-02-22,0.66,0.69,0.63,0.67,76200,2.68,57.2316019559,1,2012
2012-02-23,0.66,0.68,0.64,0.67,12400,2.68,57.2316019559,1,2012
2012-02-24,0.65,0.68,0.65,0.65,35700,2.6,52.4417816528,1,2012
2012-02-27,0.65,0.68,0.64,0.67,23900,2.68,56.3737987707,1,2012
2012-02-28,0.68,0.68,0.65,0.65,16800,2.6,51.7647760775,1,2012
2012-02-29,0.67,0.67,0.63,0.64,38700,2.56,49.5819947582,1,2012
2012-03-01,0.63,0.66,0.63,0.65,25000,2.6,51.7720707635,1,2012
2012-03-02,0.64,0.64,0.62,0.62,32800,2.48,45.4005824539,1,2012
2012-03-05,0.61,0.63,0.6,0.6,50400,2.4,41.7148058775,1,2012
2012-03-06,0.6,0.6,0.58,0.59,14700,2.36,39.9676529722,1,2012
2012-03-07,0.58,0.62,0.58,0.59,22600,2.36,39.9676529722,1,2012
2012-03-08,0.58,0.62,0.58,0.59,20300,2.36,39.9676529722,1,2012
2012-03-09,0.6,0.61,0.6,0.61,13300,2.44,45.6535135403,1,2012
2012-03-12,0.59,0.61,0.58,0.6,11600,2.4,43.4381893763,1,2012
2012-03-13,0.59,0.61,0.59,0.6,15100,2.4,43.4381893763,1,2012
2012-03-14,0.59,0.61,0.59,0.61,28400,2.44,46.4517355097,1,2012
2012-03-15,0.6,0.63,0.59,0.6,20200,2.4,43.9310931279,1,2012
2012-03-16,0.6,0.61,0.58,0.61,60100,2.44,47.0267350139,1,2012
2012-03-19,0.6,0.61,0.58,0.58,43900,2.32,39.9081154586,1,2012
2012-03-20,0.58,0.61,0.57,0.57,55200,2.28,37.8513006438,1,2012
2012-03-21,0.57,0.6,0.57,0.59,21700,2.36,44.0609070163,1,2012
2012-03-22,0.59,0.6,0.59,0.6,7800,2.4,46.9168117351,1,2012
2012-03-23,0.6,0.65,0.59,0.64,71000,2.56,56.4864854557,1,2012
2012-03-26,0.64,0.65,0.6,0.64,22100,2.56,56.4864854557,1,2012
2012-03-27,0.64,0.64,0.59,0.6,58700,2.4,46.7186230703,1,2012
2012-03-28,0.6,0.62,0.59,0.6,11300,2.4,46.7186230703,1,2012
2012-03-29,0.59,0.6,0.58,0.59,7200,2.36,44.4880927006,1,2012
2012-03-30,0.59,0.6,0.59,0.59,11000,2.36,44.4880927006,1,2012
2012-04-02,0.61,0.62,0.59,0.59,18300,2.36,44.4880927006,2,2012
2012-04-03,0.59,0.61,0.58,0.58,14600,2.32,41.9845137899,2,2012
2012-04-04,0.58,0.6,0.58,0.59,19500,2.36,45.2995845707,2,2012
2012-04-05,0.58,0.59,0.57,0.57,25900,2.28,40.3353796845,2,2012
2012-04-09,0.57,0.59,0.57,0.57,7900,2.28,40.3353796845,2,2012
2012-04-10,0.57,0.59,0.56,0.57,22600,2.28,40.3353796845,2,2012
2012-04-11,0.56,0.57,0.54,0.55,30800,2.2,35.4793121299,2,2012
2012-04-12,0.53,0.57,0.53,0.55,18300,2.2,35.4793121299,2,2012
2012-04-13,0.55,0.55,0.5,0.54,20400,2.16,33.1640234171,2,2012
2012-04-16,0.6,0.64,0.53,0.61,178300,2.44,55.2019862228,2,2012
2012-04-17,0.6,0.61,0.58,0.59,21800,2.36,50.1172862363,2,2012
2012-04-18,0.59,0.62,0.58,0.6,15900,2.4,52.4744640241,2,2012
2012-04-19,0.6,0.6,0.57,0.6,41400,2.4,52.4744640241,2,2012
2012-04-20,0.6,0.6,0.58,0.58,21400,2.32,47.2909995807,2,2012
2012-04-23,0.62,0.65,0.6,0.62,308200,2.48,56.5379231299,2,2012
