Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.62,2.719993,2.499995,2.689992,108300,2.579606,,1,2012
2012-01-04,2.669991,2.699992,2.64,2.669991,52600,2.560426,,1,2012
2012-01-05,2.64,2.64,2.549997,2.589999,155400,2.483716,,1,2012
2012-01-06,2.599999,2.650001,2.579998,2.599999,118200,2.493306,,1,2012
2012-01-09,2.63,2.859998,2.63,2.789995,251000,2.675506,,1,2012
2012-01-10,2.829997,2.869998,2.789995,2.859998,185700,2.742636,,1,2012
2012-01-11,2.839997,2.869998,2.779995,2.829997,89500,2.713866,,1,2012
2012-01-12,2.829997,2.869998,2.799996,2.829997,77800,2.713866,,1,2012
2012-01-13,2.779995,2.809996,2.709992,2.709992,108100,2.598786,,1,2012
2012-01-17,2.729993,2.799996,2.64,2.650001,129700,2.541256,,1,2012
2012-01-18,2.650001,2.739993,2.549997,2.599999,210500,2.493306,,1,2012
2012-01-19,2.599999,2.650001,2.549997,2.599999,197700,2.493306,,1,2012
2012-01-20,2.64,2.699992,2.529996,2.559998,264200,2.454947,,1,2012
2012-01-23,2.559998,2.599999,2.519996,2.569998,264400,2.464536,,1,2012
2012-01-24,2.589999,2.679991,2.549997,2.63,181500,2.522076,45.9464677268,1,2012
2012-01-25,2.64,2.839997,2.599999,2.759994,374300,2.646736,54.5456393402,1,2012
2012-01-26,2.869998,3.399996,2.839997,3.149998,829200,3.020736,69.9772714107,1,2012
2012-01-27,3.159998,3.259991,3.129997,3.189999,237100,3.059095,71.0623951061,1,2012
2012-01-30,3.149998,3.22,3.109996,3.179999,129100,3.049506,70.3776099682,1,2012
2012-01-31,3.199999,3.199999,3.029993,3.099996,198800,2.972786,64.9821494746,1,2012
2012-02-01,3.119997,3.189999,3.089996,3.189999,208500,3.059095,67.9582174441,1,2012
2012-02-02,3.159998,3.179999,3.109996,3.169998,80100,3.039916,66.6036337518,1,2012
2012-02-03,3.230001,3.419997,3.059994,3.22,288100,3.087865,68.3046099746,1,2012
2012-02-06,3.189999,3.289992,3.149998,3.269991,126800,3.135805,69.9524363514,1,2012
2012-02-07,3.279992,3.349994,3.21,3.329994,86300,3.193345,71.8444974018,1,2012
2012-02-08,3.349994,3.399996,3.149998,3.369995,78000,3.231705,73.0623078383,1,2012
2012-02-09,3.359995,3.429997,3.349994,3.389996,108900,3.250885,73.6754098117,1,2012
2012-02-10,3.369995,3.379996,3.249991,3.319993,71900,3.183755,67.854341494,1,2012
2012-02-13,3.359995,3.379996,3.23999,3.249991,76200,3.116626,62.5336042697,1,2012
2012-02-14,3.230001,3.259991,3.079995,3.089996,126800,2.963196,52.4166805415,1,2012
2012-02-15,3.099996,3.139997,2.93,2.93,186800,2.809766,44.6392431937,1,2012
2012-02-16,2.93,2.950001,2.859998,2.889999,89000,2.771406,42.9244006721,1,2012
2012-02-17,2.91,3.009993,2.829997,2.959991,160900,2.838526,46.7770906601,1,2012
2012-02-21,2.979991,3.009993,2.879999,2.999992,201900,2.876886,48.9000674434,1,2012
2012-02-22,2.989992,3.039994,2.859998,2.92,270900,2.800176,45.031738352,1,2012
2012-02-23,2.93,2.999992,2.719993,2.869998,267000,2.752226,42.7549549284,1,2012
2012-02-24,2.849997,2.979991,2.849997,2.899999,125600,2.780996,44.565943067,1,2012
2012-02-27,2.899999,2.940001,2.829997,2.91,124400,2.790586,45.1884060995,1,2012
2012-02-28,2.899999,2.899999,2.650001,2.719993,389500,2.608376,36.7456993868,1,2012
2012-02-29,2.699992,2.749994,2.679991,2.719993,189900,2.608376,36.7456993868,1,2012
2012-03-01,2.739993,2.799996,2.719993,2.729993,118900,2.617966,37.4589393807,1,2012
2012-03-02,2.729993,2.819996,2.679991,2.709992,208500,2.598786,36.5707727632,1,2012
2012-03-05,2.709992,2.729993,2.63,2.660001,135500,2.550846,34.3767653567,1,2012
2012-03-06,2.62,2.660001,2.499995,2.509996,194700,2.406997,28.7945374959,1,2012
2012-03-07,2.529996,2.650001,2.469994,2.499995,187100,2.397406,28.4626736282,1,2012
2012-03-08,2.529996,2.529996,2.439993,2.529996,318900,2.426176,31.0305110596,1,2012
2012-03-09,2.589999,2.650001,2.479995,2.539997,190700,2.435767,31.9079959545,1,2012
2012-03-12,2.539997,2.589999,2.469994,2.519996,128200,2.416586,31.056987249,1,2012
2012-03-13,2.509996,2.589995,2.469997,2.589995,120600,2.496132,38.3950567412,1,2012
2012-03-14,2.589995,2.649989,2.489991,2.519988,164700,2.428662,34.9929412123,1,2012
2012-03-15,2.519988,2.579993,2.469997,2.539993,140900,2.447942,36.7185067745,1,2012
2012-03-16,2.539993,2.56999,2.489991,2.549996,207600,2.457582,37.6102481014,1,2012
2012-03-19,2.549996,2.629994,2.52999,2.579993,158300,2.486492,40.3260776043,1,2012
2012-03-20,2.579993,2.609989,2.519988,2.579993,218300,2.486492,40.3260776043,1,2012
2012-03-21,2.579993,2.589995,2.519988,2.539993,119200,2.447942,37.7826064569,1,2012
2012-03-22,2.519988,2.559988,2.509996,2.539993,82900,2.447942,37.7826064569,1,2012
2012-03-23,2.52999,2.589995,2.469997,2.589995,118400,2.496132,42.9952033995,1,2012
2012-03-26,2.609989,2.899988,2.609989,2.879994,419100,2.775621,62.5776178476,1,2012
2012-03-27,2.859989,2.929985,2.789992,2.819989,213600,2.717791,58.1280888854,1,2012
2012-03-28,2.819989,2.819989,2.749993,2.759995,85300,2.659971,53.9942627632,1,2012
2012-03-29,2.729988,2.789992,2.679986,2.749993,154800,2.650331,53.3135136311,1,2012
2012-03-30,2.77999,2.789992,2.709993,2.709993,84200,2.611781,50.5678579729,1,2012
2012-04-02,2.689988,2.789992,2.689988,2.759995,255900,2.659971,53.7728234801,2,2012
2012-04-03,2.759995,2.819989,2.689988,2.729988,152200,2.631051,51.6102257907,2,2012
2012-04-04,2.679986,2.739991,2.659992,2.699991,159800,2.602141,49.4684420694,2,2012
2012-04-05,2.689988,2.729988,2.659992,2.699991,114100,2.602141,49.4684420694,2,2012
2012-04-09,2.629994,2.689988,2.629994,2.639987,167500,2.544312,45.1241789201,2,2012
2012-04-10,2.629994,2.659992,2.499994,2.509996,275300,2.419032,37.451047945,2,2012
2012-04-11,2.559988,2.599987,2.52999,2.559988,116200,2.467212,41.5662998161,2,2012
2012-04-12,2.56999,2.739991,2.56999,2.699991,125100,2.602141,51.2413131712,2,2012
2012-04-13,2.669994,2.719996,2.649989,2.659992,162400,2.563591,48.7574213459,2,2012
2012-04-16,2.77999,2.98999,2.77999,2.849986,332700,2.746701,58.9389848251,2,2012
2012-04-17,2.889986,2.969985,2.849986,2.869991,135700,2.765981,59.84371011,2,2012
2012-04-18,2.859989,2.899988,2.759995,2.809987,112100,2.708151,55.8674332964,2,2012
2012-04-19,2.799995,2.869991,2.709993,2.729988,370700,2.631051,51.0019012699,2,2012
2012-04-20,2.869991,2.959993,2.639987,2.729988,144700,2.631051,51.0019012699,2,2012
2012-04-23,2.669994,2.729988,2.619992,2.629994,129800,2.534681,45.2847411719,2,2012
2012-04-24,2.619992,2.679986,2.589995,2.669994,74000,2.573231,47.8052488561,2,2012
2012-04-25,2.709993,2.729988,2.579993,2.729988,153300,2.631051,51.419977246,2,2012
2012-04-26,2.719996,2.739991,2.56999,2.639987,176300,2.544312,46.2457909929,2,2012
2012-04-27,2.649989,2.669994,2.589995,2.659992,66400,2.563591,47.5100643725,2,2012
2012-04-30,2.639987,2.669994,2.599987,2.599987,107700,2.505762,44.155334474,2,2012
2012-05-01,2.609989,2.649989,2.559988,2.56999,81500,2.476852,42.5382286744,2,2012
2012-05-02,2.559988,2.579993,2.499994,2.52999,71100,2.438302,40.4128528355,2,2012
2012-05-03,2.52999,2.549996,2.429987,2.499994,158700,2.409392,38.8453658407,2,2012
2012-05-04,2.479989,2.519988,2.459994,2.479989,101400,2.390112,37.7925928206,2,2012
2012-05-07,2.459994,2.56999,2.459994,2.549996,70100,2.457582,43.5574737093,2,2012
2012-05-08,2.52999,2.549996,2.449992,2.499994,109000,2.409392,40.659208909,2,2012
2012-05-09,2.459994,2.56999,2.449992,2.499994,108700,2.409392,40.659208909,2,2012
2012-05-10,2.499994,2.579993,2.459994,2.559988,237200,2.467212,45.6879799521,2,2012
2012-05-11,2.52999,2.589995,2.509996,2.519988,65100,2.428662,43.0674526174,2,2012
2012-05-14,2.499994,2.519988,2.449992,2.449992,78000,2.361202,38.866316453,2,2012
2012-05-15,2.439989,2.489991,2.39999,2.449992,73100,2.361202,38.866316453,2,2012
2012-05-16,2.449992,2.579993,2.39999,2.409992,46300,2.322652,36.5062092807,2,2012
2012-05-17,2.39999,2.489991,2.39999,2.409992,96600,2.322652,36.5062092807,2,2012
2012-05-18,2.39999,2.489991,2.339996,2.459994,163700,2.370842,41.6436668487,2,2012
2012-05-21,2.459994,2.489991,2.409992,2.469997,58500,2.380482,42.6434477141,2,2012
2012-05-22,2.459994,2.489991,2.329993,2.339996,82900,2.255192,34.3955518945,2,2012
2012-05-23,2.309988,2.489991,2.309988,2.35999,91900,2.274462,36.4320274686,2,2012
2012-05-24,2.349988,2.459994,2.319991,2.35999,96000,2.274462,36.4320274686,2,2012
2012-05-25,2.35999,2.489991,2.35999,2.419995,83100,2.332292,42.6302829277,2,2012
2012-05-29,2.449992,2.52999,2.439989,2.489991,71400,2.399752,48.8907719828,2,2012
2012-05-30,2.479989,2.539993,2.449992,2.449992,48500,2.361202,45.8140585479,2,2012
2012-05-31,2.439989,2.489991,2.339996,2.379995,57400,2.293742,40.9567841312,2,2012
2012-06-01,2.339996,2.39999,2.199992,2.239992,133400,2.158813,33.3424057558,2,2012
2012-06-04,2.239992,2.239992,2.079994,2.109991,125100,2.033523,28.1154438003,2,2012
2012-06-05,2.079994,2.179998,2.079994,2.099988,109800,2.023883,27.7549169234,2,2012
2012-06-06,2.120002,2.239992,2.120002,2.149994,181800,2.082437,33.3458478849,2,2012
2012-06-07,2.179997,2.239992,2.179997,2.190001,166300,2.121187,36.8299196026,2,2012
2012-06-08,2.199995,2.229998,2.059996,2.099993,178300,2.034007,32.6898922694,2,2012
2012-06-11,2.129996,2.190001,2.049992,2.14,121900,2.072757,36.1267456657,2,2012
2012-06-12,2.14,2.149994,2.099993,2.129996,57500,2.063067,35.6367240375,2,2012
2012-06-13,2.129996,2.21,2.099993,2.129996,80600,2.063067,35.6367240375,2,2012
