Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.57,5.63,5.32,5.35,254100,5.35,,1,2012
2012-01-04,5.31,5.43,5.23,5.34,238600,5.34,,1,2012
2012-01-05,5.32,5.42,5.27,5.36,137000,5.36,,1,2012
2012-01-06,5.37,5.47,5.22,5.22,306800,5.22,,1,2012
2012-01-09,5.23,5.32,5.22,5.28,221200,5.28,,1,2012
2012-01-10,5.32,5.37,5.28,5.31,160900,5.31,,1,2012
2012-01-11,5.31,5.47,5.3,5.4,220400,5.4,,1,2012
2012-01-12,5.41,5.45,5.33,5.36,149100,5.36,,1,2012
2012-01-13,5.29,5.46,5.2,5.43,302800,5.43,,1,2012
2012-01-17,5.49,5.7,5.39,5.42,262300,5.42,,1,2012
2012-01-18,5.41,5.53,5.37,5.49,225500,5.49,,1,2012
2012-01-19,5.5,5.5,5.24,5.4,324500,5.4,,1,2012
2012-01-20,5.37,5.53,5.35,5.43,252200,5.43,,1,2012
2012-01-23,5.45,5.54,5.31,5.34,190300,5.34,,1,2012
2012-01-24,5.32,5.43,5.3,5.4,153600,5.4,53.0864197531,1,2012
2012-01-25,5.42,5.6,5.35,5.55,217600,5.55,60.8867775139,1,2012
2012-01-26,5.59,5.71,5.41,5.46,246200,5.46,54.9799263048,1,2012
2012-01-27,5.42,5.5,5.35,5.45,128600,5.45,54.3490170331,1,2012
2012-01-30,5.41,5.54,5.37,5.39,250600,5.39,50.5973325108,1,2012
2012-01-31,5.44,5.48,5.35,5.41,104900,5.41,51.7919197836,1,2012
2012-02-01,5.46,5.98,5.43,5.84,415700,5.84,69.0948966665,1,2012
2012-02-02,6.85,6.96,6.09,6.72,1871700,6.72,82.7446299954,1,2012
2012-02-03,6.8,6.83,6.44,6.65,675100,6.65,79.7281148283,1,2012
2012-02-06,6.61,6.69,6.22,6.26,407900,6.26,65.4187816199,1,2012
2012-02-07,6.27,6.72,6.11,6.67,414000,6.67,71.2588281351,1,2012
2012-02-08,6.7,6.72,6.42,6.61,254700,6.61,69.4114358686,1,2012
2012-02-09,6.65,6.73,6.47,6.55,238600,6.55,67.5261503989,1,2012
2012-02-10,6.48,6.74,6.47,6.72,239600,6.72,70.0114772873,1,2012
2012-02-13,6.76,6.84,6.57,6.63,197100,6.63,67.084300771,1,2012
2012-02-14,6.61,6.66,6.38,6.4,255400,6.4,60.1616929397,1,2012
2012-02-15,6.42,6.46,6.25,6.36,696000,6.36,59.0209910312,1,2012
