Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,17.5,17.6,16.76,16.879999,1279100,16.879999,,1,2012
2012-01-04,16.75,16.879999,16.26,16.4,1114900,16.4,,1,2012
2012-01-05,16.370001,16.450001,15.98,16.18,1869100,16.18,,1,2012
2012-01-06,16.23,16.26,15.43,15.71,3302900,15.71,,1,2012
2012-01-09,15.71,15.98,15.49,15.59,897700,15.59,,1,2012
2012-01-10,15.8,15.89,15.57,15.68,989000,15.68,,1,2012
2012-01-11,15.55,16.0,15.45,15.9,2514200,15.9,,1,2012
2012-01-12,15.91,16.129999,15.68,15.86,1178200,15.86,,1,2012
2012-01-13,15.67,15.95,15.57,15.67,1877700,15.67,,1,2012
2012-01-17,15.91,16.129999,15.77,16.01,2301900,16.01,,1,2012
2012-01-18,16.049999,16.629999,15.94,16.42,2388800,16.42,,1,2012
2012-01-19,16.540001,17.0,16.469999,16.82,1981700,16.82,,1,2012
2012-01-20,16.809999,17.110001,16.719999,17.08,1956900,17.08,,1,2012
2012-01-23,17.110001,17.4,17.049999,17.23,1519800,17.23,,1,2012
2012-01-24,17.129999,17.84,17.049999,17.700001,1648000,17.700001,60.6217875648,1,2012
2012-01-25,17.65,18.0,17.34,17.75,1294800,17.75,61.1635368768,1,2012
2012-01-26,17.950001,18.190001,17.549999,17.68,1167100,17.68,59.9206256377,1,2012
2012-01-27,17.559999,18.139999,17.5,18.0,1276800,18.0,63.5656098393,1,2012
2012-01-30,17.85,18.1,17.799999,17.860001,1204700,17.860001,60.95383698,1,2012
2012-01-31,18.0,18.129999,17.530001,17.6,1101300,17.6,56.325223868,1,2012
2012-02-01,17.790001,18.1,17.75,17.790001,1521500,17.790001,58.7880756588,1,2012
2012-02-02,17.85,18.15,17.610001,17.959999,1119800,17.959999,60.9119285976,1,2012
2012-02-03,18.25,18.879999,18.08,18.799999,2800100,18.799999,69.3242657791,1,2012
2012-02-06,18.68,19.17,18.65,18.91,1366700,18.91,70.2278823484,1,2012
2012-02-07,19.25,19.41,18.799999,19.02,1573700,19.02,71.143294559,1,2012
2012-02-08,19.16,19.389999,18.809999,19.139999,1533500,19.139999,72.1493276896,1,2012
