Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.050001,0.050001,0.050001,0.050001,0,0.700014,,1,2012
2012-01-04,0.050001,0.050001,0.050001,0.050001,0,0.700014,,1,2012
2012-01-05,0.080002,0.100002,0.070001,0.070001,1900,0.98002,,1,2012
2012-01-06,0.080002,0.090002,0.080002,0.090002,1000,1.260025,,1,2012
2012-01-09,0.090002,0.090002,0.090002,0.090002,0,1.260025,,1,2012
2012-01-10,0.100002,0.100002,0.100002,0.100002,0,1.400028,,1,2012
2012-01-11,0.100002,0.100002,0.100002,0.100002,0,1.400028,,1,2012
2012-01-12,0.050001,0.050001,0.050001,0.050001,0,0.700014,,1,2012
2012-01-13,0.050001,0.070001,0.050001,0.070001,0,0.98002,,1,2012
2012-01-17,0.050001,0.100002,0.050001,0.100002,100,1.400028,,1,2012
2012-01-18,0.100002,0.100002,0.100002,0.100002,0,1.400028,,1,2012
2012-01-19,0.100002,0.100002,0.100002,0.100002,0,1.400028,,1,2012
2012-01-20,0.090002,0.090002,0.090002,0.090002,700,1.260025,,1,2012
2012-01-23,0.040001,0.090002,0.040001,0.040001,700,0.560011,,1,2012
2012-01-24,0.080002,0.080002,0.060001,0.060001,300,0.840017,52.1739157439,1,2012
2012-01-25,0.060001,0.060001,0.060001,0.060001,0,0.840017,52.1739157439,1,2012
2012-01-26,0.070001,0.070001,0.070001,0.070001,0,0.98002,54.4697579187,1,2012
2012-01-27,0.070001,0.070001,0.070001,0.070001,0,0.98002,54.4697579187,1,2012
2012-01-30,0.070001,0.070001,0.070001,0.070001,0,0.98002,54.4697579187,1,2012
2012-01-31,0.070001,0.070001,0.070001,0.070001,0,0.98002,54.4697579187,1,2012
2012-02-01,0.070001,0.070001,0.070001,0.070001,700,0.98002,54.4697579187,1,2012
2012-02-02,0.090002,0.090002,0.070001,0.080002,3000,1.120022,57.4298339354,1,2012
2012-02-03,0.060001,0.060001,0.060001,0.060001,100,0.840017,50.3757494747,1,2012
2012-02-06,0.060001,0.060001,0.060001,0.060001,500,0.840017,50.3757494747,1,2012
2012-02-07,0.080002,0.080002,0.060001,0.060001,1300,0.840017,50.3757494747,1,2012
2012-02-08,0.060001,0.060001,0.060001,0.060001,200,0.840017,50.3757494747,1,2012
2012-02-09,0.060001,0.060001,0.060001,0.060001,0,0.840017,50.3757494747,1,2012
2012-02-10,0.060001,0.060001,0.060001,0.060001,0,0.840017,50.3757494747,1,2012
2012-02-13,0.060001,0.060001,0.060001,0.060001,0,0.840017,50.3757494747,1,2012
2012-02-14,0.060001,0.060001,0.060001,0.060001,100,0.840017,50.3757494747,1,2012
2012-02-15,0.080002,0.110002,0.080002,0.100002,7400,1.400028,65.6445999706,1,2012
2012-02-16,0.100002,0.100002,0.100002,0.100002,1700,1.400028,65.6445999706,1,2012
2012-02-17,0.100002,0.220004,0.100002,0.110002,5500,1.540031,68.4584774666,1,2012
2012-02-21,0.110002,0.120002,0.110002,0.110002,2900,1.540031,68.4584774666,1,2012
2012-02-22,0.110002,0.120002,0.110002,0.120002,1200,1.680033,71.1946852053,1,2012
2012-02-23,0.110002,0.110002,0.080002,0.080002,3700,1.120022,51.8272672518,1,2012
2012-02-24,0.080002,0.080002,0.080002,0.080002,0,1.120022,51.8272672518,1,2012
2012-02-27,0.080002,0.080002,0.080002,0.080002,0,1.120022,51.8272672518,1,2012
2012-02-28,0.080002,0.080002,0.080002,0.080002,100,1.120022,51.8272672518,1,2012
2012-02-29,0.080002,0.080002,0.080002,0.080002,0,1.120022,51.8272672518,1,2012
2012-03-01,0.080002,0.100002,0.080002,0.080002,900,1.120022,51.8272672518,1,2012
2012-03-02,0.080002,0.080002,0.080002,0.080002,400,1.120022,51.8272672518,1,2012
2012-03-05,0.090002,0.090002,0.090002,0.090002,200,1.260025,56.7666900815,1,2012
2012-03-06,0.080002,0.090002,0.060001,0.060001,4000,0.840017,42.6410602855,1,2012
2012-03-07,0.060001,0.060001,0.060001,0.060001,0,0.840017,42.6410602855,1,2012
