Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-02-13,10.0,10.25,8.01,8.97,1528000,8.97,,1,2015
2015-02-17,8.99,9.26,8.75,9.24,39300,9.24,,1,2015
2015-02-18,9.83,9.83,9.05,9.24,43100,9.24,,1,2015
2015-02-19,9.25,9.5,9.07,9.24,18300,9.24,,1,2015
2015-02-20,10.0,10.0,9.0,9.42,19800,9.42,,1,2015
2015-02-23,9.25,9.73,9.24,9.61,35700,9.61,,1,2015
2015-02-24,9.12,9.76,9.12,9.39,94300,9.39,,1,2015
2015-02-25,9.45,9.679,9.41,9.49,64300,9.49,,1,2015
2015-02-26,9.8,11.85,9.31,11.45,80100,11.45,,1,2015
2015-02-27,11.94,12.92,11.0,12.0,167600,12.0,,1,2015
2015-03-02,12.0,12.0,11.16,11.94,118300,11.94,,1,2015
2015-03-03,11.63,11.94,11.44,11.69,56000,11.69,,1,2015
2015-03-04,11.74,11.75,10.01,11.32,57400,11.32,,1,2015
2015-03-05,11.75,11.75,10.66,11.65,37400,11.65,,1,2015
2015-03-06,11.26,11.75,11.26,11.64,39100,11.64,79.7327394209,1,2015
2015-03-09,11.32,11.32,10.51,10.75,12900,10.75,65.7066214881,1,2015
2015-03-10,10.26,10.35,9.69,9.87,26100,9.87,55.3404008159,1,2015
2015-03-11,9.8,10.81,9.7,10.16,20700,10.16,57.7083168147,1,2015
2015-03-12,9.85,10.22,9.78,10.22,4900,10.22,58.2021085092,1,2015
2015-03-13,9.8,9.82,9.75,9.75,4100,9.75,52.9834340685,1,2015
2015-03-16,11.0,11.49,10.5,11.2,152400,11.2,63.7750045947,1,2015
2015-03-17,11.22,11.5,11.14,11.38,84800,11.38,64.8534679993,1,2015
2015-03-18,11.13,11.46,10.88,11.07,34400,11.07,61.4598537974,1,2015
2015-03-19,10.75,11.0,10.41,10.78,23900,10.78,58.3821263347,1,2015
2015-03-20,10.65,11.2,10.65,11.1,19400,11.1,60.7196227365,1,2015
2015-03-23,11.12,11.12,10.2,10.2,40100,10.2,51.8919144839,1,2015
2015-03-24,10.11,10.83,10.071,10.29,108700,10.29,52.6335229435,1,2015
2015-03-25,10.065,10.5,10.0,10.09,50300,10.09,50.7608677963,1,2015
2015-03-26,10.0,10.51,10.0,10.36,21500,10.36,53.182573465,1,2015
2015-03-27,10.37,10.37,9.9,10.0,13900,10.0,49.6745059391,1,2015
2015-03-30,10.03,10.03,9.11,9.35,46100,9.35,44.0275009656,1,2015
2015-03-31,9.27,9.49,8.98,9.18,14400,9.18,42.661530547,1,2015
2015-04-01,9.44,9.5,9.18,9.345,11600,9.345,44.4625680628,2,2015
2015-04-02,9.35,9.83,9.16,9.65,12000,9.65,47.7308724216,2,2015
2015-04-06,9.55,9.86,9.37,9.75,7600,9.75,48.7948565037,2,2015
2015-04-07,9.96,10.1,9.85,10.08,7800,10.08,52.2492269502,2,2015
2015-04-08,10.11,10.3,10.11,10.122,11800,10.122,52.6867072784,2,2015
2015-04-09,10.18,10.22,9.8,9.8,3600,9.8,48.9815875696,2,2015
2015-04-10,9.83,10.25,9.77,9.94,4600,9.94,50.607941851,2,2015
2015-04-13,9.99,10.23,9.99,10.19,7200,10.19,53.4609461317,2,2015
2015-04-14,10.2,10.4,10.2,10.32,7300,10.32,54.9191733428,2,2015
2015-04-15,10.34,10.58,10.34,10.45,2700,10.45,56.3907108598,2,2015
2015-04-16,10.88,10.88,10.51,10.51,3700,10.51,57.086954729,2,2015
2015-04-17,10.603,10.61,10.22,10.33,22800,10.33,54.2867967681,2,2015
2015-04-20,10.5,10.5,9.461,10.37,18800,10.37,54.8171816562,2,2015
2015-04-21,10.31,10.31,9.318,10.06,12400,10.06,49.9775649699,2,2015
