Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.649994,0.679993,0.609994,0.619994,7400,1.859981,,1,2012
2012-01-04,0.629994,0.679993,0.629994,0.669993,8600,2.00998,,1,2012
2012-01-05,0.619994,0.669993,0.619994,0.629994,6600,1.889981,,1,2012
2012-01-06,0.619994,0.649994,0.619994,0.649994,10900,1.949981,,1,2012
2012-01-09,0.679993,0.699993,0.649994,0.679993,27300,2.03998,,1,2012
2012-01-10,0.689993,0.719993,0.679993,0.699993,21500,2.099979,,1,2012
2012-01-11,0.699993,0.709993,0.649994,0.669993,10400,2.00998,,1,2012
2012-01-12,0.699993,0.699993,0.649994,0.659993,17800,1.97998,,1,2012
2012-01-13,0.679993,0.679993,0.629994,0.639994,20400,1.919981,,1,2012
2012-01-17,0.649994,0.699993,0.649994,0.659993,20900,1.97998,,1,2012
2012-01-18,0.669993,0.699993,0.659993,0.699993,17800,2.099979,,1,2012
2012-01-19,0.699993,0.729993,0.699993,0.729993,30900,2.189978,,1,2012
2012-01-20,0.749993,0.839992,0.729993,0.839992,76400,2.519975,,1,2012
2012-01-23,0.849991,0.939991,0.779992,0.859991,111800,2.579974,,1,2012
2012-01-24,0.889991,0.889991,0.789992,0.839992,6400,2.519975,73.9130686833,1,2012
2012-01-25,0.859991,0.859991,0.809992,0.829992,6000,2.489975,72.2222300896,1,2012
2012-01-26,0.809992,0.839992,0.769992,0.799992,24000,2.399976,67.2518855311,1,2012
2012-01-27,0.769992,0.799992,0.749993,0.789992,9900,2.369976,65.6304880653,1,2012
2012-01-30,0.769992,0.799992,0.759992,0.779992,8300,2.339977,63.9696428582,1,2012
2012-01-31,0.789992,0.799992,0.769992,0.769992,7700,2.309977,62.272497778,1,2012
2012-02-01,0.799992,0.799992,0.769992,0.799992,8400,2.399976,65.250940235,1,2012
2012-02-02,0.799992,0.819992,0.769992,0.799992,19800,2.399976,65.250940235,1,2012
