Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,17.139999,17.58,17.139999,17.219999,22300,17.219999,,1,2012
2012-01-04,16.99,17.549999,16.99,17.200001,11400,17.200001,,1,2012
2012-01-05,16.9,17.35,16.9,17.33,4900,17.33,,1,2012
2012-01-06,17.379999,17.48,17.18,17.23,6800,17.23,,1,2012
2012-01-09,17.4,17.4,16.940001,17.02,8600,17.02,,1,2012
2012-01-10,17.24,17.49,17.02,17.200001,6500,17.200001,,1,2012
2012-01-11,17.030001,17.370001,17.030001,17.290001,2900,17.290001,,1,2012
2012-01-12,17.17,17.35,16.969999,17.35,2900,17.35,,1,2012
2012-01-13,17.030001,17.459999,16.98,17.190001,10500,17.190001,,1,2012
2012-01-17,17.360001,17.459999,17.02,17.43,11800,17.43,,1,2012
2012-01-18,17.219999,17.959999,17.219999,17.959999,7900,17.959999,,1,2012
2012-01-19,17.889999,18.76,17.639999,17.889999,22600,17.889999,,1,2012
2012-01-20,17.84,17.85,17.66,17.85,6000,17.85,,1,2012
2012-01-23,17.889999,18.32,17.65,17.9,8500,17.9,,1,2012
2012-01-24,17.700001,18.190001,17.700001,18.16,7800,18.16,71.9627120276,1,2012
2012-01-25,18.110001,18.5,18.110001,18.5,8100,18.5,76.059024597,1,2012
2012-01-26,18.549999,18.67,18.35,18.48,3800,18.48,75.3615272837,1,2012
2012-01-27,18.440001,18.799999,18.440001,18.799999,4000,18.799999,78.7235073498,1,2012
2012-01-30,18.82,19.0,18.6,18.92,9700,18.92,79.8347426934,1,2012
2012-01-31,18.790001,19.08,18.76,19.02,17000,19.02,80.7375942542,1,2012
2012-02-01,19.040001,19.530001,18.93,19.530001,15800,19.530001,84.5394331477,1,2012
2012-02-02,19.51,20.139999,19.51,20.129999,11800,20.129999,87.6321539286,1,2012
2012-02-03,20.299999,21.1,20.120001,21.1,12200,21.1,90.8269117049,1,2012
2012-02-06,20.07,20.9,19.879999,20.889999,7600,20.889999,85.6675712944,1,2012
2012-02-07,21.1,21.1,20.360001,20.440001,45300,20.440001,75.7392759296,1,2012
2012-02-08,20.5,20.5,20.379999,20.379999,2400,20.379999,74.4994769228,1,2012
2012-02-09,20.299999,20.49,19.68,19.719999,4400,19.719999,62.3997428063,1,2012
2012-02-10,19.6,21.99,16.059999,19.32,2800,19.32,56.419093201,1,2012
2012-02-13,19.65,19.65,18.77,18.84,3700,18.84,50.201156502,1,2012
2012-02-14,18.469999,18.469999,18.469999,18.469999,600,18.469999,45.9932983236,1,2012
2012-02-15,18.629999,18.959999,18.08,18.08,5100,18.08,41.9973947378,1,2012
2012-02-16,18.049999,18.639999,18.049999,18.6,7000,18.6,48.4307270809,1,2012
2012-02-17,18.610001,18.610001,18.129999,18.129999,3700,18.129999,43.7115643091,1,2012
2012-02-21,18.18,18.299999,18.1,18.1,3400,18.1,43.4207378959,1,2012
