Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.42,5.48,5.33,5.36,16307100,5.36,,1,2012
2012-01-04,5.32,5.41,5.23,5.31,24388500,5.31,,1,2012
2012-01-05,5.27,5.38,5.26,5.34,12840700,5.34,,1,2012
2012-01-06,5.53,5.57,5.29,5.3,21222400,5.3,,1,2012
2012-01-09,5.34,5.38,5.26,5.35,11099700,5.35,,1,2012
2012-01-10,5.39,5.61,5.37,5.53,22741700,5.53,,1,2012
2012-01-11,5.53,5.65,5.47,5.54,15257500,5.54,,1,2012
2012-01-12,5.6,5.61,5.41,5.56,11065500,5.56,,1,2012
2012-01-13,5.53,5.56,5.44,5.52,7992900,5.52,,1,2012
2012-01-17,5.65,5.65,5.49,5.53,8412600,5.53,,1,2012
2012-01-18,5.5,5.73,5.46,5.72,13470400,5.72,,1,2012
2012-01-19,5.78,5.96,5.77,5.87,18721400,5.87,,1,2012
2012-01-20,5.9,6.02,5.79,5.98,22710400,5.98,,1,2012
2012-01-23,5.98,6.05,5.92,5.97,10625000,5.97,,1,2012
2012-01-24,5.92,6.02,5.9,5.97,7295300,5.97,84.2696629213,1,2012
2012-01-25,5.95,6.18,5.94,6.13,15673800,6.13,86.8211440985,1,2012
2012-01-26,6.19,6.19,5.92,5.96,17519300,5.96,73.2299741602,1,2012
2012-01-27,5.93,5.99,5.88,5.93,10646700,5.93,71.114316498,1,2012
2012-01-30,5.9,6.04,5.88,5.99,9592700,5.99,72.8064590816,1,2012
2012-01-31,6.03,6.12,5.95,5.96,10734700,5.96,70.58011962,1,2012
2012-02-01,5.99,6.19,5.99,6.09,13833600,6.09,74.2540963037,1,2012
2012-02-02,5.79,5.9,5.62,5.84,37131900,5.84,58.9960265674,1,2012
2012-02-03,5.89,6.12,5.8,6.03,29529100,6.03,64.8993038633,1,2012
2012-02-06,6.01,6.02,5.91,6.02,12754400,6.02,64.3740021311,1,2012
2012-02-07,6.01,6.06,5.94,5.95,16062100,5.95,60.671974574,1,2012
2012-02-08,5.96,5.98,5.89,5.95,11911500,5.95,60.671974574,1,2012
2012-02-09,5.96,5.96,5.85,5.95,9073300,5.95,60.671974574,1,2012
2012-02-10,5.91,5.97,5.84,5.93,7725000,5.93,59.4519151269,1,2012
2012-02-13,6.07,6.07,5.92,5.94,12810500,5.94,59.8862659426,1,2012
2012-02-14,5.95,5.96,5.86,5.92,10101500,5.92,58.5357304086,1,2012
2012-02-15,5.95,5.96,5.87,5.89,9231700,5.89,56.4782488748,1,2012
2012-02-16,5.9,5.99,5.85,5.97,14889800,5.97,60.4685950132,1,2012
2012-02-17,6.01,6.09,5.95,6.09,30357400,6.09,65.5682341691,1,2012
2012-02-21,6.12,6.14,5.97,5.98,15186700,5.98,58.1614673188,1,2012
2012-02-22,5.93,5.99,5.9,5.92,9878900,5.92,54.5422748263,1,2012
2012-02-23,5.95,5.99,5.9,5.9,10150100,5.9,53.3505428315,1,2012
2012-02-24,5.93,6.28,5.92,6.25,21569500,6.25,66.9570553759,1,2012
2012-02-27,6.22,6.3,6.1,6.28,17966800,6.28,67.8233758983,1,2012
2012-02-28,6.33,6.41,6.24,6.36,19047800,6.36,70.0764061698,1,2012
2012-02-29,6.36,6.38,6.22,6.22,22183800,6.22,61.9070240681,1,2012
2012-03-01,6.25,6.25,6.07,6.08,14016500,6.08,55.0017830672,1,2012
2012-03-02,6.11,6.13,5.97,6.0,10555700,6.0,51.4688910858,1,2012
2012-03-05,5.97,6.06,5.82,5.84,12407300,5.84,45.2137286406,1,2012
2012-03-06,5.78,5.8,5.7,5.7,13438300,5.7,40.5678437755,1,2012
2012-03-07,5.7,5.8,5.7,5.73,6659400,5.73,41.9444810771,1,2012
2012-03-08,5.78,5.95,5.73,5.93,11866100,5.93,50.222469548,1,2012
2012-03-09,5.96,6.04,5.9,5.95,13893000,5.95,50.9752722682,1,2012
2012-03-12,5.97,6.0,5.85,5.85,6231100,5.85,47.1367655971,1,2012
2012-03-13,5.91,6.01,5.9,5.96,11527300,5.96,51.4661381888,1,2012
2012-03-14,5.95,5.99,5.83,5.88,10681600,5.88,48.363904083,1,2012
2012-03-15,5.88,6.0,5.83,6.0,8350300,6.0,52.9456279445,1,2012
2012-03-16,6.02,6.12,5.95,6.12,15498500,6.12,57.0497985067,1,2012
2012-03-19,6.12,6.16,6.02,6.04,9238500,6.04,53.6878223289,1,2012
2012-03-20,6.03,6.07,6.0,6.03,5336900,6.03,53.2652711135,1,2012
2012-03-21,6.02,6.06,5.95,6.03,7125300,6.03,53.2652711135,1,2012
2012-03-22,5.98,6.02,5.91,6.0,7838600,6.0,51.8455416219,1,2012
2012-03-23,6.0,6.0,5.93,5.97,5700300,5.97,50.398879772,1,2012
2012-03-26,6.0,6.09,6.0,6.08,4992100,6.08,55.3216427235,1,2012
2012-03-27,6.1,6.2,6.07,6.18,11802000,6.18,59.2783573226,1,2012
2012-03-28,6.2,6.28,6.03,6.04,12661100,6.04,52.2957638431,1,2012
2012-03-29,5.99,6.05,5.96,6.0,9802800,6.0,50.4666460263,1,2012
2012-03-30,6.02,6.07,5.97,5.98,13253800,5.98,49.5337545925,1,2012
2012-04-02,5.99,6.04,5.95,5.97,16839800,5.97,49.0455732637,2,2012
2012-04-03,6.02,6.03,5.9,5.97,10481600,5.97,49.0455732637,2,2012
2012-04-04,5.92,5.97,5.85,5.89,15172600,5.89,44.9365465577,2,2012
2012-04-05,5.83,5.91,5.82,5.9,7149500,5.9,45.5506290448,2,2012
2012-04-09,5.8,5.9,5.78,5.84,11511500,5.84,42.4888478282,2,2012
2012-04-10,5.83,5.92,5.74,5.74,9566500,5.74,37.9146000328,2,2012
2012-04-11,5.81,5.82,5.7,5.74,8042600,5.74,37.9146000328,2,2012
2012-04-12,5.74,5.86,5.73,5.82,8493000,5.82,43.5528710111,2,2012
2012-04-13,5.8,5.83,5.62,5.62,9873700,5.62,34.9962441924,2,2012
2012-04-16,5.64,5.65,5.5,5.51,16716600,5.51,31.3483076457,2,2012
2012-04-17,5.55,5.7,5.49,5.58,40709000,5.58,35.9255190589,2,2012
2012-04-18,5.56,5.68,5.54,5.54,11500700,5.54,34.5096067112,2,2012
2012-04-19,5.88,5.98,5.8,5.85,47347100,5.85,50.7199115521,2,2012
2012-04-20,5.89,5.95,5.85,5.94,17610400,5.94,54.259705928,2,2012
2012-04-23,5.95,5.98,5.81,5.86,15963500,5.86,50.7688190296,2,2012
2012-04-24,5.85,6.06,5.84,6.05,23033500,6.05,57.7252666154,2,2012
2012-04-25,6.09,6.15,6.07,6.15,19105400,6.15,60.8599903634,2,2012
2012-04-26,6.14,6.23,6.12,6.18,14484200,6.18,61.7757125429,2,2012
2012-04-27,6.22,6.3,6.15,6.27,16330600,6.27,64.4619381337,2,2012
2012-04-30,6.27,6.28,6.21,6.26,13619800,6.26,63.9243967609,2,2012
2012-05-01,6.25,6.35,6.2,6.26,15985400,6.26,63.9243967609,2,2012
2012-05-02,6.22,6.29,6.2,6.25,12852600,6.25,63.3120962848,2,2012
2012-05-03,6.28,6.28,6.21,6.22,9374900,6.22,61.4116539729,2,2012
2012-05-04,6.17,6.27,6.15,6.19,9649100,6.19,59.4886216352,2,2012
2012-05-07,6.16,6.37,6.14,6.31,22660300,6.31,64.3037030398,2,2012
2012-05-08,6.26,6.28,6.14,6.22,14175100,6.22,58.6712461882,2,2012
2012-05-09,6.16,6.23,6.13,6.17,11798600,6.17,55.7496754127,2,2012
2012-05-10,6.22,6.38,6.19,6.28,21491100,6.28,60.4192996786,2,2012
2012-05-11,6.26,6.37,6.22,6.31,18426900,6.31,61.6091875357,2,2012
2012-05-14,6.27,6.3,6.19,6.23,11185600,6.23,56.7129942791,2,2012
2012-05-15,6.19,6.25,6.11,6.14,10086300,6.14,51.732067985,2,2012
2012-05-16,6.13,6.23,6.09,6.09,12549000,6.09,49.149460128,2,2012
2012-05-17,6.08,6.11,6.03,6.1,19169100,6.1,49.690418704,2,2012
2012-05-18,6.23,6.23,5.91,5.96,29480000,5.96,42.822117944,2,2012
2012-05-21,6.0,6.06,5.96,5.99,10279700,5.99,44.5895638047,2,2012
