Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.12,2.23,2.12,2.16,14900,2.16,,1,2012
2012-01-04,2.24,2.35,2.24,2.32,10500,2.32,,1,2012
2012-01-05,2.35,2.44,2.29,2.44,6600,2.44,,1,2012
2012-01-06,2.43,2.5,2.4,2.49,7500,2.49,,1,2012
2012-01-09,2.53,2.75,2.5,2.75,18100,2.75,,1,2012
2012-01-10,2.75,2.8,2.64,2.7,21400,2.7,,1,2012
2012-01-11,2.68,2.75,2.68,2.75,11700,2.75,,1,2012
2012-01-12,2.73,2.78,2.73,2.78,11100,2.78,,1,2012
2012-01-13,2.72,2.8,2.7,2.8,5200,2.8,,1,2012
2012-01-17,2.8,2.82,2.7,2.75,10300,2.75,,1,2012
2012-01-18,2.81,2.85,2.78,2.85,21100,2.85,,1,2012
2012-01-19,2.8,2.9,2.8,2.85,12200,2.85,,1,2012
2012-01-20,2.83,2.87,2.8,2.85,9600,2.85,,1,2012
2012-01-23,3.0,3.0,2.81,2.95,24900,2.95,,1,2012
2012-01-24,2.99,2.99,2.9,2.98,3200,2.98,90.1960784314,1,2012
2012-01-25,2.96,3.0,2.9,3.0,19300,3.0,90.3988183161,1,2012
2012-01-26,2.98,3.0,2.95,3.0,11200,3.0,90.3988183161,1,2012
2012-01-27,2.99,3.08,2.99,3.08,16600,3.08,91.2392634123,1,2012
2012-01-30,2.97,3.08,2.97,3.04,8100,3.04,87.132320848,1,2012
2012-01-31,3.02,3.05,3.0,3.03,20000,3.03,86.0890205828,1,2012
2012-02-01,3.18,3.52,3.15,3.24,58800,3.24,89.0532897499,1,2012
2012-02-02,3.26,3.27,3.08,3.21,17900,3.21,86.2265389337,1,2012
2012-02-03,3.26,3.32,3.18,3.26,23200,3.26,86.9689596491,1,2012
2012-02-06,3.34,3.34,3.2,3.24,13600,3.24,84.9954140551,1,2012
2012-02-07,3.19,3.19,2.85,2.95,28900,2.95,62.7572292144,1,2012
2012-02-08,3.05,3.05,2.75,2.8,20900,2.8,54.7743586522,1,2012
