Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-10-02,10.22,11.24,9.26,9.41,4633100,9.41,,4,2014
2014-10-03,9.4,9.75,9.29,9.35,350300,9.35,,4,2014
2014-10-06,9.5,9.65,9.35,9.35,187400,9.35,,4,2014
2014-10-07,9.08,9.4,9.06,9.25,38900,9.25,,4,2014
2014-10-08,10.4,10.4,9.01,9.13,163500,9.13,,4,2014
2014-10-09,9.15,9.24,8.05,8.42,175500,8.42,,4,2014
2014-10-10,8.02,8.5,6.51,7.47,173200,7.47,,4,2014
2014-10-13,7.45,7.45,6.9,7.01,226800,7.01,,4,2014
2014-10-14,6.88,7.444,6.88,7.15,146600,7.15,,4,2014
2014-10-15,6.95,7.85,6.63,7.49,160100,7.49,,4,2014
2014-10-16,7.49,9.23,7.41,8.42,96700,8.42,,4,2014
2014-10-17,8.9,9.2,8.633,9.02,68300,9.02,,4,2014
2014-10-20,9.08,10.29,8.99,10.07,153000,10.07,,4,2014
2014-10-21,10.2,10.89,9.7,10.53,262900,10.53,,4,2014
2014-10-22,10.02,10.86,9.04,9.62,110300,9.62,51.5373352855,4,2014
2014-10-23,9.61,10.49,9.61,9.9,68400,9.9,53.5864523784,4,2014
2014-10-24,9.71,11.7,9.35,11.04,140100,11.04,60.8454016673,4,2014
2014-10-27,11.0,11.0,9.5,10.4,79000,10.4,55.5891203003,4,2014
2014-10-28,10.41,10.9,9.89,10.56,107900,10.56,56.5985583932,4,2014
2014-10-29,11.1,11.4,10.14,10.33,57200,10.33,54.674716446,4,2014
2014-10-30,10.14,10.5,10.14,10.31,46900,10.31,54.5012333382,4,2014
2014-10-31,10.43,10.9,9.4,9.42,162000,9.42,47.3076292341,4,2014
2014-11-03,9.31,11.0,9.31,9.85,118800,9.85,50.6937709045,4,2014
2014-11-04,10.308,10.6,10.01,10.15,82800,10.15,52.964775879,4,2014
2014-11-05,10.14,10.94,9.8,10.17,66900,10.17,53.119799964,4,2014
2014-11-06,10.03,10.05,9.51,9.72,68200,9.72,49.1912605713,4,2014
2014-11-07,9.62,10.32,9.62,9.93,38800,9.93,51.0120325713,4,2014
2014-11-10,10.2,10.501,9.91,10.13,75100,10.13,52.7487371542,4,2014
2014-11-11,10.25,10.25,9.794,10.13,36800,10.13,52.7487371542,4,2014
2014-11-12,9.89,10.74,9.88,10.04,47400,10.04,51.7905097305,4,2014
2014-11-13,10.051,10.29,9.88,9.96,46300,9.96,50.9052889568,4,2014
2014-11-14,10.11,10.26,9.75,9.88,42000,9.88,49.9852047619,4,2014
2014-11-17,9.75,9.965,9.37,9.4,51900,9.4,44.7579810701,4,2014
2014-11-18,9.5,9.85,9.31,9.68,26200,9.68,48.1633782915,4,2014
2014-11-19,9.81,9.96,9.61,9.95,11600,9.95,51.2821039652,4,2014
2014-11-20,9.89,10.31,9.66,9.74,28000,9.74,48.8217691496,4,2014
2014-11-21,10.7,10.7,9.76,9.8,48900,9.8,49.5662715329,4,2014
2014-11-24,9.8,10.4,9.8,10.17,80900,10.17,54.0093644133,4,2014
2014-11-25,10.01,10.5,10.0,10.12,52000,10.12,53.3256831039,4,2014
2014-11-26,10.22,10.72,10.11,10.5,76900,10.5,57.7074273077,4,2014
2014-11-28,10.46,10.8,10.35,10.67,18100,10.67,59.537513829,4,2014
2014-12-01,10.47,10.949,8.08,8.54,237900,8.54,37.5896848309,4,2014
2014-12-02,8.54,9.74,8.54,9.64,87900,9.64,48.2081158107,4,2014
2014-12-03,9.72,10.554,9.6,10.42,46600,10.42,54.1634058037,4,2014
2014-12-04,10.4,10.45,9.77,10.22,23100,10.22,52.4965722776,4,2014
2014-12-05,10.22,10.58,10.095,10.57,104000,10.57,55.1006222625,4,2014
2014-12-08,10.62,13.23,10.62,12.95,316900,12.95,67.9619126748,4,2014
2014-12-09,12.92,14.18,11.54,13.22,121500,13.22,69.0452001295,4,2014
2014-12-10,13.22,17.940001,13.014,17.17,524200,17.17,79.8039463515,4,2014
2014-12-11,17.35,25.299999,17.290001,23.200001,1406600,23.200001,87.1477149518,4,2014
2014-12-12,23.18,31.49,20.91,29.85,1176300,29.85,91.0240528939,4,2014
2014-12-15,31.85,33.48,25.620001,26.75,1488100,26.75,79.0541469721,4,2014
2014-12-16,25.690001,28.5,25.360001,26.32,397600,26.32,77.5311389968,4,2014
2014-12-17,26.68,26.75,21.5,26.459999,555500,26.459999,77.681895477,4,2014
2014-12-18,27.469999,29.49,25.219999,28.75,368500,28.75,80.0409123093,4,2014
2014-12-19,29.0,30.0,27.309999,27.93,1394700,27.93,76.9061981966,4,2014
2014-12-22,27.450001,27.662001,23.02,23.030001,236200,23.030001,61.4251900185,4,2014
2014-12-23,22.950001,23.5,20.73,21.17,178300,21.17,56.7549071618,4,2014
2014-12-24,21.18,23.945999,21.000999,22.33,139500,22.33,58.8559421868,4,2014
2014-12-26,22.0,23.52,21.469999,22.34,93200,22.34,58.8744917817,4,2014
2014-12-29,22.549999,22.99,19.290001,19.809999,186900,19.809999,52.4336480838,4,2014
2014-12-30,19.700001,20.15,17.34,18.309999,180100,18.309999,49.0102473985,4,2014
2014-12-31,18.27,22.662001,17.77,20.200001,345200,20.200001,53.1599826816,4,2014
2015-01-02,20.190001,21.4,19.299999,20.9,167300,20.9,54.6326371609,1,2015
2015-01-05,20.860001,21.98,20.000999,21.700001,92000,21.700001,56.3227544773,1,2015
2015-01-06,21.9,24.0,21.190001,23.85,189000,23.85,60.5737548758,1,2015
2015-01-07,24.360001,25.41,22.809999,24.4,139500,24.4,61.6032850696,1,2015
2015-01-08,25.09,25.35,23.030001,23.58,108300,23.58,59.1244007047,1,2015
2015-01-09,23.719999,24.5,22.26,23.639999,61000,23.639999,59.2535989142,1,2015
2015-01-12,23.85,24.098,22.32,22.860001,47400,22.860001,56.7426596349,1,2015
2015-01-13,23.0,23.75,21.700001,22.139999,111500,22.139999,54.4489629513,1,2015
2015-01-14,21.719999,23.0,21.700001,22.82,39800,22.82,56.2477797198,1,2015
2015-01-15,23.0,23.0,21.209999,21.469999,46000,21.469999,51.8685103828,1,2015
2015-01-16,21.379999,23.209999,21.26,23.18,52300,23.18,56.489522229,1,2015
2015-01-20,23.309999,24.17,21.110001,22.620001,55300,22.620001,54.6394459434,1,2015
2015-01-21,22.370001,23.290001,21.299999,21.530001,59500,21.530001,51.1293730766,1,2015
2015-01-22,21.51,22.41,20.24,20.74,52100,20.74,48.6880885595,1,2015
2015-01-23,20.68,20.790001,19.35,19.700001,68300,19.700001,45.6012451799,1,2015
2015-01-26,18.25,20.540001,18.08,20.280001,60200,20.280001,47.5966484916,1,2015
2015-01-27,19.85,20.945,19.42,20.43,25000,20.43,48.1265944015,1,2015
2015-01-28,21.16,21.459999,18.43,18.84,87900,18.84,43.1457399976,1,2015
2015-01-29,19.0,19.98,18.200001,19.82,38800,19.82,46.8003506902,1,2015
2015-01-30,19.639999,21.26,18.809999,19.889999,47600,19.889999,47.0621058276,1,2015
2015-02-02,20.0,21.1,19.610001,20.940001,51600,20.940001,50.9599154955,1,2015
2015-02-03,20.92,20.92,19.040001,19.690001,40200,19.690001,46.5643747249,1,2015
2015-02-04,19.450001,19.450001,17.610001,17.75,52700,17.75,40.697250224,1,2015
2015-02-05,17.950001,18.389999,16.76,17.629999,91500,17.629999,40.3585042166,1,2015
2015-02-06,17.559999,17.559999,16.809999,17.18,42400,17.18,39.0460107357,1,2015
2015-02-09,17.120001,18.530001,16.6,18.18,31400,18.18,43.4473814237,1,2015
2015-02-10,18.33,18.35,17.57,17.940001,21200,17.940001,42.6513814914,1,2015
2015-02-11,17.66,18.98,16.0,16.4,68900,16.4,37.8583786263,1,2015
2015-02-12,16.540001,16.77,15.32,15.49,52100,15.49,35.3317315653,1,2015
2015-02-13,15.5,16.450001,15.5,16.110001,26800,16.110001,38.3506193462,1,2015
2015-02-17,15.76,17.059,15.76,16.700001,32100,16.700001,41.1653275701,1,2015
2015-02-18,16.885,17.290001,16.25,16.389999,29500,16.389999,40.1286204965,1,2015
2015-02-19,16.219999,16.809999,15.733,16.34,16000,16.34,39.9538513996,1,2015
2015-02-20,16.389999,16.389999,16.0,16.209999,40400,16.209999,39.4724859132,1,2015
2015-02-23,16.299999,16.709999,16.0,16.110001,26100,16.110001,39.0824297374,1,2015
2015-02-24,16.205,16.379,15.52,15.72,34900,15.72,37.5249861989,1,2015
2015-02-25,15.73,16.27,15.73,16.030001,25400,16.030001,39.5858600569,1,2015
2015-02-26,16.09,16.27,15.49,16.190001,35300,16.190001,40.6736234634,1,2015
2015-02-27,16.08,16.08,15.15,15.22,33400,15.22,36.3952610618,1,2015
2015-03-02,15.25,15.25,13.6,13.76,104800,13.76,31.0937135728,1,2015
2015-03-03,13.77,13.78,12.31,13.51,220600,13.51,30.2803393745,1,2015
2015-03-04,13.283,14.22,12.74,14.02,84800,14.02,34.0693020084,1,2015
2015-03-05,14.08,14.573,13.16,13.31,123800,13.31,31.5025515687,1,2015
2015-03-06,17.99,18.0,14.63,14.67,1635500,14.67,40.7160172821,1,2015
2015-03-09,14.53,14.964,13.07,13.45,328400,13.45,36.033678482,1,2015
2015-03-10,13.15,14.01,12.6,13.71,142800,13.71,37.678554849,1,2015
2015-03-11,14.0,14.226,13.5,13.86,111000,13.86,38.6585824046,1,2015
2015-03-12,13.85,14.076,13.0,13.37,82600,13.37,36.6320590797,1,2015
2015-03-13,13.4,13.44,12.7,13.02,57800,13.02,35.2121677978,1,2015
2015-03-16,13.07,13.75,12.92,13.61,101700,13.61,39.4713241718,1,2015
2015-03-17,13.75,13.85,13.04,13.51,89000,13.51,39.003304389,1,2015
2015-03-18,13.55,13.88,13.07,13.47,70900,13.47,38.8050987609,1,2015
2015-03-19,13.55,14.1,13.27,14.07,143000,14.07,43.447496615,1,2015
2015-03-20,14.22,19.129999,14.22,15.75,1056200,15.75,53.975754434,1,2015
2015-03-23,15.84,19.75,15.825,18.74,1029500,18.74,66.0793711418,1,2015
2015-03-24,18.9,22.0,18.9,19.370001,1117900,19.370001,67.9895539982,1,2015
2015-03-25,18.950001,19.75,16.209999,17.129999,526900,17.129999,55.9296237414,1,2015
2015-03-26,16.799999,17.709999,15.54,15.88,342500,15.88,50.5419583842,1,2015
2015-03-27,15.87,18.440001,15.0,17.450001,521400,17.450001,56.2433134625,1,2015
2015-03-30,18.799999,18.799999,15.6,16.42,335700,16.42,52.007565602,1,2015
2015-03-31,16.299999,16.799999,15.59,16.42,182300,16.42,52.007565602,1,2015
2015-04-01,16.33,16.492001,15.5,16.25,128100,16.25,51.2684874766,2,2015
2015-04-02,16.23,16.985001,15.9,16.459999,96100,16.459999,52.172663543,2,2015
2015-04-06,16.41,17.879999,16.0,17.370001,205400,17.370001,55.9838885718,2,2015
2015-04-07,17.41,18.690001,17.129999,17.25,336000,17.25,55.3574311956,2,2015
2015-04-08,17.32,18.32,16.82,18.23,247800,18.23,59.3572259221,2,2015
2015-04-09,18.25,19.08,17.290001,18.33,259700,18.33,59.7534815577,2,2015
2015-04-10,18.450001,18.496,17.549999,17.879999,159100,17.879999,57.0575824352,2,2015
2015-04-13,17.969999,18.322001,17.709999,18.1,145900,18.1,58.0539674148,2,2015
2015-04-14,18.18,19.889999,17.9,18.93,731500,18.93,61.6676062339,2,2015
2015-04-15,19.110001,19.684,18.4,19.379999,621200,19.379999,63.5034020513,2,2015
2015-04-16,19.32,19.476,18.5,18.690001,191300,18.690001,58.8494509363,2,2015
2015-04-17,18.5,18.676001,17.75,18.370001,233500,18.370001,56.7714689135,2,2015
2015-04-20,18.25,18.5,15.47,16.16,545400,16.16,44.9632533351,2,2015
2015-04-21,16.23,16.5,13.96,13.99,604200,13.99,36.8569097361,2,2015
2015-04-22,14.1,14.17,12.928,12.93,460000,12.93,33.6641532844,2,2015
2015-04-23,12.91,14.25,12.6,13.76,509000,13.76,38.1799378992,2,2015
2015-04-24,13.7,13.7,13.16,13.41,216800,13.41,37.0350255834,2,2015
2015-04-27,13.44,13.44,11.261,11.54,565300,11.54,31.585239781,2,2015
2015-04-28,11.63,11.922,10.53,11.055,312900,11.055,30.3383072786,2,2015
2015-04-29,10.97,11.53,10.6,10.8,205600,10.8,29.6749733224,2,2015
2015-04-30,10.73,10.93,9.75,10.01,419300,10.01,27.6574238047,2,2015
2015-05-01,9.91,10.45,9.58,9.82,309100,9.82,27.1788205316,2,2015
2015-05-04,9.9,10.36,9.82,9.86,225900,9.86,27.4634056426,2,2015
2015-05-05,9.86,9.99,9.4,9.5,191400,9.5,26.4611236204,2,2015
2015-05-06,9.6,9.73,8.82,9.02,301000,9.02,25.1435192314,2,2015
2015-05-07,9.07,9.98,9.07,9.52,445400,9.52,29.1036893036,2,2015
2015-05-08,10.5,14.06,10.14,13.87,4543500,13.87,52.5988075397,2,2015
2015-05-11,14.2,14.75,12.4,12.81,1119500,12.81,48.3904293061,2,2015
2015-05-12,12.47,13.96,12.34,13.55,600100,13.55,51.3187022339,2,2015
2015-05-13,13.44,13.5,12.52,12.9,303100,12.9,48.7046283405,2,2015
2015-05-14,12.8,12.88,11.91,12.14,417500,12.14,45.7690160987,2,2015
2015-05-15,12.17,12.4,11.6,11.87,273600,11.87,44.7373629857,2,2015
2015-05-18,11.88,12.0,11.43,11.79,180700,11.79,44.4178923324,2,2015
2015-05-19,11.65,11.992,10.88,10.97,289100,10.97,41.1724364827,2,2015
2015-05-20,11.12,11.478,10.54,10.85,313900,10.85,40.7037267096,2,2015
2015-05-21,13.11,13.73,11.65,12.02,1038100,12.02,47.0348002019,2,2015
2015-05-22,11.82,12.266,10.95,11.0,430200,11.0,42.7495113244,2,2015
2015-05-26,10.99,11.37,10.532,10.85,210700,10.85,42.1414518434,2,2015
2015-05-27,10.81,11.23,10.72,10.95,193000,10.95,42.7263272604,2,2015
2015-05-28,10.92,11.12,10.51,10.8,148900,10.8,42.0398394543,2,2015
2015-05-29,11.14,11.172,10.38,10.47,229700,10.47,40.498208435,2,2015
2015-06-01,10.78,10.78,9.18,9.21,562000,9.21,35.1917842205,2,2015
