Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.55,0.55,0.55,0.55,0,27.499999,,1,2012
2012-01-04,0.55,0.55,0.55,0.55,0,27.499999,,1,2012
2012-01-05,0.5,0.5,0.5,0.5,100,24.999999,,1,2012
2012-01-06,0.49,0.55,0.49,0.55,300,27.499999,,1,2012
2012-01-09,0.55,0.58,0.55,0.58,400,28.999999,,1,2012
2012-01-10,0.58,0.58,0.54,0.55,500,27.499999,,1,2012
2012-01-11,0.55,0.55,0.52,0.52,500,25.999999,,1,2012
2012-01-12,0.52,0.53,0.49,0.52,200,25.999999,,1,2012
2012-01-13,0.52,0.52,0.5,0.5,200,24.999999,,1,2012
2012-01-17,0.51,0.53,0.5,0.53,100,26.499999,,1,2012
2012-01-18,0.53,0.53,0.53,0.53,0,26.499999,,1,2012
2012-01-19,0.5,0.5,0.5,0.5,0,24.999999,,1,2012
2012-01-20,0.5,0.5,0.5,0.5,300,24.999999,,1,2012
2012-01-23,0.49,0.51,0.49,0.5,400,24.999999,,1,2012
2012-01-24,0.49,0.56,0.49,0.56,100,27.999999,51.5151515152,1,2012
2012-01-25,0.5,0.55,0.5,0.55,0,27.499999,49.8871331828,1,2012
2012-01-26,0.55,0.55,0.52,0.54,200,26.999999,48.2451721243,1,2012
2012-01-27,0.54,0.54,0.54,0.54,0,26.999999,48.2451721243,1,2012
2012-01-30,0.54,0.55,0.53,0.53,800,26.499999,46.4712756661,1,2012
2012-01-31,0.51,0.51,0.5,0.51,200,25.499999,43.0611185241,1,2012
2012-02-01,0.51,0.51,0.5,0.5,300,24.999999,41.4243031458,1,2012
2012-02-02,0.5,0.5,0.5,0.5,400,24.999999,41.4243031458,1,2012
2012-02-03,0.5,0.5,0.5,0.5,700,24.999999,41.4243031458,1,2012
2012-02-06,0.49,0.53,0.49,0.52,4300,25.999999,46.5038072003,1,2012
2012-02-07,0.53,0.55,0.53,0.55,900,27.499999,53.0768564877,1,2012
2012-02-08,0.51,0.54,0.51,0.54,500,26.999999,50.8346911649,1,2012
2012-02-09,0.47,0.53,0.46,0.5,400,24.999999,43.0083329503,1,2012
2012-02-10,0.51,0.54,0.51,0.53,800,26.499999,49.3114496768,1,2012
2012-02-13,0.55,0.57,0.53,0.53,500,26.499999,49.3114496768,1,2012
2012-02-14,0.51,0.55,0.51,0.55,500,27.499999,53.3044351492,1,2012
2012-02-15,0.56,0.58,0.54,0.54,1000,26.999999,51.1354114278,1,2012
2012-02-16,0.53,0.54,0.5,0.54,1200,26.999999,51.1354114278,1,2012
2012-02-17,0.54,0.54,0.51,0.54,400,26.999999,51.1354114278,1,2012
2012-02-21,0.54,0.54,0.49,0.5,1000,24.999999,42.4963489147,1,2012
2012-02-22,0.45,0.54,0.45,0.54,200,26.999999,51.3481027235,1,2012
2012-02-23,0.54,0.58,0.52,0.58,1200,28.999999,58.2664713203,1,2012
2012-02-24,0.59,0.59,0.54,0.56,400,27.999999,54.1223252912,1,2012
2012-02-27,0.56,0.56,0.53,0.54,300,26.999999,50.2717549396,1,2012
2012-02-28,0.51,0.53,0.51,0.53,200,26.499999,48.41693977,1,2012
2012-02-29,0.53,0.56,0.53,0.56,0,27.999999,53.9108462792,1,2012
2012-03-01,0.52,0.56,0.52,0.52,500,25.999999,46.7597908981,1,2012
2012-03-02,0.52,0.58,0.52,0.56,100,27.999999,53.4145048366,1,2012
2012-03-05,0.58,0.58,0.56,0.58,200,28.999999,56.3521997281,1,2012
2012-03-06,0.53,0.55,0.52,0.55,300,27.499999,51.1424872,1,2012
2012-03-07,0.58,0.58,0.53,0.53,100,26.499999,47.9592521184,1,2012
2012-03-08,0.53,0.53,0.53,0.53,0,26.499999,47.9592521184,1,2012
2012-03-09,0.53,0.53,0.53,0.53,200,26.499999,47.9592521184,1,2012
2012-03-12,0.55,0.58,0.55,0.58,600,28.999999,56.4274974283,1,2012
2012-03-13,0.53,0.53,0.53,0.53,100,26.499999,48.0135729461,1,2012
2012-03-14,0.55,0.57,0.55,0.57,400,28.499999,53.931704736,1,2012
2012-03-15,0.56,0.56,0.56,0.56,200,27.999999,52.3278958124,1,2012
2012-03-16,0.56,0.56,0.56,0.56,100,27.999999,52.3278958124,1,2012
2012-03-19,0.56,0.56,0.54,0.55,900,27.499999,50.5833381428,1,2012
2012-03-20,0.55,0.56,0.53,0.55,500,27.499999,50.5833381428,1,2012
2012-03-21,0.55,0.55,0.53,0.53,400,26.499999,46.9524747513,1,2012
2012-03-22,0.53,0.53,0.5,0.51,2700,25.499999,43.583417524,1,2012
2012-03-23,0.55,0.55,0.5,0.55,500,27.499999,51.1353691808,1,2012
2012-03-26,0.49,0.54,0.49,0.54,100,26.999999,49.3565890985,1,2012
2012-03-27,0.51,0.54,0.5,0.5,500,24.999999,42.9245163566,1,2012
2012-03-28,0.51,0.51,0.44,0.5,4500,24.999999,42.9245163566,1,2012
2012-03-29,0.51,0.51,0.5,0.5,0,24.999999,42.9245163566,1,2012
2012-03-30,0.49,0.5,0.49,0.5,0,24.999999,42.9245163566,1,2012
2012-04-02,0.5,0.5,0.32,0.34,20600,17.0,25.2328010487,2,2012
2012-04-03,0.34,0.36,0.32,0.34,5000,17.0,25.2328010487,2,2012
2012-04-04,0.35,0.35,0.32,0.32,2200,16.0,23.8101261715,2,2012
2012-04-05,0.35,0.35,0.3,0.34,2200,17.0,28.171484533,2,2012
2012-04-09,0.34,0.34,0.32,0.32,3800,16.0,26.5356515603,2,2012
2012-04-10,0.29,0.33,0.28,0.3,2100,15.0,24.9739395033,2,2012
2012-04-11,0.32,0.32,0.29,0.3,1800,15.0,24.9739395033,2,2012
2012-04-12,0.31,0.31,0.29,0.29,1200,14.5,24.1497570862,2,2012
2012-04-13,0.29,0.32,0.29,0.32,1200,16.0,31.4577875138,2,2012
2012-04-16,0.32,0.34,0.32,0.32,1500,16.0,31.4577875138,2,2012
2012-04-17,0.32,0.33,0.29,0.29,400,14.5,28.2959665732,2,2012
2012-04-18,0.29,0.32,0.29,0.3,1400,15.0,30.7929899729,2,2012
2012-04-19,0.31,0.32,0.29,0.31,1200,15.5,33.2946282787,2,2012
2012-04-20,0.3,0.3,0.29,0.3,1100,15.0,32.0471070459,2,2012
2012-04-23,0.3,0.3,0.26,0.29,2400,14.5,30.8041181764,2,2012
2012-04-24,0.26,0.28,0.26,0.26,600,13.0,27.3739050585,2,2012
2012-04-25,0.26,0.32,0.26,0.26,600,13.0,27.3739050585,2,2012
2012-04-26,0.32,0.32,0.26,0.32,1100,16.0,42.2820220693,2,2012
2012-04-27,0.32,0.32,0.27,0.28,200,14.0,36.8510955412,2,2012
2012-04-30,0.27,0.31,0.27,0.27,200,13.5,35.6193284466,2,2012
2012-05-01,0.27,0.3,0.27,0.28,600,14.0,37.8562976334,2,2012
2012-05-02,0.31,0.31,0.31,0.31,0,15.5,44.1282494886,2,2012
2012-05-03,0.31,0.31,0.31,0.31,0,15.5,44.1282494886,2,2012
2012-05-04,0.3,0.3,0.28,0.28,300,14.0,39.5042404452,2,2012
2012-05-07,0.28,0.3,0.26,0.26,900,13.0,36.7402442646,2,2012
2012-05-08,0.29,0.29,0.29,0.29,0,14.5,43.1640551796,2,2012
2012-05-09,0.25,0.29,0.25,0.25,200,12.5,37.6712003961,2,2012
2012-05-10,0.25,0.25,0.25,0.25,600,12.5,37.6712003961,2,2012
2012-05-11,0.25,0.28,0.24,0.24,1100,12.0,36.3307235968,2,2012
