Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.96,1.24,0.96,1.15,46200,1.15,,1,2012
2012-01-04,1.11,1.21,1.06,1.06,19400,1.06,,1,2012
2012-01-05,1.09,1.09,0.98,1.08,19400,1.08,,1,2012
2012-01-06,1.09,1.14,0.97,1.13,35200,1.13,,1,2012
2012-01-09,1.1,1.14,1.06,1.06,6500,1.06,,1,2012
2012-01-10,1.12,1.14,1.07,1.11,23500,1.11,,1,2012
2012-01-11,1.1,1.1,1.05,1.09,3100,1.09,,1,2012
2012-01-12,1.06,1.1,0.98,1.0,21600,1.0,,1,2012
2012-01-13,1.05,1.08,1.03,1.07,6100,1.07,,1,2012
2012-01-17,1.09,1.09,1.02,1.02,14200,1.02,,1,2012
2012-01-18,1.07,1.1,1.03,1.1,15100,1.1,,1,2012
2012-01-19,1.13,1.45,1.13,1.29,120500,1.29,,1,2012
2012-01-20,1.44,1.79,1.39,1.59,162300,1.59,,1,2012
2012-01-23,1.6,1.78,1.5,1.75,147400,1.75,,1,2012
2012-01-24,1.75,1.77,1.7,1.76,46400,1.76,74.4,1,2012
2012-01-25,1.76,2.58,1.76,2.33,362800,2.33,82.8312009905,1,2012
2012-01-26,2.49,3.1,2.41,2.95,909900,2.95,87.6108222034,1,2012
2012-01-27,2.86,2.86,2.45,2.6,384800,2.6,74.9294275987,1,2012
2012-01-30,2.55,2.57,2.14,2.39,169000,2.39,68.5207651388,1,2012
2012-01-31,2.59,2.59,2.12,2.2,136700,2.2,63.2497665525,1,2012
2012-02-01,2.16,2.2,1.82,1.91,162000,1.91,56.1499206458,1,2012
2012-02-02,2.08,2.08,1.85,1.95,122200,1.95,56.8690804252,1,2012
2012-02-03,2.02,2.35,2.01,2.35,199600,2.35,63.3433713435,1,2012
2012-02-06,2.4,2.98,2.4,2.83,285900,2.83,69.2989349102,1,2012
2012-02-07,2.75,2.79,2.52,2.6,114300,2.6,63.9384539573,1,2012
