Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.72,1.75,1.62,1.63,4200,1.63,,1,2012
2012-01-04,1.69,1.79,1.67,1.67,12100,1.67,,1,2012
2012-01-05,1.67,1.67,1.67,1.67,0,1.67,,1,2012
2012-01-06,1.67,1.702,1.67,1.702,700,1.702,,1,2012
2012-01-09,1.66,1.66,1.65,1.65,23400,1.65,,1,2012
2012-01-10,1.68,1.78,1.68,1.72,300,1.72,,1,2012
2012-01-11,1.67,1.75,1.65,1.75,7800,1.75,,1,2012
2012-01-12,1.73,1.79,1.67,1.79,2800,1.79,,1,2012
2012-01-13,1.77,1.79,1.77,1.78,1000,1.78,,1,2012
2012-01-17,1.78,1.78,1.78,1.78,100,1.78,,1,2012
2012-01-18,1.79,1.88,1.73,1.73,43500,1.73,,1,2012
2012-01-19,1.89,1.89,1.89,1.89,100,1.89,,1,2012
2012-01-20,1.85,1.86,1.785,1.86,2100,1.86,,1,2012
2012-01-23,1.72,1.89,1.71,1.816,1000,1.816,,1,2012
2012-01-24,1.68,1.7,1.67,1.68,18800,1.68,53.6023054755,1,2012
2012-01-25,1.77,1.77,1.77,1.77,500,1.77,59.2880762498,1,2012
2012-01-26,1.69,1.84,1.68,1.78,10200,1.78,59.8764248743,1,2012
2012-01-27,1.83,1.84,1.83,1.84,1100,1.84,63.3031396769,1,2012
2012-01-30,1.74,1.82,1.73,1.82,700,1.82,61.4201302282,1,2012
2012-01-31,1.82,1.82,1.82,1.82,0,1.82,61.4201302282,1,2012
2012-02-01,1.81,1.86,1.79,1.79,5300,1.79,58.3981807954,1,2012
2012-02-02,1.69,1.8,1.69,1.8,3600,1.8,59.1201998394,1,2012
2012-02-03,1.8,1.8,1.8,1.8,0,1.8,59.1201998394,1,2012
2012-02-06,1.7,1.81,1.7,1.81,1100,1.81,59.9268025797,1,2012
2012-02-07,1.85,1.88,1.73,1.82,38400,1.82,60.760595156,1,2012
2012-02-08,1.8,1.82,1.722,1.82,35300,1.82,60.760595156,1,2012
2012-02-09,1.83,1.84,1.83,1.83,72500,1.83,61.68516631,1,2012
2012-02-10,1.83,1.83,1.83,1.83,100,1.83,61.68516631,1,2012
2012-02-13,1.83,1.85,1.83,1.85,16500,1.85,63.6706872544,1,2012
2012-02-14,1.85,1.85,1.85,1.85,0,1.85,63.6706872544,1,2012
2012-02-15,1.8,1.84,1.8,1.84,2000,1.84,61.813190518,1,2012
2012-02-16,1.84,1.85,1.84,1.85,2700,1.85,62.9763842028,1,2012
2012-02-17,1.85,2.5,1.85,2.31,13800,2.31,85.2435116642,1,2012
2012-02-21,2.31,2.33,2.11,2.32,7200,2.32,85.4484026656,1,2012
2012-02-22,2.22,2.25,2.0,2.25,10300,2.25,77.3519656156,1,2012
2012-02-23,2.11,2.289,2.09,2.229,3200,2.229,75.0543786079,1,2012
2012-02-24,2.22,2.31,2.22,2.29,2100,2.29,77.175194288,1,2012
2012-02-27,2.81,2.98,2.12,2.12,90400,2.12,61.4863462872,1,2012
2012-02-28,2.3,2.48,2.13,2.39,13200,2.39,71.4228188537,1,2012
2012-02-29,2.48,2.48,2.29,2.37,11100,2.37,69.9825024739,1,2012
2012-03-01,2.35,2.47,2.31,2.31,1900,2.31,65.7019010924,1,2012
2012-03-02,2.26,2.35,2.23,2.3,5000,2.3,64.9884163241,1,2012
2012-03-05,2.22,2.3,2.13,2.29,19200,2.29,64.2371777061,1,2012
2012-03-06,2.23,2.3,2.23,2.3,5200,2.3,64.6769069608,1,2012
2012-03-07,2.22,2.3,2.18,2.29,43200,2.29,63.8316777111,1,2012
2012-03-08,2.24,2.35,2.152,2.29,2300,2.29,63.8316777111,1,2012
2012-03-09,2.29,2.29,2.218,2.29,1800,2.29,63.8316777111,1,2012
2012-03-12,2.26,2.32,2.21,2.32,27300,2.32,65.5200462639,1,2012
2012-03-13,2.31,2.31,2.31,2.31,200,2.31,64.440206679,1,2012
2012-03-14,2.29,2.3,2.29,2.3,500,2.3,63.3164143982,1,2012
2012-03-15,2.35,2.35,2.24,2.3,8200,2.3,63.3164143982,1,2012
2012-03-16,2.3,2.3,2.2,2.29,4800,2.29,62.0611978946,1,2012
2012-03-19,2.34,2.35,2.2,2.33,6300,2.33,65.0461794687,1,2012
2012-03-20,2.28,2.31,2.12,2.19,22900,2.19,50.1683233315,1,2012
2012-03-21,2.19,2.19,2.04,2.05,6500,2.05,40.2530985952,1,2012
2012-03-22,2.073,2.18,1.96,2.06,10700,2.06,41.1478288286,1,2012
2012-03-23,2.0,2.0,1.98,1.992,6200,1.992,37.0812880371,1,2012
2012-03-26,2.0,2.04,1.946,1.991,6100,1.991,37.0233412196,1,2012
2012-03-27,2.04,2.24,2.04,2.22,3100,2.22,54.5421285218,1,2012
2012-03-28,2.11,2.21,1.97,2.2,7400,2.2,53.1514749932,1,2012
2012-03-29,2.12,2.16,1.9,2.15,5700,2.15,49.7372412916,1,2012
2012-03-30,2.14,2.19,2.14,2.19,3600,2.19,52.3730009809,1,2012
2012-04-02,2.2,2.2,2.16,2.16,300,2.16,50.2448755955,2,2012
2012-04-03,2.2,2.2,2.17,2.17,8400,2.17,50.9601980997,2,2012
2012-04-04,2.1,2.19,2.069,2.19,17300,2.19,52.4331321635,2,2012
2012-04-05,2.13,2.33,2.0,2.06,20500,2.06,43.3242741203,2,2012
2012-04-09,2.07,2.33,1.95,2.18,6900,2.18,51.6705471526,2,2012
2012-04-10,2.2,2.34,2.1,2.23,29600,2.23,54.6661972764,2,2012
2012-04-11,2.18,2.22,2.124,2.22,3000,2.22,53.945997279,2,2012
2012-04-12,2.11,2.19,2.11,2.19,800,2.19,51.7435943167,2,2012
2012-04-13,2.17,2.29,2.17,2.29,4400,2.29,57.9118308499,2,2012
2012-04-16,2.27,2.27,2.25,2.25,700,2.25,54.8895132341,2,2012
2012-04-17,2.101,2.28,2.101,2.24,2700,2.24,54.1289642054,2,2012
2012-04-18,2.2,2.29,2.136,2.27,1200,2.27,56.094420922,2,2012
2012-04-19,2.15,2.29,2.15,2.29,1700,2.29,57.4047475251,2,2012
2012-04-20,2.29,2.3,2.11,2.3,9300,2.3,58.0784251541,2,2012
2012-04-23,2.21,2.3,2.1,2.3,6100,2.3,58.0784251541,2,2012
2012-04-24,2.2,2.34,2.14,2.29,2700,2.29,57.0323058257,2,2012
2012-04-25,2.22,2.25,2.2,2.2,4300,2.2,48.5555036044,2,2012
2012-04-26,2.14,2.61,2.14,2.35,36200,2.35,59.3893858363,2,2012
2012-04-27,2.33,2.33,2.33,2.33,100,2.33,57.6462171198,2,2012
2012-04-30,2.34,2.75,2.17,2.52,8400,2.52,67.4273986986,2,2012
2012-05-01,2.28,2.58,2.27,2.5,6800,2.5,65.7072210766,2,2012
2012-05-02,2.38,2.42,2.26,2.3,7300,2.3,51.5455948528,2,2012
2012-05-03,2.3,2.31,2.17,2.17,600,2.17,44.7884382182,2,2012
2012-05-04,2.25,2.3,2.25,2.3,1100,2.3,51.6186627653,2,2012
2012-05-07,2.17,2.3,2.15,2.3,2000,2.3,51.6186627653,2,2012
2012-05-08,2.43,2.43,2.1,2.21,9600,2.21,46.9547247279,2,2012
2012-05-09,2.21,2.295,2.17,2.23,20000,2.23,48.0774517884,2,2012
2012-05-10,2.3,2.44,2.17,2.25,41000,2.25,49.2345765294,2,2012
2012-05-11,2.28,2.4,2.17,2.195,17000,2.195,46.186297574,2,2012
2012-05-14,2.26,2.36,2.18,2.18,4000,2.18,45.3614295162,2,2012
2012-05-15,2.2,2.35,2.16,2.16,15000,2.16,44.2272426318,2,2012
2012-05-16,2.3,2.32,2.05,2.186,39000,2.186,46.1135207779,2,2012
2012-05-17,2.12,2.12,1.92,2.04,12300,2.04,38.2835519522,2,2012
2012-05-18,1.98,2.0,1.91,1.976,5200,1.976,35.4425682829,2,2012
