Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-03-21,5.0,5.3,5.0,5.3,1100,5.3,,1,2014
2014-03-24,5.1,5.35,5.0,5.0,8300,5.0,,1,2014
2014-03-26,5.1,5.1,5.0,5.1,4800,5.1,,1,2014
2014-04-03,5.0,5.5,4.51,4.51,5300,4.51,,2,2014
2014-04-07,4.62,5.0,4.62,5.0,500,5.0,,2,2014
2014-04-11,4.69,4.69,4.69,4.69,400,4.69,,2,2014
2014-04-16,4.74,4.75,4.74,4.75,400,4.75,,2,2014
2014-04-17,4.61,4.61,4.6,4.6,2000,4.6,,2,2014
2014-04-25,4.8,5.5,4.8,5.5,6500,5.5,,2,2014
2014-05-13,5.05,5.5,5.0,5.0,6400,5.0,,2,2014
2014-05-21,6.25,6.5,5.75,5.76,2900,5.76,,2,2014
2014-05-27,5.74,5.86,5.09,5.8,2300,5.8,,2,2014
2014-05-28,5.37,5.37,5.34,5.34,600,5.34,,2,2014
2014-05-30,5.0,5.25,5.0,5.0,700,5.0,,2,2014
2014-06-03,5.0,5.1,5.0,5.1,1300,5.1,48.0392156863,2,2014
2014-06-05,5.5,5.5,5.5,5.5,1600,5.5,52.0862308762,2,2014
2014-06-13,6.23,6.8,6.23,6.8,14500,6.8,62.349726776,2,2014
2014-06-18,9.5,9.5,9.0,9.19,14000,9.19,73.5621656133,2,2014
2014-06-19,9.6,11.95,9.6,11.8,40600,11.8,80.4198238694,2,2014
2014-06-20,12.1,15.98,12.1,15.25,91200,15.25,85.7000076368,2,2014
2014-06-23,15.88,15.88,13.0,13.19,26900,13.19,73.0352279015,2,2014
2014-06-24,13.2,13.22,11.98,12.26,20600,12.26,68.1395119675,2,2014
2014-06-25,12.32,13.49,12.32,12.85,7100,12.85,69.5347315945,2,2014
2014-06-26,13.3,14.89,13.25,14.88,16900,14.88,73.7879682496,2,2014
2014-06-27,14.55,14.95,13.5,14.25,15700,14.25,70.4985151104,2,2014
2014-06-30,13.6,14.0,13.6,13.8,7100,13.8,68.1611231941,2,2014
2014-07-01,13.61,15.9,13.61,14.53,25100,14.53,69.9043364543,3,2014
2014-07-02,14.72,15.16,14.0,14.27,8100,14.27,68.4665110557,3,2014
2014-07-03,14.2,14.99,14.2,14.5,4400,14.5,69.0725291768,3,2014
2014-07-07,15.0,15.0,14.75,14.75,5500,14.75,69.7529743173,3,2014
2014-07-08,14.95,14.95,14.7,14.89,4100,14.89,70.1490512591,3,2014
2014-07-09,14.85,14.85,14.7,14.8,4100,14.8,69.518822166,3,2014
2014-07-10,15.49,15.5,14.85,15.28,15800,15.28,71.0145091569,3,2014
2014-07-11,15.3,16.0,15.26,15.4,15000,15.4,71.392441842,3,2014
2014-07-14,15.5,16.0,15.31,15.34,6200,15.34,70.8947021623,3,2014
2014-07-15,15.5,15.5,15.15,15.15,6400,15.15,69.2482620447,3,2014
2014-07-16,15.2,15.35,15.15,15.35,3400,15.35,70.037081031,3,2014
2014-07-17,15.35,15.8,15.35,15.6,69700,15.6,71.037180561,3,2014
2014-07-18,15.62,17.5,15.6,17.049999,30600,17.049999,76.0337465605,3,2014
2014-07-21,16.77,18.02,16.77,17.110001,15100,17.110001,76.2165934425,3,2014
2014-07-22,17.99,18.4,17.9,18.4,10600,18.4,79.7870618074,3,2014
2014-07-23,18.99,21.25,18.99,20.059999,31800,20.059999,83.2680385465,3,2014
2014-07-24,21.940001,22.0,21.0,21.57,18100,21.57,85.6833216011,3,2014
2014-07-25,22.129999,27.99,22.08,26.17,43600,26.17,90.2843744913,3,2014
2014-07-28,28.57,38.0,27.629999,33.0,159000,33.0,93.5823054254,3,2014
2014-07-29,38.0,38.990002,35.0,35.450001,86800,35.450001,94.3262964123,3,2014
2014-07-30,38.900002,38.900002,27.42,28.17,138500,28.17,68.80260985,3,2014
2014-07-31,27.24,27.83,18.799999,19.73,157700,19.73,51.4282725723,3,2014
2014-08-01,18.99,22.99,16.85,22.99,100600,22.99,56.0453580904,3,2014
2014-08-04,24.370001,30.0,23.1,28.49,125200,28.49,62.5187030703,3,2014
2014-08-05,27.57,28.9,23.5,24.950001,48500,24.950001,56.7278147037,3,2014
2014-08-06,24.040001,24.040001,22.5,22.77,31200,22.77,53.44475657,3,2014
2014-08-07,20.35,22.219999,20.030001,20.450001,23700,20.450001,50.1203624149,3,2014
2014-08-08,20.5,22.35,20.15,21.84,38400,21.84,52.0450158197,3,2014
2014-08-11,21.84,24.190001,20.299999,23.389999,41600,23.389999,54.1687144912,3,2014
2014-08-12,23.040001,26.0,20.9,21.73,48200,21.73,51.5364199595,3,2014
2014-08-13,20.700001,24.940001,20.51,24.27,19200,24.27,55.1294275611,3,2014
2014-08-14,26.0,26.0,22.0,22.68,30300,22.68,52.5052485754,3,2014
2014-08-15,23.110001,24.25,21.950001,22.629999,11800,22.629999,52.4207441601,3,2014
2014-08-18,22.799999,22.799999,21.299999,21.51,7400,21.51,50.4616220015,3,2014
2014-08-19,21.4,21.790001,20.030001,20.120001,27300,20.120001,48.0609531864,3,2014
2014-08-20,20.0,20.0,17.82,18.5,23000,18.5,45.3528741341,3,2014
2014-08-21,19.0,19.309999,18.629999,18.77,11900,18.77,45.9000151424,3,2014
2014-08-22,18.0,18.25,17.0,17.0,13000,17.0,42.8697731519,3,2014
2014-08-25,18.18,18.18,16.82,17.5,14800,17.5,43.9945749506,3,2014
2014-08-26,17.700001,18.99,17.0,18.99,10500,18.99,47.3229513631,3,2014
2014-08-27,17.25,18.799999,17.25,18.58,2600,18.58,46.5039688502,3,2014
2014-08-28,18.57,19.950001,18.559999,19.469999,3300,19.469999,48.5840994314,3,2014
2014-08-29,19.0,19.799999,18.6,19.4,5700,19.4,48.4246135658,3,2014
2014-09-02,22.879999,22.950001,20.700001,22.559999,23400,22.559999,55.522770019,3,2014
2014-09-03,26.700001,26.700001,21.51,23.559999,30900,23.559999,57.5154249302,3,2014
2014-09-04,23.51,23.51,21.200001,22.049999,8300,22.049999,53.6097191467,3,2014
2014-09-05,21.790001,22.9,21.790001,22.9,1100,22.9,55.4439299329,3,2014
2014-09-08,22.049999,24.65,22.049999,22.879999,15200,22.879999,55.3884343666,3,2014
2014-09-09,23.4,23.450001,22.1,22.27,10300,22.27,53.6254937579,3,2014
2014-09-10,23.09,23.09,22.0,22.16,6200,22.16,53.2960646427,3,2014
2014-09-11,22.1,22.940001,20.4,20.83,19400,20.83,49.3486765628,3,2014
2014-09-12,21.15,22.49,19.700001,19.84,21800,19.84,46.5829459877,3,2014
2014-09-15,20.440001,20.440001,19.139999,20.1,4300,20.1,47.4164488764,3,2014
2014-09-16,20.4,21.5,20.389999,21.16,11800,21.16,50.7878956924,3,2014
2014-09-17,21.620001,21.620001,21.01,21.5,7700,21.5,51.854203315,3,2014
2014-09-18,22.0,22.99,20.4,20.4,15400,20.4,48.2143385943,3,2014
