Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-17,9.5,9.99,9.0,9.05,1595600,9.05,,3,2014
2014-07-18,9.0,10.1,8.49,10.0,240700,10.0,,3,2014
2014-07-21,10.05,10.11,9.83,10.0,26400,10.0,,3,2014
2014-07-22,9.88,10.02,9.66,10.0,27800,10.0,,3,2014
2014-07-23,9.95,10.2,9.95,10.0,18600,10.0,,3,2014
2014-07-24,9.98,10.04,9.8,10.0,42900,10.0,,3,2014
2014-07-25,9.87,10.01,9.87,10.0,20300,10.0,,3,2014
2014-07-28,10.08,10.08,9.898,10.0,18400,10.0,,3,2014
2014-07-29,10.0,10.08,10.0,10.05,27500,10.05,,3,2014
2014-07-30,10.03,10.19,10.01,10.06,5000,10.06,,3,2014
2014-07-31,10.03,10.03,9.6,9.71,10400,9.71,,3,2014
2014-08-01,9.604,9.63,9.04,9.28,7000,9.28,,3,2014
2014-08-04,9.28,9.47,9.28,9.45,6800,9.45,,3,2014
2014-08-05,9.39,9.39,9.39,9.39,600,9.39,,3,2014
2014-08-06,9.3,9.57,9.3,9.57,1300,9.57,61.8181818182,3,2014
2014-08-07,9.8,10.19,9.8,10.0,18300,10.0,68.4575389948,3,2014
2014-08-08,10.15,10.15,9.76,10.02,4200,10.02,68.7298999956,3,2014
2014-08-11,10.88,10.88,10.06,10.14,28900,10.14,70.3823772031,3,2014
2014-08-12,10.2,10.33,10.02,10.04,4400,10.04,67.1956085495,3,2014
2014-08-13,10.04,10.04,10.04,10.04,0,10.04,67.1956085495,3,2014
2014-08-14,9.75,10.05,9.75,10.05,800,10.05,67.3669700953,3,2014
2014-08-15,10.05,10.05,9.75,10.02,9600,10.02,66.2489076878,3,2014
2014-08-18,9.75,10.11,9.75,10.0,11200,10.0,65.4688137077,3,2014
2014-08-19,10.008,10.5,9.91,10.09,3200,10.09,67.3329404868,3,2014
2014-08-20,9.92,10.19,9.912,10.19,4800,10.19,69.3150666974,3,2014
2014-08-21,10.05,10.235,10.0,10.05,64200,10.05,63.505480667,3,2014
2014-08-22,9.82,10.08,9.82,10.08,3200,10.08,64.1979543707,3,2014
2014-08-25,9.97,10.1,9.87,9.9,3100,9.9,57.1865434772,3,2014
2014-08-26,10.5,10.5,9.8,9.81,24100,9.81,54.0102881165,3,2014
2014-08-27,10.35,10.35,9.82,9.95,13900,9.95,57.9251327223,3,2014
2014-08-28,10.21,10.21,9.82,10.0,34800,10.0,59.2589986835,3,2014
2014-08-29,10.07,10.1,9.85,9.97,8800,9.97,58.0694745293,3,2014
2014-09-02,10.09,10.1,9.95,10.03,8800,10.03,59.807202802,3,2014
2014-09-03,10.05,10.05,9.83,10.05,11100,10.05,60.3963852733,3,2014
2014-09-04,10.09,10.09,9.83,10.0,16100,10.0,58.1032650939,3,2014
2014-09-05,10.0,10.1,9.92,10.03,20200,10.03,59.1065077817,3,2014
2014-09-08,10.08,10.89,10.07,10.84,13700,10.84,75.892031294,3,2014
2014-09-09,10.65,10.75,10.424,10.68,25600,10.68,69.7975013696,3,2014
2014-09-10,10.66,10.69,10.43,10.69,12200,10.69,69.9598731302,3,2014
2014-09-11,10.67,10.67,10.17,10.195,12500,10.195,54.3762966954,3,2014
2014-09-12,10.295,10.315,10.12,10.12,25400,10.12,52.4692398339,3,2014
2014-09-15,10.11,10.2,9.8,9.89,24200,9.89,47.0227882302,3,2014
2014-09-16,9.8,9.82,9.42,9.47,37200,9.47,39.0511307794,3,2014
2014-09-17,9.19,9.23,8.77,9.03,22500,9.03,32.7813160763,3,2014
2014-09-18,8.805,8.87,8.63,8.71,13400,8.71,29.1195714238,3,2014
2014-09-19,8.76,9.355,7.89,8.55,76200,8.55,27.4674760577,3,2014
2014-09-22,8.7,8.9,8.6,8.6,14900,8.6,28.8264264739,3,2014
2014-09-23,8.4,8.695,8.02,8.43,24900,8.43,26.9758399407,3,2014
2014-09-24,8.5,8.592,7.96,8.05,35000,8.05,23.3650324333,3,2014
2014-09-25,8.01,8.19,7.95,7.96,26800,7.96,22.5936678464,3,2014
2014-09-26,7.95,7.95,7.39,7.4,114700,7.4,18.500905755,3,2014
2014-09-29,7.59,7.59,6.96,7.35,48500,7.35,18.1841751525,3,2014
2014-09-30,7.31,7.371,6.35,7.0,41700,7.0,16.1056384182,3,2014
2014-10-01,7.0,7.15,6.88,7.03,21900,7.03,16.9815826196,4,2014
2014-10-02,7.09,7.22,6.87,7.08,78000,7.08,18.5087549771,4,2014
2014-10-03,7.03,7.125,6.5,6.9,160800,6.9,17.276616601,4,2014
2014-10-06,7.06,7.06,6.6,6.71,59500,6.71,16.0611977013,4,2014
2014-10-07,6.67,7.0,6.65,6.8,7300,6.8,18.9691758425,4,2014
2014-10-08,6.76,6.94,6.76,6.94,10200,6.94,23.413935985,4,2014
2014-10-09,6.96,6.96,6.65,6.89,26900,6.89,22.930173631,4,2014
2014-10-10,6.78,7.03,6.51,6.54,19900,6.54,19.8400052262,4,2014
2014-10-13,6.56,6.94,6.54,6.94,4800,6.94,31.2441132498,4,2014
2014-10-14,6.84,6.98,6.76,6.8,12900,6.8,29.6539597003,4,2014
2014-10-15,6.77,6.93,6.3,6.563,15400,6.563,27.1361437283,4,2014
2014-10-16,6.62,6.63,5.42,5.6,67200,5.6,19.7851844234,4,2014
2014-10-17,5.65,5.75,5.55,5.6,48300,5.6,19.7851844234,4,2014
2014-10-20,5.76,5.93,5.4,5.6,55400,5.6,19.7851844234,4,2014
2014-10-21,5.64,5.94,5.6,5.7,12200,5.7,22.5077716352,4,2014
2014-10-22,5.73,5.9,5.7,5.75,14700,5.75,23.8986031632,4,2014
2014-10-23,5.76,5.81,5.7,5.7,5000,5.7,23.4454350367,4,2014
2014-10-24,5.9,5.95,5.71,5.71,18400,5.71,23.7568234865,4,2014
2014-10-27,5.69,5.82,5.69,5.74,9500,5.74,24.74575979,4,2014
2014-10-28,5.76,6.09,5.75,5.93,9600,5.93,30.8622153824,4,2014
2014-10-29,5.95,6.1,5.85,5.91,3400,5.91,30.5804588927,4,2014
2014-10-30,5.85,5.96,5.79,5.808,2600,5.808,29.120308271,4,2014
2014-10-31,5.85,6.06,5.84,5.88,16800,5.88,31.6029168335,4,2014
2014-11-03,5.88,6.2,5.88,6.02,27000,6.02,36.2766634009,4,2014
2014-11-04,6.01,6.074,5.9,5.9,21900,5.9,34.1242364834,4,2014
2014-11-05,6.17,6.17,5.97,6.01,11300,6.01,37.7692745282,4,2014
2014-11-06,6.024,6.23,6.0,6.13,176100,6.13,41.5676919492,4,2014
2014-11-07,6.34,6.34,6.1,6.1,3600,6.1,40.8956450525,4,2014
2014-11-10,6.22,6.53,6.14,6.41,7100,6.41,49.9079802247,4,2014
2014-11-11,6.3,7.34,6.3,7.15,44700,7.15,64.0140384908,4,2014
2014-11-12,7.5,7.57,7.06,7.06,26400,7.06,61.7369607957,4,2014
2014-11-13,7.19,7.57,7.19,7.36,15300,7.36,66.0696221659,4,2014
2014-11-14,7.32,7.508,7.29,7.3,12500,7.3,64.4966284916,4,2014
2014-11-17,7.49,7.5,7.29,7.29,10800,7.29,64.2221908348,4,2014
2014-11-18,7.4,7.4,6.75,6.94,10800,6.94,55.3456648915,4,2014
2014-11-19,7.0,7.5,7.0,7.14,11800,7.14,58.8460518027,4,2014
2014-11-20,7.011,7.202,7.01,7.05,2200,7.05,56.6924048973,4,2014
2014-11-21,7.1,7.34,7.05,7.06,14900,7.06,56.8812325886,4,2014
2014-11-24,7.29,7.29,6.5,6.5,10300,6.5,45.0383635223,4,2014
2014-11-25,6.97,7.18,6.97,7.0,6900,7.0,54.2061017578,4,2014
2014-11-26,7.1,7.1,7.0,7.01,3300,7.01,54.3700351262,4,2014
2014-11-28,7.09,7.1,7.0,7.045,2900,7.045,54.9775288619,4,2014
2014-12-01,7.0,7.09,6.86,7.03,36300,7.03,54.6417724262,4,2014
2014-12-02,7.03,7.06,7.021,7.03,6200,7.03,54.6417724262,4,2014
2014-12-03,7.03,7.24,7.03,7.12,3000,7.12,56.4907896188,4,2014
2014-12-04,7.12,7.15,7.12,7.12,1900,7.12,56.4907896188,4,2014
2014-12-05,7.07,7.08,7.06,7.07,1000,7.07,55.0450178108,4,2014
2014-12-08,7.19,7.311,7.0,7.0,6300,7.0,52.999938336,4,2014
2014-12-09,7.06,7.061,7.05,7.05,500,7.05,54.3058372049,4,2014
2014-12-10,7.03,7.05,7.0,7.0,24100,7.0,52.7280885121,4,2014
2014-12-11,7.01,7.01,7.0,7.0,300,7.0,52.7280885121,4,2014
2014-12-12,7.0,7.1,7.0,7.03,2900,7.03,53.6648362118,4,2014
2014-12-15,7.0,7.05,7.0,7.02,12200,7.02,53.2857881382,4,2014
2014-12-16,7.02,7.15,7.0,7.0,10400,7.0,52.4872910741,4,2014
