Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.46,1.5,1.2,1.5,10700,0.201685,,1,2012
2012-01-04,1.4,1.7,1.39,1.65,111800,0.221854,,1,2012
2012-01-05,1.51,1.6,1.41,1.5,17400,0.201685,,1,2012
2012-01-06,1.5,1.6,1.5,1.6,14900,0.215131,,1,2012
2012-01-09,1.58,1.7,1.55,1.66,36300,0.223199,,1,2012
2012-01-10,1.67,1.9,1.67,1.8,59800,0.242022,,1,2012
2012-01-11,1.78,1.98,1.73,1.8,19600,0.242022,,1,2012
2012-01-12,1.88,1.9,1.8,1.88,4700,0.252779,,1,2012
2012-01-13,1.73,1.98,1.73,1.98,14900,0.266225,,1,2012
2012-01-17,2.01,2.1,1.9,2.0,115400,0.268914,,1,2012
2012-01-18,1.91,1.97,1.83,1.92,38900,0.258157,,1,2012
2012-01-19,1.94,2.11,1.83,1.99,207200,0.267569,,1,2012
2012-01-20,2.0,2.0,1.75,1.9,52000,0.255468,,1,2012
2012-01-23,1.9,1.9,1.84,1.84,7200,0.247401,,1,2012
2012-01-24,1.84,2.0,1.8,1.8,20900,0.242022,63.1576887196,1,2012
2012-01-25,1.79,1.79,1.75,1.77,5400,0.237989,61.4174427236,1,2012
2012-01-26,1.73,1.76,1.67,1.67,1400,0.224543,55.8883338049,1,2012
2012-01-27,1.69,1.7,1.67,1.67,1500,0.224543,55.8883338049,1,2012
2012-01-30,1.83,1.83,1.75,1.78,11800,0.239333,60.4324273012,1,2012
2012-01-31,1.78,1.78,1.78,1.78,0,0.239333,60.4324273012,1,2012
2012-02-01,1.57,1.78,1.57,1.78,6200,0.239333,60.4324273012,1,2012
2012-02-02,1.78,1.85,1.74,1.75,14900,0.2353,58.3840857348,1,2012
2012-02-03,1.75,1.94,1.65,1.94,28100,0.260846,66.1992490517,1,2012
2012-02-06,2.0,2.0,1.76,1.76,15000,0.236644,55.5550046383,1,2012
2012-02-07,1.81,1.95,1.56,1.72,69700,0.231266,53.4965478356,1,2012
2012-02-08,1.75,1.9,1.62,1.88,5400,0.252779,59.8976308891,1,2012
2012-02-09,1.84,1.85,1.8,1.85,82800,0.248745,58.2777225542,1,2012
2012-02-10,1.85,1.85,1.75,1.85,65800,0.248745,58.2777225542,1,2012
2012-02-13,1.85,1.85,1.8,1.85,15000,0.248745,58.2777225542,1,2012
2012-02-14,1.8,1.85,1.7,1.7,15600,0.228577,49.8580189742,1,2012
2012-02-15,1.84,1.84,1.7,1.8,24400,0.242022,54.5701581869,1,2012
2012-02-16,1.8,1.8,1.8,1.8,0,0.242022,54.5701581869,1,2012
2012-02-17,1.85,1.85,1.82,1.85,42900,0.248745,56.9180785393,1,2012
2012-02-21,1.85,2.0,1.83,1.9,143600,0.255468,59.1895050044,1,2012
2012-02-22,1.85,1.9,1.85,1.9,18600,0.255468,59.1895050044,1,2012
2012-02-23,1.85,1.9,1.64,1.9,9200,0.255468,59.1895050044,1,2012
2012-02-24,1.9,1.9,1.9,1.9,0,0.255468,59.1895050044,1,2012
2012-02-27,1.85,1.9,1.85,1.9,40400,0.255468,59.1895050044,1,2012
2012-02-28,1.85,1.87,1.84,1.85,14100,0.248745,54.9898863524,1,2012
2012-02-29,1.9,1.99,1.9,1.9,13100,0.255468,58.1849700782,1,2012
2012-03-01,1.75,1.95,1.75,1.95,17400,0.262191,61.1545624229,1,2012
2012-03-02,1.95,1.95,1.95,1.95,0,0.262191,61.1545624229,1,2012
2012-03-05,1.85,1.85,1.85,1.85,3200,0.248745,52.5055076521,1,2012
2012-03-06,1.85,1.85,1.85,1.85,2500,0.248745,52.5055076521,1,2012
2012-03-07,1.86,1.86,1.86,1.86,200,0.25009,53.2721870329,1,2012
2012-03-08,1.86,1.86,1.86,1.86,0,0.25009,53.2721870329,1,2012
2012-03-09,1.87,1.88,1.87,1.88,6200,0.252779,54.9580624655,1,2012
