Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-13,0.61,0.61,0.61,0.61,5500,0.61,,4,2014
2014-11-14,0.48,0.526,0.48,0.526,2600,0.526,,4,2014
2014-11-17,0.526,0.526,0.526,0.526,0,0.526,,4,2014
2014-11-18,0.5,0.5,0.45,0.48,7300,0.48,,4,2014
2014-11-19,0.45,0.56,0.45,0.56,4300,0.56,,4,2014
2014-11-20,0.56,0.56,0.56,0.56,0,0.56,,4,2014
2014-11-21,0.56,0.64,0.56,0.59,2000,0.59,,4,2014
2014-11-24,0.47,0.55,0.45,0.55,5900,0.55,,4,2014
2014-11-25,0.58,0.58,0.56,0.56,1600,0.56,,4,2014
2014-11-26,0.56,0.56,0.56,0.56,0,0.56,,4,2014
2014-11-28,0.56,0.56,0.56,0.56,0,0.56,,4,2014
2014-12-01,0.56,0.56,0.56,0.56,0,0.56,,4,2014
2014-12-02,0.56,0.56,0.56,0.56,4000,0.56,,4,2014
2014-12-03,0.56,0.56,0.56,0.56,0,0.56,,4,2014
2014-12-04,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-05,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-08,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-09,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-10,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-11,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-12,0.56,0.56,0.56,0.56,0,0.56,41.3793103448,4,2014
2014-12-15,0.47,0.47,0.46,0.46,2000,0.46,26.201238459,4,2014
2014-12-16,0.51,0.51,0.51,0.51,6000,0.51,38.3731319132,4,2014
2014-12-17,0.51,0.51,0.51,0.51,1800,0.51,38.3731319132,4,2014
2014-12-18,0.51,0.51,0.51,0.51,0,0.51,38.3731319132,4,2014
2014-12-19,0.51,0.51,0.51,0.51,0,0.51,38.3731319132,4,2014
2014-12-22,0.56,0.785,0.56,0.774,21800,0.774,71.6180037401,4,2014
2014-12-23,0.78,0.78,0.71,0.71,4000,0.71,62.7767451896,4,2014
2014-12-24,0.74,0.74,0.74,0.74,0,0.74,64.9603668537,4,2014
2014-12-26,0.72,0.81,0.72,0.81,1300,0.81,69.461954909,4,2014
2014-12-29,0.81,0.81,0.81,0.81,0,0.81,69.461954909,4,2014
2014-12-30,0.81,0.81,0.81,0.81,0,0.81,69.461954909,4,2014
2014-12-31,0.73,0.738,0.72,0.738,4100,0.738,59.6218417411,4,2014
2015-01-02,0.8,0.8,0.8,0.8,700,0.8,64.3103936213,1,2015
2015-01-05,0.8,0.8,0.8,0.8,0,0.8,64.3103936213,1,2015
2015-01-06,0.74,0.74,0.69,0.69,3700,0.69,51.9081989729,1,2015
2015-01-07,0.69,0.69,0.69,0.69,0,0.69,51.9081989729,1,2015
2015-01-08,0.875,1.13,0.875,1.13,4200,1.13,74.616875206,1,2015
2015-01-09,1.9,1.9,1.0,1.15,14500,1.15,75.1903359101,1,2015
2015-01-12,1.036,1.15,1.0,1.1,7400,1.1,70.8791030223,1,2015
2015-01-13,1.1,1.1,1.1,1.1,0,1.1,70.8791030223,1,2015
2015-01-14,1.35,1.35,1.35,1.35,800,1.35,78.1455073327,1,2015
2015-01-15,1.35,1.484,1.25,1.468,6000,1.468,80.6054309738,1,2015
2015-01-16,2.0,2.0,1.2,1.512,12900,1.512,81.444151123,1,2015
2015-01-20,1.79,1.79,1.79,1.79,600,1.79,85.6628353462,1,2015
2015-01-21,1.66,1.66,1.37,1.58,21300,1.58,72.2923358582,1,2015
2015-01-22,1.455,1.455,1.455,1.455,500,1.455,65.7171324406,1,2015
2015-01-23,1.25,1.61,1.25,1.6,1400,1.6,69.2149667634,1,2015
2015-01-26,1.482,1.482,1.482,1.482,300,1.482,63.5339431724,1,2015
2015-01-27,1.6,1.65,1.28,1.65,1900,1.65,67.6100771424,1,2015
2015-01-28,1.6,1.6,1.6,1.6,1500,1.6,65.2716198549,1,2015
2015-01-29,1.507,1.608,1.426,1.54,9000,1.54,62.4789619104,1,2015
2015-01-30,1.25,1.5,1.2,1.5,3600,1.5,60.616956637,1,2015
2015-02-02,1.27,1.67,1.27,1.67,7700,1.67,65.3440916009,1,2015
2015-02-03,1.5,1.6,1.35,1.6,12300,1.6,62.041861367,1,2015
2015-02-04,1.58,1.72,1.58,1.72,4000,1.72,65.2810449279,1,2015
2015-02-05,1.65,1.67,1.65,1.67,2600,1.67,62.8735142533,1,2015
