Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-19,0.181,0.19,0.181,0.19,1400,0.19,,4,2014
2014-11-20,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-11-21,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-11-24,0.181,0.19,0.18,0.18,5000,0.18,,4,2014
2014-11-25,0.2,0.203,0.2,0.203,200,0.203,,4,2014
2014-11-26,0.19,0.19,0.19,0.19,400,0.19,,4,2014
2014-11-28,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-12-01,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-12-02,0.19,0.19,0.18,0.19,14000,0.19,,4,2014
2014-12-03,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-12-04,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-12-05,0.19,0.19,0.19,0.19,0,0.19,,4,2014
2014-12-08,0.2,0.2,0.2,0.2,8000,0.2,,4,2014
2014-12-09,0.2,0.2,0.2,0.2,0,0.2,,4,2014
2014-12-10,0.2,0.2,0.2,0.2,0,0.2,58.9285714286,4,2014
2014-12-11,0.2,0.2,0.2,0.2,0,0.2,58.9285714286,4,2014
2014-12-12,0.19,0.19,0.17,0.17,1400,0.17,36.3464546403,4,2014
2014-12-15,0.22,0.22,0.22,0.22,2000,0.22,62.2864390267,4,2014
2014-12-16,0.22,0.22,0.22,0.22,0,0.22,62.2864390267,4,2014
2014-12-17,0.23,0.23,0.22,0.22,6500,0.22,62.2864390267,4,2014
2014-12-18,0.22,0.25,0.22,0.25,300,0.25,71.1093162115,4,2014
2014-12-19,0.25,0.25,0.25,0.25,0,0.25,71.1093162115,4,2014
2014-12-22,0.37,0.45,0.37,0.4,68500,0.4,87.7405269571,4,2014
2014-12-23,0.4,0.4,0.38,0.4,8500,0.4,87.7405269571,4,2014
2014-12-24,0.4,0.4,0.4,0.4,700,0.4,87.7405269571,4,2014
2014-12-26,0.51,0.68,0.51,0.52,5400,0.52,92.2171383356,4,2014
2014-12-29,0.52,0.52,0.52,0.52,100,0.52,92.2171383356,4,2014
2014-12-30,0.42,0.42,0.42,0.42,2900,0.42,68.1619927083,4,2014
2014-12-31,0.39,0.494,0.37,0.48,12700,0.48,72.7542937781,4,2014
2015-01-02,0.48,0.48,0.48,0.48,0,0.48,72.7542937781,1,2015
2015-01-05,0.48,0.48,0.48,0.48,0,0.48,72.7542937781,1,2015
2015-01-06,0.42,0.43,0.42,0.43,1200,0.43,63.2576464841,1,2015
2015-01-07,0.43,0.43,0.43,0.43,0,0.43,63.2576464841,1,2015
2015-01-08,0.42,0.47,0.42,0.47,7600,0.47,67.2267346593,1,2015
2015-01-09,0.5,0.5,0.5,0.5,6200,0.5,69.8567584451,1,2015
2015-01-12,0.475,0.61,0.435,0.579,11100,0.579,75.4449502112,1,2015
2015-01-13,0.579,0.579,0.579,0.579,0,0.579,75.4449502112,1,2015
2015-01-14,0.579,0.579,0.579,0.579,0,0.579,75.4449502112,1,2015
2015-01-15,0.66,0.66,0.594,0.66,8500,0.66,80.1560425105,1,2015
2015-01-16,0.47,0.7,0.47,0.686,5100,0.686,81.390266438,1,2015
2015-01-20,0.7,0.7,0.699,0.699,500,0.699,81.9933174756,1,2015
2015-01-21,0.65,0.65,0.64,0.64,1900,0.64,70.7825919857,1,2015
2015-01-22,0.63,0.63,0.5,0.58,6200,0.58,61.5639738206,1,2015
