Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-04-05,10.0,17.0,10.0,11.25,48000,11.25,,2,2013
2013-04-08,11.4,11.9,11.01,11.9,4500,11.9,,2,2013
2013-04-09,12.0,12.0,11.75,11.9,4500,11.9,,2,2013
2013-04-10,11.46,11.46,11.45,11.45,1500,11.45,,2,2013
2013-04-11,12.9,12.9,12.49,12.49,600,12.49,,2,2013
2013-04-12,12.0,12.0,12.0,12.0,400,12.0,,2,2013
2013-04-15,12.0,12.0,12.0,12.0,100,12.0,,2,2013
2013-04-16,11.5,12.0,11.5,12.0,200,12.0,,2,2013
2013-04-17,11.8,11.8,11.75,11.75,900,11.75,,2,2013
2013-04-18,12.0,12.0,12.0,12.0,2500,12.0,,2,2013
2013-04-19,11.6,11.6,11.6,11.6,2300,11.6,,2,2013
2013-04-22,11.6,11.6,11.6,11.6,2500,11.6,,2,2013
2013-04-23,11.6,11.6,11.6,11.6,0,11.6,,2,2013
2013-04-24,11.6,11.6,11.6,11.6,0,11.6,,2,2013
2013-04-25,11.45,11.5,11.45,11.5,1300,11.5,53.4435261708,2,2013
2013-04-26,11.5,11.5,11.5,11.5,2200,11.5,53.4435261708,2,2013
2013-04-29,11.55,11.55,11.55,11.55,500,11.55,54.1755579444,2,2013
2013-04-30,11.4,11.4,11.4,11.4,900,11.4,51.5565338009,2,2013
2013-05-01,11.5,11.5,11.5,11.5,1000,11.5,53.1815097538,2,2013
2013-05-02,11.55,11.55,11.55,11.55,100,11.55,54.0121435235,2,2013
2013-05-03,11.55,11.55,11.5,11.5,1600,11.5,52.9995182008,2,2013
2013-05-06,11.6,11.6,11.35,11.5,4000,11.5,52.9995182008,2,2013
2013-05-07,12.0,12.0,11.4,11.4,4900,11.4,50.7907928042,2,2013
2013-05-08,11.75,11.75,11.75,11.75,1000,11.75,57.4712362204,2,2013
2013-05-09,12.25,12.9,11.5,11.5,5500,11.5,52.0371211411,2,2013
2013-05-10,11.75,11.75,11.55,11.75,300,11.75,56.4696830033,2,2013
2013-05-13,11.81,12.0,11.76,11.9,2000,11.9,58.9226297992,2,2013
2013-05-14,11.9,12.0,11.75,11.75,2800,11.75,55.5514905026,2,2013
2013-05-15,11.88,11.88,11.65,11.72,7000,11.72,54.8752737048,2,2013
2013-05-16,11.74,11.74,11.7,11.74,3900,11.74,55.2662219265,2,2013
2013-05-17,11.76,11.76,11.75,11.75,1700,11.75,55.4739396811,2,2013
2013-05-20,11.8,11.8,11.4,11.6,13500,11.6,51.6032277582,2,2013
2013-05-21,11.73,11.76,11.61,11.65,33200,11.65,52.7858271586,2,2013
2013-05-22,11.92,11.92,11.7,11.7,137700,11.7,53.9964185558,2,2013
2013-05-23,11.7,11.7,11.68,11.69,5400,11.69,53.6998582532,2,2013
2013-05-24,11.7,11.7,11.68,11.68,1900,11.68,53.3841072575,2,2013
2013-05-28,12.9,12.9,11.75,11.8,6500,11.8,56.6761436395,2,2013
2013-05-29,11.8,11.8,11.79,11.8,700,11.8,56.6761436395,2,2013
2013-05-30,11.8,11.8,11.75,11.8,5800,11.8,56.6761436395,2,2013
